timestamp,open,high,low,close,volume
2020-01-30,1.8800,1.8800,1.7600,1.8000,93700
2020-01-29,1.9100,1.9300,1.8500,1.8700,84400
2020-01-28,1.9300,1.9500,1.9100,1.9400,54600
2020-01-27,1.9500,2.0000,1.9000,1.9000,134000
2020-01-23,2.0200,2.0400,1.9700,2.0100,210100
2020-01-22,2.0900,2.0900,1.9400,2.0300,347700
2020-01-21,2.1600,2.2300,2.0000,2.0500,362900
2020-01-20,2.1100,2.2900,2.0800,2.1700,1004900
2020-01-17,2.1100,2.1200,2.0600,2.0700,134500
2020-01-16,2.0800,2.1800,2.0300,2.0500,483200
2020-01-15,2.0500,2.1800,2.0300,2.0500,770900
2020-01-14,2.0000,2.0300,1.9500,1.9700,212100
2020-01-13,2.0000,2.0900,1.9300,1.9700,587700
2020-01-10,2.3000,2.3400,1.9300,1.9300,1122100
2020-01-09,1.7500,2.2600,1.7500,2.1500,1519400
2020-01-08,1.6800,1.7900,1.6700,1.7400,215200
2020-01-07,1.6900,1.7000,1.6700,1.6900,15600
2020-01-06,1.6800,1.7100,1.6700,1.6800,50800
2020-01-03,1.7200,1.7300,1.6800,1.7000,45400
2020-01-02,1.6900,1.7400,1.6800,1.7000,44800
2019-12-30,1.7200,1.7400,1.7100,1.7300,15800
2019-12-27,1.7000,1.7500,1.6800,1.6900,37800
2019-12-26,1.7400,1.7500,1.6800,1.6800,120500
2019-12-23,1.6800,1.7700,1.6500,1.7000,137900
2019-12-20,1.6600,1.6900,1.6400,1.6500,61600
2019-12-19,1.7100,1.8300,1.6200,1.6200,460400
2019-12-18,1.6100,1.7200,1.6100,1.6700,124600
2019-12-17,1.5500,1.6700,1.5500,1.6100,158500
2019-12-16,1.6800,1.6900,1.6500,1.6700,40000
2019-12-13,1.7700,1.7700,1.6400,1.7000,182500
2019-12-12,1.5900,1.7700,1.5700,1.7200,309200
2019-12-11,1.5500,1.6200,1.5500,1.5700,52100
2019-12-10,1.5700,1.5800,1.5500,1.5700,9300
2019-12-09,1.5600,1.6000,1.5500,1.5700,41800
2019-12-06,1.5700,1.6000,1.5400,1.5600,45500
2019-12-05,1.5300,1.6500,1.5200,1.6100,143600
2019-12-04,1.5300,1.5500,1.5000,1.5400,19000
2019-12-03,1.5600,1.5800,1.5200,1.5200,14900
2019-12-02,1.5400,1.5700,1.5000,1.5600,30100
2019-11-29,1.5400,1.5800,1.5300,1.5500,34000
2019-11-28,1.5600,1.5800,1.5300,1.5700,22500
2019-11-27,1.5700,1.5800,1.5100,1.5300,25600
2019-11-26,1.5800,1.5800,1.5300,1.5700,26900
2019-11-25,1.5100,1.5800,1.4900,1.5600,33700
2019-11-22,1.4900,1.5400,1.4700,1.5200,28100
2019-11-21,1.4900,1.5000,1.4700,1.5000,21200
2019-11-19,1.5000,1.5000,1.4800,1.4900,4900
2019-11-18,1.4800,1.5200,1.4800,1.4800,26100
2019-11-14,1.4900,1.5300,1.4800,1.4900,32800
2019-11-13,1.5300,1.5300,1.4800,1.5000,25300
2019-11-12,1.5400,1.5900,1.4800,1.5300,50300
2019-11-11,1.5600,1.5600,1.4700,1.5200,126400
2019-11-08,1.5400,1.5600,1.5200,1.5500,44900
2019-11-07,1.5500,1.6300,1.5100,1.5700,140800
2019-11-06,1.5800,1.6000,1.5100,1.5700,82300
2019-11-05,1.6000,1.6100,1.5900,1.6000,19300
2019-11-04,1.5900,1.6100,1.5600,1.6000,38800
2019-11-01,1.5900,1.6100,1.5700,1.6000,32400
2019-10-31,1.6100,1.6400,1.5900,1.5900,38400
2019-10-30,1.6200,1.6300,1.6100,1.6100,17600
2019-10-29,1.6200,1.6400,1.6100,1.6200,7500
2019-10-28,1.6000,1.6300,1.6000,1.6100,23800
2019-10-25,1.6400,1.6400,1.6000,1.6000,25100
2019-10-24,1.6400,1.6400,1.6000,1.6200,33000
2019-10-23,1.6200,1.6500,1.6200,1.6400,105900
2019-10-22,1.6400,1.6400,1.6200,1.6400,33900
2019-10-21,1.6600,1.6600,1.6100,1.6100,36800
2019-10-18,1.6900,1.6900,1.6400,1.6500,7800
2019-10-17,1.6600,1.6800,1.6300,1.6400,18000
2019-10-16,1.6800,1.6900,1.6400,1.6400,26700
2019-10-15,1.7000,1.7000,1.6500,1.6800,28000
