timestamp,open,high,low,close,volume
2020-01-30,8.8800,9.1100,8.7400,9.1100,1231800
2020-01-29,9.2000,9.3200,8.9600,9.0500,1633800
2020-01-28,9.4600,9.5300,9.1500,9.2000,1682200
2020-01-27,9.6500,9.6500,9.2400,9.4700,1297300
2020-01-23,9.8000,9.9000,9.6800,9.8300,2221800
2020-01-22,9.6000,9.6000,9.3900,9.5900,1530600
2020-01-21,9.5000,9.5800,9.2900,9.5000,1573600
2020-01-20,9.2200,9.5300,9.0900,9.4000,2302600
2020-01-17,9.2000,9.2100,9.0400,9.2100,833300
2020-01-16,9.2200,9.2200,9.0500,9.1500,794200
2020-01-15,9.3100,9.3200,9.0900,9.1400,1068700
2020-01-14,9.3000,9.3300,9.1200,9.2800,1394400
2020-01-13,9.3900,9.4700,9.2800,9.3000,1422600
2020-01-10,8.9400,9.4200,8.9000,9.3100,3282800
2020-01-09,8.9800,9.1300,8.8100,8.9400,1610600
2020-01-08,8.8400,8.9900,8.6000,8.9200,1209500
2020-01-07,9.1100,9.1200,8.8600,8.8600,1181800
2020-01-06,9.1800,9.3300,9.0600,9.0600,991500
2020-01-03,9.1000,9.2500,9.0200,9.2500,1333100
2020-01-02,9.0100,9.2800,9.0100,9.1800,859200
2019-12-30,8.9600,9.1300,8.9000,9.1200,775800
2019-12-27,9.2800,9.3300,8.9100,9.0100,1122300
2019-12-26,8.9700,9.2500,8.9700,9.1900,1464300
2019-12-23,8.8900,9.0800,8.7100,8.9900,1247600
2019-12-20,8.8900,9.0500,8.7700,8.8100,1184900
2019-12-19,8.6200,9.1900,8.5700,8.8900,1810900
2019-12-18,8.3800,8.6700,8.2900,8.5800,2809100
2019-12-17,8.3200,8.4600,8.2800,8.3800,1171100
2019-12-16,7.9900,8.3200,7.9600,8.3000,1878400
2019-12-13,7.9500,7.9900,7.8700,7.9600,3732800
2019-12-12,7.8500,7.9500,7.7900,7.9000,1768500
2019-12-11,7.6600,7.8500,7.6300,7.8500,1604200
2019-12-10,7.6700,7.7200,7.5400,7.6500,1286500
2019-12-09,7.5800,7.6900,7.5600,7.6500,1373500
