timestamp,open,high,low,close,volume
2020-01-30,11.8000,11.8600,11.3300,11.8000,474800
2020-01-29,12.4800,12.4800,11.7800,12.1000,496700
2020-01-28,12.2800,12.5700,12.1300,12.2100,344300
2020-01-27,12.5100,12.7600,12.0000,12.3600,560300
2020-01-23,12.9500,13.1000,12.6100,13.0700,379700
2020-01-22,13.1300,13.4600,12.5800,12.9500,568500
2020-01-21,13.5300,13.7200,13.1200,13.1500,464600
2020-01-20,14.1400,14.4000,13.3800,13.6700,1140700
2020-01-17,12.4700,13.8500,12.4300,13.8500,1735100
2020-01-16,13.1000,13.2000,12.4300,12.5000,1326000
2020-01-15,13.3900,13.6100,12.8300,13.1800,1211800
2020-01-14,14.4000,14.4000,13.6800,13.8000,726900
2020-01-13,14.1700,14.5500,13.9700,14.3900,767300
2020-01-10,14.7400,14.7400,13.7000,14.2500,821800
2020-01-09,15.6200,15.9300,14.1100,14.5500,976900
2020-01-08,15.6300,15.9800,15.2000,15.6000,733900
2020-01-07,14.5000,15.6100,14.5000,15.4900,686800
2020-01-06,14.0800,14.4900,13.8900,14.3500,684100
2020-01-03,13.0000,14.0100,12.6700,14.0100,724600
2020-01-02,12.6000,13.2700,12.5900,13.0200,832200
2019-12-30,12.4000,12.4000,12.0600,12.0700,147300
2019-12-27,12.5000,12.6500,12.1400,12.1900,264300
2019-12-26,11.8800,12.4600,11.8800,12.4500,408500
2019-12-23,11.9200,12.1300,11.7500,11.8800,307800
2019-12-20,11.9600,12.3900,11.7500,11.9200,542300
2019-12-19,11.3000,11.9500,11.3000,11.9400,478000
2019-12-18,10.8600,11.3800,10.8600,11.3000,444500
2019-12-17,10.8700,11.2900,10.4500,10.8000,370000
2019-12-16,10.7600,11.4400,10.6400,10.8300,650300
2019-12-13,10.4000,10.9000,10.3300,10.5900,528900
2019-12-12,10.1200,10.4000,10.1100,10.3800,341100
2019-12-11,9.9100,10.6000,9.9100,10.0300,354500
2019-12-10,9.9900,10.0700,9.7300,9.9000,200500
2019-12-09,9.9200,10.7600,9.5900,10.0400,779600
2019-12-06,9.1500,10.0000,9.1500,10.0000,586600
2019-12-05,8.8100,9.4800,8.6000,9.0900,788100
2019-12-04,7.8700,9.0800,7.8100,9.0000,701200
2019-12-03,7.9900,7.9900,7.7600,7.8400,118600
2019-12-02,7.7400,7.9300,7.6100,7.8500,136500
2019-11-29,7.7900,7.8500,7.5900,7.7000,117200
2019-11-28,7.8900,7.9600,7.7000,7.7200,93200
2019-11-27,8.0000,8.0000,7.7300,7.8900,168900
2019-11-26,8.1600,8.1600,7.8500,7.9500,156900
2019-11-25,8.1000,8.3000,7.8700,8.0300,285400
2019-11-22,7.6200,8.1200,7.5300,8.1200,417600
2019-11-21,7.6000,7.7000,7.4800,7.6000,277300
2019-11-19,7.5200,7.6500,7.4500,7.6500,108700
2019-11-18,7.7200,7.7600,7.5200,7.5200,115000
2019-11-14,7.2200,7.7200,7.2200,7.7200,379200
2019-11-13,7.2200,7.3900,7.1900,7.3000,119900
2019-11-12,7.3000,7.3600,7.1100,7.2000,153900
2019-11-11,7.3800,7.4300,7.3000,7.3200,141000
2019-11-08,7.3000,7.5000,7.1900,7.3900,256600
2019-11-07,7.1800,7.5400,6.9400,7.3400,464100
2019-11-06,6.8300,7.2500,6.8100,7.1000,504300
2019-11-05,6.7100,6.7400,6.6500,6.7200,69800
2019-11-04,6.7000,6.7700,6.6400,6.7100,106300
2019-11-01,6.5900,6.6900,6.5400,6.6800,98300
2019-10-31,6.4000,6.5900,6.3400,6.5400,102600
2019-10-30,6.3700,6.4400,6.3300,6.4200,33700
2019-10-29,6.3800,6.3800,6.3400,6.3800,32200
2019-10-28,6.5100,6.5100,6.3600,6.3600,59100
2019-10-25,6.4100,6.5100,6.4100,6.4200,69300
2019-10-24,6.3900,6.4400,6.3500,6.4100,32900
2019-10-23,6.3500,6.4500,6.3400,6.4500,56100
2019-10-22,6.3700,6.4000,6.3400,6.3800,36900
2019-10-21,6.3600,6.4000,6.2700,6.3000,80700
2019-10-18,6.4000,6.4000,6.3000,6.3700,47800
2019-10-17,6.3000,6.3800,6.2200,6.3700,83700
2019-10-16,6.2700,6.3200,6.1700,6.3100,55700
2019-10-15,6.2600,6.3000,6.2200,6.2700,41700
2019-10-14,6.3000,6.3400,6.2700,6.2700,27200
2019-10-11,6.2500,6.3000,6.2500,6.2800,27900
2019-10-10,6.2600,6.3300,6.1800,6.2400,33000
2019-10-09,6.1900,6.3100,6.1800,6.3000,41400
2019-10-08,6.3100,6.3300,6.1700,6.1900,63500
2019-10-07,6.5200,6.5200,6.2500,6.2900,37500
2019-10-04,6.5000,6.5500,6.4000,6.5500,36200
2019-10-03,6.4900,6.5000,6.4300,6.4400,25000
2019-10-02,6.5000,6.5200,6.3600,6.4300,85200
2019-10-01,6.3300,6.5400,6.3300,6.5300,97800
2019-09-30,6.4100,6.4300,6.3400,6.4000,50000
2019-09-27,6.4600,6.4800,6.3600,6.3600,23500
2019-09-26,6.3400,6.5000,6.3300,6.4900,42700
2019-09-25,6.4800,6.5000,6.3100,6.4200,60900
2019-09-24,6.5600,6.6000,6.4600,6.5200,26400
2019-09-23,6.4600,6.6200,6.4600,6.5300,34200
2019-09-20,6.5200,6.5600,6.4400,6.5600,30500
2019-09-19,6.5800,6.6500,6.4300,6.5300,82900
2019-09-18,6.6000,6.6000,6.4800,6.6000,46700
2019-09-17,6.4900,6.5700,6.4400,6.5700,58900
2019-09-16,6.5700,6.5700,6.4300,6.4300,43900
2019-09-13,6.8000,6.8000,6.5900,6.5900,71500
2019-09-12,6.5900,6.8000,6.5500,6.8000,114400
2019-09-11,6.4400,6.5700,6.4400,6.5600,66200
2019-09-10,6.4600,6.5000,6.3000,6.4100,72600
2019-09-09,6.4200,6.4800,6.4100,6.4600,65100
2019-09-06,6.4000,6.4800,6.3000,6.4500,49600
2019-09-05,6.2800,6.3900,6.2800,6.3600,35100
2019-09-04,6.2700,6.2800,6.2300,6.2700,37600
2019-09-03,6.2000,6.2900,6.2000,6.2500,35800
2019-09-02,6.2700,6.2900,6.1300,6.2100,143000
2019-08-30,6.3300,6.4400,6.2200,6.2700,88400
2019-08-29,6.2600,6.3300,6.1900,6.3300,78300
2019-08-28,6.0200,6.2700,5.9700,6.2700,62800
2019-08-27,6.0900,6.1000,5.9500,6.0100,64700
2019-08-26,6.2100,6.2700,5.9500,6.0100,125200
2019-08-23,6.3200,6.3200,6.2000,6.2200,70200
2019-08-22,6.3500,6.3500,6.2700,6.3300,54100
2019-08-21,6.3600,6.3700,6.2500,6.3500,63000
2019-08-20,6.4300,6.4300,6.2500,6.3600,69600
2019-08-19,6.4100,6.5400,6.3200,6.4300,55800
2019-08-16,6.4000,6.4300,6.2400,6.4300,79700
2019-08-15,6.3900,6.4500,6.2100,6.3600,109600
2019-08-14,6.6500,6.6800,6.4000,6.4300,97700
2019-08-13,6.5500,6.7400,6.5000,6.6500,119700
2019-08-12,6.4200,6.5800,6.4200,6.5400,101400
2019-08-09,6.4400,6.4900,6.4200,6.4500,61800
2019-08-08,6.4200,6.5500,6.3700,6.4200,84900
2019-08-07,6.4400,6.6200,6.3600,6.4300,141700
2019-08-06,6.2900,6.4300,6.2900,6.4000,54200
2019-08-05,6.4800,6.4800,6.3500,6.3900,94800
2019-08-02,6.3600,6.4500,6.2000,6.3700,91700
2019-08-01,6.6100,6.6100,6.3900,6.3900,86900
2019-07-31,6.6000,6.6200,6.4300,6.4300,83200
2019-07-30,6.3600,6.6000,6.3400,6.6000,62300
2019-07-29,6.3100,6.4800,6.3100,6.3600,41500
2019-07-26,6.4100,6.4800,6.3200,6.3200,82800
2019-07-25,6.4600,6.5000,6.4000,6.4100,28300
2019-07-24,6.4600,6.5000,6.3800,6.4600,46000
2019-07-23,6.3600,6.4700,6.3500,6.4600,76700
2019-07-22,6.5200,6.5200,6.3600,6.3600,114200
2019-07-19,6.6400,6.6600,6.5100,6.5200,84200
2019-07-18,6.7000,6.7300,6.5200,6.6500,86200
2019-07-17,6.7900,6.7900,6.6600,6.7100,36900
2019-07-16,6.7100,6.7300,6.6600,6.7000,53200
2019-07-15,6.9000,6.9000,6.6800,6.7200,65500
2019-07-12,6.8300,6.8900,6.7400,6.8100,87300
