timestamp,open,high,low,close,volume
2020-01-30,10.5700,10.5700,10.0300,10.2400,26500
2020-01-29,10.7000,10.9000,10.4000,10.5700,35900
2020-01-28,10.8700,10.9000,10.3000,10.9000,36300
2020-01-27,10.6000,11.0900,10.6000,10.8900,34000
2020-01-23,11.0000,11.2700,10.9500,11.2700,24400
2020-01-22,11.2100,11.3800,10.9000,10.9000,33000
2020-01-21,11.4500,11.5000,11.1500,11.1500,57500
2020-01-20,11.3400,11.5500,11.3400,11.4500,59100
2020-01-17,10.8900,11.3700,10.8900,11.2000,67800
2020-01-16,11.0000,11.0400,10.8300,10.9900,16500
2020-01-15,10.7000,11.0900,10.7000,10.8300,26800
2020-01-14,10.8000,10.8400,10.5300,10.7700,16400
2020-01-13,10.9500,11.2700,10.3100,10.8000,53100
2020-01-10,10.7100,11.0000,10.6600,10.8500,41000
2020-01-09,10.6200,10.7600,10.5300,10.6600,36600
2020-01-08,10.6900,10.7900,10.5300,10.5300,27100
2020-01-07,10.1900,10.4700,10.0700,10.4600,42300
2020-01-06,10.1900,10.2000,9.9900,10.1900,19900
2020-01-03,10.1800,10.3200,10.0200,10.0300,31200
2020-01-02,10.0600,10.1100,9.9400,10.0400,20100
2019-12-30,10.0900,10.1000,9.9600,9.9900,5000
2019-12-27,10.0200,10.0900,9.9000,9.9000,12200
2019-12-26,10.1500,10.1700,9.9700,9.9800,34000
2019-12-23,9.9700,10.1000,9.9400,9.9800,30600
2019-12-20,9.9400,10.0900,9.8500,9.9700,13400
2019-12-19,10.0900,10.1000,9.8000,9.8200,16900
2019-12-18,9.5100,10.2300,9.4000,9.9300,60400
2019-12-17,9.8700,10.0000,9.5000,9.5000,35000
2019-12-16,9.5800,9.8500,9.4800,9.8000,57900
2019-12-13,9.3800,9.6000,9.3000,9.3400,20700
2019-12-12,9.3000,9.4000,9.1700,9.3500,14100
2019-12-11,9.2000,9.2800,8.9800,9.1500,41200
2019-12-10,8.8900,9.2000,8.8800,9.2000,39600
2019-12-09,8.6500,8.9000,8.6400,8.8500,25500
2019-12-06,8.5000,8.6500,8.5000,8.5200,30700
2019-12-05,8.4000,8.7400,8.4000,8.5000,33500
2019-12-04,8.4500,8.5000,8.3500,8.3500,24400
2019-12-03,8.6400,8.6400,8.3600,8.3700,17200
2019-12-02,8.6900,8.8900,8.5000,8.5000,28200
2019-11-29,8.5100,8.6800,8.2100,8.6800,28400
2019-11-28,8.6500,8.6500,8.5000,8.5100,7000
2019-11-27,8.6600,8.7700,8.5000,8.6100,25000
2019-11-26,8.6400,8.7900,8.5500,8.6200,11800
2019-11-25,8.7200,8.7500,8.6500,8.7000,18100
2019-11-22,8.6800,8.8000,8.6800,8.7400,16200
