timestamp,open,high,low,close,volume
2020-01-30,7.2200,7.2200,6.5100,7.2000,126700
2020-01-29,7.4100,7.4100,7.2500,7.3100,30000
2020-01-28,7.1500,7.5600,7.0700,7.3900,78200
2020-01-27,7.3000,7.3800,7.0600,7.1900,44900
2020-01-23,7.7400,7.8200,7.4800,7.5000,120600
2020-01-22,7.7900,8.0000,7.5700,7.7000,270900
2020-01-21,7.2000,7.9300,7.2000,7.6000,522800
2020-01-20,7.0100,7.1900,7.0100,7.1300,30500
2020-01-17,6.9600,7.2000,6.8400,7.1000,110700
2020-01-16,7.2800,7.3900,6.7400,6.9900,179600
2020-01-15,7.2000,7.2900,6.9100,7.2400,50200
2020-01-14,7.1200,7.4000,7.1200,7.1900,90800
2020-01-13,6.9300,7.1100,6.9300,7.0600,81600
2020-01-10,6.9900,7.0400,6.4300,6.9200,198400
2020-01-09,6.9400,6.9900,6.8500,6.8600,61700
2020-01-08,6.9100,7.1100,6.8600,6.9300,101800
2020-01-07,6.8600,7.2000,6.8400,6.9000,148100
2020-01-06,6.5700,7.0400,6.5500,6.8400,96600
2020-01-03,6.4200,6.5900,6.3100,6.5600,103900
2020-01-02,6.6300,6.6400,6.4100,6.6200,31100
2019-12-30,6.5400,6.6300,6.5300,6.5800,22700
2019-12-27,6.6000,6.6000,6.4700,6.4800,31000
2019-12-26,6.6500,6.6500,6.4500,6.6000,53000
2019-12-23,6.6500,6.6800,6.5600,6.6200,50000
2019-12-20,6.4400,6.4500,6.2300,6.4500,42000
2019-12-19,6.3600,6.4900,6.2100,6.2700,170000
2019-12-18,6.1200,6.2800,6.1000,6.2700,98200
2019-12-17,6.1100,6.1400,6.0200,6.1000,43400
2019-12-16,6.1500,6.2300,6.1000,6.1000,22500
2019-12-13,6.1500,6.2400,6.1100,6.1300,25200
2019-12-12,6.3700,6.3700,6.0300,6.2700,42200
2019-12-11,6.4200,6.4900,6.1200,6.2300,40900
2019-12-10,5.9600,6.4200,5.9600,6.3600,56200
2019-12-09,5.9100,5.9600,5.7200,5.9200,49800
2019-12-06,5.5700,5.8100,5.5700,5.8100,81400
2019-12-05,5.3600,5.5800,5.3600,5.5700,44100
2019-12-04,5.3900,5.4000,5.2700,5.3600,22600
2019-12-03,5.4100,5.4100,5.3100,5.3900,13800
2019-12-02,5.3000,5.4100,5.2900,5.4100,50300
2019-11-29,5.2400,5.2900,5.1800,5.2900,39400
2019-11-28,5.2300,5.3000,5.1100,5.2100,30800
2019-11-27,5.0700,5.4800,5.0700,5.2300,110600
2019-11-26,5.0800,5.1000,5.0200,5.0900,38900
2019-11-25,5.0900,5.0900,5.0200,5.0300,20200
2019-11-22,5.0600,5.1000,5.0300,5.1000,31500
2019-11-21,5.1000,5.1000,5.0100,5.0600,39700
2019-11-19,5.0300,5.0900,5.0000,5.0800,32100
2019-11-18,5.1000,5.1000,4.9800,5.0700,49900
2019-11-14,5.0400,5.1700,4.9800,5.1000,72500
2019-11-13,5.1000,5.1300,5.0100,5.0200,38400
2019-11-12,5.0500,5.1500,5.0000,5.1300,37100
2019-11-11,4.9800,5.0500,4.9600,5.0500,14100
2019-11-08,5.0000,5.1400,4.9500,5.0500,48200
2019-11-07,5.0500,5.1000,5.0000,5.0700,20500
2019-11-06,5.0100,5.0300,4.9100,5.0300,9300
2019-11-05,5.0600,5.0600,5.0000,5.0100,34600
2019-11-04,5.0700,5.1000,5.0200,5.1000,24800
2019-11-01,4.9700,5.0800,4.9700,5.0200,19900
2019-10-31,5.0700,5.0800,4.9600,5.0800,10100
2019-10-30,4.8900,5.0900,4.8900,5.0900,7800
2019-10-29,5.0100,5.0900,4.9700,5.0000,26500
2019-10-28,5.1000,5.1800,5.0500,5.0500,14100
2019-10-25,5.1100,5.1500,5.0100,5.0800,72200
2019-10-24,5.0900,5.1200,4.9500,5.1200,65600
2019-10-23,4.8900,5.1100,4.8900,5.0400,87700
2019-10-22,4.8300,4.9000,4.8300,4.8600,8600
2019-10-21,4.8000,4.8600,4.7600,4.8600,3600
2019-10-18,4.8000,4.8000,4.7300,4.7600,5500
2019-10-17,4.8000,4.8000,4.7000,4.7000,28500
2019-10-16,4.8100,4.9200,4.7900,4.7900,11000
2019-10-15,4.9000,4.9000,4.7600,4.8500,20200
2019-10-14,4.9400,4.9400,4.7800,4.9000,20000
2019-10-11,4.9800,5.0200,4.8400,4.9000,15400
2019-10-10,4.9000,4.9000,4.7700,4.8000,18500
2019-10-09,5.0500,5.1900,4.8800,4.9000,50100
2019-10-08,4.8900,5.3000,4.8000,4.8800,164500
2019-10-07,4.6500,4.9100,4.6500,4.8800,44600
2019-10-04,4.7100,4.7200,4.6700,4.7200,9100
2019-10-03,4.7200,4.7200,4.6100,4.7200,10800
2019-10-02,4.7000,4.7400,4.6100,4.7400,19000
2019-10-01,4.7500,4.7500,4.6200,4.7500,28500
2019-09-30,4.7800,4.7900,4.6700,4.6700,32300
2019-09-27,4.8500,4.8500,4.6200,4.6600,43700
2019-09-26,4.8500,4.9400,4.7400,4.7500,93200
2019-09-25,4.8400,4.9800,4.7200,4.8500,109600
2019-09-24,5.3000,5.3800,4.7000,4.7700,424100
2019-09-23,4.7400,5.6000,4.6900,5.1400,1062600
2019-09-20,4.8400,4.8400,4.6900,4.6900,14700
2019-09-19,4.6500,4.7500,4.6300,4.6900,131700
2019-09-18,4.5900,4.6900,4.5200,4.6200,41000
2019-09-17,4.6600,4.6700,4.5600,4.6600,6500
2019-09-16,4.6000,4.7000,4.5300,4.6900,2600
2019-09-13,4.6200,4.7000,4.6000,4.6000,21300
2019-09-12,4.7100,4.7100,4.6300,4.6300,5600
2019-09-11,4.7000,4.7500,4.6500,4.6500,9800
2019-09-10,4.7000,4.7000,4.6800,4.6900,9400
2019-09-09,4.6300,4.7500,4.6300,4.7000,21300
2019-09-06,4.7500,4.7500,4.6200,4.6900,40900
2019-09-05,4.7600,4.7800,4.7000,4.7000,22400
2019-09-04,4.7600,4.8600,4.7500,4.8400,4600
2019-09-03,4.7600,4.7600,4.7500,4.7500,12100
2019-09-02,4.8900,4.8900,4.7400,4.7500,18000
2019-08-30,4.8900,4.9300,4.8000,4.8900,14100
2019-08-29,4.7500,4.8000,4.7300,4.8000,5200
2019-08-28,4.5600,4.7200,4.5600,4.7200,3300
2019-08-27,4.7400,4.7400,4.5500,4.7000,10800
2019-08-26,4.7400,4.7400,4.5000,4.6300,13400
2019-08-23,4.6100,4.7000,4.4500,4.5200,65000
2019-08-22,4.7500,4.7500,4.6600,4.7200,12600
2019-08-21,4.7200,4.7300,4.6500,4.7200,10100
2019-08-20,4.7000,4.7200,4.5800,4.6900,12500
2019-08-19,4.8500,4.8500,4.6100,4.7000,13500
2019-08-16,4.8900,4.8900,4.7000,4.7800,15900
2019-08-15,4.9000,4.9000,4.6600,4.8400,34300
2019-08-14,4.9200,4.9200,4.8000,4.9000,55100
2019-08-13,5.0000,5.0000,4.9000,4.9700,50000
2019-08-12,5.0100,5.0200,4.9500,4.9500,30300
2019-08-09,4.9900,5.0200,4.8100,5.0200,206400
2019-08-08,4.9000,4.9200,4.8500,4.9200,13400
2019-08-07,4.8100,4.9300,4.7800,4.9000,11600
2019-08-06,4.8600,4.9600,4.8100,4.8100,12900
2019-08-05,4.8900,4.9900,4.8500,4.8500,12300
2019-08-02,5.0100,5.0200,4.9300,4.9900,6800
2019-08-01,4.9100,5.0500,4.9100,5.0200,10000
2019-07-31,4.9900,5.0000,4.9000,4.9000,10800
2019-07-30,4.9800,5.0800,4.6000,5.0300,17500
