timestamp,open,high,low,close,volume
2020-01-30,7.8200,7.8200,7.4000,7.5000,167000
2020-01-29,8.4000,8.4000,7.8100,7.9100,36500
2020-01-28,8.0500,8.3900,8.0400,8.2800,46100
2020-01-27,8.2000,8.4700,7.9100,8.1800,65000
2020-01-23,8.2800,8.3500,7.9800,8.3500,95100
2020-01-22,8.4100,8.4100,8.2400,8.2500,52500
2020-01-21,8.5100,8.5300,8.3000,8.4000,72200
2020-01-20,8.4000,8.6000,8.3800,8.5000,67200
2020-01-17,8.2600,8.5400,8.2400,8.4100,59200
2020-01-16,8.4500,8.6300,8.1600,8.4600,85800
2020-01-15,8.2500,8.6500,8.2000,8.4500,135100
2020-01-14,8.3000,8.3000,8.1100,8.2500,98000
2020-01-13,8.3000,8.3700,8.1700,8.3000,105500
2020-01-10,8.5200,8.5200,8.1800,8.3000,94000
2020-01-09,8.6500,8.8000,8.2600,8.4500,66100
2020-01-08,8.3500,8.6800,8.3000,8.5300,194300
2020-01-07,7.9700,8.3700,7.9700,8.3500,117000
2020-01-06,8.1500,8.2500,7.8100,7.9000,68200
2020-01-03,8.2500,8.2900,8.0800,8.1500,140700
2020-01-02,8.3200,8.4900,8.1300,8.3500,127000
2019-12-30,8.2000,8.5800,8.1900,8.2500,175000
2019-12-27,7.4700,8.1700,7.4700,7.9200,231800
2019-12-26,7.4500,7.6400,7.4500,7.4700,130700
2019-12-23,7.6700,7.8100,7.3600,7.4100,124500
2019-12-20,7.5000,7.8200,7.2500,7.6000,528000
2019-12-19,8.2500,9.3400,7.1100,7.5000,2399200
2019-12-18,7.4000,8.4800,7.3000,8.1800,1020600
2019-12-17,6.8500,7.4200,6.8500,7.2500,501200
2019-12-16,6.6300,6.9800,6.5200,6.7200,216300
2019-12-13,6.6500,6.6500,6.4500,6.6200,67000
2019-12-12,6.7000,6.7000,6.4400,6.5600,52000
2019-12-11,6.5400,6.7700,6.4200,6.5900,43600
2019-12-10,6.4300,6.5800,6.4200,6.5500,25500
2019-12-09,6.7000,6.8800,6.5200,6.6100,54700
2019-12-06,6.3600,6.6500,6.2900,6.5200,94500
2019-12-05,6.4700,6.5100,6.3400,6.4000,75700
2019-12-04,6.4900,6.6000,6.2000,6.4900,97100
2019-12-03,6.3900,6.7900,6.3000,6.4700,91400
2019-12-02,6.4700,6.5000,6.2500,6.2600,73200
2019-11-29,6.5800,6.9900,6.1100,6.2500,315000
2019-11-28,6.5000,6.5000,6.2500,6.4400,56600
2019-11-27,6.5000,6.6200,6.1200,6.5000,76200
2019-11-26,6.3800,6.6000,6.2700,6.4300,206800
2019-11-25,6.1000,6.5100,6.1000,6.3800,133500
2019-11-22,5.7100,6.1000,5.7100,6.1000,103400
2019-11-21,5.9800,6.0000,5.7000,5.7000,111300
2019-11-19,6.0000,6.1200,5.6300,5.8400,80100
2019-11-18,6.1200,6.1700,5.8200,5.9900,92300
2019-11-14,5.7600,6.3200,5.6700,6.1800,299400
2019-11-13,5.3000,5.7600,5.0800,5.7600,363800
2019-11-12,5.1400,5.1500,5.0500,5.1400,16900
2019-11-11,5.1400,5.2000,4.9400,5.2000,18900
2019-11-08,5.1300,5.1500,5.0000,5.1400,46100
2019-11-07,5.1500,5.1600,4.9300,5.0800,66800
2019-11-06,4.6000,5.1500,4.5500,5.1500,1545700
2019-11-05,4.8100,4.8200,4.6500,4.7000,6800
2019-11-04,4.6400,4.8200,4.6000,4.7500,68100
2019-11-01,4.5200,4.6400,4.5000,4.6000,22700
2019-10-31,4.6000,4.6300,4.5000,4.5000,9400
2019-10-30,4.4900,4.7000,4.4700,4.6500,29300
2019-10-29,4.6000,4.6000,4.4000,4.4500,61100
2019-10-28,4.5000,4.5700,4.4800,4.5600,16400
2019-10-25,4.5000,4.6000,4.4500,4.5400,30800
2019-10-24,4.4600,4.5100,4.4600,4.4900,9500
2019-10-23,4.4600,4.5400,4.4500,4.4500,11400
2019-10-22,4.4300,4.5200,4.4300,4.4800,40800
2019-10-21,4.5000,4.5100,4.4200,4.4200,27500
2019-10-18,4.5000,4.5500,4.4600,4.5200,23000
2019-10-17,4.6000,4.6200,4.4600,4.5700,33000
2019-10-16,4.6000,4.6000,4.5300,4.5400,7500
2019-10-15,4.6400,4.6400,4.5500,4.5500,16000
2019-10-14,4.5900,4.6400,4.5500,4.5900,4400
2019-10-11,4.5000,4.6500,4.5000,4.5900,4100
2019-10-10,4.5200,4.6000,4.4600,4.5000,13800
2019-10-09,4.5400,4.6500,4.5100,4.5100,22000
2019-10-08,4.5900,4.5900,4.4800,4.5400,28400
2019-10-07,4.6800,4.6800,4.5400,4.5500,9100
2019-10-04,4.6200,4.6400,4.6000,4.6000,9000
2019-10-03,4.6200,4.6500,4.5200,4.5700,39100
2019-10-02,4.7000,4.7100,4.6000,4.6100,35100
2019-10-01,4.6100,4.7200,4.6100,4.7000,21800
2019-09-30,4.7100,4.8000,4.6000,4.6000,81100
2019-09-27,4.7400,4.8000,4.6700,4.8000,22800
2019-09-26,4.6400,4.7500,4.6400,4.7400,15400
2019-09-25,4.6900,4.7200,4.6300,4.6500,15200
2019-09-24,4.7500,4.7800,4.6900,4.6900,27500
2019-09-23,4.8000,4.8000,4.7000,4.7500,4900
2019-09-20,4.7200,4.7800,4.7000,4.7800,6500
2019-09-19,4.7200,4.9000,4.7200,4.7200,24600
2019-09-18,4.7700,4.7800,4.6800,4.7500,4000
2019-09-17,4.6900,4.7900,4.6500,4.6900,43800
2019-09-16,4.7700,4.7700,4.6700,4.6800,33000
2019-09-13,4.8200,4.8500,4.7400,4.7400,26200
2019-09-12,4.8100,4.8800,4.7100,4.7800,52700
2019-09-11,5.0400,5.0500,4.7800,4.7800,67600
2019-09-10,4.9300,5.0500,4.8900,5.0300,17900
2019-09-09,4.9200,4.9500,4.8700,4.9300,26400
2019-09-06,5.0500,5.0500,4.9000,4.9000,7500
2019-09-05,4.8500,5.0400,4.8000,5.0100,37800
2019-09-04,4.9600,4.9600,4.7800,4.8800,81000
2019-09-03,4.8500,4.9500,4.7700,4.9300,67000
2019-09-02,4.9500,5.0200,4.7800,4.7800,52200
2019-08-30,4.9800,5.0400,4.8100,4.8500,27600
2019-08-29,4.7000,4.9900,4.6600,4.9900,30900
2019-08-28,4.6000,4.7000,4.6000,4.6900,6800
2019-08-27,4.8000,4.8000,4.6000,4.6000,26500
2019-08-26,4.8100,4.8400,4.6500,4.6500,15300
2019-08-23,4.8100,4.9000,4.7200,4.8300,23500
2019-08-22,5.0500,5.0500,4.8000,4.8000,25800
2019-08-21,4.7200,5.1100,4.7200,4.9900,22800
2019-08-20,5.0700,5.0700,4.6800,4.8400,49500
2019-08-19,4.9000,5.0200,4.9000,4.9100,13900
2019-08-16,5.0200,5.0600,4.7300,4.8500,52500
2019-08-15,5.2500,5.3000,4.9500,5.0000,62000
2019-08-14,5.2300,5.3000,5.0000,5.0000,63900
2019-08-13,5.1900,5.3400,5.1900,5.2700,38900
2019-08-12,5.3700,5.3800,5.0500,5.1800,38700
2019-08-09,5.2800,5.3800,5.2200,5.3800,34200
2019-08-08,5.1900,5.3500,5.1900,5.2500,27900
2019-08-07,5.3000,5.3200,5.1100,5.2200,33800
2019-08-06,5.1800,5.2900,5.1800,5.2500,28800
2019-08-05,5.2900,5.2900,5.1000,5.1800,77900
2019-08-02,5.1300,5.3700,5.0600,5.1400,46400
2019-08-01,4.8800,5.2000,4.8500,5.0800,48200
2019-07-31,5.0300,5.0400,4.9300,4.9500,42700
2019-07-30,4.8600,5.0500,4.8600,5.0300,21400
2019-07-29,4.9100,5.0200,4.9000,4.9000,12300
2019-07-26,5.0500,5.0500,4.8400,4.9100,6100
2019-07-25,5.0900,5.0900,4.8300,4.8300,21600
2019-07-24,4.8700,5.1000,4.8700,5.0100,23000
2019-07-23,4.9000,4.9800,4.8500,4.8600,17500
2019-07-22,5.1500,5.1500,4.8700,4.8700,24600
2019-07-19,5.0000,5.2900,5.0000,5.1500,20700
2019-07-18,4.9500,5.0800,4.8100,5.0800,58900
2019-07-17,4.6900,5.0500,4.6900,4.8700,53800
2019-07-16,4.8700,4.8700,4.6600,4.6600,73600
2019-07-15,4.9100,4.9300,4.8200,4.8500,60900
2019-07-12,5.0000,5.0900,4.8600,5.0000,42300
2019-07-11,5.1100,5.1900,4.9000,4.9600,24600
2019-07-10,5.2900,5.3100,5.0000,5.1700,37200
2019-07-08,5.3900,5.3900,5.1000,5.1000,78700
2019-07-05,4.8400,5.4000,4.8100,5.3900,124000
2019-07-04,5.0100,5.0100,4.8700,4.8700,59100
2019-07-03,5.0000,5.0800,4.8700,5.0000,18900
2019-07-02,4.9100,5.0800,4.8400,4.9400,162700
2019-07-01,4.9000,5.1000,4.7500,4.9000,128600
2019-06-28,4.7200,5.0000,4.5500,4.8400,95300
2019-06-27,4.3300,4.6900,4.3300,4.6900,119200
