timestamp,open,high,low,close,volume
2020-01-30,8.1100,8.1500,7.7700,8.1500,10100
2020-01-29,8.2900,8.2900,8.1100,8.1500,6600
2020-01-28,8.3000,8.3500,8.1200,8.1200,15100
2020-01-27,8.6400,8.6500,8.1100,8.1100,15300
2020-01-23,9.0700,9.0700,8.7100,8.8000,10300
2020-01-22,9.0000,9.1000,8.7500,9.0000,28100
2020-01-21,9.2000,9.4300,9.1400,9.2100,16300
2020-01-20,9.4300,9.4300,9.0700,9.1700,9700
2020-01-17,9.5900,9.8300,9.3500,9.4500,9500
2020-01-16,9.9000,9.9000,9.3000,9.3100,11400
2020-01-15,9.8100,10.0900,9.8100,9.8400,6700
2020-01-14,10.0000,10.3900,9.7300,9.8000,29900
2020-01-13,10.3500,10.5800,9.4800,10.2400,62200
2020-01-10,11.1000,11.5000,10.1100,10.3500,51400
2020-01-09,9.4600,11.4000,9.4600,11.1000,140400
2020-01-08,9.4800,9.5000,8.9700,9.4300,36200
2020-01-07,8.8100,9.4900,8.8100,9.4000,53500
2020-01-06,8.2900,8.7500,8.2900,8.7400,38500
2020-01-03,7.7700,8.2800,7.7500,8.2700,42400
2020-01-02,7.9200,7.9500,7.7300,7.7400,4900
2019-12-30,7.9200,8.1000,7.7600,7.7600,6900
2019-12-27,7.9200,8.0000,7.9100,7.9100,7600
2019-12-26,7.9800,8.2000,7.8200,7.8800,17500
2019-12-23,8.0000,8.3000,7.7500,7.9900,21600
2019-12-20,8.0700,8.9900,7.3500,7.6100,58900
2019-12-19,7.5000,8.5000,7.5000,7.9300,50800
2019-12-18,7.5400,7.5400,7.3000,7.3000,6700
2019-12-17,7.1200,7.5700,7.1200,7.5700,11500
2019-12-16,7.5700,7.5700,7.1200,7.1200,15500
2019-12-13,7.6000,7.6200,7.2000,7.4500,13300
2019-12-12,7.4200,7.7500,7.2800,7.4700,13700
2019-12-11,7.5000,7.5000,7.2000,7.2300,9300
2019-12-10,7.6900,7.7100,7.1600,7.5000,13500
2019-12-09,7.3100,7.6900,7.1000,7.2400,13600
2019-12-06,7.4000,7.5400,7.2900,7.2900,16900
2019-12-05,7.1900,7.3400,7.1400,7.3000,9800
2019-12-04,7.1300,7.3500,7.1100,7.3100,3000
2019-12-03,7.3800,7.3800,7.1000,7.1100,6200
2019-12-02,7.3700,7.4300,7.1600,7.3500,12200
2019-11-29,7.5500,7.7000,7.3500,7.4300,7300
2019-11-28,7.6700,7.6700,7.4000,7.5000,9800
2019-11-27,7.6300,7.6900,7.2100,7.4900,17600
2019-11-26,7.7000,7.7900,7.4000,7.5200,19200
2019-11-25,7.6500,7.7600,7.5700,7.6100,11100
2019-11-22,7.6400,7.7700,7.6400,7.7700,3500
2019-11-21,7.7600,7.8000,7.6100,7.8000,4700
2019-11-19,7.8000,7.8000,7.7000,7.7900,3400
2019-11-18,7.9800,8.0000,7.7000,7.7100,8700
2019-11-14,7.8100,7.9700,7.6600,7.9700,6400
2019-11-13,7.8300,7.8300,7.8000,7.8000,1300
2019-11-12,8.0800,8.0800,7.8300,7.8300,1600
2019-11-11,7.8300,8.0700,7.6400,8.0200,7300
2019-11-08,8.1000,8.1500,7.8500,8.0000,7300
2019-11-07,8.0500,8.2300,7.9800,8.1000,11800
2019-11-06,8.1500,8.2500,8.1000,8.2200,10200
2019-11-05,8.4400,8.4400,8.0100,8.0100,29500
2019-11-04,8.8000,8.9800,8.4100,8.4100,17900
2019-11-01,8.7700,9.0500,8.7600,8.7600,6200
2019-10-31,8.8100,9.0000,8.7600,8.7700,12000
2019-10-30,8.5500,9.2000,8.5500,9.0000,4500
2019-10-29,9.1500,9.1500,8.7000,8.7100,8900
2019-10-28,9.5800,9.9800,9.0900,9.0900,15200
2019-10-25,10.1700,10.1700,9.6100,9.6100,6000
2019-10-24,9.7000,10.2900,9.3100,10.2900,10200
2019-10-23,10.8000,11.2000,9.6900,9.6900,71500
2019-10-22,8.6200,10.2500,8.4000,9.5000,59700
2019-10-21,8.5100,8.5800,8.2900,8.5800,2000
2019-10-18,8.2500,8.5600,8.1900,8.5100,2900
2019-10-17,8.4500,8.5900,8.3000,8.3000,2400
2019-10-16,8.3600,8.5400,8.3000,8.4900,2900
2019-10-15,8.1000,8.7400,8.1000,8.6900,15500
2019-10-14,8.1500,8.4200,8.0500,8.2200,8400
2019-10-11,8.1600,8.4000,7.9600,8.3000,22200
2019-10-10,8.2000,8.3700,7.9900,7.9900,9500
2019-10-09,8.5900,8.5900,8.1100,8.1300,4500
2019-10-08,8.1200,8.7100,8.1200,8.5900,8600
2019-10-07,8.2200,8.5900,8.2000,8.4900,4300
2019-10-04,8.6800,8.6800,8.4300,8.6800,2600
2019-10-03,8.4500,8.5600,8.4000,8.5600,3400
2019-10-02,8.3100,8.6100,8.2800,8.3000,3600
2019-10-01,8.4500,8.7200,8.4500,8.6500,900
2019-09-30,8.5200,8.7200,8.5200,8.6500,8800
2019-09-27,8.6000,8.6500,8.5000,8.6500,4900
2019-09-26,8.4300,8.6000,8.3200,8.6000,12600
2019-09-25,8.4000,8.5400,8.4000,8.4400,2700
2019-09-24,8.3800,8.5900,8.3800,8.5900,4400
2019-09-23,8.4900,8.5000,8.2000,8.2500,5500
2019-09-20,8.5200,8.8400,8.5000,8.8400,2700
2019-09-19,8.6400,8.9900,8.5200,8.5200,13800
2019-09-18,8.2500,8.5700,8.2500,8.4700,4600
2019-09-17,8.5900,8.6000,8.1400,8.4800,7100
2019-09-16,8.7000,8.8000,8.5000,8.6000,8000
2019-09-13,8.9700,9.0900,8.7000,8.8200,4200
2019-09-12,8.9900,9.0000,8.8400,8.9700,8600
2019-09-11,8.7000,9.0000,8.7000,8.9700,34100
2019-09-10,8.9300,9.0000,8.8000,8.8000,7000
2019-09-09,9.1400,9.2400,8.8900,9.0000,19700
2019-09-06,9.1500,9.6000,9.1500,9.4900,2600
2019-09-05,9.3800,9.6900,9.1000,9.1500,4800
2019-09-04,9.0500,9.5100,9.0500,9.1200,19100
2019-09-03,9.1100,9.1100,8.5500,9.0300,8700
2019-09-02,9.4100,9.4700,8.9000,9.1100,10600
2019-08-30,9.4600,9.8800,9.1600,9.5000,21400
2019-08-29,9.9200,10.5000,9.1500,9.1500,71300
2019-08-28,7.9900,9.0000,7.9900,9.0000,24700
2019-08-27,7.7200,7.9000,7.6300,7.9000,7800
2019-08-26,7.7000,7.9500,7.6500,7.7000,4300
2019-08-23,7.6000,7.7900,7.6000,7.6300,10300
2019-08-22,7.8000,7.9700,7.6000,7.9600,6100
2019-08-21,7.6100,7.9500,7.5300,7.6100,15000
2019-08-20,8.0000,8.0000,7.6500,7.9500,11300
2019-08-19,7.7100,8.1700,7.7100,8.0500,19200
2019-08-16,7.6400,7.7500,6.7500,7.7000,48500
2019-08-15,8.1500,8.1500,7.4900,7.6400,18800
2019-08-14,8.6400,8.6400,7.8600,8.1500,27900
2019-08-13,8.6300,8.6500,8.5000,8.6300,9000
2019-08-12,8.8400,8.8400,8.5400,8.6300,9700
2019-08-09,9.1800,9.1800,8.9000,8.9400,2700
2019-08-08,8.7200,9.1300,8.7200,9.0100,14200
2019-08-07,8.4900,8.8100,8.4900,8.6400,28000
2019-08-06,9.1000,9.2700,8.5300,8.7700,19000
2019-08-05,9.5000,9.5000,9.2900,9.3000,4800
2019-08-02,9.3100,9.7000,9.1800,9.7000,7800
2019-08-01,9.6500,9.7700,9.3500,9.4500,9800
2019-07-31,9.9000,9.9000,9.5000,9.8900,10100
2019-07-30,9.8000,10.2000,9.8000,9.9000,9500
2019-07-29,11.2500,11.2500,9.6000,9.7400,23100
2019-07-26,10.4200,11.9000,10.4200,10.8100,83200
2019-07-25,8.5000,10.4200,8.5000,10.1500,57700
2019-07-24,8.6400,8.7900,8.5000,8.5200,6200
2019-07-23,8.8100,8.8500,8.6100,8.6400,5300
2019-07-22,9.0000,9.0000,8.8100,8.8100,2400
2019-07-19,9.0500,9.1800,9.0000,9.0000,6100
2019-07-18,8.9400,9.4800,8.9300,9.0500,21000
2019-07-17,8.9400,8.9400,8.7700,8.8200,4700
2019-07-16,8.5300,8.8100,8.5300,8.8100,9700
2019-07-15,8.6500,8.6500,8.5300,8.5300,2700
2019-07-12,8.5600,8.7700,8.5600,8.5700,3800
2019-07-11,8.8600,8.8600,8.4800,8.4900,5500
2019-07-10,8.5300,8.9900,8.5300,8.9000,10700
2019-07-08,8.8100,9.1000,8.4000,8.4600,40300
2019-07-05,8.5000,9.0000,8.5000,8.7500,11700
2019-07-04,8.4100,8.5800,8.4100,8.5600,13800
2019-07-03,8.6900,8.6900,8.1200,8.4100,10500
2019-07-02,8.8400,8.8400,8.3400,8.4200,9200
2019-07-01,8.9000,8.9900,8.7700,8.8100,8200
2019-06-28,8.9100,8.9600,8.5000,8.5500,10100
2019-06-27,8.5000,9.1500,8.0000,8.9000,58100
2019-06-26,9.3000,9.4900,9.0800,9.0800,10700
2019-06-25,9.8400,9.8500,9.3000,9.3000,18400
2019-06-24,9.8700,9.9900,9.8300,9.9900,6800
2019-06-21,9.8600,10.1000,9.7700,9.9400,6600
2019-06-19,9.7800,9.9200,9.7500,9.8600,3200
2019-06-18,9.8000,10.0000,9.5100,9.9800,9700
2019-06-17,9.9900,9.9900,9.5000,9.8000,9600
2019-06-14,9.7900,10.0000,9.7500,10.0000,4600
2019-06-13,9.9800,10.1500,9.7800,9.8000,5900
2019-06-12,10.0000,10.0000,9.6900,9.9800,1800
2019-06-11,10.3000,10.3000,9.6000,9.9600,6500
2019-06-10,10.3100,10.3500,9.9200,10.3500,6700
2019-06-07,10.0800,10.3300,9.9600,10.3000,11300
2019-06-06,9.7100,10.6000,9.5600,9.9600,52300
2019-06-05,10.6600,10.7300,9.0000,9.4500,77700
2019-06-04,11.1500,11.1900,10.6500,10.9900,9400
2019-06-03,11.0000,11.6500,10.9200,11.1400,6500
2019-05-31,11.6700,11.7600,11.0000,11.2600,6400
2019-05-30,11.2900,11.6700,11.1000,11.6700,11800
