timestamp,open,high,low,close,volume
2020-01-30,4.1700,4.1700,3.8500,4.0900,26700
2020-01-29,4.4000,4.4000,4.1000,4.2500,29800
2020-01-28,4.3000,4.6300,4.2800,4.2900,33000
2020-01-27,4.2500,4.6500,4.2000,4.3500,19200
2020-01-23,4.4700,4.5500,4.2500,4.5000,25900
2020-01-22,4.4700,4.6900,4.3000,4.4600,49600
2020-01-21,4.9700,4.9700,4.3500,4.4500,189000
2020-01-20,4.0300,4.4200,4.0300,4.2000,34600
2020-01-17,4.1100,4.1800,4.0500,4.1000,20100
2020-01-16,4.2900,4.2900,4.1100,4.1100,10400
2020-01-15,4.0900,4.2700,4.0900,4.1300,12900
2020-01-14,4.3000,4.3000,4.1100,4.1800,19600
2020-01-13,4.2200,4.3000,4.0000,4.3000,18000
2020-01-10,4.1500,4.3000,4.0500,4.1100,15100
2020-01-09,4.3000,4.3500,4.0500,4.2200,22300
2020-01-08,4.1500,4.5000,4.1500,4.3000,50000
2020-01-07,4.0200,4.2700,4.0200,4.1100,23700
2020-01-06,4.1100,4.1100,3.9700,3.9700,5500
2020-01-03,4.0000,4.1200,3.9500,4.1100,18300
2020-01-02,4.1000,4.1500,4.0400,4.0600,16100
2019-12-30,3.9800,4.1500,3.9800,4.0000,10700
2019-12-27,4.1000,4.2500,3.9000,4.0500,21400
2019-12-26,3.6500,4.3000,3.6400,3.9000,136600
2019-12-23,3.6000,3.7700,3.5800,3.5900,11200
2019-12-20,3.6300,3.7600,3.5000,3.5000,39100
2019-12-19,3.4000,3.6900,3.4000,3.5000,55300
2019-12-18,3.3500,3.5000,3.3500,3.3800,11600
2019-12-17,3.3800,3.5500,3.3300,3.3500,32000
2019-12-16,3.4600,3.4600,3.3100,3.3100,12800
2019-12-13,3.7100,3.7800,3.4000,3.4500,79400
2019-12-12,3.7000,4.3300,3.4600,3.6500,213200
2019-12-11,3.3500,3.7500,3.2600,3.5900,139000
2019-12-10,3.2700,3.2900,3.1100,3.2300,6600
2019-12-09,3.1400,3.3200,3.1100,3.2200,18000
2019-12-06,3.1500,3.2500,3.0800,3.1000,31000
2019-12-05,3.1400,3.2000,3.0100,3.0100,29500
2019-12-04,3.0900,3.2500,3.0500,3.0700,9900
2019-12-03,3.0800,3.1400,3.0400,3.0700,8900
2019-12-02,3.2000,3.3800,3.0400,3.0800,61600
2019-11-29,3.1200,3.1900,3.0600,3.1000,1800
2019-11-28,3.1900,3.1900,3.1100,3.1400,2200
2019-11-27,3.0500,3.1500,3.0500,3.1500,5100
2019-11-26,3.1000,3.1300,3.0900,3.0900,1400
2019-11-25,3.1100,3.1500,3.1000,3.1300,7200
2019-11-22,3.1000,3.1600,3.0900,3.1100,1500
2019-11-21,3.1200,3.1200,3.0800,3.0900,2400
2019-11-19,3.0800,3.1300,3.0800,3.1300,200
2019-11-18,3.0600,3.2000,3.0300,3.0800,12200
2019-11-14,3.1500,3.2500,3.0700,3.0700,13400
2019-11-13,3.0700,3.1600,3.0600,3.0600,5800
2019-11-12,3.1500,3.1500,3.0500,3.1200,19700
2019-11-11,3.1400,3.1400,3.1100,3.1300,2500
2019-11-08,3.2100,3.2400,3.1500,3.1500,1900
2019-11-07,3.2100,3.2100,3.1000,3.2100,6400
2019-11-06,3.1400,3.2100,3.1200,3.1800,10900
2019-11-05,3.1200,3.1200,3.1000,3.1100,1500
2019-11-04,3.1400,3.1400,3.0300,3.1200,11000
2019-11-01,3.0100,3.2000,3.0100,3.1500,20900
2019-10-31,3.0400,3.0800,3.0400,3.0600,4100
2019-10-30,3.0400,3.0900,3.0400,3.0700,3500
2019-10-29,3.0500,3.1000,3.0200,3.0600,13700
2019-10-28,3.1000,3.1800,3.0200,3.1500,6900
2019-10-25,3.1200,3.1700,3.1000,3.1200,2800
2019-10-24,3.0700,3.1400,3.0500,3.1200,3500
2019-10-23,3.0600,3.1200,3.0500,3.0700,10600
2019-10-22,3.2100,3.2100,3.0600,3.0600,9900
2019-10-21,3.2200,3.2200,3.1100,3.1500,6700
2019-10-18,3.2000,3.2800,3.1500,3.1700,3300
2019-10-17,3.4400,3.4900,3.0600,3.1200,38100
2019-10-16,3.6000,3.9000,3.2900,3.2900,165400
2019-10-15,2.9400,3.0500,2.8800,3.0400,7700
2019-10-14,2.9100,3.0000,2.9100,2.9800,6400
2019-10-11,2.9500,3.0900,2.8900,2.8900,18900
2019-10-10,2.9200,2.9200,2.8500,2.8500,1600
2019-10-09,2.8400,2.9200,2.8300,2.9200,4700
2019-10-08,2.8900,2.8900,2.8300,2.8300,8100
2019-10-07,2.8600,2.8900,2.8300,2.8400,10100
2019-10-04,2.9200,3.0000,2.9000,2.9000,2800
2019-10-03,2.9900,3.0100,2.9000,2.9000,2800
2019-10-02,3.0000,3.0000,2.9200,2.9600,5500
2019-10-01,3.0500,3.0600,2.9500,3.0000,8500
2019-09-30,3.2200,3.2200,2.9400,2.9900,46600
2019-09-27,3.2300,3.5200,3.0700,3.1900,54300
2019-09-26,3.2100,3.8900,3.1300,3.1300,336100
2019-09-25,2.8800,2.8900,2.7500,2.8000,7300
2019-09-24,2.7800,2.8800,2.7800,2.8800,5200
2019-09-23,2.8600,2.9000,2.7900,2.8000,7000
2019-09-20,3.0800,3.0800,2.8100,2.8600,41800
2019-09-19,2.7800,3.2500,2.7800,2.9900,154400
2019-09-18,2.7400,2.7700,2.7300,2.7700,1200
2019-09-17,2.7300,2.8100,2.7300,2.7900,3400
2019-09-16,2.8100,2.8200,2.7100,2.7300,5600
2019-09-13,2.8000,2.8100,2.7800,2.7900,8000
2019-09-12,2.9000,2.9900,2.7400,2.7800,23600
2019-09-11,2.8800,2.8900,2.8500,2.8900,6600
2019-09-10,2.9400,2.9400,2.8000,2.9100,3200
2019-09-09,3.0000,3.0000,2.8900,2.9700,4100
2019-09-06,2.8900,2.8900,2.8500,2.8800,3900
2019-09-05,2.9400,2.9600,2.9100,2.9100,6000
2019-09-04,2.9800,3.0600,2.9200,2.9400,14400
2019-09-03,2.9900,3.0500,2.9100,2.9800,5900
2019-09-02,2.8500,3.0600,2.8500,2.9900,26900
2019-08-30,2.8400,3.2000,2.8200,2.8600,45900
2019-08-29,2.8300,2.8700,2.8100,2.8100,7300
2019-08-28,2.8000,2.8200,2.8000,2.8000,6200
2019-08-27,2.8000,2.8900,2.7700,2.7900,9000
2019-08-26,2.9000,2.9100,2.7800,2.7800,27000
2019-08-23,2.9600,3.0700,2.9000,2.9200,16800
2019-08-22,3.1300,3.2100,3.0400,3.0400,7300
2019-08-21,3.0100,3.3100,2.9300,3.0000,52600
2019-08-20,3.1000,3.1900,2.9100,2.9200,52800
2019-08-19,2.9400,3.9000,2.9400,3.3000,108000
2019-08-16,2.8700,2.9500,2.8700,2.9400,10100
2019-08-15,3.0200,3.0200,2.9000,2.9300,18600
2019-08-14,3.0200,3.0900,2.9400,3.0200,38500
2019-08-13,2.9400,3.1400,2.9200,3.0300,50400
2019-08-12,2.9800,3.0400,2.9200,2.9900,25700
2019-08-09,3.2500,3.3800,2.9400,3.0100,150400
2019-08-08,3.5500,4.1000,3.1100,3.1100,138200
2019-08-07,3.9000,4.2700,3.5200,3.5200,64200
2019-08-06,5.4700,5.6700,3.8500,3.8500,84600
2019-08-05,6.4800,6.4800,4.7500,5.0900,214700
2019-08-02,4.4100,6.8000,4.0000,6.4900,251800
2019-08-01,3.9000,4.7000,3.6000,4.4100,240700
2019-07-31,2.9500,4.2000,2.8900,3.8500,266300
2019-07-30,2.7000,2.9400,2.6900,2.8700,10600
2019-07-29,2.7400,2.8200,2.7400,2.7400,4100
2019-07-26,2.7000,2.7400,2.7000,2.7400,5300
2019-07-25,2.6700,2.6700,2.6700,2.6700,300
2019-07-24,2.6900,2.6900,2.6800,2.6800,1800
2019-07-23,2.6100,2.7300,2.6100,2.6700,10200
2019-07-22,2.6600,2.6600,2.6600,2.6600,1000
2019-07-19,2.6400,2.7000,2.6400,2.6400,3100
