timestamp,open,high,low,close,volume
2020-01-30,3.5800,3.5800,3.3000,3.4800,7500
2020-01-29,3.6900,3.7100,3.5100,3.5200,8100
2020-01-28,3.7800,3.7800,3.6700,3.6800,8200
2020-01-27,3.7700,3.8400,3.7300,3.7300,4200
2020-01-23,3.8000,3.9100,3.7500,3.9100,5600
2020-01-22,3.9100,3.9100,3.8900,3.9000,5600
2020-01-21,4.0700,4.0700,4.0000,4.0000,8100
2020-01-20,3.9300,4.1200,3.9300,4.0800,4900
2020-01-17,4.1500,4.1500,4.0000,4.0100,10400
2020-01-16,4.1200,4.1500,4.0200,4.1500,5500
2020-01-15,4.1800,4.1800,4.0500,4.1200,10500
2020-01-14,4.1500,4.2000,4.1200,4.1900,21700
2020-01-13,4.0000,4.1500,3.9800,3.9900,45800
2020-01-10,3.8600,3.9700,3.8600,3.9400,25000
2020-01-09,3.8900,3.8900,3.7000,3.7200,9100
2020-01-08,3.8100,3.8300,3.7600,3.7800,3700
2020-01-07,3.7100,3.8400,3.7100,3.7500,12200
2020-01-06,3.7200,3.8800,3.7000,3.7000,13100
2020-01-03,3.5500,3.7900,3.5500,3.7400,14100
2020-01-02,3.6000,3.7000,3.4900,3.6500,15400
2019-12-30,3.7500,3.7500,3.7300,3.7300,1500
2019-12-27,3.7600,3.8700,3.6600,3.7200,14200
2019-12-26,3.7700,3.8000,3.7500,3.7900,11000
2019-12-23,3.9500,3.9500,3.7100,3.7100,21200
2019-12-20,4.0000,4.3500,3.6200,3.7700,62600
2019-12-19,3.9600,4.4900,3.8000,3.9500,356700
2019-12-18,3.1300,4.2000,3.0500,3.8000,96300
2019-12-17,3.0600,3.1200,3.0200,3.1200,15100
2019-12-16,3.1500,3.1500,3.0500,3.0800,27000
2019-12-13,3.1600,3.1800,3.1300,3.1800,3000
2019-12-12,3.1200,3.1800,3.1000,3.1600,30700
2019-12-11,3.2800,3.4900,3.0100,3.1500,39000
2019-12-10,3.2800,3.2800,3.1200,3.1300,17200
2019-12-09,3.3000,3.3100,3.1900,3.2100,10100
2019-12-06,3.2500,3.2500,3.2100,3.2200,6400
2019-12-05,3.2600,3.3000,3.2200,3.2200,8300
2019-12-04,3.2600,3.2600,3.2400,3.2500,19900
2019-12-03,3.4900,3.4900,3.2500,3.2500,45900
2019-12-02,3.4500,3.5000,3.3900,3.4100,21400
2019-11-29,3.4000,3.4500,3.4000,3.4500,8500
2019-11-28,3.4900,3.4900,3.4000,3.4700,11800
2019-11-27,3.5500,3.5500,3.4200,3.4500,6600
2019-11-26,3.5000,3.5000,3.4200,3.4900,2100
2019-11-25,3.5300,3.5400,3.4500,3.5000,4800
2019-11-22,3.4900,3.5000,3.4500,3.4900,1300
2019-11-21,3.4600,3.5400,3.3600,3.4900,12300
2019-11-19,3.5600,3.5600,3.4600,3.4600,2800
2019-11-18,3.5000,3.5600,3.4800,3.5600,5900
2019-11-14,3.4800,3.5700,3.4700,3.5300,7100
2019-11-13,3.5000,3.5000,3.4200,3.4500,4900
2019-11-12,3.5600,3.5800,3.4700,3.5400,3500
2019-11-11,3.5800,3.5800,3.4700,3.5500,2400
2019-11-08,3.6100,3.6100,3.4800,3.4900,16800
2019-11-07,3.6000,3.6500,3.5300,3.5300,9800
2019-11-06,3.4900,3.6000,3.4700,3.6000,11500
2019-11-05,3.5300,3.5300,3.4600,3.5300,12200
2019-11-04,3.4600,3.5500,3.4400,3.5400,12200
2019-11-01,3.5100,3.5100,3.4700,3.4700,2400
2019-10-31,3.4800,3.5300,3.4400,3.5100,10000
2019-10-30,3.4500,3.5200,3.4200,3.4800,6300
2019-10-29,3.4500,3.5500,3.4200,3.5400,6700
2019-10-28,3.5100,3.5500,3.4600,3.5000,2400
2019-10-25,3.6800,3.6800,3.5000,3.6500,8000
2019-10-24,3.5900,3.7000,3.5500,3.6100,6400
2019-10-23,3.7400,3.7700,3.5700,3.6400,14800
2019-10-22,3.6700,3.7400,3.6000,3.7200,12400
2019-10-21,3.8000,3.8800,3.6500,3.6700,24300
2019-10-18,3.5400,4.2000,3.5400,3.7500,96500
2019-10-17,3.7800,3.8200,3.5000,3.5500,63300
2019-10-16,3.8500,3.8500,3.3600,3.7100,121600
2019-10-15,4.9800,4.9800,4.5100,4.6100,30600
2019-10-14,5.4000,5.4600,4.9400,4.9800,62400
2019-10-11,6.2500,6.2500,5.0700,5.2900,106000
2019-10-10,6.2500,6.2500,6.2500,6.2500,0
2019-10-09,6.2600,6.2600,6.2500,6.2500,300
2019-10-08,6.2500,6.2500,6.2500,6.2500,100
2019-10-07,6.2100,6.4100,6.2100,6.4100,2300
2019-10-04,6.1900,6.2700,6.1800,6.2700,1700
2019-10-03,6.3800,6.5000,6.3800,6.4800,1300
2019-10-02,6.2000,6.2000,6.1800,6.1800,1100
2019-10-01,6.1700,6.3000,6.1700,6.3000,500
2019-09-30,6.3200,6.3300,6.2200,6.3000,2100
2019-09-27,6.3100,6.3100,6.2700,6.2700,300
2019-09-26,6.3000,6.3000,6.2600,6.2600,300
2019-09-25,6.2500,6.2500,6.2400,6.2400,200
2019-09-24,6.3200,6.4900,6.2200,6.3000,5000
2019-09-23,6.5000,6.5000,6.2700,6.4000,3400
2019-09-20,6.4600,6.6500,6.3100,6.5200,2900
2019-09-19,6.3700,6.5800,6.3300,6.5300,3500
2019-09-18,6.4600,6.4600,6.3900,6.3900,2200
2019-09-17,6.5100,6.6000,6.5000,6.5000,700
2019-09-16,6.5200,6.5200,6.4100,6.4600,900
2019-09-13,6.5400,6.5500,6.4600,6.4600,1100
2019-09-12,6.6400,6.6400,6.6400,6.6400,0
2019-09-11,6.4800,6.6400,6.4600,6.6400,1000
2019-09-10,6.6400,6.6500,6.6400,6.6500,400
2019-09-09,6.5800,6.6300,6.3200,6.6300,4800
2019-09-06,6.7100,6.7100,6.4600,6.5900,7500
2019-09-05,6.9300,7.1200,6.8800,6.8800,2700
2019-09-04,7.0500,7.1800,7.0500,7.1800,200
2019-09-03,7.0500,7.0500,7.0500,7.0500,0
2019-09-02,6.9500,7.2500,6.9300,7.0500,9900
2019-08-30,6.9800,6.9900,6.8200,6.8200,1500
2019-08-29,6.9800,6.9900,6.9700,6.9800,3700
2019-08-28,6.7800,6.9900,6.7800,6.9500,21200
2019-08-27,6.6700,6.6700,6.6500,6.6700,600
2019-08-26,6.6800,6.7000,6.5500,6.5500,900
2019-08-23,6.5500,6.9800,6.5500,6.5500,2000
2019-08-22,6.4000,6.7700,6.2600,6.2600,4100
2019-08-21,6.1000,6.6400,6.1000,6.6400,2400
2019-08-20,6.3500,6.4900,6.0000,6.1300,5800
2019-08-19,6.5000,6.5500,6.3600,6.3600,4100
2019-08-16,6.5300,6.5800,6.0100,6.2200,6100
2019-08-15,6.6200,6.8000,6.6000,6.7100,3400
2019-08-14,6.6600,6.6800,6.6300,6.6300,2400
2019-08-13,6.7500,6.7500,6.7500,6.7500,200
2019-08-12,6.8300,6.8300,6.7500,6.7500,2400
2019-08-09,6.9200,6.9900,6.7200,6.9400,12700
2019-08-08,6.8500,6.8800,6.8500,6.8800,300
2019-08-07,6.8500,7.0000,6.8500,7.0000,1100
2019-08-06,6.9600,6.9600,6.8500,6.8500,1800
2019-08-05,6.9000,6.9100,6.9000,6.9100,1900
2019-08-02,6.9500,7.1000,6.9500,7.0800,900
2019-08-01,7.0600,7.1900,7.0000,7.0000,500
2019-07-31,6.9400,7.0600,6.9400,7.0500,1500
2019-07-30,6.9700,7.0600,6.9700,7.0600,2300
2019-07-29,6.9500,7.0500,6.8500,6.8500,5200
2019-07-26,6.8000,6.8800,6.7300,6.8800,800
2019-07-25,6.9900,7.0600,6.7500,6.7900,5000
2019-07-24,7.0800,7.1500,6.9400,6.9400,13900
2019-07-23,6.9600,6.9800,6.9600,6.9800,300
2019-07-22,6.9700,6.9900,6.9600,6.9700,1200
2019-07-19,6.9800,7.1500,6.9800,7.0300,6200
2019-07-18,7.1000,7.1000,6.9500,6.9800,1200
2019-07-17,7.0100,7.1100,6.9400,6.9800,2900
2019-07-16,6.9600,7.0000,6.9400,7.0000,1800
2019-07-15,7.1600,7.1600,6.9300,6.9500,4800
2019-07-12,7.2200,7.2200,7.1500,7.1500,800
2019-07-11,7.2200,7.2200,7.2200,7.2200,300
2019-07-10,7.1500,7.3300,7.1500,7.2200,3000
2019-07-08,7.1000,7.2900,7.1000,7.1400,1300
2019-07-05,7.1500,7.1500,7.1000,7.1000,1100
2019-07-04,7.0600,7.3700,7.0600,7.1500,4000
2019-07-03,7.3200,7.3300,7.0600,7.0600,2900
2019-07-02,7.1800,7.3500,7.1600,7.3300,6800
2019-07-01,7.0100,7.0300,6.9800,7.0300,2000
2019-06-28,6.9200,7.1800,6.9100,6.9800,7500
2019-06-27,7.0000,7.0900,7.0000,7.0000,800
2019-06-26,7.0000,7.1700,6.9800,7.1700,1000
2019-06-25,7.2400,7.2400,6.9700,6.9700,6200
2019-06-24,7.3400,7.3500,7.2300,7.2600,3000
2019-06-21,7.0500,7.3600,7.0000,7.0900,23600
2019-06-19,7.0000,7.1300,7.0000,7.1300,7800
2019-06-18,7.1900,7.1900,7.0000,7.0000,5600
2019-06-17,6.9600,7.1000,6.9600,7.0000,2800
2019-06-14,7.0000,7.0800,7.0000,7.0800,400
2019-06-13,7.0200,7.1100,7.0100,7.0100,5800
2019-06-12,7.2600,7.2600,7.2000,7.2000,3300
2019-06-11,7.5000,7.5100,7.4200,7.4500,4000
2019-06-10,7.3000,7.6000,7.3000,7.5400,5300
2019-06-07,7.1400,7.4400,7.1000,7.4400,4700
2019-06-06,7.5900,7.5900,7.2700,7.2700,9300
2019-06-05,7.7000,7.8500,7.3100,7.5000,52700
2019-06-04,10.6000,10.6000,6.8100,7.0900,113700
2019-06-03,10.3600,10.3600,10.0000,10.0200,1100
2019-05-31,10.0200,10.3800,10.0000,10.3800,15700
2019-05-30,10.0400,10.0400,10.0400,10.0400,400
2019-05-29,9.9900,10.0600,9.9900,10.0600,800
2019-05-28,10.0100,10.0500,10.0000,10.0400,3600
2019-05-27,10.3700,10.5600,10.2700,10.2700,400
2019-05-24,10.1500,10.1500,10.0200,10.0200,800
2019-05-23,10.0000,10.3000,10.0000,10.1200,3500
2019-05-22,9.9800,10.1800,9.7100,10.0000,8300
2019-05-21,10.1000,10.1000,9.9800,9.9800,1400
2019-05-20,9.9000,10.3000,9.6700,9.9800,1900
2019-05-17,9.8500,10.3400,9.8500,10.1500,2900
2019-05-16,10.0000,10.0000,9.7000,9.8500,800
2019-05-15,10.0100,10.0300,9.4000,9.9000,8700
2019-05-14,10.1600,10.2500,9.8900,9.9200,1400
2019-05-13,10.0600,10.0600,10.0600,10.0600,700
2019-05-10,10.4000,10.4000,9.7200,10.0800,6800
2019-05-09,10.5800,10.5800,10.3600,10.4000,1400
2019-05-08,10.3900,10.5900,10.2000,10.2000,3400
2019-05-07,10.5000,10.5200,10.2100,10.3600,2100
2019-05-06,10.5000,10.5000,10.5000,10.5000,200
2019-05-03,10.6700,10.8700,10.6600,10.8700,700
2019-05-02,10.7500,10.9200,10.6200,10.9000,2600
2019-04-30,10.9200,10.9200,10.7200,10.8500,2100
2019-04-29,10.3000,10.7900,10.2900,10.5100,7900
2019-04-26,10.3800,10.5000,10.1400,10.5000,2500
2019-04-25,9.7900,10.1900,9.7900,10.1900,900
2019-04-24,10.3000,10.3000,9.6000,10.0900,4300
2019-04-23,10.0200,10.0200,9.7200,10.0000,2000
2019-04-22,9.7900,9.9900,9.7500,9.7500,2200
2019-04-18,9.6900,10.1300,9.6900,10.1000,4300
2019-04-17,9.1800,9.7700,9.1800,9.6900,9400
2019-04-16,9.3400,9.5000,9.0500,9.2100,26800
2019-04-15,10.0700,10.0700,9.3100,9.6000,22500
2019-04-12,10.3100,10.5400,9.9200,10.1500,24700
2019-04-11,11.3400,11.3400,10.7000,10.9100,41900
2019-04-10,11.5000,11.8200,11.1000,11.3700,42000
