timestamp,open,high,low,close,volume
2020-01-30,5.6000,5.6000,5.2500,5.4000,148400
2020-01-29,5.8600,6.0000,5.5300,5.6000,227700
2020-01-28,5.7600,6.0400,5.7600,5.8500,347000
2020-01-27,6.0000,6.2400,5.6600,5.6700,932100
2020-01-23,5.2600,5.5200,5.1400,5.3800,392300
2020-01-22,5.1600,5.2500,5.0500,5.2500,159200
2020-01-21,5.0700,5.1600,5.0500,5.1600,82900
2020-01-20,5.1500,5.2100,5.0000,5.1000,95500
2020-01-17,5.1500,5.2800,5.0900,5.1300,73200
2020-01-16,5.3000,5.3000,5.1200,5.2500,158000
2020-01-15,5.0700,5.2900,4.9100,5.2500,233700
2020-01-14,5.1800,5.3400,4.9300,5.0600,180000
2020-01-13,5.4100,5.5000,5.1700,5.1900,347100
2020-01-10,5.4500,5.5400,5.4100,5.4200,70800
2020-01-09,5.4900,5.5200,5.3800,5.4300,70200
2020-01-08,5.5000,5.6200,5.3600,5.3700,144800
2020-01-07,5.6200,5.6900,5.5000,5.5800,89600
2020-01-06,5.3500,5.6000,5.3500,5.6000,256900
2020-01-03,5.2500,5.4700,5.1700,5.3600,223200
2020-01-02,5.2100,5.3400,5.1100,5.2100,166200
2019-12-30,4.9800,5.3800,4.9800,5.1700,366000
2019-12-27,5.0500,5.1000,4.9500,4.9500,55000
2019-12-26,4.9200,5.1000,4.9200,5.0000,265000
2019-12-23,4.9800,5.0000,4.9000,4.9500,63000
2019-12-20,4.8600,5.0000,4.8400,4.9500,299700
2019-12-19,4.8000,5.0000,4.7000,4.8400,161900
2019-12-18,4.7900,4.8900,4.7400,4.7900,129100
2019-12-17,4.9800,4.9900,4.6600,4.6600,543200
2019-12-16,4.5100,4.9900,4.4300,4.9900,961800
2019-12-13,4.5000,4.5500,4.4500,4.4600,137700
2019-12-12,4.5700,4.6200,4.4500,4.5000,178500
2019-12-11,4.4800,4.6100,4.4300,4.5400,143600
2019-12-10,4.4500,4.4800,4.3500,4.4100,99100
2019-12-09,4.5600,4.6000,4.4000,4.4500,98200
2019-12-06,4.5700,4.6500,4.4500,4.5200,189700
2019-12-05,4.6000,4.7300,4.4000,4.4500,432800
2019-12-04,4.2100,4.5100,4.2100,4.4700,342800
2019-12-03,4.3600,4.4400,4.1000,4.2100,156500
2019-12-02,4.5000,4.5200,4.3000,4.3500,114900
2019-11-29,4.5800,4.6000,4.4500,4.5000,74900
2019-11-28,4.6500,4.6900,4.5500,4.5500,114000
2019-11-27,4.6300,4.6800,4.5100,4.6300,111600
2019-11-26,4.5200,4.7500,4.4600,4.6200,290100
2019-11-25,4.8700,4.9400,4.4900,4.5000,509700
2019-11-22,4.8900,4.9400,4.7200,4.8300,445400
2019-11-21,5.0100,5.1000,4.7300,4.7300,1032500
2019-11-19,4.4200,4.8500,4.3700,4.8400,563000
2019-11-18,4.2700,4.5800,4.1600,4.3700,429900
2019-11-14,4.2400,4.4000,4.0100,4.1000,419100
2019-11-13,4.6400,4.8000,4.3000,4.3000,458400
2019-11-12,4.5800,5.1500,4.4600,4.9000,578600
2019-11-11,4.1300,4.6600,4.1000,4.6600,519900
2019-11-08,3.9900,4.2900,3.9300,4.1500,223800
2019-11-07,3.8400,4.0900,3.8000,3.9700,261700
2019-11-06,3.9800,4.0500,3.7500,3.8000,426400
2019-11-05,3.8200,4.0500,3.8100,3.9800,891300
2019-11-04,3.3500,3.7500,3.3500,3.6800,575500
2019-11-01,3.3700,3.4000,3.3400,3.3400,11400
2019-10-31,3.4100,3.4300,3.3700,3.3700,15200
2019-10-30,3.4000,3.4100,3.3700,3.3700,35200
