timestamp,open,high,low,close,volume
2020-01-30,1.7700,1.8100,1.6800,1.8100,1766400
2020-01-29,1.9200,1.9300,1.8200,1.8200,650900
2020-01-28,1.9900,1.9900,1.8600,1.9000,1101500
2020-01-27,1.9600,2.0000,1.8800,1.9300,1602800
2020-01-23,1.9000,2.1200,1.9000,2.0600,4049400
2020-01-22,1.9000,2.2300,1.8800,2.0700,7468500
2020-01-21,2.0000,2.0300,1.8600,1.8600,3142200
2020-01-20,2.1500,2.1900,2.0400,2.0400,1438200
2020-01-17,2.1900,2.2500,2.1200,2.1400,1703100
2020-01-16,2.1700,2.2600,2.1100,2.1400,2966700
2020-01-15,2.2100,2.3700,2.0600,2.1000,8063500
2020-01-14,1.8100,2.4400,1.8100,2.4100,10354600
2020-01-13,1.7200,1.7600,1.7000,1.7600,956100
2020-01-10,1.6300,1.7500,1.6300,1.6800,1578500
2020-01-09,1.6500,1.6600,1.6100,1.6200,370300
2020-01-08,1.6500,1.6800,1.6200,1.6400,329200
2020-01-07,1.6400,1.6700,1.6300,1.6500,416600
2020-01-06,1.6800,1.6800,1.6200,1.6400,490300
2020-01-03,1.6500,1.7000,1.6400,1.6700,598400
2020-01-02,1.7200,1.7200,1.6400,1.6800,620100
2019-12-30,1.7500,1.7800,1.6900,1.7100,579400
2019-12-27,1.8000,1.8400,1.6900,1.7200,1922600
2019-12-26,1.6700,1.7200,1.6700,1.6800,646800
2019-12-23,1.6200,1.6800,1.6000,1.6500,469200
2019-12-20,1.6200,1.6300,1.5700,1.5800,300300
2019-12-19,1.7700,1.7900,1.5500,1.5800,1991100
2019-12-18,1.4500,1.7000,1.4500,1.7000,2368800
2019-12-17,1.4600,1.4700,1.4200,1.4500,335400
2019-12-16,1.4500,1.4800,1.4500,1.4500,299500
2019-12-13,1.5100,1.5300,1.4300,1.4500,694100
2019-12-12,1.4000,1.5300,1.4000,1.5100,1598700
2019-12-11,1.2800,1.3700,1.2700,1.3600,1361100
2019-12-10,1.2700,1.3100,1.2600,1.2700,310500
2019-12-09,1.2800,1.3000,1.2700,1.2700,334600
2019-12-06,1.2800,1.2900,1.2600,1.2900,454700
2019-12-05,1.3000,1.3000,1.2700,1.2700,313900
2019-12-04,1.3000,1.3100,1.2800,1.2900,585000
2019-12-03,1.3000,1.3300,1.2900,1.2900,522300
2019-12-02,1.3100,1.3200,1.2900,1.3100,259700
2019-11-29,1.3100,1.3200,1.2900,1.3100,165200
2019-11-28,1.3300,1.3400,1.2900,1.3000,559300
2019-11-27,1.3300,1.3400,1.3100,1.3400,132700
2019-11-26,1.3500,1.3500,1.3200,1.3300,114700
2019-11-25,1.3400,1.3500,1.3300,1.3400,209800
2019-11-22,1.3300,1.3500,1.3200,1.3300,145300
2019-11-21,1.3200,1.3400,1.3200,1.3300,122000
2019-11-19,1.3400,1.3400,1.3200,1.3200,57200
2019-11-18,1.3700,1.3700,1.3200,1.3300,276100
2019-11-14,1.3300,1.3700,1.3200,1.3700,226400
2019-11-13,1.3500,1.3500,1.3000,1.3300,294000
2019-11-12,1.3800,1.3800,1.3500,1.3500,138400
2019-11-11,1.3600,1.3800,1.3600,1.3800,119300
2019-11-08,1.3700,1.3900,1.3600,1.3800,242600
2019-11-07,1.3900,1.3900,1.3700,1.3800,166100
2019-11-06,1.3800,1.4000,1.3700,1.3800,182600
2019-11-05,1.3900,1.4200,1.3700,1.3900,278400
2019-11-04,1.4000,1.4200,1.3800,1.4000,365400
2019-11-01,1.3700,1.4100,1.3600,1.3800,581700
2019-10-31,1.3900,1.3900,1.3500,1.3500,186600
2019-10-30,1.3800,1.3900,1.3500,1.3700,422400
2019-10-29,1.3800,1.3900,1.3700,1.3900,224000
2019-10-28,1.4100,1.4200,1.3700,1.3900,209200
2019-10-25,1.4200,1.4300,1.4000,1.4000,92500
2019-10-24,1.4200,1.4400,1.4100,1.4200,193700
2019-10-23,1.4200,1.4200,1.4100,1.4100,94400
2019-10-22,1.4200,1.4300,1.4000,1.4200,98200
2019-10-21,1.4200,1.4200,1.4000,1.4100,88800
2019-10-18,1.4200,1.4300,1.3900,1.4200,205800
2019-10-17,1.4100,1.4300,1.4000,1.4200,89700
2019-10-16,1.4200,1.4300,1.4000,1.4200,251600
2019-10-15,1.4300,1.4800,1.4100,1.4200,308600
2019-10-14,1.4000,1.4400,1.3900,1.4400,217100
2019-10-11,1.4200,1.4300,1.4000,1.4000,104000
2019-10-10,1.4400,1.4500,1.3900,1.4000,195700
2019-10-09,1.3900,1.4400,1.3800,1.4400,296800
2019-10-08,1.4100,1.4200,1.3800,1.3900,134500
2019-10-07,1.3900,1.4000,1.3700,1.3900,148800
2019-10-04,1.3900,1.4100,1.3700,1.3900,237800
2019-10-03,1.4000,1.4200,1.3700,1.3800,251700
2019-10-02,1.4000,1.4100,1.3700,1.3900,392800
2019-10-01,1.4100,1.4500,1.4000,1.4000,430000
2019-09-30,1.4200,1.4300,1.3900,1.4000,274400
2019-09-27,1.4300,1.4600,1.4100,1.4200,283600
2019-09-26,1.4100,1.4500,1.4000,1.4300,347500
2019-09-25,1.4600,1.5000,1.4100,1.4300,1130000
2019-09-24,1.5400,1.5400,1.4500,1.4700,996600
2019-09-23,1.5800,1.5800,1.5000,1.5200,614700
2019-09-20,1.6300,1.6300,1.5400,1.5500,324000
2019-09-19,1.6400,1.6500,1.6100,1.6200,361900
2019-09-18,1.5400,1.6400,1.5300,1.6200,607200
2019-09-17,1.5600,1.5800,1.5400,1.5400,181200
2019-09-16,1.5700,1.6100,1.5300,1.5300,342200
2019-09-13,1.5800,1.6500,1.5400,1.5800,656900
2019-09-12,1.5300,1.5700,1.5300,1.5700,346700
2019-09-11,1.5400,1.5700,1.5200,1.5400,342100
2019-09-10,1.5000,1.5400,1.4900,1.5300,184900
2019-09-09,1.5400,1.5400,1.5000,1.5000,216100
2019-09-06,1.5300,1.5800,1.5000,1.5200,700800
2019-09-05,1.5000,1.5400,1.4900,1.5100,226600
2019-09-04,1.4900,1.5600,1.4900,1.5100,548200
2019-09-03,1.5000,1.5200,1.4800,1.4800,195300
2019-09-02,1.4900,1.5100,1.4800,1.4900,269600
2019-08-30,1.5100,1.5300,1.4700,1.4900,271000
2019-08-29,1.4600,1.5200,1.4600,1.4800,311600
2019-08-28,1.3800,1.5000,1.3800,1.4400,613500
2019-08-27,1.3800,1.4100,1.3600,1.3700,299300
2019-08-26,1.4700,1.4700,1.3500,1.3700,357900
2019-08-23,1.4600,1.4800,1.4000,1.4200,431200
2019-08-22,1.5000,1.5100,1.4400,1.4600,339400
2019-08-21,1.5000,1.5500,1.4500,1.4800,612000
2019-08-20,1.5000,1.5000,1.4300,1.4700,472200
2019-08-19,1.6100,1.6500,1.4900,1.5200,896400
2019-08-16,1.6800,1.6800,1.5600,1.6000,548200
2019-08-15,1.7200,1.7500,1.6100,1.6200,768000
2019-08-14,1.7900,1.8400,1.6700,1.6900,882800
2019-08-13,1.8900,1.9300,1.7100,1.7800,890400
2019-08-12,1.9000,1.9800,1.8400,1.8800,1608000
2019-08-09,1.7000,1.9200,1.7000,1.9200,2065700
2019-08-08,1.7200,1.7800,1.6900,1.7400,565300
2019-08-07,1.7000,1.7200,1.6800,1.6900,248200
2019-08-06,1.6900,1.7200,1.6800,1.6900,253800
2019-08-05,1.7400,1.7400,1.6900,1.7000,302000
2019-08-02,1.7300,1.8000,1.7300,1.7400,514800
2019-08-01,1.7800,1.8400,1.7200,1.7300,1094600
2019-07-31,1.7100,1.7300,1.6800,1.7300,441900
2019-07-30,1.7500,1.7500,1.6900,1.7000,225200
2019-07-29,1.6800,1.7500,1.6800,1.7300,497700
2019-07-26,1.7000,1.7400,1.6800,1.6900,357200
2019-07-25,1.6700,1.7300,1.6300,1.7000,536600
2019-07-24,1.6800,1.6800,1.6500,1.6600,181500
2019-07-23,1.7200,1.7200,1.6600,1.6700,439900
2019-07-22,1.7300,1.7400,1.7000,1.7000,331600
2019-07-19,1.7600,1.8300,1.7000,1.7200,779700
2019-07-18,1.7000,1.8000,1.7000,1.7600,1234200
2019-07-17,1.6900,1.7600,1.6700,1.7000,853600
2019-07-16,1.7400,1.7400,1.6600,1.6900,288300
2019-07-15,1.7400,1.7700,1.6900,1.6900,584000
2019-07-12,1.7500,1.7700,1.7100,1.7200,315600
2019-07-11,1.7200,1.7900,1.6600,1.7000,543700
2019-07-10,1.7900,1.8000,1.7100,1.7100,910300
2019-07-08,1.6600,1.7700,1.6400,1.7400,956700
2019-07-05,1.6500,1.6600,1.6200,1.6500,249400
2019-07-04,1.6500,1.6600,1.6100,1.6500,470300
2019-07-03,1.6100,1.6600,1.5700,1.6500,676800
2019-07-02,1.6100,1.6200,1.6000,1.6200,125000
2019-07-01,1.6100,1.6500,1.6000,1.6100,264900
2019-06-28,1.6200,1.6500,1.6000,1.6100,255400
2019-06-27,1.6200,1.6500,1.6000,1.6200,467700
2019-06-26,1.6300,1.6400,1.6100,1.6100,124400
2019-06-25,1.6200,1.6500,1.6100,1.6200,151400
2019-06-24,1.6600,1.6600,1.6300,1.6400,210500
2019-06-21,1.6500,1.6900,1.6100,1.6600,475100
2019-06-19,1.6500,1.6700,1.6000,1.6300,462000
2019-06-18,1.6900,1.7000,1.6400,1.6500,217700
2019-06-17,1.6600,1.7300,1.6400,1.6700,387700
2019-06-14,1.6700,1.6800,1.6500,1.6500,140000
2019-06-13,1.7200,1.7200,1.6600,1.6800,383800
2019-06-12,1.8400,1.8500,1.6900,1.7100,1548500
2019-06-11,1.6300,1.7000,1.6100,1.6900,785400
2019-06-10,1.6000,1.6100,1.5800,1.6100,151100
2019-06-07,1.6000,1.6300,1.5800,1.5900,371900
2019-06-06,1.5800,1.6100,1.5500,1.6000,222200
2019-06-05,1.5900,1.6300,1.5600,1.5600,249200
2019-06-04,1.6100,1.6400,1.6000,1.6200,193900
2019-06-03,1.6300,1.6800,1.5900,1.5900,532900
2019-05-31,1.6200,1.7000,1.6000,1.6100,581900
2019-05-30,1.6200,1.7400,1.6000,1.6200,1480200
2019-05-29,1.6600,1.6600,1.5900,1.6200,514000
2019-05-28,1.6800,1.7400,1.6100,1.6300,765400
2019-05-27,1.6900,1.7600,1.6500,1.6800,1315300
2019-05-24,1.9100,2.0300,1.6500,1.6500,4098800
2019-05-23,1.3600,1.7100,1.3600,1.7100,1159500
2019-05-22,1.4100,1.4100,1.3400,1.3700,312400
2019-05-21,1.3700,1.3900,1.3600,1.3700,364000
2019-05-20,1.3800,1.4000,1.3300,1.3500,416100
2019-05-17,1.3400,1.4200,1.3400,1.3800,392100
2019-05-16,1.5100,1.5200,1.3900,1.3900,315400
2019-05-15,1.5700,1.5700,1.5000,1.5200,149100
2019-05-14,1.5700,1.5800,1.5300,1.5700,168500
2019-05-13,1.5800,1.5800,1.5300,1.5600,142500
2019-05-10,1.6300,1.6300,1.5500,1.5800,278000
2019-05-09,1.6700,1.6700,1.6300,1.6300,222900
2019-05-08,1.6600,1.6700,1.6000,1.6600,379000
2019-05-07,1.6500,1.7000,1.6100,1.6400,226000
2019-05-06,1.6400,1.7200,1.6400,1.6600,540800
2019-05-03,1.6400,1.7000,1.6000,1.6100,286100
2019-05-02,1.6400,1.6500,1.6200,1.6400,70800
2019-04-30,1.6200,1.6600,1.6200,1.6200,156200
2019-04-29,1.7200,1.7400,1.6200,1.6200,229900
2019-04-26,1.6800,1.7200,1.6700,1.7200,177400
2019-04-25,1.6300,1.7000,1.6300,1.6800,230700
