timestamp,open,high,low,close,volume
2020-01-28,6.2800,6.6300,6.2800,6.3700,557400
2020-01-27,6.5000,6.5900,6.1500,6.2200,582700
2020-01-23,6.6500,6.9700,6.4900,6.8000,609600
2020-01-22,6.9900,6.9900,6.5500,6.6900,534000
2020-01-21,6.9600,7.1700,6.7200,6.7800,897000
2020-01-20,7.2700,7.5200,6.7600,6.9100,1514500
2020-01-17,6.2000,7.3000,5.9500,7.3000,3082600
2020-01-16,6.9300,7.0500,6.2000,6.2000,1786000
2020-01-15,7.2000,7.2500,6.9000,6.9000,1073600
2020-01-14,7.7500,8.1200,6.2500,7.2500,5911600
2020-01-13,6.1700,7.5100,6.1700,7.2500,3068200
2020-01-10,5.4500,6.1700,5.4300,5.9900,2232200
2020-01-09,4.9900,5.7200,4.9900,5.4700,1841500
2020-01-08,4.8000,4.9400,4.6400,4.9000,578000
2020-01-07,4.5300,4.9300,4.5200,4.8400,1216400
2020-01-06,4.0800,4.4900,4.0500,4.4700,795200
2020-01-03,4.3000,4.3400,4.1000,4.1000,311400
2020-01-02,4.3700,4.3800,4.2500,4.3100,269000
2019-12-30,4.2000,4.3800,4.1500,4.3000,328600
2019-12-27,4.2200,4.2200,4.1000,4.1400,121600
2019-12-26,4.2200,4.2800,4.1000,4.1700,460500
2019-12-23,3.8200,4.2000,3.8200,4.0700,875300
2019-12-20,3.8900,3.8900,3.6900,3.8200,380200
2019-12-19,4.0900,4.1800,3.8500,3.8500,607400
2019-12-18,4.1400,4.2400,4.0800,4.1100,490600
2019-12-17,4.3800,4.3800,4.0500,4.2100,748500
2019-12-16,4.4000,4.5700,4.1600,4.3400,1597700
2019-12-13,4.1400,4.6700,4.0000,4.2600,5669500
2019-12-12,3.3000,4.0500,3.2600,4.0500,3407000
2019-12-11,3.0400,3.3000,3.0200,3.2900,1650700
2019-12-10,3.0100,3.0600,2.9800,2.9900,230800
2019-12-09,2.8900,3.0800,2.8900,3.0100,473400
2019-12-06,2.8000,2.9400,2.8000,2.8900,334200
2019-12-05,2.8100,2.8600,2.8100,2.8300,96900
2019-12-04,2.8300,2.8400,2.8000,2.8100,85000
2019-12-03,2.8000,2.8600,2.7800,2.8000,112900
2019-12-02,2.8200,2.8600,2.7800,2.8300,109800
2019-11-29,2.8500,2.8500,2.7900,2.8000,152200
2019-11-28,2.8100,2.8700,2.7800,2.8400,160900
2019-11-27,2.8200,2.8200,2.7600,2.8100,89700
2019-11-26,2.8500,2.9000,2.7600,2.7800,108900
2019-11-25,2.8200,3.0100,2.8000,2.8400,548800
2019-11-22,2.7700,2.8300,2.7300,2.7800,166100
2019-11-21,2.8000,2.8500,2.6900,2.7400,439300
2019-11-19,2.8600,2.9500,2.7200,2.7900,401500
2019-11-18,3.0000,3.2500,2.8500,2.8500,2123200
2019-11-14,2.6100,2.6800,2.6000,2.6600,177800
2019-11-13,2.6000,2.6300,2.5600,2.6100,85300
2019-11-12,2.6200,2.6300,2.5700,2.6000,77000
2019-11-11,2.6100,2.6300,2.5800,2.6200,150600
2019-11-08,2.6300,2.6800,2.6100,2.6100,225600
