Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2016-10-27,0.0,19.88713107,19.88713107,19.88713107,19.88713107,19.88713107
2016-10-28,122334647.0,19.091645827,19.191081482,18.813225992,19.648485497,19.181137917
2016-10-31,45857231.0,17.958079356,19.081702261,17.411183251,19.091645827,18.067458577
2016-11-01,17676981.0,17.798982307,17.958079356,17.063158458,18.276273453,17.639885259
2016-11-03,11132994.0,17.888474397,17.898417963,17.212311941,18.137063535,17.828813004
2016-11-04,6955112.0,17.649828824,17.848700135,17.610054562,18.017740749,17.739320914
2016-11-07,9079715.0,17.550393169,17.878530832,17.311747596,17.898417963,17.580223866
2016-11-08,9318752.0,17.39129612,17.2819169,17.01344063,17.689603086,17.301804031
2016-11-09,27693164.0,16.45660096,16.904061409,15.611397889,16.904061409,16.247786084
2016-11-10,9692763.0,15.889817724,16.844400016,15.094332481,16.844400016,16.009140511
2016-11-11,12352601.0,15.16393744,15.72077711,14.448000722,15.72077711,15.024727523
2016-11-14,3088533.0,15.43241371,15.104276047,14.915348302,15.43241371,15.303147358
2016-11-16,5279957.0,15.859987028,15.859987028,14.796025515,15.859987028,15.263373095
2016-11-17,3539466.0,16.45660096,15.790382069,15.790382069,16.894117844,16.416826698
2016-11-18,984056.0,17.083045589,16.695246533,16.416826698,17.351521858,16.904061409
2016-11-21,2241175.0,17.092989154,17.301804031,16.655472271,17.301804031,16.983609933
2016-11-22,7379903.0,16.884174278,17.271973334,16.516262353,17.271973334,16.774795057
2016-11-23,5854164.0,16.655472271,17.112876285,16.406883132,17.291860465,16.615698009
2016-11-24,965489.0,16.705190098,16.655472271,16.575923747,16.754907926,16.665415836
2016-11-25,1605525.0,16.605754443,16.416826698,16.307447477,16.784738623,16.595810878
2016-11-28,6794760.0,15.909704855,16.675359402,15.859987028,16.675359402,16.068801904
2016-11-29,6287921.0,15.750607807,15.8102692,15.223598833,16.208011822,15.462244406
2016-11-30,12033095.0,15.760551372,15.710833545,15.303147358,15.760551372,15.621341455
2016-12-01,8175889.0,14.835799777,15.313090923,14.69658986,15.661115717,15.014783957
2016-12-02,3941179.0,14.676702729,14.915348302,14.507662115,14.994896826,14.69658986
2016-12-05,2255286.0,14.547436377,14.965066129,14.448000722,14.965066129,14.527549246
2016-12-06,11228210.0,14.398282894,14.457944287,14.129806625,14.766194819,14.448000722
2016-12-07,8015425.0,14.31873437,14.507662115,14.090032362,14.915348302,14.398282894
2016-12-08,3244990.0,14.31873437,14.497718549,14.099975928,14.587210639,14.358508632
2016-12-09,9459005.0,14.666759163,14.368452197,14.22924228,14.706533426,14.438057156
2016-12-12,6229748.0,14.915348302,14.656815598,14.617041336,15.412526579,15.124163178
2016-12-13,4556777.0,15.014783957,14.935235433,14.915348302,15.412526579,15.144050309
2016-12-14,3544055.0,14.915348302,15.203711702,14.766194819,15.233542399,14.915348302
2016-12-15,3593659.0,14.716476991,14.895461171,14.428113591,14.915348302,14.666759163
2016-12-16,3948176.0,14.69658986,14.706533426,14.497718549,14.915348302,14.706533426
2016-12-19,7608092.0,14.418170025,14.547436377,14.219298714,14.796025515,14.348565066
2016-12-20,7331540.0,14.338621501,14.40822646,14.020427404,14.557379943,14.199411583
2016-12-21,4892042.0,14.159637321,14.239185845,13.950822445,14.288903673,14.099975928
2016-12-22,1852394.0,14.119863059,14.189468018,13.980653141,14.308790804,14.080088797
2016-12-23,3722272.0,13.871273921,14.020427404,13.781781831,14.259072976,13.950822445
2016-12-26,760866.0,14.070145231,14.099975928,13.871273921,14.149693756,14.010483838
2016-12-27,2335769.0,13.920991748,14.099975928,13.682346175,14.099975928,13.821556093
2016-12-28,3512804.0,14.119863059,13.990596707,13.791725396,14.179524452,14.040314535
2016-12-29,5375545.0,14.567323508,14.070145231,13.920991748,14.716476991,14.358508632
2017-01-02,523505.0,14.51760568,14.537492811,14.31873437,14.796025515,14.497718549
2017-01-03,5314402.0,14.815912646,14.656815598,14.487774984,14.975009695,14.796025515
2017-01-04,1746750.0,14.815912646,14.815912646,14.726420557,14.955122564,14.835799777
2017-01-05,1885899.0,15.263373095,14.815912646,14.815912646,15.263373095,15.084388916
2017-01-06,2292524.0,15.362808751,15.193768137,14.855686909,15.362808751,15.094332481
