Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2012-04-25,847300.0,14.882675673,14.882675673,14.882675673,14.882675673,14.882675673
2012-04-30,44640.0,14.505734543,14.505734543,14.505734543,14.505734543,14.505734543
2012-05-09,222440.0,14.456342257,14.456342257,14.456342257,14.456342257,14.456342257
2012-05-14,33360.0,14.453742663,14.453742663,14.453742663,14.453742663,14.453742663
2012-05-17,10600.0,13.777848221,13.777848221,13.777848221,13.777848221,13.777848221
2012-05-30,243515.0,15.097142179,15.045150299,15.045150299,15.097142179,15.072446036
2012-06-05,11310.0,14.700704093,14.700704093,14.700704093,14.700704093,14.700704093
2012-06-25,320220.0,15.415592444,15.415592444,15.415592444,15.415592444,15.415592444
2012-06-26,46960.0,15.259616804,15.259616804,15.259616804,15.259616804,15.259616804
2012-07-05,49420.0,16.058991961,16.058991961,16.058991961,16.058991961,16.058991961
2012-07-06,48660.0,15.81203053,15.81203053,15.81203053,15.81203053,15.81203053
2012-07-10,416358.0,16.416436136,16.395639384,16.395639384,16.416436136,16.399538775
2012-07-23,829150.0,16.338448316,15.987503125,15.987503125,16.338448316,16.329349737
2012-07-27,11800.0,15.337604624,15.337604624,15.337604624,15.337604624,15.337604624
2012-07-31,12455.0,16.188971661,16.188971661,16.188971661,16.188971661,16.188971661
2012-08-01,829795.0,16.097985871,16.097985871,16.097985871,16.097985871,16.097985871
2012-08-06,176624.0,16.398238978,16.398238978,16.398238978,16.398238978,16.398238978
2012-08-17,143583.0,17.013630969,17.013630969,17.013630969,17.013630969,17.013630969
2012-08-22,407400.0,17.700536931,17.700536931,17.700536931,17.700536931,17.700536931
2012-08-23,40365.0,17.537608572,17.537608572,17.537608572,17.537608572,17.537608572
2012-08-29,195370.0,18.189322008,18.189322008,18.189322008,18.189322008,18.189322008
2012-08-31,13515.0,17.615814184,17.615814184,17.615814184,17.615814184,17.615814184
2012-09-06,41220.0,17.909085231,17.909085231,17.909085231,17.909085231,17.909085231
2012-09-24,83520.0,18.143702068,18.143702068,18.143702068,18.143702068,18.143702068
2012-09-28,13630.0,17.765708275,17.765708275,17.765708275,17.765708275,17.765708275
2012-10-01,54406.0,17.652310137,17.804811081,17.652310137,17.804811081,17.729212322
2012-10-09,193725.0,16.833758061,16.833758061,16.833758061,16.833758061,16.833758061
2012-10-15,51516.0,16.786834693,16.786834693,16.786834693,16.786834693,16.786834693
2012-10-26,159705.0,16.012599131,16.012599131,16.012599131,16.012599131,16.012599131
2012-10-31,218844.0,15.847063918,15.847063918,15.847063918,15.847063918,15.847063918
2012-11-12,673395.0,14.665234369,14.731900467,14.665234369,14.731900467,14.670463082
2012-11-21,59250.0,15.490063934,15.490063934,15.490063934,15.490063934,15.490063934
2012-11-29,25000.0,16.339729888,16.339729888,16.339729888,16.339729888,16.339729888
2012-12-05,70740.0,15.41163323,15.41163323,15.41163323,15.41163323,15.41163323
2012-12-11,79877.0,14.91621262,14.91621262,14.91621262,14.91621262,14.91621262
2012-12-14,857200.0,14.104454839,13.843019161,13.843019161,14.104454839,14.00641646
2012-12-19,11235.0,14.686149223,14.686149223,14.686149223,14.686149223,14.686149223
2012-12-20,118536.0,14.060010774,14.117526623,14.060010774,14.117526623,14.086154342
2012-12-26,307546.0,13.822104307,13.869162729,13.822104307,13.869162729,13.862626837
2012-12-27,42000.0,13.725373106,13.725373106,13.725373106,13.725373106,13.725373106
2013-01-02,44800.0,14.64039798,14.64039798,14.64039798,14.64039798,14.64039798
2013-01-03,44520.0,14.548895492,14.548895492,14.548895492,14.548895492,14.548895492
2013-01-14,41052.0,13.415571827,13.415571827,13.415571827,13.415571827,13.415571827
2013-01-15,50118.0,13.046947521,13.333219588,13.03910445,13.333219588,13.103156192
2013-01-16,141848.0,13.244331458,13.244331458,13.244331458,13.244331458,13.244331458
2013-01-21,10430.0,13.633870618,13.633870618,13.633870618,13.633870618,13.633870618
2013-01-23,10635.0,13.901842189,13.901842189,13.901842189,13.901842189,13.901842189
2013-01-24,825229.0,12.156759036,13.07178391,12.156759036,13.07178391,12.398587039
