Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2006-04-28,0.0,7.3710414372,7.3710414372,7.3710414372,7.3710414372,7.3710414372
2006-05-02,1375000.0,8.1081455809,7.3710414372,7.3710414372,8.1081455809,7.7962768177
2006-05-04,715000.0,8.8452497246,8.4766976528,8.4766976528,8.8452497246,8.7838489495
2006-05-05,11845000.0,8.4766976528,8.4766976528,8.4766976528,8.4766976528,8.4766976528
2006-05-10,14030000.0,8.4766976528,8.4766976528,8.4766976528,8.4766976528,8.4766976528
2006-05-12,7245000.0,8.4766976528,8.4766976528,8.4766976528,8.4766976528,8.4766976528
2006-05-22,270000.0,6.6339372935,6.6339372935,6.6339372935,6.6339372935,6.6339372935
2006-05-23,229998.0,8.4766239424,8.4766239424,8.4766239424,8.4766239424,8.4766239424
2006-05-30,114000.0,8.4029872384,8.4029872384,8.4029872384,8.4029872384,8.4029872384
2006-07-12,220000.0,8.1081455809,8.1081455809,8.1081455809,8.1081455809,8.1081455809
2006-10-06,70670000.0,7.3710414372,6.6339372935,6.6339372935,7.3710414372,6.6357800538
2006-10-10,25667442.0,7.2663726488,6.6340110039,6.6339372935,7.2663726488,6.6384336288
2006-10-20,360008.0,6.6339372935,6.6345269768,6.6339372935,6.6345269768,6.6340847143
2006-10-23,90000.0,6.6339372935,6.6339372935,6.6339372935,6.6339372935,6.6339372935
2006-10-27,95000.0,7.0024893653,7.0024893653,7.0024893653,7.0024893653,7.0024893653
2006-11-06,1179998.0,6.6339372935,7.0024156549,6.6339372935,7.0024156549,6.6906206021
2006-11-16,219400.0,8.0860324566,8.0860324566,8.0860324566,8.0860324566,8.0860324566
2006-12-04,209998.0,7.7395197987,7.7395197987,7.7395197987,7.7395197987,7.7395197987
2006-12-11,1130000.0,7.5553174731,7.7395935091,7.5553174731,7.7395935091,7.5720497372
2006-12-12,100000.0,7.3710414372,7.3710414372,7.3710414372,7.3710414372,7.3710414372
2006-12-13,760000.0,7.0024893653,7.0024893653,7.0024893653,7.0024893653,7.0024893653
2006-12-28,499999.0,7.3709677268,7.3710414372,7.3709677268,7.3710414372,7.3710414372
2007-01-19,1300000.0,7.3710414372,7.3710414372,7.3710414372,7.3710414372,7.3710414372
2007-01-22,804000.0,7.3710414372,7.3710414372,7.3710414372,7.6658830947,7.4078966444
2007-02-01,100000.0,7.3710414372,7.3710414372,7.3710414372,7.3710414372,7.3710414372
2007-02-05,600000.0,7.3710414372,7.3710414372,7.3710414372,7.3710414372,7.3710414372
2007-02-06,300000.0,7.3710414372,7.3710414372,7.3710414372,7.3710414372,7.3710414372
2007-02-08,8505899.0,7.3710414372,7.3710414372,7.3709677268,7.805932882,7.3761274558
2007-02-09,1200000.0,7.3710414372,7.3710414372,7.3710414372,7.3710414372,7.3710414372
2007-02-14,5000000.0,7.3710414372,7.3710414372,7.3710414372,7.3710414372,7.3710414372
2007-02-21,9000000.0,7.3710414372,7.3710414372,7.3710414372,7.3710414372,7.3710414372
2007-02-22,500000.0,7.3710414372,7.3710414372,7.3710414372,7.3710414372,7.3710414372
2007-02-23,700000.0,7.3710414372,7.3710414372,7.3710414372,7.3710414372,7.3710414372
2007-03-02,99000.0,7.2973310228,7.2973310228,7.2973310228,7.2973310228,7.2973310228
2007-03-06,4299957.0,7.3709677268,7.3709677268,7.3709677268,7.3709677268,7.3709677268
2007-03-07,3100000.0,7.3710414372,7.3710414372,7.3710414372,7.3710414372,7.3710414372
2007-03-08,200000.0,7.3710414372,7.3710414372,7.3710414372,7.3710414372,7.3710414372
2007-03-13,212000.0,7.8133039234,7.8133039234,7.8133039234,7.8133039234,7.8133039234
2007-03-21,110000.0,8.1081455809,8.1081455809,8.1081455809,8.1081455809,8.1081455809
2007-03-22,340000.0,8.8452497246,8.1081455809,8.1081455809,8.8452497246,8.353822392
2007-03-27,18960000.0,8.8452497246,8.8452497246,8.8452497246,8.8452497246,8.8452497246
2007-03-28,7929000.0,9.508643454,8.8452497246,8.8452497246,9.508643454,8.855274341
2007-03-29,1750000.0,9.2138017965,9.2138017965,9.2138017965,9.2138017965,9.2138017965
2007-03-30,375000.0,9.2138017965,9.2138017965,9.2138017965,9.2138017965,9.2138017965
2007-04-03,840700.0,8.8526207661,8.8526207661,8.8526207661,8.8526207661,8.8526207661
2007-04-05,360200.0,8.8526207661,8.8452497246,8.8452497246,8.8526207661,8.8501883224
2007-04-10,242100.0,8.9926705534,8.8526207661,8.8526207661,8.9926705534,8.9226456597
2007-04-16,129900.0,9.5749828269,9.5749828269,9.5749828269,9.5749828269,9.5749828269
2007-04-17,391500.0,9.6192090756,9.6192090756,9.6192090756,9.6192090756,9.6192090756
2007-04-18,1250000.0,9.2138017965,9.2138017965,9.2138017965,9.2138017965,9.2138017965
2007-04-19,4750000.0,9.2138017965,9.2138017965,9.2138017965,9.2138017965,9.2138017965
2007-04-23,375000.0,9.2138017965,9.2138017965,9.2138017965,9.2138017965,9.2138017965
2007-04-26,1801500.0,8.8526207661,8.8526207661,8.8526207661,8.8526207661,8.8526207661
2007-04-27,129900.0,9.5749828269,9.5749828269,9.5749828269,9.5749828269,9.5749828269
2007-05-09,10219000.0,9.1400913821,9.508643454,9.1400913821,9.508643454,9.1859392599
2007-05-10,125000.0,9.2138017965,9.2138017965,9.2138017965,9.2138017965,9.2138017965
2007-05-17,379900.0,9.2138017965,9.5749828269,9.2138017965,9.5749828269,9.3341709032
2007-05-21,4840000.0,8.918960139,8.918960139,8.918960139,8.918960139,8.918960139
2007-05-22,860800.0,8.918960139,9.0663809678,8.918960139,9.2138017965,9.0642433658
2007-05-23,120000.0,8.8452497246,8.8452497246,8.8452497246,8.8452497246,8.8452497246
2007-05-25,7502000.0,8.918960139,8.918960139,8.918960139,8.918960139,8.918960139
2007-05-30,847000.0,8.918960139,8.918960139,8.918960139,8.918960139,8.918960139
2007-06-01,3269999.0,9.2138017965,8.8821049318,8.8821049318,9.2138017965,8.927141995
2007-06-04,851000.0,8.918960139,9.2138017965,8.918960139,9.2138017965,8.9610487856
2007-06-05,121000.0,8.918960139,8.918960139,8.918960139,8.918960139,8.918960139
2007-06-08,1573000.0,8.918960139,8.918960139,8.918960139,8.918960139,8.918960139
