Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2011-02-02,0.0,17.101995993,17.101995993,17.101995993,17.101995993,17.101995993
2011-02-03,66473437.0,16.836915055,16.725752081,16.674446093,17.093444995,16.871119047
2011-02-04,7332210.0,16.836915055,16.854017051,16.674446093,16.930976033,16.751405075
2011-02-07,5047115.0,16.631691103,16.759956073,16.503426133,16.836915055,16.700099087
2011-02-08,1799434.0,16.930976033,16.631691103,16.631691103,16.948078029,16.888221043
2011-02-09,2905855.0,16.948078029,17.016486013,16.871119047,17.016486013,16.922425035
2011-02-10,1428073.0,17.187505973,16.948078029,16.948078029,17.264464955,17.076342999
2011-02-11,7803089.0,17.255913957,17.230260963,17.101995993,17.264464955,17.178954975
2011-02-14,6547789.0,17.444035913,17.110546991,17.016486013,17.444035913,17.238811961
2011-02-15,1033320.0,17.444035913,17.101995993,17.101995993,17.512443897,17.358525933
2011-02-16,817505.0,17.615055873,17.204607969,17.204607969,17.615055873,17.478239905
2011-02-17,3683367.0,17.957095793,17.520994895,17.520994895,17.957095793,17.606504875
2011-02-18,1897932.0,18.299135713,17.623606871,17.623606871,18.418849684,18.051156771
2011-02-21,250080.0,18.170870743,18.162319745,17.965646791,18.547114654,18.273482719
2011-02-22,1150340.0,18.512910662,18.367543697,17.957095793,18.512910662,18.247829725
2011-02-23,727202.0,18.795093596,18.153768747,18.153768747,18.795093596,18.675379624
2011-02-24,1237151.0,18.769440602,18.769440602,18.299135713,18.786542598,18.760889604
2011-02-25,3254231.0,18.812195592,18.769440602,18.60697164,19.239745492,18.786542598
2011-02-28,6646266.0,19.325255472,18.282033717,18.282033717,19.539030422,19.265398486
2011-03-01,976825.0,19.154235512,19.496275432,19.111480522,19.496275432,19.154235512
2011-03-02,9684721.0,19.624540402,19.017419544,19.017419544,19.658744394,19.350908466
2011-03-03,4641979.0,20.052090302,19.624540402,19.402214454,20.094845292,19.67584639
2011-03-04,1013237.0,20.086294294,20.069192298,19.615989404,20.300069244,19.778458366
2011-03-09,99030.0,20.240212258,20.40268122,20.052090302,20.40268122,20.163253276
2011-03-10,241162.0,20.009335312,20.351375232,19.88962134,20.351375232,20.01788631
2011-03-11,1066475.0,19.966580322,20.40268122,19.966580322,20.40268122,20.000784314
2011-03-14,3068441.0,19.667295392,20.308620242,19.46207144,20.308620242,19.787009364
2011-03-15,1119110.0,19.581785412,19.658744394,19.068725532,19.658744394,19.487724434
2011-03-16,1063056.0,19.667295392,19.402214454,19.239745492,19.667295392,19.41931645
2011-03-17,210695.0,19.667295392,19.658744394,19.24829649,19.667295392,19.581785412
2011-03-18,806587.0,19.667295392,19.667295392,19.24829649,19.667295392,19.650193396
2011-03-21,3888227.0,20.351375232,19.684397388,19.581785412,20.453987208,19.624540402
2011-03-22,547617.0,20.265865252,20.094845292,19.838315352,20.265865252,20.009335312
2011-03-23,3778388.0,19.923825332,19.769907368,19.368010462,20.094845292,19.795560362
2011-03-24,3904326.0,19.282500482,19.923825332,18.812195592,19.923825332,19.222643496
2011-03-25,1613707.0,19.325255472,19.667295392,18.914807568,19.992233316,19.188439504
2011-03-28,659014.0,19.342357468,19.094378526,19.094378526,19.350908466,19.231194494
2011-03-29,1363319.0,19.068725532,19.863968346,19.068725532,20.000784314,19.171337508
2011-03-30,10267310.0,19.496275432,19.573234414,19.068725532,19.658744394,19.385112458
2011-03-31,5773782.0,19.838315352,19.881070342,19.29105148,19.881070342,19.658744394
2011-04-01,2991982.0,19.325255472,19.427867448,19.239745492,19.573234414,19.325255472
2011-04-04,4526312.0,19.658744394,19.829764354,19.410765452,19.829764354,19.624540402
2011-04-05,567326.0,19.667295392,19.581785412,19.46207144,19.667295392,19.641642398
2011-04-06,243177.0,19.658744394,19.427867448,19.41931645,19.658744394,19.615989404
2011-04-07,601543.0,19.667295392,19.658744394,19.37656146,19.752805372,19.6330914
2011-04-08,589307.0,19.615989404,19.744254374,19.46207144,19.752805372,19.607438406
2011-04-11,614824.0,19.496275432,19.658744394,19.196990502,19.692948386,19.402214454
2011-04-12,462324.0,19.453520442,19.710050382,19.325255472,19.71860138,19.470622438
2011-04-13,4443332.0,19.581785412,19.658744394,19.368010462,19.752805372,19.607438406
2011-04-14,3180933.0,19.539030422,19.573234414,18.812195592,19.838315352,19.539030422
2011-04-15,551813.0,19.658744394,19.701499384,19.573234414,19.710050382,19.658744394
2011-04-18,485391.0,19.667295392,19.282500482,19.282500482,19.735703376,19.581785412
2011-04-19,1883501.0,19.556132418,19.752805372,19.282500482,19.915274334,19.59033641
2011-04-20,9343457.0,20.009335312,19.906723336,19.402214454,20.009335312,19.701499384
2011-04-25,619336.0,20.351375232,20.009335312,19.778458366,20.428334214,20.214559264
2011-04-26,920191.0,20.094845292,20.419783216,20.052090302,20.419783216,20.120498286
2011-04-27,105998.0,20.163253276,20.300069244,19.923825332,20.300069244,20.14615128
2011-04-28,429600.0,20.265865252,19.93237633,19.71860138,20.265865252,20.077743296
2011-04-29,1472697.0,20.47010119,20.358757543,19.930512748,20.47010119,20.341627751
2011-05-02,511645.0,20.452971398,20.727048067,20.221719209,20.727048067,20.478666086
2011-05-03,9649892.0,19.699260559,20.178894729,19.639306288,20.178894729,19.699260559
2011-05-04,232288.0,19.690695663,20.09324577,19.690695663,20.09324577,19.699260559
2011-05-05,600426.0,19.6136116,19.459443474,19.459443474,19.921947852,19.630741392
2011-05-06,1707556.0,19.767779726,19.904818061,19.493703058,19.904818061,19.733520143
2011-05-09,628370.0,19.784909518,19.819169102,19.527962641,19.861993581,19.716390351
2011-05-10,2584176.0,20.118940458,19.784909518,19.570787121,20.118940458,19.75921483
2011-05-11,495208.0,19.904818061,19.904818061,19.904818061,19.913382957,19.913382957
2011-05-12,545369.0,19.904818061,19.46800837,19.459443474,19.904818061,19.879123373
2011-05-13,885729.0,19.699260559,19.879123373,19.527962641,19.879123373,19.65643608
2011-05-16,1175224.0,19.442313682,19.904818061,19.390924307,19.913382957,19.510832849
2011-05-17,2164559.0,19.605046704,19.844863789,19.545092433,19.844863789,19.65643608
2011-05-18,580500.0,19.570787121,19.861993581,19.365229619,19.861993581,19.570787121
2011-05-19,818568.0,19.844863789,19.887688269,19.442313682,19.887688269,19.80203931
2011-05-20,885506.0,19.776344622,19.844863789,19.639306288,19.844863789,19.750649935
2011-05-23,551510.0,19.699260559,19.553657329,19.365229619,19.699260559,19.596481808
2011-05-24,4615295.0,19.442313682,19.767779726,19.399489203,19.767779726,19.553657329
