Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2013-04-23,0.0,12.400128742,12.400128742,12.400128742,12.400128742,12.400128742
2013-04-24,97371031.0,11.729851513,12.239262207,11.629309929,12.239262207,11.904123593
2013-04-25,14286765.0,11.863906959,11.810284781,11.756662602,12.085098445,11.904123593
2013-04-26,31363430.0,11.830393097,11.870609731,11.790176464,11.991259632,11.870609731
2013-04-29,16566054.0,11.997962405,11.930934682,11.703040424,12.051584583,11.890718048
2013-04-30,8988736.0,12.125315078,11.997962405,11.977854088,12.165531712,12.105206761
2013-05-02,10768529.0,12.333101019,12.091801217,11.729851513,12.39342597,12.24596498
2013-05-03,3996114.0,12.299587158,12.266073297,12.232559435,12.353209336,12.299587158
2013-05-06,2780476.0,12.185640029,12.199045574,12.178937257,12.312992703,12.212451118
2013-05-07,11063430.0,12.380020425,12.199045574,12.098503989,12.447048148,12.373317653
2013-05-08,6122580.0,12.467156465,12.380020425,12.199045574,12.467156465,12.413534287
2013-05-09,1601555.0,12.473859238,12.514075871,12.373317653,12.514075871,12.493967554
2013-05-10,396082.0,12.366614881,12.453750921,12.339803792,12.473859238,12.406831515
2013-05-13,5780169.0,12.420237059,12.333101019,12.192342801,12.447048148,12.406831515
2013-05-14,4005106.0,12.500670327,12.39342597,12.333101019,12.500670327,12.406831515
2013-05-15,2088619.0,12.400128742,12.373317653,12.339803792,12.447048148,12.400128742
2013-05-16,1114426.0,12.333101019,12.400128742,12.064990128,12.420237059,12.346506564
2013-05-17,432642.0,12.39342597,12.400128742,12.266073297,12.426939832,12.39342597
2013-05-20,547661.0,12.39342597,12.380020425,12.24596498,12.39342597,12.359912109
2013-05-21,1297415.0,12.467156465,12.266073297,12.266073297,12.467156465,12.406831515
2013-05-22,1638465.0,12.534184188,12.426939832,12.319695475,12.560995277,12.493967554
2013-05-23,339300.0,12.527481416,12.554292505,12.400128742,12.554292505,12.493967554
2013-05-24,108168.0,12.527481416,12.467156465,12.433642604,12.534184188,12.500670327
2013-05-27,1574264.0,12.527481416,12.527481416,12.48056201,12.587806367,12.534184188
2013-05-28,3588548.0,12.400128742,12.534184188,12.359912109,12.534184188,12.406831515
2013-05-29,5074966.0,12.299587158,12.440345376,11.930934682,12.440345376,12.098503989
2013-05-31,2973470.0,12.467156465,12.212451118,12.212451118,12.500670327,12.353209336
2013-06-03,3564952.0,12.467156465,12.487264782,12.333101019,12.487264782,12.460453693
2013-06-04,2846249.0,12.453750921,12.520778644,12.373317653,12.527481416,12.453750921
2013-06-05,5887147.0,12.386723198,12.514075871,12.152126168,12.514075871,12.286181613
2013-06-06,2337160.0,12.400128742,12.400128742,12.299587158,12.467156465,12.39342597
2013-06-07,5058793.0,12.105206761,12.460453693,12.105206761,12.493967554,12.252667752
2013-06-10,4361872.0,12.252667752,12.205748346,12.199045574,12.493967554,12.333101019
2013-06-11,4676301.0,12.199045574,12.39342597,12.145423395,12.400128742,12.24596498
2013-06-12,5085913.0,12.420237059,12.319695475,12.279478841,12.493967554,12.312992703
2013-06-13,3207251.0,12.520778644,12.299587158,12.272776069,12.520778644,12.319695475
2013-06-14,1770003.0,12.373317653,12.507373099,12.333101019,12.507373099,12.400128742
2013-06-17,19167777.0,12.735267357,12.380020425,12.380020425,12.735267357,12.514075871
2013-06-18,7879953.0,12.902836664,12.80229508,12.735267357,12.989972704,12.869322803
2013-06-19,7041308.0,12.969864387,12.902836664,12.829106169,13.365327953,13.097217061
2013-06-20,12172652.0,12.534184188,12.963161615,12.534184188,13.070405972,12.621320228
2013-06-21,18854051.0,12.266073297,12.607914683,12.172234484,12.681645179,12.279478841
2013-06-24,4277065.0,12.266073297,12.152126168,11.816987553,12.319695475,12.018070722
2013-06-25,2626339.0,12.098503989,12.574400822,11.977854088,12.574400822,12.118612306
2013-06-26,2712666.0,12.132017851,12.24596498,11.89742082,12.299587158,12.078395672
2013-06-27,2827278.0,12.527481416,12.252667752,12.0716929,12.527481416,12.326398247
2013-06-28,5707101.0,12.65483409,12.520778644,12.272776069,12.876025575,12.668239634
2013-07-01,5622361.0,12.735267357,12.65483409,12.65483409,12.876025575,12.822403397
2013-07-02,2388434.0,12.205748346,12.728564585,12.165531712,12.782186763,12.426939832
2013-07-03,2907003.0,12.400128742,12.413534287,12.232559435,12.473859238,12.353209336
2013-07-04,1932488.0,12.467156465,12.534184188,12.413534287,12.534184188,12.467156465
2013-07-05,1325768.0,12.420237059,12.467156465,12.172234484,12.467156465,12.339803792
2013-07-08,3010122.0,12.400128742,12.359912109,12.252667752,12.540886961,12.426939832
2013-07-10,2119467.0,12.132017851,12.406831515,12.064990128,12.420237059,12.192342801
2013-07-11,3140602.0,12.272776069,12.232559435,12.004665177,12.312992703,12.165531712
2013-07-12,7238716.0,11.964448543,12.272776069,11.964448543,12.299587158,12.044881811
2013-07-15,3023759.0,12.064990128,12.064990128,11.917529137,12.118612306,11.991259632
2013-07-16,1469485.0,12.051584583,12.125315078,11.930934682,12.125315078,12.038179039
2013-07-17,898541.0,12.165531712,12.058287355,11.971151316,12.165531712,12.0716929
2013-07-18,2191024.0,11.930934682,12.15882894,11.917529137,12.15882894,11.971151316
2013-07-19,9340147.0,11.66282379,11.997962405,11.542173889,11.997962405,11.696337652
2013-07-22,2776412.0,11.930934682,11.770068147,11.703040424,11.997962405,11.890718048
2013-07-23,4638228.0,11.991259632,11.930934682,11.803582008,12.132017851,11.951042999
2013-07-24,1261360.0,11.736554285,12.058287355,11.729851513,12.058287355,11.810284781
2013-07-25,1228189.0,11.736554285,11.743257058,11.66282379,11.863906959,11.763365375
2013-07-26,1518371.0,11.796879236,11.823690325,11.696337652,11.870609731,11.790176464
2013-07-29,3022954.0,11.729851513,11.796879236,11.729851513,11.957745771,11.857204187
2013-07-30,1575128.0,11.796879236,11.83709587,11.66282379,11.83709587,11.756662602
2013-07-31,4028847.0,11.729851513,11.796879236,11.696337652,11.917529137,11.796879236
2013-08-01,3743988.0,11.729851513,11.729851513,11.669526562,11.816987553,11.736554285
2013-08-02,986712.0,11.729851513,11.763365375,11.66282379,11.790176464,11.723148741
2013-08-05,1167029.0,11.729851513,11.729851513,11.66282379,11.783473691,11.689634879
2013-08-06,3885936.0,11.307576859,11.669526562,11.287468542,11.723148741,11.441632304
2013-08-07,6664251.0,11.394712898,11.388010126,11.334387948,11.441632304,11.394712898
2013-08-08,1522282.0,11.42822676,11.481848938,11.240549136,11.481848938,11.374604581
2013-08-09,2479850.0,11.227143591,11.394712898,11.227143591,11.461740621,11.347793492
2013-08-12,2176028.0,11.19362973,11.320982403,11.133304779,11.327685175,11.274062997
2013-08-13,3652817.0,11.039465967,11.280765769,10.959032699,11.280765769,11.119899234
2013-08-14,3937141.0,11.434929532,11.10649369,11.10649369,11.595796067,11.408118443
2013-08-15,10899234.0,11.334387948,11.388010126,11.032763195,11.495254483,11.320982403
2013-08-16,2468464.0,11.414821215,11.267360225,11.267360225,11.455037849,11.394712898
2013-08-19,729127.0,11.421523988,11.455037849,11.307576859,11.455037849,11.367901809
2013-08-20,1794265.0,11.233846363,11.455037849,11.233846363,11.455037849,11.327685175
2013-08-21,2992009.0,11.200332502,11.374604581,11.026060422,11.374604581,11.19362973
2013-08-22,2804675.0,11.5153628,11.126602007,11.126602007,11.5153628,11.367901809
2013-08-23,1761040.0,11.528768344,11.354496265,11.354496265,11.716445968,11.582390523
2013-08-26,918765.0,11.448335077,11.461740621,11.448335077,11.66282379,11.555579433
2013-08-27,3623193.0,11.133304779,11.448335077,11.119899234,11.528768344,11.186926957
2013-08-28,1523548.0,11.180224185,11.133304779,11.066277056,11.455037849,11.160115868
2013-08-29,2836380.0,11.361199037,11.287468542,11.140007551,11.441632304,11.347793492
2013-08-30,1983001.0,11.448335077,11.42822676,11.307576859,11.461740621,11.408118443
2013-09-02,3384331.0,11.562282206,11.334387948,11.334387948,11.595796067,11.535471117
2013-09-03,4194417.0,11.629309929,11.401415671,11.401415671,11.66282379,11.528768344
2013-09-04,880926.0,11.656121018,11.629309929,11.508660027,11.66282379,11.622607156
2013-09-05,1446566.0,11.629309929,11.642715473,11.5153628,11.884015276,11.669526562
2013-09-06,8980722.0,11.615904384,11.615904384,11.5153628,11.756662602,11.629309929
2013-09-09,2272282.0,11.709743196,11.615904384,11.455037849,11.830393097,11.609201612
2013-09-10,3022640.0,11.810284781,11.790176464,11.602498839,11.830393097,11.716445968
2013-09-11,1778575.0,11.602498839,11.890718048,11.582390523,11.890718048,11.709743196
2013-09-12,2314309.0,11.562282206,11.696337652,11.408118443,11.696337652,11.522065572
2013-09-13,5087731.0,11.448335077,11.676229335,11.401415671,11.676229335,11.455037849
2013-09-16,8251669.0,11.461740621,11.555579433,11.213738046,11.562282206,11.367901809
2013-09-17,3864642.0,11.528768344,11.461740621,11.434929532,11.629309929,11.495254483
2013-09-18,1649500.0,11.89742082,11.589093295,11.461740621,11.89742082,11.636012701
2013-09-19,4910424.0,11.863906959,11.890718048,11.609201612,11.89742082,11.696337652
2013-09-20,7437264.0,11.796879236,11.823690325,11.770068147,11.930934682,11.843798642
2013-09-23,1005370.0,11.729851513,11.803582008,11.689634879,11.863906959,11.783473691
2013-09-24,1280124.0,11.843798642,11.783473691,11.622607156,11.843798642,11.703040424
2013-09-25,2587554.0,11.930934682,11.823690325,11.790176464,11.930934682,11.890718048
2013-09-26,1363027.0,11.863906959,11.870609731,11.770068147,11.930934682,11.863906959
2013-09-27,1917723.0,11.930934682,11.863906959,11.629309929,11.930934682,11.823690325
2013-09-30,7792786.0,11.729851513,11.910826365,11.622607156,11.910826365,11.656121018
2013-10-01,3352296.0,11.535471117,11.790176464,11.501957255,11.790176464,11.615904384
2013-10-02,1782596.0,11.528768344,11.589093295,11.461740621,11.595796067,11.522065572
2013-10-03,925665.0,11.696337652,11.528768344,11.508660027,11.696337652,11.615904384
2013-10-04,3596590.0,11.535471117,11.703040424,11.475146166,11.830393097,11.57568775
2013-10-07,996563.0,11.555579433,11.656121018,11.361199037,11.656121018,11.5153628
2013-10-08,3006871.0,11.595796067,11.57568775,11.461740621,11.595796067,11.542173889
2013-10-09,5229342.0,11.548876661,11.542173889,11.528768344,11.66282379,11.562282206
2013-10-10,1098630.0,11.649418246,11.562282206,11.481848938,11.689634879,11.595796067
2013-10-11,371688.0,11.729851513,11.66282379,11.582390523,11.783473691,11.696337652
2013-10-14,5112632.0,11.66282379,11.716445968,11.602498839,11.823690325,11.682932107
2013-10-15,2168553.0,11.66282379,11.669526562,11.568984978,11.756662602,11.682932107
2013-10-16,13229363.0,11.548876661,11.696337652,11.542173889,11.696337652,11.555579433
2013-10-17,3122320.0,11.5153628,11.548876661,11.48855171,11.57568775,11.528768344
2013-10-18,3850313.0,11.555579433,11.622607156,11.441632304,11.642715473,11.595796067
2013-10-21,1627965.0,11.595796067,11.501957255,11.441632304,11.682932107,11.568984978
2013-10-22,2898393.0,11.535471117,11.656121018,11.495254483,11.66282379,11.555579433
2013-10-23,8078587.0,11.528768344,11.528768344,11.354496265,11.589093295,11.48855171
2013-10-24,3929836.0,11.394712898,11.568984978,11.394712898,11.568984978,11.441632304
2013-10-25,713909.0,11.535471117,11.455037849,11.414821215,11.535471117,11.501957255
2013-10-28,993734.0,11.461740621,11.555579433,11.421523988,11.555579433,11.481848938
2013-10-29,3266147.0,11.367901809,11.528768344,11.354496265,11.528768344,11.388010126
2013-10-30,3119763.0,11.25395468,11.367901809,11.146710324,11.374604581,11.260657452
2013-10-31,1748972.0,11.327685175,11.320982403,11.207035274,11.381307354,11.280765769
2013-11-01,1367313.0,11.19362973,11.300874086,11.19362973,11.354496265,11.260657452
2013-11-04,2252432.0,11.126602007,11.213738046,11.126602007,11.240549136,11.180224185
2013-11-05,1771502.0,11.19362973,11.19362973,11.079682601,11.287468542,11.180224185
2013-11-06,676115.0,11.066277056,11.247251908,11.066277056,11.247251908,11.10649369
2013-11-07,1246469.0,11.247251908,11.19362973,11.093088145,11.361199037,11.247251908
2013-11-08,2596793.0,11.274062997,11.16681864,10.985843788,11.327685175,11.173521413
2013-11-11,938908.0,11.186926957,11.220440819,11.160115868,11.327685175,11.220440819
2013-11-12,1695878.0,10.959032699,11.227143591,10.959032699,11.227143591,11.066277056
2013-11-13,2433893.0,11.026060422,11.026060422,10.892004976,11.180224185,11.039465967
