Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2007-10-19,0.0,8.1095670845,8.1095670845,8.1095670845,8.1095670845,8.1095670845
2007-10-22,103012389.0,8.3123062616,7.8257322365,7.7040887303,8.4907167374,8.069019249
2007-10-23,34297994.0,8.6772367804,8.450168902,8.3204158287,8.92863336,8.6934559146
2007-10-24,18398273.0,8.6772367804,8.8394281221,8.5312645729,8.8394281221,8.6772367804
2007-10-25,15376650.0,8.7177846158,8.6772367804,8.5150454387,8.7258941829,8.6285793779
2007-10-26,8989404.0,8.8799759575,8.5961411095,8.5150454387,8.8799759575,8.6285793779
2007-10-29,7855570.0,8.9367429271,8.7826611525,8.7583324512,9.1638108055,8.9529620613
2007-10-30,5715246.0,9.2449064763,9.025948165,8.9205237929,9.2530160434,9.0989342688
2007-10-31,11258312.0,9.6503848305,9.2935638788,9.2935638788,9.8936718431,9.7071518001
2007-11-01,4512760.0,9.8125761722,9.8206857393,9.7639187697,9.9585483797,9.8450144406
2007-11-05,8495065.0,9.6503848305,9.7963570381,9.4881934888,9.7963570381,9.6098369951
2007-11-06,3070294.0,9.2449064763,9.6503848305,9.2449064763,9.7314805014,9.4557552205
2007-11-07,4520575.0,8.7745515854,9.1638108055,8.7583324512,9.2043586409,9.0016194638
2007-11-08,2836647.0,8.6853463475,8.8069898537,8.1906627553,9.1638108055,8.9124142258
2007-11-09,4794367.0,8.5961411095,8.7177846158,8.3123062616,8.9205237929,8.6691272133
2007-11-12,895436.0,8.4339497678,8.352854097,8.3447445299,8.5961411095,8.4339497678
2007-11-13,7098069.0,9.0097290308,8.3771827983,8.3771827983,9.1070438359,8.9529620613
2007-11-14,3604979.0,9.2854543117,9.1638108055,9.0016194638,9.3260021472,9.1962490738
2007-11-16,11902756.0,9.2449064763,9.1638108055,9.0016194638,9.3260021472,9.2530160434
2007-11-19,670122.0,8.7177846158,9.2449064763,8.7177846158,9.2449064763,9.025948165
2007-11-21,11429825.0,8.352854097,8.7583324512,8.352854097,8.7583324512,8.5069358716
2007-11-22,2036982.0,8.4177306337,8.5150454387,8.3690732312,8.8394281221,8.5799219754
2007-11-23,3451941.0,8.5150454387,8.5150454387,8.5150454387,8.7583324512,8.6610176462
2007-11-26,1874219.0,8.4258402008,8.6772367804,8.3771827983,8.6772367804,8.4744976033
2007-11-27,5449763.0,8.2717584262,8.3285253958,8.2636488591,8.352854097,8.3204158287
2007-11-28,2358189.0,8.5555932741,8.2717584262,8.2312105907,8.6772367804,8.4744976033
2007-11-29,3191691.0,8.4339497678,8.4663880362,8.3204158287,8.5555932741,8.4744976033
2007-11-30,1549017.0,8.6934559146,8.3934019324,8.3934019324,8.7177846158,8.6285793779
2007-12-03,780854.0,8.9205237929,8.7583324512,8.5231550058,9.0016194638,8.7826611525
2007-12-04,2435285.0,9.0016194638,8.8394281221,8.5231550058,9.0016194638,8.7096750487
2007-12-05,3410767.0,9.4881934888,8.92863336,8.9205237929,9.4881934888,9.0664960004
2007-12-06,1822729.0,9.4881934888,9.5611795926,9.0583864334,9.5611795926,9.2935638788
2007-12-07,1749949.0,9.3178925801,9.1719203725,9.0827151346,9.3584404155,9.1719203725
2007-12-10,878776.0,9.1638108055,9.12326297,9.0827151346,9.2449064763,9.1638108055
2007-12-11,851127.0,8.9854003296,9.2449064763,8.9205237929,9.2854543117,9.0583864334
2007-12-12,7786426.0,8.2717584262,8.8069898537,7.9473757428,8.8069898537,8.547483707
2007-12-13,4802039.0,8.0284714136,8.2717584262,7.9473757428,8.2717584262,8.0528001149
2007-12-14,4460178.0,8.2312105907,8.2717584262,8.069019249,8.2717584262,8.1501149199
2007-12-17,7143984.0,7.7851844011,8.0771288161,7.6229930594,8.0771288161,7.777074834
2007-12-18,13853785.0,7.582445224,7.8662800719,7.3229390773,7.8662800719,7.6473217607
2007-12-19,14217101.0,7.5013495531,7.7040887303,7.4121443152,7.7040887303,7.5175686873
2007-12-20,5081738.0,7.2094051381,7.7040887303,7.1931860039,7.7446365657,7.2418434064
2007-12-21,3072489.0,6.9742276927,7.298610376,6.9336798572,7.298610376,7.0309946622
2007-12-26,4021729.0,6.6903928447,7.0553233635,6.6741737105,7.298610376,6.8363650522
2007-12-27,7161227.0,6.7309406801,6.7390502472,6.6903928447,7.0715424977,6.812036351
2007-12-28,4982176.0,6.3660101613,6.8525841864,6.3254623259,6.8850224547,6.4957632347
2008-01-02,1113236.0,6.3660101613,6.3254623259,6.14705185,6.4876536676,6.2524762221
2008-01-03,1969905.0,6.2768049234,6.2930240576,6.0821753134,6.3579005942,6.2119283867
2008-01-04,2010588.0,5.9605318071,6.244366655,5.9199839717,6.244366655,6.0740657463
2008-01-07,3315619.0,6.1713805513,6.2200379538,6.0983944475,6.5200919359,6.3011336246
2008-01-08,3435396.0,6.1632709842,6.2200379538,6.0010796425,6.4714345334,6.1957092525
2008-01-09,7763985.0,5.7983404654,6.049737045,5.7983404654,6.049737045,5.9280935388
2008-01-10,2570470.0,5.8388883008,5.7983404654,5.5307247516,5.8794361362,5.7091352275
2008-01-11,5544959.0,5.5631630199,5.8388883008,5.5145056174,5.8388883008,5.668587392
2008-01-14,13955790.0,5.8388883008,5.8388883008,5.4820673491,5.8713265692,5.7821213312
2008-01-15,949064.0,5.6037108554,5.8064500325,5.5388343187,5.8713265692,5.668587392
2008-01-16,1934038.0,5.3036568732,5.473957782,5.3036568732,5.571272587,5.4334099466
2008-01-17,6936799.0,5.1414655316,5.4334099466,5.0684794278,5.4334099466,5.2144516353
2008-01-18,4262234.0,5.1333559645,5.3198760074,5.1090272632,5.5145056174,5.3036568732
2008-01-21,3030320.0,4.987383757,4.8657402507,4.6224532381,4.987383757,4.8495211165
2008-01-22,10944899.0,4.9062880861,4.8900689519,4.7846445798,5.75779263,4.9468359215
2008-01-23,2343592.0,5.0279315924,4.8657402507,4.5819054027,5.0279315924,4.7440967444
2008-01-24,2463144.0,5.0684794278,5.2712186049,5.0360411595,5.3523142758,5.1495750986
2008-01-28,2784284.0,4.8657402507,5.0684794278,4.6386723723,5.0684794278,4.8089732811
2008-01-29,2278958.0,4.703548909,4.987383757,4.606234104,4.987383757,4.7359871773
2008-01-30,4271607.0,4.6954393419,4.6630010736,4.6630010736,4.8251924153,4.7359871773
2008-01-31,2628762.0,4.7440967444,4.7278776103,4.6224532381,4.7846445798,4.7116584761
2008-02-01,3912895.0,4.6630010736,4.800863714,4.6386723723,4.8333019823,4.7116584761
2008-02-06,1496853.0,4.7927541469,4.6630010736,4.4764810306,4.8657402507,4.7359871773
2008-02-07,609538.0,4.9062880861,4.7927541469,4.7846445798,5.084698562,4.898178519
2008-02-08,1800523.0,4.9143976532,4.9468359215,4.8738498178,5.1009176961,4.9387263544
2008-02-11,4516879.0,4.703548909,4.9468359215,4.703548909,5.0603698607,4.7522063115
2008-02-12,7736557.0,4.8251924153,4.7846445798,4.7440967444,4.9062880861,4.800863714
2008-02-13,6390011.0,5.1495750986,4.9387263544,4.9062880861,5.1901229341,5.0360411595
2008-02-14,2037158.0,5.0279315924,5.1982325011,4.8657402507,5.3685334099,5.1333559645
2008-02-15,1264424.0,5.2631090378,5.0279315924,4.8819593849,5.2631090378,5.1982325011
2008-02-18,2251386.0,5.4577386479,5.279328172,5.279328172,5.5145056174,5.4496290808
2008-02-19,2131428.0,5.4415195137,5.5145056174,5.3523142758,5.6361491237,5.4334099466
2008-02-20,1974767.0,5.4577386479,5.3523142758,5.3036568732,5.4577386479,5.4334099466
2008-02-21,1757060.0,5.2712186049,5.5550534529,5.1901229341,5.5550534529,5.3523142758
2008-02-22,1088736.0,5.2712186049,5.279328172,5.1495750986,5.5145056174,5.279328172
2008-02-25,976238.0,5.3523142758,5.4171908124,5.1901229341,5.473957782,5.3036568732
2008-02-26,5778781.0,5.1414655316,5.3279855745,5.0279315924,5.3279855745,5.2063420682
2008-02-27,4357300.0,4.9143976532,5.1090272632,4.8819593849,5.1090272632,4.9468359215
2008-02-28,6705642.0,5.5469438858,5.1333559645,5.0279315924,5.6361491237,5.279328172
2008-02-29,3622289.0,5.4334099466,5.5145056174,5.279328172,5.5145056174,5.3928621112
2008-03-03,3125935.0,5.6929160933,5.3523142758,5.3117664403,5.7983404654,5.6523682579
2008-03-04,1945867.0,5.75779263,5.7415734958,5.5956012883,5.7902308983,5.6766969591
2008-03-05,1159263.0,5.8388883008,5.6766969591,5.5793821541,5.8388883008,5.7091352275
