Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2013-10-25,0.0,17.253280517,17.253280517,17.253280517,17.253280517,17.253280517
2013-10-28,81554278.0,17.915433445,18.185890275,17.775541982,18.185890275,18.027346616
2013-10-29,11370994.0,17.654302713,17.906107348,17.579693933,17.952737836,17.728911494
2013-10-30,9499433.0,17.262606615,17.533063445,17.262606615,17.533063445,17.346541493
2013-10-31,18572765.0,17.887455153,17.066758566,17.066758566,18.008694421,17.477106859
2013-11-01,3502657.0,18.558934178,17.654302713,17.616998323,18.624216861,18.157911982
2013-11-04,10941681.0,19.566152717,18.922651984,18.754782227,19.845935644,19.351652472
2013-11-05,4012124.0,20.051109791,19.556826619,19.39828296,20.135044669,19.724696375
2013-11-06,1496351.0,19.472891741,20.060435888,19.444913448,20.414827596,19.603457107
2013-11-07,2258035.0,20.051109791,19.472891741,19.472891741,20.051109791,19.93919662
2013-11-08,1955942.0,20.088414181,20.051109791,19.752674668,20.237631742,19.97650101
2013-11-11,185021.0,20.079088083,19.957848815,19.93919662,20.079088083,20.060435888
2013-11-12,4975469.0,20.004479303,19.957848815,19.743348571,20.079088083,19.995153205
2013-11-13,995816.0,20.191001254,20.004479303,19.911218327,20.191001254,20.097740278
2013-11-14,2418735.0,20.508088572,20.191001254,20.004479303,20.508088572,20.302914425
2013-11-18,5010760.0,20.368197108,20.517414669,20.265610035,20.601349548,20.368197108
2013-11-19,3013464.0,20.28426223,20.377523206,19.603457107,20.377523206,20.107066376
2013-11-21,4188722.0,19.603457107,20.041783693,19.603457107,20.191001254,19.920544425
2013-11-22,3690595.0,19.230413204,19.715370278,18.950630276,19.855261741,19.267717594
2013-11-25,1126665.0,19.305021984,19.137152228,19.062543447,19.6314354,19.314348082
2013-11-26,1828405.0,20.181675157,19.622109302,18.848043203,20.181675157,19.379630765
2013-11-27,1021001.0,20.144370766,20.004479303,19.789979058,20.181675157,20.135044669
2013-11-28,1118352.0,20.097740278,20.144370766,19.911218327,20.191001254,20.135044669
