Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2010-10-29,0.0,211.60237075,211.60237075,211.60237075,211.60237075,211.60237075
2010-11-01,180182581.0,269.59709459,242.95087012,242.95087012,269.59709459,250.81934347
2010-11-03,49848002.0,266.46224465,269.59709459,266.46224465,272.73194453,269.42467784
2010-11-04,29778430.0,265.67853217,265.2098721,252.52470183,269.59552717,262.22236011
2010-11-05,17558767.0,252.35541994,263.32739472,252.35541994,264.89481968,257.21600476
2010-11-08,22889972.0,250.78799497,250.94630489,250.78799497,252.04193494,250.89771472
2010-11-09,3895354.0,251.02310871,250.78799497,250.78799497,262.07345474,254.40247695
2010-11-10,3864719.0,258.62511981,258.54674856,256.8225811,271.8134335,263.37598489
2010-11-11,975000.0,253.9228449,253.9228449,253.9228449,255.49026987,254.70655739
2010-11-12,810000.0,253.9228449,253.9228449,253.9228449,253.9228449,253.9228449
2010-11-16,11452000.0,262.54368223,258.62511981,256.27398236,262.54368223,256.43072485
2010-11-17,12089257.0,274.2993695,268.81338211,258.62355239,274.2993695,266.88701682
2010-11-18,10646361.0,262.54211481,281.7446381,253.9228449,281.7446381,264.87914544
2010-11-19,10495440.0,258.62511981,254.70812481,254.0795874,261.60322725,257.04358802
2010-11-22,489000.0,256.27398236,253.9228449,253.9228449,256.27398236,255.49026987
2010-11-23,2574750.0,253.9228449,250.78799497,250.78799497,255.4918373,252.23316079
2010-11-24,3592780.0,258.62668724,253.9228449,251.38361646,258.62668724,255.97303676
2010-11-25,1147002.0,256.11723986,258.62511981,253.60935991,258.62668724,256.83355307
2010-11-26,657999.0,256.27398236,261.75840232,256.27398236,261.75840232,257.84140733
2010-11-29,1939998.0,252.35541994,256.27398236,251.57170745,256.27398236,253.40089239
2010-11-30,15541202.0,256.27398236,250.78799497,250.78799497,256.27398236,251.13126104
2010-12-01,3446400.0,261.68003107,256.27398236,255.49026987,261.68003107,257.23638129
