Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2011-02-01,0.0,14.926367125,14.926367125,14.926367125,14.926367125,14.926367125
2011-02-02,309359704.0,16.693963232,16.10476453,15.916220945,17.283161935,16.638971354
2011-02-03,36962554.0,16.536843579,16.576123492,16.199036323,16.576123492,16.442571786
2011-02-04,18295995.0,16.497563665,16.489707682,16.419003838,16.717531181,16.458283752
2011-02-07,8318216.0,16.497563665,16.497563665,16.419003838,16.843226904,16.497563665
2011-02-08,12163174.0,15.790525222,16.206892305,15.751245308,16.568267509,16.434715803
2011-02-09,24142565.0,15.240606433,15.908364962,15.240606433,16.332588028,15.743389326
2011-02-10,12451069.0,15.711965395,15.279886346,15.004926952,15.884797014,15.594125654
2011-02-11,6132985.0,15.986924789,15.40558207,15.40558207,16.183324357,15.916220945
2011-02-14,6969852.0,15.908364962,15.884797014,15.515565827,16.10476453,15.93193291
2011-02-15,2121093.0,16.261884184,15.869085049,15.869085049,16.293308115,16.144044444
2011-02-16,11353782.0,16.340444011,16.112620513,16.10476453,16.521131613,16.348299994
2011-02-17,2462141.0,16.026204703,15.994780772,15.72767736,16.332588028,16.026204703
2011-02-18,11966144.0,16.261884184,15.955500858,15.719821378,16.654683319,16.246172219
2011-02-21,801521.0,16.10476453,16.261884184,16.10476453,16.576123492,16.442571786
2011-02-22,6966613.0,16.10476453,16.096908547,15.821949153,16.269740167,16.073340599
2011-02-23,4713003.0,16.371867942,16.293308115,16.144044444,16.371867942,16.246172219
2011-02-24,6382632.0,16.183324357,16.238316236,16.136188461,16.528987596,16.238316236
2011-02-25,371379.0,16.458283752,16.466139734,16.261884184,16.466139734,16.301164098
2011-02-28,5120282.0,16.811802973,16.419003838,16.419003838,16.906074765,16.552555544
2011-03-01,1998281.0,16.497563665,16.51327563,16.340444011,16.811802973,16.505419648
2011-03-02,2640005.0,16.497563665,16.419003838,16.419003838,16.796091008,16.568267509
2011-03-03,1043071.0,16.693963232,16.741099129,16.576123492,16.772523059,16.654683319
2011-03-04,1091369.0,16.811802973,16.733243146,16.662539302,17.039626471,16.709675198
2011-03-09,2867280.0,17.67596107,16.811802973,16.811802973,18.068760205,17.377433727
2011-03-10,6123551.0,18.068760205,17.683817052,17.440281589,18.296583703,17.982344395
2011-03-11,2753622.0,18.060904222,18.060904222,17.974488412,18.453703357,18.08447217
2011-03-14,6081127.0,18.225879859,18.218023876,18.068760205,18.359431564,18.273015755
2011-03-15,4531614.0,17.754520897,18.453703357,17.581689277,18.453703357,17.864504654
2011-03-16,5808538.0,18.068760205,17.79380081,17.416713641,18.147320032,17.872360637
2011-03-17,1873467.0,18.147320032,17.872360637,17.754520897,18.147320032,17.950920464
2011-03-18,2259710.0,17.715240983,18.139464049,17.715240983,18.139464049,18.021624308
2011-03-21,445904.0,18.053048239,17.856648672,17.856648672,18.147320032,18.053048239
2011-03-22,4236310.0,18.147320032,18.115896101,17.990200378,18.257303789,18.139464049
2011-03-23,5112593.0,17.79380081,18.147320032,17.79380081,18.343719599,18.257303789
2011-03-24,651432.0,18.265159772,18.092328153,17.903784568,18.453703357,18.147320032
2011-03-25,1556211.0,18.657958907,18.453703357,18.092328153,18.854358474,18.69723882
2011-03-28,185260.0,18.69723882,18.540119166,18.461559339,18.791510613,18.657958907
2011-03-29,595033.0,18.469415322,18.657958907,18.469415322,18.66581489,18.626534976
2011-03-30,2757498.0,17.911640551,18.854358474,17.911640551,18.854358474,18.249447807
2011-03-31,3239439.0,17.872360637,17.88021662,17.754520897,18.068760205,17.911640551
2011-04-01,905939.0,17.58954526,18.139464049,17.58954526,18.155176014,17.746664914
2011-04-04,16159916.0,17.668105087,17.67596107,17.628825174,17.966632429,17.848792689
2011-04-05,1918929.0,17.67596107,18.053048239,17.67596107,18.053048239,17.801656793
2011-04-06,201011.0,17.67596107,17.715240983,17.67596107,17.935208499,17.746664914
2011-04-07,1165417.0,17.872360637,17.495273468,17.283161935,17.872360637,17.809512776
2011-04-08,571369.0,18.068760205,17.872360637,17.872360637,18.37514353,18.100184135
2011-04-11,334874.0,18.068760205,18.068760205,18.068760205,18.422279426,18.273015755
2011-04-12,190992.0,18.076616187,18.068760205,18.068760205,18.335863616,18.076616187
2011-04-13,11069696.0,18.57939908,18.155176014,18.155176014,18.69723882,18.587255063
2011-04-14,5478346.0,19.325717436,18.846502492,18.846502492,19.624244779,19.294293505
2011-04-15,1655872.0,19.600676831,19.632100761,19.333573419,20.189875533,19.624244779
2011-04-18,356625.0,19.545684952,19.797076398,19.325717436,19.875636225,19.592820848
2011-04-19,1891173.0,19.137173851,19.561396917,19.011478128,19.561396917,19.270725557
2011-04-20,2592187.0,19.129317869,19.561396917,19.129317869,19.624244779,19.286437523
2011-04-25,549784.0,18.925062319,18.775798647,18.69723882,19.1607418,19.027190094
2011-04-26,2746107.0,19.090037955,19.027190094,19.011478128,19.247157609,19.027190094
2011-04-27,1509431.0,19.090037955,19.145029834,19.011478128,19.207877696,19.097893938
2011-04-28,2030644.0,19.011478128,19.019334111,19.011478128,19.239301627,19.011478128
2011-04-29,1208474.0,19.1607418,19.050758042,19.011478128,19.1607418,19.027190094
2011-05-02,6072251.0,19.419989229,19.011478128,19.011478128,19.639956744,19.435701194
2011-05-03,10397408.0,19.372853332,19.632100761,19.372853332,19.639956744,19.561396917
2011-05-04,2795086.0,19.247157609,19.294293505,19.247157609,19.443557177,19.325717436
2011-05-05,78150.0,19.090037955,19.247157609,19.090037955,19.247157609,19.184309748
2011-05-06,641948.0,19.561396917,19.317861453,19.121461886,19.639956744,19.39642128
2011-05-09,617124.0,19.404277263,19.333573419,19.325717436,19.451413159,19.388565298
2011-05-10,1698222.0,19.419989229,19.325717436,19.325717436,19.639956744,19.388565298
2011-05-11,11089420.0,19.325717436,19.545684952,19.011478128,19.545684952,19.325717436
2011-05-12,18036012.0,19.443557177,19.325717436,19.097893938,19.639956744,19.443557177
2011-05-13,1083465.0,19.443557177,19.443557177,19.184309748,19.514261021,19.435701194
2011-05-16,7272732.0,19.844212294,19.592820848,19.27858154,20.417699031,19.828500329
2011-05-17,1130467.0,20.229155446,20.346995187,19.993475965,20.346995187,20.18201955
2011-05-18,1454097.0,20.26843536,20.229155446,20.150595619,20.323427239,20.221299464
2011-05-19,959590.0,19.954196052,20.26843536,19.954196052,20.621954581,20.370563135
2011-05-20,215509.0,20.032755879,20.252723395,19.671380675,20.425555014,19.914916139
2011-05-23,2160698.0,19.48283709,19.726372554,19.247157609,19.726372554,19.514261021
2011-05-24,3607089.0,19.443557177,19.294293505,19.137173851,19.875636225,19.435701194
