Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
1996-07-19,2750.0,23.638026328,23.638026328,23.638026328,23.638026328,23.638026328
1996-08-06,2800.0,24.067808625,24.067808625,24.067808625,24.067808625,24.067808625
1997-06-04,2810.0,24.153765084,24.153765084,24.153765084,24.153765084,24.153765084
1997-06-05,2850.0,24.497590922,24.497590922,24.497590922,24.497590922,24.497590922
1997-06-10,3000.0,25.786937812,25.786937812,25.786937812,25.786937812,25.786937812
1997-07-08,3150.0,27.076284703,27.076284703,27.076284703,27.076284703,27.076284703
1997-07-10,3300.0,28.365631594,28.365631594,28.365631594,28.365631594,28.365631594
1997-07-17,3450.0,29.654978484,29.654978484,29.654978484,29.654978484,29.654978484
1997-08-05,3510.0,30.17071724,30.17071724,30.17071724,30.17071724,30.17071724
1997-08-06,3600.0,30.944325375,30.944325375,30.944325375,30.944325375,30.944325375
1997-08-14,3700.0,31.803889969,31.803889969,31.803889969,31.803889969,31.803889969
1997-09-19,3700.0,31.803889969,31.803889969,31.803889969,31.803889969,31.803889969
1997-09-30,11700.0,33.523019156,33.523019156,33.523019156,33.523019156,33.523019156
1997-10-09,19150.0,32.92132394,32.92132394,32.92132394,32.92132394,32.92132394
1997-10-14,27300.0,33.523019156,33.523019156,33.523019156,33.523019156,33.523019156
1997-10-15,23580.0,34.38258375,33.523019156,33.523019156,34.38258375,33.780888534
1997-10-16,20000.0,34.38258375,34.38258375,34.38258375,34.38258375,34.38258375
1997-10-17,4200.0,36.101712937,36.101712937,36.101712937,36.101712937,36.101712937
1997-10-22,4300.0,36.961277531,36.961277531,36.961277531,36.961277531,36.961277531
1997-10-27,4000.0,34.38258375,34.38258375,34.38258375,34.38258375,34.38258375
1997-11-04,4300.0,36.961277531,36.961277531,36.961277531,36.961277531,36.961277531
1997-11-11,4000.0,34.38258375,34.38258375,34.38258375,34.38258375,34.38258375
1997-11-25,3900.0,33.523019156,33.523019156,33.523019156,33.523019156,33.523019156
1997-12-05,8260.0,35.500017722,35.500017722,35.500017722,35.500017722,35.500017722
1997-12-09,4200.0,36.101712937,36.101712937,36.101712937,36.101712937,36.101712937
1998-01-08,4300.0,36.961277531,36.961277531,36.961277531,36.961277531,36.961277531
1998-01-28,4320.0,37.13319045,37.13319045,37.13319045,37.13319045,37.13319045
1998-02-02,8700.0,37.391059828,37.391059828,37.391059828,37.391059828,37.391059828
1998-02-09,4350.0,37.391059828,37.391059828,37.391059828,37.391059828,37.391059828
1998-03-04,8810.0,38.594450259,37.13319045,37.13319045,38.594450259,37.906798584
1998-03-05,147700.0,36.015756478,36.617451694,36.015756478,36.617451694,36.273625856
1998-03-06,83600.0,35.929800018,35.929800018,35.929800018,35.929800018,35.929800018
1998-03-11,92500.0,38.680406719,37.820842125,37.820842125,38.680406719,37.820842125
1998-03-20,17600.0,37.820842125,37.820842125,37.820842125,37.820842125,37.820842125
1998-03-26,4400.0,37.820842125,37.820842125,37.820842125,37.820842125,37.820842125
1998-03-31,63000.0,36.101712937,36.101712937,36.101712937,36.101712937,36.101712937
1998-04-08,4400.0,37.820842125,37.820842125,37.820842125,37.820842125,37.820842125
1998-05-25,8600.0,36.961277531,36.961277531,36.961277531,36.961277531,36.961277531
1998-06-24,25800.0,36.961277531,36.961277531,36.961277531,36.961277531,36.961277531
1998-06-26,4300.0,36.961277531,36.961277531,36.961277531,36.961277531,36.961277531
1998-08-21,4290.0,36.875321072,36.875321072,36.875321072,36.875321072,36.875321072
1998-09-01,3620.0,31.116238294,31.116238294,31.116238294,31.116238294,31.116238294
1998-09-10,3620.0,31.116238294,31.116238294,31.116238294,31.116238294,31.116238294
1998-11-10,3620.0,31.116238294,31.116238294,31.116238294,31.116238294,31.116238294
1998-11-17,3620.0,31.116238294,31.116238294,31.116238294,31.116238294,31.116238294
1998-12-15,3500.0,30.084760781,30.084760781,30.084760781,30.084760781,30.084760781
1999-03-05,3490.0,29.998804322,29.998804322,29.998804322,29.998804322,29.998804322
1999-09-28,6980.0,29.998804322,29.998804322,29.998804322,29.998804322,29.998804322
2000-02-10,3480.0,29.912847862,29.912847862,29.912847862,29.912847862,29.912847862
2000-02-23,6620.0,27.506067,29.397109106,27.506067,29.397109106,28.451588053
2000-02-25,2840.0,24.411634462,24.411634462,24.411634462,24.411634462,24.411634462
2001-03-20,5600.0,24.067808625,24.067808625,24.067808625,24.067808625,24.067808625
2001-03-28,2300.0,19.769985656,19.769985656,19.769985656,19.769985656,19.769985656
2001-03-29,6920.0,19.769985656,19.855942116,19.769985656,19.855942116,19.855942116
2001-04-03,2310.0,19.855942116,19.855942116,19.855942116,19.855942116,19.855942116
2001-07-30,13860.0,19.855942116,19.855942116,19.855942116,19.855942116,19.855942116
2001-08-29,2290.0,19.684029197,19.684029197,19.684029197,19.684029197,19.684029197
2001-08-31,11450.0,19.684029197,19.684029197,19.684029197,19.684029197,19.684029197
2001-11-26,6870.0,19.684029197,19.684029197,19.684029197,19.684029197,19.684029197
2001-11-29,6870.0,22.63516913,22.84466166,22.84466166,22.84466166,22.84466166
2003-05-23,2190.0,21.847078182,21.847078182,21.847078182,21.847078182,21.847078182
2003-09-04,6540.0,21.747319834,21.747319834,21.747319834,21.747319834,21.747319834
2004-11-05,7962.0,2.4939586965,0.99758347861,0.99758347861,2.4939586965,1.1971001743
2004-11-08,5798.0,1.9951669572,2.2944420008,1.7956502615,2.5937170444,2.0949253051
2004-11-09,2494.0,2.4939586965,2.2944420008,2.2944420008,2.7932337401,2.4939586965
2004-11-10,1673.0,2.3942003487,2.2944420008,2.1946836529,2.5937170444,2.2944420008
2004-11-12,175.0,2.4939586965,2.4939586965,2.4939586965,2.4939586965,2.4939586965
2004-11-16,4005.0,2.2944420008,2.2944420008,2.1946836529,2.2944420008,2.2944420008
2004-11-17,1176.0,2.5937170444,2.4939586965,2.4939586965,2.5937170444,2.5937170444
2004-11-19,3060.0,2.3942003487,2.5937170444,2.3942003487,2.6934753922,2.5937170444
2004-11-22,250.0,2.4939586965,2.4939586965,2.4939586965,2.4939586965,2.4939586965
2004-11-23,26.0,2.5937170444,2.5937170444,2.5937170444,2.5937170444,2.5937170444
2004-11-24,300.0,2.4939586965,2.4939586965,2.4939586965,2.4939586965,2.4939586965
2004-11-29,480.0,2.3942003487,2.3942003487,2.3942003487,2.3942003487,2.3942003487
2004-12-02,7644.0,2.7932337401,2.3942003487,2.3942003487,2.7932337401,2.6934753922
2004-12-14,600.0,2.9927504358,2.9927504358,2.9927504358,2.9927504358,2.9927504358
2004-12-17,1080.0,2.6934753922,2.6934753922,2.6934753922,2.6934753922,2.6934753922
2004-12-27,300.0,2.9927504358,2.9927504358,2.9927504358,2.9927504358,2.9927504358
2004-12-28,6750.0,2.9927504358,2.9927504358,2.9927504358,2.9927504358,2.9927504358
2004-12-29,1150.0,3.9903339144,3.4915421751,3.4915421751,3.9903339144,3.7908172187
2004-12-30,4118.0,5.3869507845,3.4915421751,3.4915421751,5.3869507845,4.7884006973
2005-01-03,6948.0,3.8905755666,5.3869507845,3.8905755666,5.3869507845,5.2871924366
2005-01-04,1634.0,3.7908172187,3.7908172187,3.7908172187,3.7908172187,3.7908172187
2005-01-05,1896.0,3.591300523,3.7908172187,3.591300523,3.7908172187,3.6910588709
2005-01-06,500.0,4.9879173931,4.9879173931,4.9879173931,4.9879173931,4.9879173931
2005-01-18,1316.0,4.6886423495,4.6886423495,4.6886423495,4.6886423495,4.6886423495
2005-02-03,590.0,3.1922671316,2.6934753922,2.6934753922,3.1922671316,2.9927504358
2005-02-11,65.0,3.2920254794,3.1922671316,3.1922671316,3.2920254794,3.2920254794
2005-02-16,48.0,2.3942003487,2.3942003487,2.3942003487,2.3942003487,2.3942003487
2005-02-18,26.0,2.5937170444,2.5937170444,2.5937170444,2.5937170444,2.5937170444
2005-03-21,840.0,2.9927504358,2.9927504358,2.9927504358,2.9927504358,2.9927504358
2005-03-23,150.0,2.9927504358,2.9927504358,2.9927504358,2.9927504358,2.9927504358
2005-04-20,456.0,1.6958919136,2.4939586965,1.5961335658,2.4939586965,1.7956502615
2005-04-22,896.0,1.6958919136,1.7956502615,1.6958919136,1.7956502615,1.6958919136
2005-04-25,20.0,1.9951669572,1.9951669572,1.9951669572,1.9951669572,1.9951669572
2005-04-27,190.0,1.8954086094,1.8954086094,1.8954086094,1.8954086094,1.8954086094
2005-05-02,180.0,1.6958919136,1.8954086094,1.6958919136,1.8954086094,1.7956502615
2005-05-03,170.0,1.6958919136,1.6958919136,1.6958919136,1.6958919136,1.6958919136
2005-05-04,850.0,1.6958919136,1.6958919136,1.6958919136,1.6958919136,1.6958919136
2005-05-05,850.0,1.6958919136,1.6958919136,1.6958919136,1.6958919136,1.6958919136
2005-05-06,425.0,1.6958919136,1.6958919136,1.6958919136,1.6958919136,1.6958919136
2005-06-02,400.0,1.9951669572,1.9951669572,1.9951669572,1.9951669572,1.9951669572
2005-06-08,20.0,1.9951669572,1.9951669572,1.9951669572,1.9951669572,1.9951669572
2005-06-14,160.0,1.9951669572,1.9951669572,1.9951669572,1.9951669572,1.9951669572
2005-06-29,190.0,1.8954086094,1.8954086094,1.8954086094,1.8954086094,1.8954086094
2005-07-11,1026.0,1.8954086094,1.8954086094,1.8954086094,1.8954086094,1.8954086094
2005-07-13,144.0,1.7956502615,1.7956502615,1.7956502615,1.7956502615,1.7956502615
2005-07-27,17.0,1.6958919136,1.6958919136,1.6958919136,1.6958919136,1.6958919136
2005-08-25,140.0,1.9951669572,1.9951669572,1.9951669572,1.9951669572,1.9951669572
2005-08-31,600.0,1.9951669572,1.9951669572,1.9951669572,1.9951669572,1.9951669572
2005-09-05,38.0,1.8954086094,1.8954086094,1.8954086094,1.8954086094,1.8954086094
2005-09-26,160.0,1.9951669572,1.9951669572,1.9951669572,1.9951669572,1.9951669572
2005-10-26,400.0,1.9951669572,1.8954086094,1.8954086094,1.9951669572,1.8954086094
2005-11-03,248.0,1.9951669572,1.8954086094,1.8954086094,1.9951669572,1.8954086094
2005-11-23,276.0,1.1971001743,0.59855008717,0.59855008717,1.1971001743,0.79806678289
2005-11-24,18.0,1.7956502615,1.7956502615,1.7956502615,1.7956502615,1.7956502615
2005-11-25,125.0,1.7956502615,1.7956502615,1.6958919136,1.7956502615,1.7956502615
2005-11-28,54.0,1.7956502615,1.7956502615,1.7956502615,1.7956502615,1.7956502615
2005-12-01,216.0,1.7956502615,1.7956502615,1.7956502615,1.7956502615,1.7956502615
2005-12-02,57.0,1.8954086094,1.8954086094,1.8954086094,1.8954086094,1.8954086094
2005-12-06,152.0,1.8954086094,1.8954086094,1.8954086094,1.8954086094,1.8954086094
2005-12-21,190.0,1.8954086094,1.8954086094,1.8954086094,1.8954086094,1.8954086094
2006-01-20,120.0,3.9903339144,3.9903339144,3.9903339144,3.9903339144,3.9903339144
2006-01-23,41.0,4.0900922623,4.0900922623,4.0900922623,4.0900922623,4.0900922623
2006-01-27,84.0,4.1898506102,4.1898506102,4.1898506102,4.1898506102,4.1898506102
2006-02-06,451.0,4.0900922623,4.0900922623,4.0900922623,4.0900922623,4.0900922623
2006-02-07,1016.0,4.0900922623,3.8905755666,3.8905755666,4.0900922623,3.8905755666
2006-05-05,984.0,4.0900922623,4.0900922623,4.0900922623,4.0900922623,4.0900922623
2006-07-27,140.0,3.4915421751,3.4915421751,3.4915421751,3.4915421751,3.4915421751
2006-08-02,900.0,3.9903339144,3.4915421751,3.4915421751,3.9903339144,3.591300523
2006-08-03,117.0,3.8905755666,3.8905755666,3.8905755666,3.8905755666,3.8905755666
2006-08-04,78.0,3.8905755666,3.8905755666,3.8905755666,3.8905755666,3.8905755666
2006-08-16,78.0,3.8905755666,3.8905755666,3.8905755666,3.8905755666,3.8905755666
2006-09-01,78.0,3.8905755666,3.8905755666,3.8905755666,3.8905755666,3.8905755666
2006-09-08,39.0,3.8905755666,3.8905755666,3.8905755666,3.8905755666,3.8905755666
2006-09-13,175.0,3.4915421751,3.4915421751,3.4915421751,3.4915421751,3.4915421751
2006-09-15,1440.0,4.4891256537,4.4891256537,4.4891256537,4.4891256537,4.4891256537
2006-09-19,450.0,4.4891256537,4.4891256537,4.4891256537,4.4891256537,4.4891256537
2006-12-27,390.0,3.8905755666,3.8905755666,3.8905755666,3.8905755666,3.8905755666
2007-01-15,117.0,3.8905755666,3.8905755666,3.8905755666,3.8905755666,3.8905755666
2007-01-24,26769.0,7.9806678289,4.6886423495,4.6886423495,9.8760764382,6.8833260024
2007-01-26,77076.0,19.752152876,8.4794595682,8.4794595682,21.44804479,16.859160789
2007-01-29,229685.0,31.124604533,20.151186268,20.151186268,39.903339144,33.518804881
2007-01-30,519077.0,57.36105002,38.905755666,34.51638836,57.36105002,44.492223146
2007-01-31,1545229.0,120.70760091,67.336884806,66.339301328,120.70760091,91.87743838
2007-02-01,2348062.0,149.73728014,141.65685396,124.89745152,228.34685825,179.36550945
2007-02-02,598377.0,102.65133994,179.56502615,84.794595682,179.56502615,113.02620812
2007-02-05,197911.0,82.300636985,89.782513075,64.84292611,90.780096554,77.113202897
2007-02-06,148384.0,93.27405525,79.806678289,67.336884806,119.71001743,91.378646641
2007-02-07,82963.0,89.882271423,88.585412901,88.585412901,101.35448142,95.169463859
2007-02-08,70619.0,89.782513075,89.882271423,83.797012203,98.760764382,90.281304814
2007-02-09,45796.0,80.105953332,88.286137857,79.806678289,90.680338206,86.191212552
2007-02-12,66962.0,75.317552635,77.811511332,59.954767065,83.797012203,73.422144026
2007-02-13,21030.0,69.930601851,73.821177417,69.830843503,74.818760896,72.324802199
2007-02-14,12060.0,68.833260024,69.830843503,65.042442805,69.830843503,66.838093067
2007-02-15,24673.0,64.34413437,63.546067588,63.546067588,69.830843503,68.334468285
2007-02-16,3960.0,65.840509588,65.840509588,65.840509588,65.840509588,65.840509588
2007-02-21,5496.0,60.752833847,60.952350543,60.752833847,61.351383935,60.952350543
2007-02-22,39861.0,52.772166018,54.966849671,49.879173931,58.75766689,52.971682714
2007-02-23,21394.0,48.881590452,50.477724018,41.399714362,50.477724018,48.48255706
2007-02-26,1943.0,44.891256537,53.769749497,44.891256537,53.769749497,48.48255706
2007-02-27,19117.0,39.903339144,43.893673059,37.010347056,43.893673059,41.49947271
2007-02-28,3900.0,39.903339144,38.905755666,37.409380448,40.900922623,38.905755666
2007-03-01,4692.0,44.891256537,39.803580797,39.803580797,44.891256537,42.596814537
2007-03-02,217504.0,58.857425238,49.779415583,49.779415583,64.942684458,58.458391847
2007-03-05,25919.0,51.77458254,57.859841759,47.983765321,57.859841759,52.772166018
2007-03-06,22605.0,51.375549148,50.976515757,41.898506102,51.375549148,46.986181843
2007-03-08,11864.0,47.884006973,47.884006973,47.884006973,52.871924366,49.280623843
2007-03-09,17055.0,41.898506102,50.876757409,41.898506102,52.772166018,44.79149819
2007-03-12,41976.0,44.891256537,44.891256537,43.095606276,46.287873408,44.591981494
2007-03-13,39703.0,43.095606276,47.784248625,43.095606276,47.784248625,46.587148451
2007-03-14,13745.0,40.003097492,43.095606276,40.003097492,44.691739842,41.599231058
2007-03-15,3953.0,39.404547405,40.003097492,38.007930535,40.003097492,39.404547405
2007-03-16,12953.0,40.900922623,40.900922623,39.903339144,44.691739842,40.402130884
2007-03-19,12297.0,37.908172187,39.703822449,37.908172187,39.703822449,38.307205579
