Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2010-10-05,181440.0,24.599785619,24.599785619,24.331424322,24.599785619,24.590840243
2010-10-06,10582.0,23.794701726,23.535285805,23.535285805,23.794701726,23.669466454
2010-10-07,5345.0,23.928882375,23.884155492,23.884155492,23.928882375,23.910991622
2010-10-18,5705.0,25.539050161,25.494323278,25.494323278,25.539050161,25.521159408
2010-10-27,56100.0,25.091781332,25.091781332,25.091781332,25.091781332,25.091781332
2010-10-29,5200.0,23.257979131,23.257979131,23.257979131,23.257979131,23.257979131
2010-11-25,9800.0,22.647046868,21.748354532,21.748354532,22.647046868,22.017962232
2010-11-29,4945.0,22.242635316,22.1977007,22.1977007,22.242635316,22.22466147
2011-10-05,7236.0,16.498713707,16.498713707,16.498713707,16.498713707,16.498713707
2011-10-25,42180.0,19.2348188,19.2348188,19.2348188,19.2348188,19.2348188
2011-10-28,16490.0,15.039457658,15.039457658,15.039457658,15.039457658,15.039457658
2012-10-08,4129230.0,16.614259465,16.89745707,16.614259465,16.89745707,16.89745707
2012-10-26,11032.0,14.877314157,14.877314157,14.877314157,14.877314157,14.877314157
2012-10-31,11011.0,14.848994397,14.848994397,14.848994397,14.848994397,14.848994397
2012-11-05,37320.0,14.679075834,14.679075834,14.679075834,14.679075834,14.679075834
2012-11-07,1497.0,14.131560465,14.131560465,14.131560465,14.131560465,14.131560465
2012-11-08,4458.0,14.027721343,14.027721343,14.027721343,14.027721343,14.027721343
2012-11-09,4446.0,13.989961663,13.989961663,13.989961663,13.989961663,13.989961663
2012-11-14,1426.0,13.600624566,13.600624566,13.600624566,13.600624566,13.600624566
2012-11-19,7430.0,14.172880859,14.172880859,14.172880859,14.172880859,14.172880859
2012-11-21,1457.0,13.896290318,13.896290318,13.896290318,13.896290318,13.896290318
2012-11-23,4461.0,14.182418464,14.182418464,14.182418464,14.182418464,14.182418464
2012-11-26,4503.0,14.315944933,14.315944933,14.315944933,14.315944933,14.315944933
2012-11-27,1465.0,13.972591157,13.972591157,13.972591157,13.972591157,13.972591157
2012-11-28,4407.0,14.010741576,14.010741576,14.010741576,14.010741576,14.010741576
2012-11-30,4470.0,14.211031279,14.211031279,14.211031279,14.211031279,14.211031279
2012-12-04,1460.0,13.924903132,13.924903132,13.924903132,13.924903132,13.924903132
2012-12-07,87324.0,14.611610684,14.611610684,14.611610684,14.611610684,14.611610684
2012-12-10,1521.0,14.50669703,14.50669703,14.50669703,14.50669703,14.50669703
2012-12-11,9096.0,14.459009006,14.459009006,14.459009006,14.459009006,14.459009006
2012-12-17,3004.0,14.325482538,14.325482538,14.325482538,14.325482538,14.325482538
2012-12-20,7555.0,14.411320982,14.411320982,14.411320982,14.411320982,14.411320982
2012-12-26,1442.0,13.753226245,13.753226245,13.753226245,13.753226245,13.753226245
2012-12-28,4275.0,13.591086961,13.591086961,13.591086961,13.591086961,13.591086961
2013-01-02,1535.0,14.640223499,14.640223499,14.640223499,14.640223499,14.640223499
2013-01-03,1614.0,15.393694285,15.393694285,15.393694285,15.393694285,15.393694285
2013-01-10,23280.0,14.802362782,14.802362782,14.802362782,14.802362782,14.802362782
2013-01-15,1590.0,15.164791768,15.164791768,15.164791768,15.164791768,15.164791768
2013-01-16,1648.0,15.717972851,15.717972851,15.717972851,15.717972851,15.717972851
2013-01-24,3390.0,16.166240281,16.166240281,16.166240281,16.166240281,16.166240281
2013-01-30,1715.0,16.356992379,16.356992379,16.356992379,16.356992379,16.356992379
2013-02-04,3410.0,16.26161633,16.26161633,16.26161633,16.26161633,16.26161633
2013-02-13,5283049.0,19.447176362,19.447176362,19.447176362,19.447176362,19.447176362
2013-06-28,2335.0,22.355288807,22.355288807,22.355288807,22.355288807,22.355288807
2013-07-31,2635.0,25.227488654,25.227488654,25.227488654,25.227488654,25.227488654
2013-12-30,4042.0,19.41360013,19.41360013,19.41360013,19.41360013,19.41360013
2014-01-31,12642.0,17.338717583,17.405959147,17.338717583,17.405959147,17.348323521
2014-02-19,1823.0,17.511624462,17.511624462,17.511624462,17.511624462,17.511624462
2014-02-20,3610.0,17.338717583,17.338717583,17.338717583,17.338717583,17.338717583
2014-02-21,1807.0,17.357929458,17.357929458,17.357929458,17.357929458,17.357929458
2014-03-05,1742.0,16.777415846,16.777415846,16.777415846,16.777415846,16.777415846
2014-03-13,3514.0,16.921882687,16.921882687,16.921882687,16.921882687,16.921882687
2014-03-17,1740.0,16.7581536,16.7581536,16.7581536,16.7581536,16.7581536
2014-03-19,1743.0,16.787046968,16.787046968,16.787046968,16.787046968,16.787046968
2014-03-20,1729.0,16.65221125,16.65221125,16.65221125,16.65221125,16.65221125
2014-03-21,1727.0,16.632949004,16.632949004,16.632949004,16.632949004,16.632949004
2014-03-25,1708.0,16.449957672,16.449957672,16.449957672,16.449957672,16.449957672
2014-03-27,1644.0,15.833565815,15.833565815,15.833565815,15.833565815,15.833565815
2014-04-01,1671.0,16.09360613,16.09360613,16.09360613,16.09360613,16.09360613
2014-04-04,1649.0,15.881721429,15.881721429,15.881721429,15.881721429,15.881721429
2014-04-16,1657.0,15.958770411,15.958770411,15.958770411,15.958770411,15.958770411
2014-05-14,1549.0,14.957713373,14.957713373,14.957713373,14.957713373,14.957713373
2014-05-20,404448.0,14.793555124,14.793555124,14.793555124,14.793555124,14.793555124
2014-05-22,31000.0,14.96736974,14.96736974,14.96736974,14.96736974,14.96736974
2014-06-03,425100.0,15.788160984,15.788160984,15.788160984,15.788160984,15.788160984
2014-06-06,8050.0,15.546751795,15.546751795,15.546751795,15.546751795,15.546751795
2014-06-13,1634.0,15.778504617,15.778504617,15.778504617,15.778504617,15.778504617
2014-07-08,1632.0,15.759191881,15.759191881,15.759191881,15.759191881,15.759191881
2014-07-22,26299.0,14.938400638,14.938400638,14.938400638,14.938400638,14.938400638
2014-08-26,9570.0,15.445597203,15.445597203,15.445597203,15.445597203,15.445597203
2014-09-30,38375.0,14.864571603,14.864571603,14.864571603,14.864571603,14.864571603
2014-10-29,45934.0,13.082759763,13.082759763,13.082759763,13.082759763,13.082759763
2014-12-04,623610.0,11.953017851,11.953017851,11.953017851,11.953017851,11.953017851
2014-12-05,196015.0,12.293144375,12.244554872,12.244554872,12.293144375,12.293144375
2015-01-12,1085.0,10.54392225,10.54392225,10.54392225,10.54392225,10.54392225
2015-01-15,12000.0,9.7179006921,9.7179006921,9.7179006921,9.7179006921,9.7179006921
2015-02-03,2310.0,11.418533313,11.029817285,11.029817285,11.418533313,11.224175299
2015-09-21,1470181.0,7.2032730481,7.5289004599,7.2032730481,7.5289004599,7.410490492
2015-09-28,77103.0,6.502680738,6.502680738,6.502680738,6.502680738,6.502680738
2015-09-29,920865.0,6.5816207166,6.7987056578,6.5816207166,6.7987056578,6.6112232086
2015-09-30,653.0,6.443475754,6.443475754,6.443475754,6.443475754,6.443475754
2015-10-06,50544.0,6.926983123,6.926983123,6.926983123,6.926983123,6.926983123
2015-10-07,60000.0,7.4006229947,7.4006229947,7.4006229947,7.4006229947,7.4006229947
2015-10-08,4620.0,7.5979729412,7.5979729412,7.5979729412,7.5979729412,7.5979729412
2015-10-14,405897.0,7.2822130267,7.2526105348,7.2526105348,7.2822130267,7.2822130267
2015-10-20,2984.0,7.2822130267,7.440092984,7.2822130267,7.440092984,7.3611530053
2015-10-21,3730.0,7.3611530053,7.3611530053,7.3611530053,7.3611530053,7.3611530053
2015-10-26,2820.0,6.956585615,6.956585615,6.956585615,6.956585615,6.956585615
2015-10-27,264458.0,6.5421507273,6.5520182246,6.4632107487,6.5520182246,6.5421507273
2015-10-28,754.0,7.440092984,7.440092984,7.440092984,7.440092984,7.440092984
2015-11-04,199320.0,6.5125482353,6.5125482353,6.5125482353,6.5125482353,6.5125482353
2015-11-05,599.0,5.9106308984,5.9106308984,5.9106308984,5.9106308984,5.9106308984
2015-11-06,22724.0,5.9007634011,5.9007634011,5.9007634011,5.9007634011,5.9007634011
2015-11-09,414540.0,5.8020884278,5.8020884278,5.8020884278,5.8020884278,5.8020884278
2015-11-11,5049.0,5.535666,5.535666,5.535666,5.535666,5.535666
2015-11-13,610.0,6.1,6.1,6.1,6.1,6.1
2015-11-16,5760.0,4.8,4.8,4.8,4.8,4.8
2015-11-17,10185.0,4.85,4.85,4.85,4.85,4.85
2015-11-23,806568.0,5.36,5.15,5.15,5.41,5.26
2015-11-27,645.0,6.45,6.45,6.45,6.45,6.45
2015-11-30,672590.0,6.53,6.53,6.53,6.53,6.53
2015-12-02,25819.0,7.17,7.24,7.17,7.24,7.17
2015-12-07,133660.0,8.2,8.2,8.2,8.2,8.2
2015-12-14,343906.0,7.46,7.46,7.46,7.46,7.46
2015-12-21,208080.0,8.16,8.16,8.16,8.16,8.16
2015-12-22,25312.0,7.91,7.91,7.91,7.91,7.91
2015-12-28,34568.0,7.87,7.84,7.84,7.87,7.86
2015-12-30,2457.0,8.19,8.19,8.19,8.19,8.19
2016-01-04,60975.0,8.13,8.13,8.13,8.13,8.13
2016-01-11,40560.0,5.2,5.2,5.2,5.2,5.2
2016-01-14,525.0,5.25,5.25,5.25,5.25,5.25
2016-01-19,685440.0,5.1,5.1,5.1,5.1,5.1
2016-01-20,5145.0,5.15,4.63,4.63,5.15,4.68
2016-01-21,550.0,5.5,5.5,5.5,5.5,5.5
2016-01-26,153260.0,5.56,5.7,5.56,5.7,5.7
2016-01-27,9225.0,6.15,6.15,6.15,6.15,6.15
2016-02-01,287060.0,6.2,6.2,6.2,6.2,6.2
2016-02-10,26120.0,6.53,6.53,6.53,6.53,6.53
2016-02-16,49266.0,7.14,7.14,7.14,7.14,7.14
2016-02-19,6300.0,7.0,7.0,7.0,7.0,7.0
2016-02-22,421850.0,7.15,7.15,7.15,7.15,7.15
2016-02-25,4344.0,7.24,7.24,7.24,7.24,7.24
2016-02-26,4542.0,7.57,7.57,7.57,7.57,7.57
2016-02-29,120480.0,7.53,7.53,7.53,7.53,7.53
2016-03-02,4458.0,7.43,7.43,7.43,7.43,7.43
2016-03-07,170128.0,7.84,7.84,7.84,7.84,7.84
2016-03-11,30480.0,7.62,7.62,7.62,7.62,7.62
2016-03-14,42174.0,7.81,7.81,7.81,7.81,7.81
2016-03-21,203877.0,8.39,8.39,8.39,8.39,8.39
2016-03-28,160364.0,8.53,8.53,8.53,8.53,8.53
2016-04-01,18228.0,8.68,8.68,8.68,8.68,8.68
2016-04-04,211560.0,8.6,8.6,8.6,8.6,8.6
2016-04-11,83398.0,8.6,8.38,8.38,8.6,8.6
2016-04-18,191844.0,8.76,8.76,8.76,8.76,8.76
2016-04-25,25770.0,8.59,8.59,8.59,8.59,8.59
2016-04-28,12210.0,8.14,8.14,8.14,8.14,8.14
2016-05-02,8400.0,8.4,8.4,8.4,8.4,8.4
2016-05-06,11536.0,7.21,7.21,7.21,7.21,7.21
2016-05-09,164280.0,7.4,7.4,7.4,7.4,7.4
2016-05-12,14300.0,7.15,7.15,7.15,7.15,7.15
2016-05-13,23664.0,6.96,6.96,6.96,6.96,6.96
2016-05-17,8373.0,6.9,7.21,6.9,7.21,6.98
2016-05-18,8220.0,6.85,6.85,6.85,6.85,6.85
2016-05-23,51525.0,6.87,6.87,6.87,6.87,6.87
2016-05-25,30712.0,6.98,6.98,6.98,6.98,6.98
2016-05-31,14595.0,6.95,6.95,6.95,6.95,6.95
2016-06-03,7460.0,7.46,7.46,7.46,7.46,7.46
