Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2017-04-10,0.0,21.0,21.0,21.0,21.0,21.0
2017-04-11,292446466.0,22.4,21.81,21.77,22.98,22.39
2017-04-12,39625615.0,22.96,22.45,22.3,22.99,22.7
2017-04-13,12543130.0,22.99,22.97,22.55,23.01,22.82
2017-04-17,5688519.0,22.85,23.0,22.62,23.0,22.82
2017-04-18,26881451.0,23.91,22.82,22.6,24.79,23.89
2017-04-19,10655407.0,23.92,24.0,23.9,24.34,24.1
2017-04-20,17782320.0,23.86,24.11,23.51,24.39,24.03
2017-04-24,9215122.0,24.2,24.1,23.7,24.42,24.05
2017-04-25,6875875.0,24.1,24.2,23.93,24.25,24.12
2017-04-26,10696070.0,23.94,24.02,23.71,24.39,24.1
2017-04-27,5233478.0,23.73,23.61,23.24,23.85,23.63
2017-04-28,3146957.0,23.96,23.73,23.71,24.09,23.93
2017-05-02,21448644.0,25.4,24.0,23.97,25.7,24.61
2017-05-03,5235758.0,25.5,25.43,25.01,25.91,25.42
2017-05-04,6078547.0,26.26,25.43,25.4,26.49,26.13
2017-05-05,3550375.0,26.6,26.99,26.2,26.99,26.61
2017-05-08,8231517.0,26.0,26.61,25.64,27.44,26.33
2017-05-09,5194891.0,25.8,26.47,25.61,26.5,25.88
2017-05-10,11514527.0,25.69,25.82,25.64,26.39,25.88
2017-05-11,5887840.0,25.25,25.6,24.88,25.68,25.25
2017-05-12,3924817.0,25.25,25.79,24.9,25.79,25.22
2017-05-15,31239197.0,25.68,26.69,25.36,26.69,25.92
2017-05-16,19985529.0,26.3,25.89,25.7,26.3,26.0
2017-05-17,28756872.0,26.5,26.34,26.0,26.9,26.49
2017-05-18,18924964.0,22.72,23.0,21.76,24.14,22.81
2017-05-19,12829885.0,23.0,23.61,23.0,23.95,23.44
2017-05-22,28799335.0,22.2,23.12,21.72,23.12,22.12
2017-05-23,13604214.0,22.04,22.23,21.8,22.62,22.14
2017-05-24,21322938.0,23.95,22.1,22.1,24.72,23.9
2017-05-25,27290023.0,25.11,24.12,24.12,25.64,25.1
2017-05-26,11613260.0,25.21,25.33,25.02,25.53,25.18
2017-05-29,1745127.0,24.81,25.22,24.81,25.22,25.0
2017-05-30,46203745.0,24.85,24.81,24.81,25.33,25.08
2017-05-31,6121803.0,23.59,25.0,23.59,25.13,24.04
2017-06-01,4490289.0,23.0,24.2,23.0,24.28,23.45
2017-06-02,3112834.0,23.16,23.4,22.73,23.67,23.02
2017-06-05,9567517.0,23.6,22.66,22.66,23.68,23.57
2017-06-06,8126339.0,23.47,24.3,23.01,24.3,23.72
2017-06-07,9819570.0,23.57,24.0,23.36,24.0,23.66
2017-06-08,4789540.0,22.9,23.57,22.8,23.57,22.95
2017-06-09,3417039.0,23.15,23.19,22.85,23.25,23.01
2017-06-12,5951848.0,22.7,23.24,22.7,23.31,22.93
2017-06-13,6084801.0,23.35,22.8,22.3,23.72,22.8
2017-06-14,4396940.0,22.9,23.35,22.71,23.56,22.95
2017-06-16,1687984.0,22.57,22.65,22.53,23.0,22.69
2017-06-19,5523118.0,22.6,22.42,22.37,22.7,22.56
2017-06-20,2839418.0,22.95,22.6,22.48,23.4,22.92
2017-06-21,10935790.0,23.0,22.98,22.78,23.29,23.01
2017-06-22,1396076.0,22.8,23.21,22.75,23.21,22.85
2017-06-23,3658122.0,23.31,22.86,22.83,23.63,23.2
2017-06-26,5891114.0,23.35,23.56,23.18,23.56,23.29
2017-06-27,7777091.0,23.25,23.27,23.21,23.52,23.32
2017-06-28,6142769.0,23.08,23.26,22.87,23.47,23.13
2017-06-29,13268165.0,23.13,23.07,22.8,23.35,23.01
2017-06-30,3676485.0,23.45,22.9,22.9,23.45,23.27
2017-07-03,7861069.0,23.76,23.45,23.38,23.76,23.59
2017-07-04,555767.0,23.92,23.7,23.64,23.92,23.75
2017-07-05,7631162.0,24.27,23.65,23.62,24.27,23.81
