Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2008-08-20,126947915.0,7.5968986016,7.3787444188,7.2568347284,7.8535505814,7.5712334037
2008-08-21,79698808.0,7.3594955203,7.6033149011,7.2632510279,7.6289800991,7.4364911143
2008-08-22,84801433.0,7.3659118198,7.3145814239,7.3081651244,7.4557400127,7.3787444188
2008-08-25,40966212.0,7.1926717335,7.3274140229,7.186255434,7.4364911143,7.2440021294
2008-08-26,67318305.0,7.1816001108,7.0451172128,7.0191204703,7.3505789369,7.2400927814
2008-08-27,126466771.0,7.8770129722,7.2400927814,7.2400927814,7.9290064572,7.6625398467
2008-08-28,84292544.0,8.1239820258,8.0264942415,7.9680015709,8.3514535225,8.1564779539
2008-08-29,476133133.0,8.0849869121,8.3839494506,8.0849869121,8.6959103604,8.240967367
2008-09-01,108116061.0,8.3514535225,7.9939983134,7.7015349605,8.3904486362,8.2734632951
2008-09-02,163712223.0,8.0979852833,8.3839494506,7.8705137866,8.3839494506,8.0979852833
2008-09-03,173853575.0,7.7340308885,8.0979852833,7.7340308885,8.1499787683,7.8575154153
2008-09-04,177442261.0,6.8566408298,7.7340308885,6.8436424585,7.7990227448,7.1556033683
2008-09-05,243594986.0,7.0191204703,6.5901742193,6.4536913213,7.0191204703,6.6226701474
2008-09-08,288515662.0,6.6096717762,7.3440797513,6.4666896925,7.4480667212,6.9606277997
2008-09-09,149886007.0,5.979250771,6.4731888782,5.9597532141,6.5641774768,6.2717141239
2008-09-10,263884779.0,6.0312442559,6.1417304115,5.5568037056,6.1547287827,5.8687646154
2008-09-11,426300286.0,5.6867874181,5.7192833462,5.4918118494,5.8427678729,5.6282947475
2008-09-12,335060722.0,6.3432051657,5.7127841605,5.6867874181,6.3692019082,6.0637401841
2008-09-15,184220851.0,5.4593159213,5.6542914899,5.4593159213,5.9142589148,5.6802882324
2008-09-16,282008658.0,5.2643403527,5.173351754,4.9133843292,5.4528167357,5.1863501253
2008-09-17,278762086.0,5.0953615266,5.1993484965,4.65991609,5.1993484965,5.0303696704
2008-09-18,237624942.0,5.1018607122,5.173351754,4.848392473,5.3943240651,5.1213582691
2008-09-19,384567687.0,5.9142589148,6.1222328546,5.6607906756,6.4666896925,5.9467548429
2008-09-22,151082249.0,5.6217955618,5.9467548429,5.5763012625,6.1027352978,5.8297695017
2008-09-23,145104220.0,5.4268199932,5.4918118494,5.3358313945,5.8167711305,5.55030452
2008-09-24,115637240.0,5.5243077775,5.5957988194,5.4918118494,5.6477923043,5.55030452
2008-09-25,217002867.0,5.8427678729,5.6932866037,5.6607906756,5.9987483278,5.8362686873
2008-09-26,146003015.0,5.9142589148,5.5568037056,5.5243077775,5.9142589148,5.7452800886
2008-09-29,181024880.0,4.7184087606,5.5892996337,4.3999486652,5.6737890468,5.1148590834
2008-09-30,135897813.0,5.5243077775,4.9588786285,4.7314071318,5.5828004481,5.2123468678
2008-10-01,173819923.0,5.9077597292,5.5568037056,5.2643403527,5.927257286,5.602298005
2008-10-02,126252201.0,5.4593159213,5.7842752024,5.1343566403,5.7972735736,5.4918118494
2008-10-03,183915227.0,4.711909575,5.5828004481,4.6794136469,5.7322817174,5.3033354664
2008-10-06,85059482.0,4.6144217906,4.2439682103,3.9969991567,4.6144217906,4.2049730966
2008-10-07,116488060.0,4.5689274913,4.6144217906,4.4259454077,4.9068851436,4.6729144612
2008-10-08,144321932.0,4.8418932874,4.2244706534,4.1724771684,5.0303696704,4.5819258625
2008-10-09,193559381.0,5.1018607122,5.0693647841,4.8028981736,5.55030452,5.1928493109
2008-10-10,127793087.0,4.8093973593,4.4844380782,4.4519421501,5.2513419815,4.711909575
2008-10-13,147136266.0,5.6217955618,5.3943240651,5.2318444246,5.6217955618,5.4398183645
2008-10-14,199610992.0,5.3293322089,5.8492670586,5.2123468678,6.0247450703,5.5763012625
2008-10-15,178729822.0,4.4844380782,5.0433680416,4.2894625096,5.1668525684,4.7184087606
2008-10-16,224052096.0,4.3544543658,4.6144217906,3.8605162587,4.6534169044,4.0814885698
2008-10-17,156375390.0,4.2244706534,4.2699649528,4.0554918273,4.6729144612,4.4259454077
2008-10-20,154968154.0,4.2894625096,4.3999486652,4.1919747253,4.3999486652,4.3089600665
2008-10-21,126216272.0,4.0359942704,4.2764641384,4.0359942704,4.282963324,4.1789763541
2008-10-22,162885322.0,3.5745520913,3.8605162587,3.4575667502,3.8670154443,3.6850382469
2008-10-23,209434205.0,3.1586042116,3.4445683789,3.0806139842,3.477064307,3.2495928103
2008-10-24,190168708.0,2.9246335293,2.7686530744,2.6971620326,3.1586042116,2.8336449306
2008-10-27,97151458.0,2.6061734339,2.9246335293,2.6061734339,3.0676156129,2.8596416731
2008-10-28,209502591.0,2.9571294574,2.827145745,2.5671783202,2.9571294574,2.7361571463
2008-10-29,214694176.0,3.4120724508,3.0026237567,2.8531424875,3.477064307,3.2105976966
2008-10-30,247421584.0,3.9515048573,3.6070480195,3.529057792,3.9515048573,3.8020235881
2008-10-31,116367353.0,3.7630284743,3.76952766,3.5875504626,3.8865130011,3.7630284743
2008-11-03,84929676.0,3.8475178874,3.9125097436,3.6720398757,3.9320073005,3.7955244024
2008-11-04,149507585.0,4.3869502939,3.958004043,3.958004043,4.5104348207,4.1984739109
2008-11-05,93605115.0,3.8735146299,4.3154592521,3.8735146299,4.3414559946,4.1139844979
