Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
1986-01-02,0.0022538711475,3.4198966531e-10,3.0175556389e-10,3.0175556389e-10,3.4198966531e-10,3.2841065959e-10
1986-01-03,0.0037719634731,3.9731151962e-10,3.5214873915e-10,3.5214873915e-10,4.0737002156e-10,3.8795705849e-10
1986-01-06,0.0038541901837,4.0234075186e-10,3.9731151962e-10,3.9731151962e-10,4.224577932e-10,4.0827528111e-10
1986-01-07,0.0030016831567,3.7216520858e-10,4.0234075186e-10,3.6210666918e-10,4.1239929126e-10,3.7820030974e-10
1986-01-08,0.0030696115414,3.6713593888e-10,3.7216520858e-10,3.4701889754e-10,3.7719447828e-10,3.5989378751e-10
1986-01-09,0.0033832247755,3.7206463668e-10,3.8222371052e-10,3.6210666918e-10,3.8222371052e-10,3.7055583328e-10
1986-01-10,0.0037219429546,3.5707743694e-10,3.7216520858e-10,3.4209019974e-10,3.7216520858e-10,3.5888795605e-10
1986-01-13,0.0023165762091,3.6200263291e-10,3.775170243e-10,3.6200263291e-10,3.775170243e-10,3.6613983734e-10
1986-01-14,0.0023631506178,3.4648824151e-10,3.6200263291e-10,3.4131676486e-10,3.9292800004e-10,3.5176309528e-10
1986-01-15,0.0024139339673,3.5786542847e-10,3.4648824151e-10,3.4648824151e-10,3.6200263291e-10,3.5290082168e-10
1986-01-16,0.002428093269,3.7234554766e-10,3.6200263291e-10,3.5165971815e-10,3.7855129651e-10,3.7131127545e-10
1986-01-17,0.0021799315555,3.5165971815e-10,3.7648275209e-10,3.4648824151e-10,3.7648275209e-10,3.5496944317e-10
1986-01-20,0.0017044446554,3.4131676486e-10,3.6200263291e-10,3.4131676486e-10,3.6200263291e-10,3.454539693e-10
1986-01-21,0.0015206691814,3.6200263291e-10,3.4131676486e-10,3.4131676486e-10,3.6200263291e-10,3.4928081115e-10
1986-01-22,0.0033261850346,3.6200263291e-10,3.3097385011e-10,3.3097385011e-10,3.7234554766e-10,3.5734831163e-10
1986-01-23,0.0018716400744,3.5165971815e-10,3.6200263291e-10,3.3614528822e-10,3.6200263291e-10,3.4907397983e-10
1986-01-24,0.0017357182265,3.5683115626e-10,3.5165971815e-10,3.4131676486e-10,3.7234554766e-10,3.4917739549e-10
1986-01-27,0.0014663115362,3.5165971815e-10,3.5683115626e-10,3.3614528822e-10,3.6200263291e-10,3.4504022959e-10
1986-01-28,0.0024929223747,3.2063089683e-10,3.5165971815e-10,3.102879628e-10,3.5165971815e-10,3.2332005081e-10
1986-01-29,0.0015494626059,3.3097385011e-10,3.3097385011e-10,3.102879628e-10,3.3614528822e-10,3.2725038539e-10
1986-01-30,0.0019606146904,3.102879628e-10,3.3097385011e-10,2.9994502879e-10,3.3614528822e-10,3.1421827812e-10
1986-01-31,0.002027027989,3.4648824151e-10,3.2063089683e-10,3.2063089683e-10,3.5165971815e-10,3.4131676486e-10
1986-02-03,0.0029904995509,3.5165971815e-10,3.4648824151e-10,3.4131676486e-10,3.5683115626e-10,3.514528483e-10
1986-02-04,0.002538514426,3.4131676486e-10,3.5165971815e-10,3.4131676486e-10,3.6200263291e-10,3.5103910859e-10
1986-02-05,0.0022313841588,3.4131676486e-10,3.4648824151e-10,3.4028249265e-10,3.5165971815e-10,3.4586763194e-10
1986-02-06,0.0063454931658,4.1371728374e-10,3.5217683499e-10,3.5217683499e-10,4.1371728374e-10,4.0730470356e-10
