Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2007-10-26,0.0,62.543475093,62.543475093,62.543475093,62.543475093,62.543475093
2007-10-29,112346975.0,71.102055896,62.544133446,62.544133446,75.381346297,66.097919536
2007-10-30,7915979.0,72.418760635,72.418102282,71.102055896,72.418760635,72.381892902
2007-10-31,4290000.0,72.418760635,72.418760635,72.418760635,72.418760635,72.418760635
2007-11-01,16585001.0,72.418760635,70.443703526,70.443703526,72.418760635,71.364738491
2007-11-05,2150500.0,74.722993928,72.418760635,72.418760635,75.710522482,74.514954579
2007-11-06,229900.0,75.710522482,75.644687245,75.644687245,75.710522482,75.677604863
2007-11-07,2585500.0,76.368874851,75.710522482,75.710522482,79.002284329,77.37154551
2007-11-08,9424998.0,78.343931959,78.343931959,78.343931959,79.002942681,78.544071079
2007-11-09,3127995.0,76.694759274,80.648165252,76.694759274,80.648165252,79.205056858
2007-11-12,1549102.0,73.077113004,74.45965298,72.418760635,74.45965298,72.846689675
2007-11-13,7232396.0,72.418760635,73.406289189,72.418760635,73.406289189,73.253551439
2007-11-14,4944700.0,71.760408265,72.418760635,71.760408265,74.064641558,72.341075055
2007-11-16,2750000.0,72.418760635,72.418760635,72.418760635,72.418760635,72.418760635
2007-11-21,13714000.0,69.126998788,72.418760635,68.468646418,72.418760635,69.989440391
2007-11-22,10079905.0,69.126340435,69.126998788,69.126340435,69.126998788,69.126340435
2007-11-23,2414993.0,69.126340435,69.126998788,69.126340435,69.126998788,69.126998788
2007-11-27,515000.0,67.810294049,67.810294049,67.810294049,67.810294049,67.810294049
2007-11-28,2197990.0,68.468646418,69.126998788,68.468646418,69.126998788,68.907109096
2007-11-29,345000.0,75.710522482,75.710522482,75.710522482,75.710522482,75.710522482
2007-12-04,5735500.0,76.368874851,74.064641558,74.064641558,76.368874851,75.519600294
2007-12-05,6992507.0,77.356403405,76.368874851,75.710522482,79.002284329,76.725701835
2007-12-06,480000.0,79.002284329,79.002284329,79.002284329,79.002284329,79.002284329
2007-12-07,6809000.0,80.253153831,77.981838156,77.981838156,80.648165252,80.048406244
2007-12-10,13404462.0,87.232347299,79.989812883,79.660636698,90.523450793,83.253265578
2007-12-11,9830600.0,88.87756987,87.231688946,86.211242774,88.87756987,86.29353682
2007-12-12,4636002.0,86.244160392,85.585808023,85.585808023,87.560865131,87.203379794
2007-12-13,260000.0,85.585808023,85.585808023,85.585808023,85.585808023,85.585808023
2007-12-14,6713200.0,85.585808023,87.297524183,85.585808023,87.297524183,86.659580737
2007-12-17,2041000.0,85.585808023,83.018233782,83.018233782,85.585808023,83.981403298
2007-12-18,1032210.0,83.024817306,85.585808023,83.018233782,85.585808023,84.944572815
2007-12-20,2886169.0,80.399966409,82.945815021,80.399966409,82.945815021,82.614005427
2007-12-26,122100.0,80.384824304,80.384824304,80.384824304,80.384824304,80.384824304
2007-12-27,7365464.0,85.585808023,85.58514967,84.926797301,85.585808023,85.071634822
2007-12-28,2600000.0,85.585808023,85.585808023,85.585808023,85.585808023,85.585808023
2008-01-02,9155780.0,87.231688946,85.585808023,85.585808023,89.437169384,87.358092601
2008-01-03,9183140.0,87.495029894,88.104005836,87.495029894,90.187691085,87.619458492
2008-01-04,7865300.0,90.194274609,87.560865131,87.560865131,90.194274609,87.764954365
2008-01-07,5757837.0,90.25023456,90.194274609,90.194274609,90.260109845,90.254184674
2008-01-08,3606500.0,87.890041316,88.87756987,87.890041316,88.87756987,87.938759391
2008-01-09,2389500.0,87.36335942,87.560865131,87.36335942,87.560865131,87.396277038
2008-01-10,3262200.0,85.585808023,87.36335942,85.585808023,87.36335942,85.907083979
2008-01-11,22018490.0,85.914984207,87.051300397,85.914984207,87.051300397,86.801784849
2008-01-14,21546520.0,90.187691085,85.914984207,85.914984207,90.187691085,87.562840188
2008-01-15,18823779.0,90.121855848,88.87756987,87.560865131,90.121855848,88.519426181
2008-01-16,5493469.0,90.193616256,88.2192175,87.48844637,90.194274609,88.210658919
2008-01-17,8074198.0,87.560865131,90.193616256,87.560865131,91.543896966,88.594478351
2008-01-18,1084830.0,87.922958934,90.128439372,87.922958934,90.187691085,89.275214701
2008-01-21,3999000.0,79.002284329,82.294046176,79.002284329,82.294046176,79.780456829
2008-01-22,2414900.0,82.294046176,79.002284329,78.936449092,82.294046176,79.492756844
2008-01-23,14047000.0,83.610750914,79.002284329,79.002284329,83.610750914,79.041785471
2008-01-24,3824899.0,84.926797301,83.610750914,83.610750914,85.519972786,83.937952042
2008-01-28,3754800.0,82.491551886,82.294046176,82.294046176,82.886563308,82.399382555
2008-01-29,9786859.0,85.440970502,82.952398545,82.95108184,85.440970502,83.677902856
2008-01-30,11606000.0,85.585808023,83.610750914,83.610750914,85.914984207,83.964944489
2008-01-31,13592498.0,83.610750914,84.005762336,83.544257325,84.005762336,83.632476543
2008-02-01,6755740.0,87.231688946,85.585808023,83.610750914,87.231688946,85.531823128
2008-02-06,2260191.0,91.181803163,87.231688946,87.231688946,91.181803163,87.529264217
2008-02-07,22528560.0,88.87756987,91.181803163,88.876911517,91.181803163,89.347633461
2008-02-08,7998600.0,88.87756987,88.2192175,86.902512762,88.87756987,87.764954365
2008-02-11,561000.0,92.169331717,91.181803163,91.181803163,93.81521264,92.333919809
2008-02-12,1646400.0,91.510979347,89.470087002,89.404251765,91.510979347,90.325945082
2008-02-13,6076100.0,90.852626978,90.852626978,90.523450793,91.510979347,90.913853748
2008-02-14,19699003.0,92.169331717,92.169331717,89.535922239,93.81521264,91.977751177
2008-02-15,9098403.0,92.168673364,89.470087002,87.169145471,92.169331717,90.757165884
2008-02-18,5007397.0,95.461093564,92.169331717,92.169331717,95.461093564,94.189156786
2008-02-19,5123500.0,96.119445933,96.119445933,96.053610696,97.106974487,96.373569948
2008-02-20,20054769.0,100.06956015,96.251116407,96.119445933,100.06956015,97.800877885
2008-02-21,17843982.0,98.752855411,99.41120778,98.357843989,99.739725613,98.71927944
2008-02-22,6529808.0,99.41120778,99.147866832,99.147866832,100.39873633,99.974757408
2008-02-25,8414720.0,99.410549428,99.41120778,99.147866832,102.04461725,100.72462075
2008-02-26,3771308.0,99.41120778,99.082689948,99.082031596,99.937889676,99.313771629
