Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2019-07-19,404372.0,28.915210417,19.975241979,19.975241979,32.926223043,26.191313784
2019-07-22,2411434.0,36.917280381,38.902831407,36.917280381,115.66084167,61.851411103
2019-07-23,8874057.0,29.434047871,38.91280905,29.434047871,43.901630723,37.296430828
2019-07-24,8160596.0,18.847768281,27.837624936,17.460875856,29.434047871,23.148132563
2019-07-25,3266038.0,15.964229354,19.655957392,15.7447212,19.655957392,16.971971332
2019-07-26,2174035.0,14.886643872,15.964229354,14.736979222,16.163782221,15.285749606
2019-07-29,1222276.0,13.759170174,15.116129669,13.759170174,15.455369543,14.427672278
2019-07-30,4834400.0,16.014117571,14.048521831,14.048521831,16.822306682,16.103916361
2019-07-31,13020316.0,18.867723568,16.163782221,16.163782221,19.855510259,18.3688414
2019-08-01,22460176.0,22.89869148,20.104951343,19.456404525,22.89869148,20.553945293
2019-08-02,23921582.0,20.055063126,23.946344031,19.655957392,23.956321674,21.312246188
2019-08-05,4574877.0,18.269064967,19.965264336,18.21917675,19.965264336,18.937567071
2019-08-06,3876292.0,18.139355603,18.378819044,17.959758023,19.007410575,18.528483694
2019-08-07,1895999.0,18.468617834,18.548438981,17.460875856,18.558416624,17.959758023
2019-08-08,4798064.0,18.608304841,18.757969491,18.00964624,19.137119938,18.807857708
2019-08-09,8721718.0,19.516270385,18.957522358,17.959758023,19.855510259,19.256851658
2019-08-12,7148684.0,19.715823252,19.655957392,19.506292742,20.45416886,20.035107839
2019-08-13,7440393.0,21.501821411,20.154839559,19.665935035,21.501821411,20.524012363
2019-08-14,12015563.0,23.07828906,21.950815362,21.551709628,23.856545241,23.118199633
2019-08-15,17262942.0,20.30450421,23.696902947,19.905398476,24.125941611,21.910904788
2019-08-16,12267033.0,19.755733826,20.93309574,17.460875856,22.300032879,19.037343505
2019-08-19,8337113.0,18.229154394,20.254615993,18.15931089,20.45416886,18.947544714
