Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2019-11-29,13262509.0,8.1773064687,8.3135949099,8.0799575822,8.3135949099,8.1675715801
2019-12-02,20926389.0,8.3622693531,8.2843902439,8.2162460233,8.4985577943,8.3817391304
2019-12-03,8201450.0,8.3525344645,8.5277624602,8.2649204666,8.5667020149,8.3525344645
2019-12-04,23212625.0,8.2649204666,8.3622693531,8.0799575822,8.4012089077,8.2843902439
2019-12-05,10334313.0,8.1481018028,8.3038600212,8.0799575822,8.3038600212,8.1675715801
2019-12-06,43470278.0,8.1286320255,8.1481018028,8.002078473,8.2357158006,8.1091622481
2019-12-09,9462756.0,8.2843902439,8.1481018028,8.1481018028,8.4304135737,8.3233297985
2019-12-10,23974975.0,8.449883351,8.3817391304,8.3135949099,8.7127253447,8.420678685
2019-12-11,18522333.0,8.67378579,8.6153764581,8.5180275716,8.7127253447,8.6543160127
2019-12-12,30286138.0,9.1021208908,8.702990456,8.6640509014,9.1313255567,8.9755673383
2019-12-13,41757850.0,9.4817815483,9.2481442206,9.1702651113,9.4817815483,9.2968186638
2019-12-16,21866946.0,9.2968186638,9.5888653234,8.9950371156,9.6278048781,9.3649628844
2019-12-17,17284924.0,9.1994697773,9.2968186638,9.0631813362,9.3454931071,9.1605302227
2019-12-18,9847647.0,9.2481442206,9.2481442206,9.0047720042,9.2968186638,9.1410604454
2019-12-19,19997381.0,9.18,9.3357582185,9.0145068929,9.3357582185,9.1118557794
2019-12-20,54845217.0,8.96,9.31,8.82,9.31,9.0
2019-12-23,45490187.0,9.09,9.11,9.01,9.16,9.1
2019-12-26,14897805.0,9.5,9.14,9.11,9.5,9.35
2019-12-27,14039235.0,9.6,9.6,9.26,9.64,9.46
2019-12-30,46207692.0,9.79,9.58,9.4,9.8,9.68
2020-01-02,26273853.0,9.59,9.94,9.54,9.94,9.69
2020-01-03,11202586.0,9.51,9.4,9.22,9.61,9.5
2020-01-06,13040008.0,9.29,9.5,9.26,9.5,9.33
2020-01-07,8650042.0,9.3,9.35,9.23,9.45,9.29
2020-01-08,12264365.0,9.25,9.31,9.11,9.32,9.21
2020-01-09,19678989.0,9.28,9.32,9.13,9.32,9.2
2020-01-10,10538610.0,9.3,9.27,9.14,9.39,9.29
2020-01-13,64126226.0,9.76,9.3,9.29,9.83,9.44
2020-01-14,26624404.0,9.81,9.8,9.7,9.96,9.82
2020-01-15,14911082.0,9.85,9.78,9.76,9.93,9.83
2020-01-16,24857764.0,9.9,9.93,9.77,10.05,9.9
2020-01-17,27464059.0,10.16,9.9,9.9,10.25,10.15
2020-01-20,15652967.0,10.3,10.19,10.12,10.31,10.24
2020-01-21,14768466.0,10.3,10.3,10.2,10.45,10.31
2020-01-22,61411706.0,10.18,10.42,9.77,10.45,10.18
2020-01-23,22692383.0,10.2,10.13,10.05,10.38,10.21
2020-01-24,15289481.0,10.3,10.3,10.15,10.35,10.25
2020-01-27,16607186.0,10.19,9.96,9.77,10.19,10.02
2020-01-28,24143629.0,10.2,10.29,9.98,10.4,10.1
2020-01-29,43664525.0,9.9,10.22,9.78,10.28,9.92
2020-01-30,18783762.0,9.67,9.75,9.42,9.75,9.59
2020-01-31,13643751.0,9.55,9.67,9.41,9.68,9.54
2020-02-03,8738224.0,9.63,9.54,9.43,9.75,9.58
2020-02-04,11481878.0,9.65,9.8,9.65,9.92,9.74
2020-02-05,12717777.0,9.69,9.79,9.61,9.86,9.72
2020-02-06,15790328.0,9.69,9.74,9.59,9.89,9.69
2020-02-07,10316034.0,9.49,9.57,9.2,9.65,9.49
2020-02-10,7690789.0,9.19,9.55,9.15,9.55,9.28
2020-02-11,7423701.0,9.24,9.27,9.19,9.44,9.3
2020-02-12,9336489.0,9.19,9.28,9.19,9.42,9.26
2020-02-13,13704289.0,9.16,9.16,9.02,9.28,9.19
2020-02-14,237424642.0,7.55,8.64,7.41,8.64,7.75
2020-02-17,35530734.0,7.4,7.66,7.4,7.77,7.55
2020-02-18,45961678.0,7.19,7.35,7.01,7.35,7.1
2020-02-19,28721159.0,7.25,7.2,7.12,7.33,7.23
2020-02-20,23083271.0,7.35,7.25,7.2,7.55,7.3
2020-02-21,18512945.0,7.2,7.25,7.12,7.32,7.2
2020-02-26,17171028.0,6.68,6.85,6.66,6.9,6.75
2020-02-27,26668527.0,6.5,6.5,6.4,6.64,6.5
2020-02-28,27161578.0,6.25,6.44,6.1,6.46,6.22
2020-03-02,18704532.0,6.5,6.33,6.25,6.5,6.41
2020-03-03,15765031.0,6.55,6.6,6.45,6.75,6.6
2020-03-04,21474257.0,6.5,6.65,6.32,6.73,6.54
2020-03-05,12643852.0,6.36,6.48,6.34,6.63,6.45
2020-03-06,9372464.0,5.92,6.1,5.9,6.16,6.02
2020-03-09,9302881.0,5.22,5.03,5.01,5.43,5.19
2020-03-10,9043308.0,5.34,5.49,5.01,5.56,5.3
2020-03-11,7585584.0,4.8,5.25,4.72,5.32,4.96
