Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2007-11-16,0.0,8.2952423357,8.2952423357,8.2952423357,8.2952423357,8.2952423357
2007-11-19,105640382.0,8.2952423357,8.5026233941,8.2122899124,8.9505664803,8.5440996058
2007-11-21,41725366.0,7.8638897343,8.2371756394,7.4657181022,8.2869470934,7.8141182803
2007-11-22,6797565.0,7.8804802189,7.8970707036,7.8721849766,8.0878612773,7.9219564306
2007-11-23,9452588.0,7.9468421576,7.7975277956,7.5652610102,8.0463850657,7.7643468262
2007-11-26,11990114.0,7.6316229489,7.7975277956,7.3081084978,7.9634326423,7.7311658569
2007-11-27,10276829.0,7.7228706146,7.4657181022,7.1339084087,7.7228706146,7.5735562525
2007-11-28,8388667.0,7.9219564306,7.7560515839,7.6316229489,8.029794581,7.8804802189
2007-11-29,5562892.0,7.7560515839,7.8721849766,7.6730991606,7.9634326423,7.7892325533
2007-11-30,7388206.0,7.7145753722,7.7145753722,7.5486705255,7.8390040073,7.7062801299
2007-12-03,1986627.0,7.7892325533,7.7145753722,7.6730991606,7.7892325533,7.7228706146
2007-12-04,6664375.0,7.7975277956,7.6399181912,7.6316229489,7.7975277956,7.6896896452
2007-12-05,24740818.0,8.129337489,7.6979848876,7.6979848876,8.2703566087,7.8721849766
2007-12-06,8018075.0,8.3367185474,8.129337489,8.129337489,8.3781947591,8.3035375781
2007-12-07,8239654.0,8.253766124,8.2952423357,8.054680308,8.5358043635,8.3201280627
2007-12-10,2074310.0,8.1376327313,8.2122899124,8.0961565197,8.2869470934,8.2122899124
2007-12-11,10023738.0,8.2454708817,8.1708137007,8.0878612773,8.2952423357,8.228880397
2007-12-12,11411671.0,7.9634326423,8.1376327313,7.9634326423,8.253766124,8.1956994277
2007-12-13,13515766.0,7.9551374,7.8970707036,7.7228706146,7.9634326423,7.8224135226
2007-12-14,2785719.0,8.0878612773,7.9219564306,7.8887754613,8.129337489,8.029794581
2007-12-17,6679471.0,8.129337489,8.0214993386,7.8804802189,8.129337489,8.054680308
2007-12-18,19594003.0,8.2869470934,8.0463850657,7.905365946,8.2869470934,8.1708137007
2007-12-19,874786.0,7.9551374,8.0463850657,7.9551374,8.2122899124,8.079566035
2007-12-20,270507.0,7.8804802189,7.8970707036,7.8804802189,8.0463850657,7.930251673
2007-12-21,2268447.0,7.8058230379,7.8472992496,7.7975277956,7.9634326423,7.9136611883
2007-12-26,720080.0,7.7560515839,7.8472992496,7.7311658569,7.8804802189,7.7809373109
2007-12-27,1515366.0,7.5901467372,7.7311658569,7.5818514949,7.8390040073,7.6979848876
2007-12-28,3258338.0,7.3827656788,7.5486705255,7.3827656788,7.6067372219,7.4823085868
2008-01-02,1210861.0,7.2909295016,7.4992417731,7.2909295016,7.624229136,7.4325818462
2008-01-03,3137415.0,6.79098005,7.4159168645,6.79098005,7.4159168645,6.8659724678
2008-01-04,13670368.0,6.1660432356,6.9409648855,6.082718327,6.9409648855,6.2577006351
2008-01-07,16366127.0,6.2493681442,6.2493681442,6.0910508179,6.4160179614,6.1910407082
2008-01-08,5815241.0,6.082718327,6.2910305985,6.0410558728,6.3493580345,6.1493782539
2008-01-09,4762467.0,6.0993833088,6.0493883636,5.8744060556,6.2077056899,6.0160584002
2008-01-10,8369822.0,7.0159573033,6.2493681442,6.1243807813,7.0409547758,6.7159876323
2008-01-11,9707452.0,7.5742341908,6.9159674129,6.6659926872,7.6658915902,7.4325818462
2008-01-14,4161916.0,7.4159168645,7.4992417731,7.1742746296,7.4992417731,7.324259465
2008-01-15,2085445.0,7.3325919559,7.3325919559,6.9992923215,7.3325919559,7.1076147027
2008-01-16,6592567.0,7.3325919559,7.1659421387,6.9992923215,7.3742544102,7.1909396113
2008-01-17,7130806.0,7.2742645199,7.1659421387,7.1576096478,7.3409244467,7.2492670473
2008-01-18,5347860.0,7.5659016999,7.265932029,7.265932029,7.5659016999,7.382586901
2008-01-21,1134736.0,6.9076349221,7.0826172301,6.6659926872,7.0826172301,6.9076349221
2008-01-22,590327.0,6.9992923215,6.6659926872,6.6659926872,6.9992923215,6.8576399769
2008-01-23,3726393.0,7.0409547758,6.9076349221,6.6659926872,7.0409547758,6.8993024312
2008-01-24,2832854.0,7.1659421387,7.0576197575,7.0576197575,7.3325919559,7.1742746296
2008-01-28,572840.0,6.8909699404,6.9576298672,6.8326425043,7.0992822118,6.9159674129
2008-01-29,4927955.0,6.9992923215,6.8826374495,6.8659724678,7.0742847393,6.9909598307
2008-01-30,4194400.0,7.0826172301,6.9992923215,6.8826374495,7.0992822118,7.032622285
2008-01-31,1406897.0,7.0409547758,6.9992923215,6.8326425043,7.0826172301,6.9909598307
2008-02-01,2599482.0,7.1326121753,6.8743049586,6.8743049586,7.207604593,7.0492872667
2008-02-06,2558502.0,6.6659926872,7.0742847393,6.5076753609,7.0742847393,6.732652614
2008-02-07,543641.0,6.6243302329,6.6243302329,6.6243302329,6.7576500866,6.6576601963
2008-02-08,358583.0,6.5826677786,6.7493175958,6.49934287,6.7743150683,6.6243302329
2008-02-11,1528721.0,6.6659926872,6.6909901597,6.49934287,6.7076551415,6.6409952146
2008-02-12,1400947.0,6.6076652512,6.8076450318,6.6076652512,6.8076450318,6.6909901597
