Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2000-08-10,1466628.0,4.0594660517,3.9295632802,3.0851943203,4.0594660517,3.7022329575
2000-08-11,850371.0,4.1893692013,4.3842235476,3.9620388786,4.3842235476,4.1568932249
2000-08-14,544783.0,4.0594660517,4.1893692013,4.0594660517,4.4166991459,4.1893692013
2000-08-15,257629.0,3.994514855,3.9620388786,3.8970876819,4.0594660517,3.9620388786
2000-08-16,269944.0,3.6048057844,3.994514855,3.6048057844,3.994514855,3.8321361071
2000-08-17,187972.0,3.572330186,3.572330186,3.5398545877,3.7996601307,3.6372817608
2000-08-18,164186.0,3.4099514381,3.6372817608,3.3450002414,3.6372817608,3.4424274145
2000-08-21,136989.0,3.4749030129,3.5073786112,3.3774758397,3.5073786112,3.4424274145
2000-08-22,166320.0,3.4424274145,3.4099514381,3.4099514381,3.5073786112,3.4749030129
2000-08-23,411543.0,3.5398545877,3.4424274145,3.4424274145,3.6372817608,3.5073786112
2000-08-24,273224.0,3.7347089339,3.6048057844,3.572330186,3.7996601307,3.7022329575
2000-08-25,552891.0,4.0594660517,3.7996601307,3.7996601307,4.0594660517,3.8646117054
2000-08-28,278172.0,3.8321361071,3.8646117054,3.8321361071,3.8970876819,3.8646117054
2000-08-29,123551.0,3.7996601307,3.8970876819,3.7996601307,3.8970876819,3.8321361071
2000-08-30,166090.0,3.7347089339,3.8321361071,3.6697573592,3.8321361071,3.7671845323
2000-08-31,122751.0,3.7671845323,3.8321361071,3.7347089339,3.8321361071,3.7671845323
2000-09-01,230446.0,3.8970876819,3.7671845323,3.7671845323,3.8970876819,3.8321361071
2000-09-04,472361.0,4.1244176265,3.994514855,3.8970876819,4.1568932249,4.0269904534
2000-09-05,761629.0,4.0919420282,4.0269904534,3.9295632802,4.1244176265,4.0269904534
2000-09-06,406334.0,4.0919420282,4.1893692013,4.0594660517,4.1893692013,4.1244176265
2000-09-08,24428.0,4.1244176265,4.0919420282,4.0919420282,4.1244176265,4.1244176265
2000-09-11,201121.0,4.0594660517,4.1244176265,3.9620388786,4.1244176265,4.0594660517
2000-09-12,271533.0,4.0269904534,4.0594660517,4.0269904534,4.1244176265,4.0594660517
2000-09-13,59686.0,4.0919420282,4.0269904534,3.994514855,4.0919420282,4.0594660517
2000-09-14,56320.0,3.9620388786,4.1244176265,3.9295632802,4.1568932249,4.0919420282
2000-09-15,50208.0,3.8970876819,3.9620388786,3.7996601307,4.0269904534,3.8646117054
2000-09-18,68002.0,3.6697573592,3.8970876819,3.6697573592,3.8970876819,3.7022329575
2000-09-19,42178.0,3.8321361071,3.8970876819,3.7347089339,3.8970876819,3.7671845323
2000-09-20,103352.0,3.7996601307,3.7996601307,3.6697573592,3.8321361071,3.7347089339
2000-09-21,54211.0,3.7022329575,3.7996601307,3.7022329575,3.7996601307,3.7347089339
2000-09-22,45686.0,3.8321361071,3.7022329575,3.6697573592,3.8321361071,3.7671845323
2000-09-25,14920.0,3.8646117054,3.8321361071,3.8321361071,3.9620388786,3.8646117054
2000-09-26,52360.0,3.7671845323,3.7996601307,3.7671845323,3.8970876819,3.8321361071
2000-09-27,187284.0,3.7022329575,3.7347089339,3.7022329575,3.7671845323,3.7347089339
2000-09-28,33902.0,3.7347089339,3.7347089339,3.7022329575,3.7996601307,3.7347089339
2000-09-29,6567.0,3.7347089339,3.7022329575,3.7022329575,3.7671845323,3.7347089339
2000-10-02,56040.0,3.6697573592,3.7347089339,3.6697573592,3.7347089339,3.6697573592
2000-10-03,20743.0,3.7022329575,3.7347089339,3.6697573592,3.7347089339,3.6697573592
2000-10-04,17748.0,3.7347089339,3.7022329575,3.7022329575,3.7671845323,3.7347089339
2000-10-05,38472.0,3.7671845323,3.8321361071,3.7671845323,3.8321361071,3.7671845323
2000-10-06,11982.0,3.7347089339,3.7671845323,3.7347089339,3.7671845323,3.7347089339
2000-10-09,84328.0,3.7022329575,3.6697573592,3.6697573592,3.7347089339,3.6697573592
2000-10-10,52931.0,3.6372817608,3.7022329575,3.6048057844,3.7022329575,3.6697573592
2000-10-11,99919.0,3.572330186,3.6048057844,3.5073786112,3.6372817608,3.6048057844
2000-10-13,38402.0,3.6372817608,3.5073786112,3.5073786112,3.6372817608,3.572330186
2000-10-16,16112.0,3.7347089339,3.6372817608,3.572330186,3.7347089339,3.572330186
2000-10-17,32584.0,3.6048057844,3.7347089339,3.4749030129,3.7347089339,3.5398545877
2000-10-18,261234.0,3.4749030129,3.6048057844,3.4749030129,3.6048057844,3.572330186
2000-10-19,57808.0,3.3450002414,3.5073786112,3.3450002414,3.5073786112,3.4424274145
2000-10-20,116393.0,3.4749030129,3.5398545877,3.4424274145,3.5398545877,3.4749030129
2000-10-23,63885.0,3.4749030129,3.4749030129,3.2475730682,3.4749030129,3.3125242649
2000-10-24,6259.0,3.4099514381,3.4749030129,3.3450002414,3.4749030129,3.3774758397
2000-10-25,78498.0,3.3125242649,3.3450002414,3.2800486666,3.3450002414,3.3125242649
2000-10-26,46937.0,3.3450002414,3.3450002414,3.2475730682,3.3450002414,3.2800486666
2000-10-27,25663.0,3.4749030129,3.3774758397,3.3774758397,3.4749030129,3.4424274145
2000-10-30,11799.0,3.3450002414,3.4749030129,3.3450002414,3.4749030129,3.3774758397
2000-10-31,30744.0,3.3774758397,3.4099514381,3.3450002414,3.4749030129,3.4099514381
2000-11-01,17935.0,3.3125242649,3.3774758397,3.3125242649,3.3774758397,3.3125242649
2000-11-03,88740.0,3.3125242649,3.3450002414,3.3125242649,3.3774758397,3.3450002414
2000-11-06,42004.0,3.2475730682,3.3125242649,3.2475730682,3.3125242649,3.2475730682
2000-11-07,78940.0,3.2475730682,3.2800486666,3.1501457061,3.2800486666,3.2475730682
2000-11-08,49980.000593,3.1176699187,3.2475730682,3.1176699187,3.2475730682,3.1826214934
2000-11-09,335791.0,2.9552913598,3.1501457061,2.9552913598,3.1501457061,3.0851943203
2000-11-10,200472.0,2.9877671472,2.9877671472,2.9552913598,3.0527185329,3.0202427455
2000-11-13,137937.0,2.9552913598,2.9877671472,2.9228155724,2.9877671472,2.9552913598
2000-11-14,138488.0,2.9877671472,2.9552913598,2.9228155724,2.9877671472,2.9552913598
2000-11-16,20018.0,2.9228155724,2.9877671472,2.9228155724,2.9877671472,2.9228155724
2000-11-17,59572.0,2.890339974,2.9228155724,2.8578641866,2.9228155724,2.890339974
2000-11-20,122565.0,2.8578641866,3.0202427455,2.8578641866,3.0202427455,2.890339974
2000-11-21,391401.0,3.0202427455,2.9228155724,2.890339974,3.0851943203,2.9228155724
2000-11-22,75446.0,3.0527185329,3.0202427455,2.9877671472,3.0527185329,3.0527185329
2000-11-23,91522.0,3.0202427455,3.0851943203,2.9877671472,3.0851943203,3.0202427455
2000-11-24,42434.0,3.1176699187,3.0202427455,3.0202427455,3.1176699187,3.0527185329
2000-11-27,173498.0,3.0202427455,3.0851943203,3.0202427455,3.0851943203,3.0527185329
2000-11-28,45271.0,2.9877671472,3.0202427455,2.9877671472,3.0851943203,3.0527185329
2000-11-29,168908.0,2.9877671472,3.0202427455,2.9877671472,3.0202427455,2.9877671472
2000-11-30,40983.0,2.9552913598,2.9552913598,2.7929126118,2.9552913598,2.9228155724
2000-12-01,23074.0,2.9877671472,2.9552913598,2.8578641866,2.9877671472,2.9552913598
2000-12-04,20294.0,2.875727438,2.7858609665,2.6959944949,2.875727438,2.7858609665
2000-12-05,47747.0,2.8457720637,2.7858609665,2.7858609665,2.875727438,2.8457720637
2000-12-06,138930.0,2.8158165151,2.875727438,2.7559055922,2.875727438,2.7858609665
2000-12-07,23401.0,2.8158165151,2.8457720637,2.8158165151,2.875727438,2.8158165151
2000-12-08,243307.0,2.9655939096,2.875727438,2.8457720637,2.9955496326,2.9056829866
2000-12-11,132299.0,2.9356385353,2.9655939096,2.9356385353,2.9955496326,2.9955496326
2000-12-12,24163.0,2.9056829866,2.9056829866,2.9056829866,2.9356385353,2.9056829866
2000-12-13,278486.0,3.0854161041,2.9655939096,2.9655939096,3.1153714784,3.0854161041
2000-12-14,91271.0,3.0854161041,3.0854161041,3.0255050068,3.1453268526,3.0854161041
2000-12-15,14054.0,3.0854161041,3.0554603811,2.9655939096,3.0854161041,2.9955496326
2000-12-18,111847.0,3.0554603811,3.1453268526,3.0554603811,3.2351933242,3.1752825756
