Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2017-12-14,0.0,12.571734143,12.571734143,12.571734143,12.571734143,12.571734143
2017-12-15,766169446.0,13.409849752,12.915361543,12.781263045,13.510423626,13.024316572
2017-12-18,120099813.0,13.451755533,13.535567094,13.166796226,13.644522123,13.485280157
2017-12-19,75959977.0,13.367943972,13.451755533,13.15841507,13.619378655,13.418230908
2017-12-20,80309199.0,13.703190216,13.376325128,13.376325128,13.820526401,13.577472874
2017-12-21,256009409.0,13.912719118,13.678046747,13.678046747,14.440731952,14.08034224
2017-12-22,49422731.0,13.996530679,13.870813338,13.787001777,14.247965362,14.113866864
2017-12-26,18009187.0,14.013292991,14.013292991,13.610997499,14.164153801,13.912719118
2017-12-27,9246473.0,14.03843646,13.996530679,13.937862586,14.03843646,13.988149523
2017-12-28,31245065.0,14.331776923,14.03843646,13.971387211,14.331776923,14.239584206
2018-01-02,63660801.0,14.440731952,14.247965362,14.03843646,14.61673623,14.457494264
2018-01-03,125293802.0,14.499400045,14.356920391,14.289871142,14.625117386,14.499400045
2018-01-04,25121882.0,14.415588484,14.457494264,14.331776923,14.608355074,14.432350796
2018-01-05,56186358.0,14.667023167,14.398826172,14.315014611,14.667023167,14.449113108
2018-01-08,59054777.0,14.583211606,14.599973918,14.356920391,14.633498542,14.558068137
2018-01-09,53424543.0,14.583211606,14.583211606,14.382063859,14.583211606,14.474256577
2018-01-10,95720190.0,14.457494264,14.558068137,14.298252299,14.625117386,14.482637733
2018-01-11,18486040.0,14.373682703,14.499400045,14.323395767,14.566449294,14.390445016
2018-01-12,44527439.0,14.306633455,14.247965362,13.88757565,14.449113108,14.298252299
2018-01-15,10580933.0,14.725691259,14.482637733,14.340158079,14.725691259,14.558068137
2018-01-16,85047365.0,14.734072415,14.775978196,14.61673623,14.96036363,14.759215884
2018-01-17,62018318.0,14.876552069,14.734072415,14.507781201,14.876552069,14.717310103
2018-01-18,34253720.0,15.002269411,14.876552069,14.734072415,15.002269411,14.910076693
2018-01-19,27081042.0,15.002269411,14.91845785,14.784359352,15.002269411,14.843027445
2018-01-22,17346437.0,14.775978196,14.91845785,14.750834728,15.002269411,14.80950282
2018-01-23,89606937.0,15.11122444,15.086080971,14.968744786,15.245322937,15.060937503
2018-01-24,63766925.0,16.008008142,15.211798313,15.169892532,16.510877508,15.723048835
2018-01-26,117541444.0,16.468971728,16.175631264,16.033151611,16.594689069,16.360016698
