Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
1986-01-02,7.4147277529e-05,1.7527711558e-09,1.8093121065e-09,1.6962302052e-09,1.8093121065e-09,1.7736914289e-09
1986-01-03,0.0011872972241,1.7207649831e-09,2.007559033e-09,1.6634060364e-09,2.0649179797e-09,1.7180116101e-09
1986-01-06,0.00111694222,1.8928414814e-09,1.7207649831e-09,1.7207649831e-09,1.8928414814e-09,1.8685213017e-09
1986-01-07,0.00067913633832,1.7207649831e-09,1.8928414814e-09,1.7207649831e-09,1.9731438359e-09,1.9350574748e-09
1986-01-08,0.00081881884758,1.8928414814e-09,1.7781237589e-09,1.7781237589e-09,1.8935296965e-09,1.7992317556e-09
1986-01-09,0.0015919006508,1.9502002572e-09,1.8928414814e-09,1.8354825347e-09,1.9502002572e-09,1.9270272735e-09
1986-01-10,0.00075251039623,1.8928414814e-09,1.9502002572e-09,1.7781237589e-09,2.007559033e-09,1.9311570766e-09
1986-01-13,0.00017212008853,1.8240107453e-09,1.8928414814e-09,1.7207649831e-09,1.8928414814e-09,1.7973961735e-09
1986-01-14,0.0022847610943,1.7207649831e-09,1.8354825347e-09,1.6634060364e-09,1.8354825347e-09,1.8119654435e-09
1986-01-15,0.0006943091185,1.7781237589e-09,1.7207649831e-09,1.7092931938e-09,1.7781237589e-09,1.7207649831e-09
1986-01-16,0.00052324196722,1.7207649831e-09,1.7781237589e-09,1.6060472606e-09,1.7781237589e-09,1.7667666721e-09
1986-01-17,0.00049596778524,1.6060472606e-09,1.7207649831e-09,1.6049000646e-09,1.7437083909e-09,1.6145364428e-09
1986-01-20,0.0013714084683,1.6634060364e-09,1.6175190499e-09,1.6060472606e-09,1.6634060364e-09,1.6614559228e-09
1986-01-21,0.00056914220446,1.6635207389e-09,1.6634060364e-09,1.6060472606e-09,1.6635207389e-09,1.6615706253e-09
1986-01-22,0.00053966250107,1.6634060364e-09,1.7781237589e-09,1.6060472606e-09,1.7781237589e-09,1.6271552573e-09
1986-01-23,0.00036572709318,1.6978214044e-09,1.6634060364e-09,1.6634060364e-09,1.6979361069e-09,1.6740747372e-09
1986-01-24,0.00076053091968,1.8354825347e-09,1.7206502806e-09,1.7206502806e-09,1.9502002572e-09,1.831926415e-09
1986-01-27,0.00048306962728,1.7781237589e-09,1.7208795147e-09,1.7207649831e-09,1.8354825347e-09,1.7761736453e-09
1986-01-28,0.00055343423786,1.7092931938e-09,1.7207649831e-09,1.7092931938e-09,1.7208795147e-09,1.7203061731e-09
1986-01-29,0.00017629454705,1.6060472606e-09,1.7092931938e-09,1.6059325581e-09,1.7092931938e-09,1.6328910665e-09
1986-01-30,9.9022740938e-05,1.6060472606e-09,1.6060472606e-09,1.6060472606e-09,1.6289908393e-09,1.6144215694e-09
1986-01-31,0.0002276052993,1.6634060364e-09,1.6060472606e-09,1.6060472606e-09,1.6634060364e-09,1.6263523397e-09
1986-02-03,0.00043265250985,1.6863496151e-09,1.6634060364e-09,1.6634060364e-09,1.7207649831e-09,1.6894470956e-09
1986-02-04,0.00055281323327,1.6634060364e-09,1.6634060364e-09,1.6634060364e-09,1.7207649831e-09,1.6738455031e-09
1986-02-05,0.0020903040648,1.6634060364e-09,1.6634060364e-09,1.651934247e-09,1.7207649831e-09,1.6652416184e-09
1986-02-06,0.00026574637954,1.6289908393e-09,1.6634060364e-09,1.6060472606e-09,1.6634060364e-09,1.6351854585e-09
1986-02-07,0.0005471593559,1.5486884848e-09,1.6289908393e-09,1.5486884848e-09,1.6291053709e-09,1.6120126458e-09
1986-02-13,0.00041814704461,1.5486884848e-09,1.5831037246e-09,1.5486884848e-09,1.5831037246e-09,1.5597013359e-09
1986-02-14,0.00039657964639,1.4457866164e-09,1.5486884848e-09,1.4454425088e-09,1.5658960406e-09,1.4629943004e-09
1986-02-17,0.00084781942257,1.4457866164e-09,1.4457866164e-09,1.4454425088e-09,1.4802019844e-09,1.4629943004e-09
1986-02-18,0.00079837428396,1.376611901e-09,1.4454425088e-09,1.376611901e-09,1.4798578769e-09,1.3996701822e-09
1986-02-19,0.0012341120067,1.3077812931e-09,1.3769560085e-09,1.2905737373e-09,1.393819585e-09,1.355274542e-09
1986-02-20,0.0013310772832,1.3421966611e-09,1.3077812931e-09,1.3077812931e-09,1.376611901e-09,1.3270540069e-09
1986-02-21,0.0014778985175,1.3421966611e-09,1.2905737373e-09,1.2905737373e-09,1.376611901e-09,1.3360018282e-09
1986-02-24,0.00091741264131,1.2733660533e-09,1.3421966611e-09,1.2561583693e-09,1.3421966611e-09,1.2940151972e-09
1986-02-25,0.0018035065615,1.2217431294e-09,1.2561583693e-09,1.1701202056e-09,1.3421966611e-09,1.2110742576e-09
1986-02-26,0.0028309759942,1.2045354454e-09,1.2217431294e-09,1.1873277614e-09,1.2561583693e-09,1.2317235297e-09
1986-02-27,0.0015173138771,1.1357048375e-09,1.2045354454e-09,1.1357048375e-09,1.2389506852e-09,1.2100419351e-09
1986-03-04,0.0038388723317,1.376611901e-09,1.376611901e-09,1.376611901e-09,1.4798578769e-09,1.402423427e-09
1986-03-05,0.0034044395422,1.3769560085e-09,1.376611901e-09,1.376611901e-09,1.4454425088e-09,1.3810859398e-09
1986-03-06,0.0025052426305,1.5486884848e-09,1.393819585e-09,1.393819585e-09,1.5486884848e-09,1.4798578769e-09
1986-03-07,0.002458306506,1.5486884848e-09,1.4798578769e-09,1.4798578769e-09,1.6175189645e-09,1.5593572283e-09
1986-03-10,0.0021898379082,1.7551801802e-09,1.5486884848e-09,1.5486884848e-09,1.7551801802e-09,1.7114727551e-09
1986-03-11,0.0036451715501,2.0649178515e-09,1.7895955482e-09,1.7551801802e-09,2.0649178515e-09,1.9706199534e-09
1986-03-12,0.0048252828521,2.1681638274e-09,2.0649178515e-09,1.9616720038e-09,2.2369943071e-09,2.0748983801e-09
1986-03-13,0.0028306017894,2.2714096751e-09,2.1681638274e-09,2.1681638274e-09,2.4090708909e-09,2.2572992153e-09
1986-03-14,0.0027919294108,2.2025791955e-09,2.2369943071e-09,2.1681638274e-09,2.2710655676e-09,2.2129037033e-09
1986-03-17,0.0040353751216,2.2714096751e-09,2.4090708909e-09,2.2025791955e-09,2.4090708909e-09,2.2769161648e-09
1986-03-18,0.0029655486522,2.4090708909e-09,2.4090708909e-09,2.2714096751e-09,2.4090708909e-09,2.3089222673e-09
1986-03-19,0.0049042513473,2.4434862589e-09,2.3746555228e-09,2.3746555228e-09,2.4779013706e-09,2.4393561994e-09
1986-03-20,0.0056640952636,2.5123167386e-09,2.4434862589e-09,2.4090708909e-09,2.5811474747e-09,2.4820314301e-09
1986-03-21,0.0041658516349,2.5467321066e-09,2.5126611025e-09,2.4434862589e-09,2.5811474747e-09,2.5191996584e-09
1986-03-24,0.0018085781926,2.7188086904e-09,2.5811474747e-09,2.5811474747e-09,2.753223802e-09,2.6441273572e-09
1986-03-25,0.0048810104277,2.8564696497e-09,2.7188086904e-09,2.7188086904e-09,2.9425080698e-09,2.8709242171e-09
1986-03-26,0.004848443481,3.1662074493e-09,2.9253003858e-09,2.9253003858e-09,3.269453297e-09,3.1314479737e-09
1986-03-31,0.0033229076663,3.269453297e-09,3.1665515568e-09,3.0973769696e-09,3.303868665e-09,3.2281550092e-09
1986-04-01,0.0020207371618,3.0285462335e-09,3.269453297e-09,3.0285462335e-09,3.269453297e-09,3.125253269e-09
1986-04-02,0.0034081734804,2.9425080698e-09,3.1662074493e-09,2.8908850178e-09,3.269453297e-09,2.9679753601e-09
1986-04-03,0.0022930095434,2.753223802e-09,2.9425080698e-09,2.753223802e-09,2.9425080698e-09,2.7965872478e-09
1986-04-04,0.0024794997105,3.1317920812e-09,2.9253003858e-09,2.9253003858e-09,3.1662074493e-09,3.1056363195e-09
1986-04-07,0.0014958861805,3.269453297e-09,3.1317920812e-09,3.1145843972e-09,3.269453297e-09,3.1772204286e-09
1986-04-08,0.0039235016158,3.3382840331e-09,3.269453297e-09,3.269453297e-09,3.4415298808e-09,3.3179791249e-09
1986-04-09,0.0025112167242,3.2884380937e-09,3.1153625674e-09,3.0461321506e-09,3.2884380937e-09,3.12263156e-09
1986-04-10,0.0050966846863,3.3576685105e-09,3.3403609063e-09,3.2884380937e-09,3.5999744536e-09,3.3638991861e-09
1986-04-11,0.0075889464298,3.4615138778e-09,3.3576685105e-09,3.2884380937e-09,3.8076651882e-09,3.4504369492e-09
1986-04-14,0.0041350408081,3.4265525637e-09,3.4615138778e-09,3.3576685105e-09,3.6345894041e-09,3.4611675142e-09
1986-04-15,0.005232766169,3.3576685105e-09,3.5307440367e-09,3.2884380937e-09,3.6345894041e-09,3.4497447379e-09
1986-04-16,0.0038252899347,3.1153625674e-09,3.2884380937e-09,2.9769019917e-09,3.3576685105e-09,3.0658627523e-09
1986-04-17,0.001789162508,3.2884380937e-09,3.1153625674e-09,3.1153625674e-09,3.6345894041e-09,3.2642076025e-09
1986-04-18,0.0052628540995,3.4615138778e-09,3.392283461e-09,3.3230533021e-09,3.8076651882e-09,3.4549368386e-09
1986-04-22,0.0030303455136,3.392283461e-09,3.2884380937e-09,3.2538228852e-09,3.6345894041e-09,3.3580146161e-09
1986-04-23,0.0041484292727,3.2538228852e-09,3.3576685105e-09,3.2538228852e-09,3.876895605e-09,3.3735914341e-09
1986-04-24,0.0039504606517,3.1153625674e-09,3.2884380937e-09,3.1153625674e-09,3.4615138778e-09,3.2700921725e-09
1986-04-25,0.0023167182658,3.1153625674e-09,3.1153625674e-09,3.1153625674e-09,3.2884380937e-09,3.1267856016e-09
1986-04-28,0.0019978824584,2.9076715748e-09,3.1150162038e-09,2.8384414159e-09,3.1153625674e-09,2.9325945352e-09
1986-04-29,0.0019087421129,2.9422867832e-09,2.8384414159e-09,2.5961354728e-09,2.9422867832e-09,2.8020954213e-09
1986-04-30,0.0039499162898,2.9080179384e-09,2.9076715748e-09,2.9076715748e-09,3.1499775179e-09,2.9384791052e-09
1986-05-02,0.0010841533054,2.8557490201e-09,3.0115169422e-09,2.8384414159e-09,3.0115169422e-09,2.909402361e-09
1986-05-05,0.0012950504556,2.6999808402e-09,2.8557490201e-09,2.6999808402e-09,2.8730563664e-09,2.7906726449e-09
1986-05-06,0.0010357199758,2.5957891093e-09,2.6996344766e-09,2.5442126602e-09,2.6996344766e-09,2.6169043916e-09
1986-05-07,0.0011171888873,2.5961354728e-09,2.526905056e-09,2.526905056e-09,2.6999808402e-09,2.615519711e-09
1986-05-08,0.0021525114987,2.6999808402e-09,2.5957891093e-09,2.5957891093e-09,2.6999808402e-09,2.670904096e-09
1986-05-09,0.0022575308173,2.6999808402e-09,2.6999808402e-09,2.6307504233e-09,2.7692109991e-09,2.7044807296e-09
1986-05-12,0.0018475886984,2.6653656318e-09,2.5961354728e-09,2.5961354728e-09,2.7003269458e-09,2.6574041699e-09
1986-05-13,0.0021789646802,2.5615202644e-09,2.682673236e-09,2.5615202644e-09,2.7692109991e-09,2.6799038749e-09
1986-05-14,0.0027165803886,2.6307504233e-09,2.5611739009e-09,2.5611739009e-09,2.7692109991e-09,2.6193273891e-09
1986-05-15,0.0019963473627,2.6999808402e-09,2.6307504233e-09,2.6307504233e-09,2.7692109991e-09,2.7006730515e-09
1986-05-16,0.00077408290964,2.6307504233e-09,2.6999808402e-09,2.5788278686e-09,2.7692109991e-09,2.6646734204e-09
1986-05-19,0.0013647471983,2.4230596887e-09,2.6307504233e-09,2.4230596887e-09,2.6307504233e-09,2.5102896631e-09
1986-05-20,0.002062301827,2.4234057943e-09,2.3884444803e-09,2.3538295298e-09,2.4576748971e-09,2.4230596887e-09
1986-05-21,0.0034125952664,2.2499839045e-09,2.4230596887e-09,2.2499839045e-09,2.4230596887e-09,2.3621368393e-09
1986-05-22,0.0038204785666,2.215368954e-09,2.2845991129e-09,2.1461385372e-09,2.3192143213e-09,2.2309455141e-09
1986-05-23,0.0036322644083,2.4922898476e-09,2.2845991129e-09,2.2499839045e-09,2.5615202644e-09,2.4116366544e-09
1986-05-27,0.0012513298082,2.6657119953e-09,2.4922898476e-09,2.4922898476e-09,2.6999808402e-09,2.5995967874e-09
1986-05-28,0.0028813222301,2.7692109991e-09,2.6653656318e-09,2.6653656318e-09,2.7695573626e-09,2.7660957902e-09
1986-05-29,0.0013374447312,2.9076715748e-09,2.7692109991e-09,2.7345960486e-09,2.9080179384e-09,2.8294413792e-09
1986-05-30,0.0014334712994,2.9422867832e-09,2.9076715748e-09,2.8730563664e-09,2.9769019917e-09,2.9370944246e-09
1986-06-02,0.00050055601554,2.8730563664e-09,2.9076715748e-09,2.8695950519e-09,2.9769019917e-09,2.9235944985e-09
