Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2007-04-04,0.0,4.1861782011,4.1861782011,4.1861782011,4.1861782011,4.1861782011
2007-04-05,136210411.0,4.4094410385,4.3257174745,4.244784696,4.4652567479,4.3759516129
2007-04-09,27462938.0,4.3954871112,4.3257174745,4.2419939105,4.4010686821,4.322926689
2007-04-10,29098126.0,4.1694334883,4.3117635472,4.1443164191,4.3117635472,4.1889689866
2007-04-11,29042561.0,3.9880324329,4.1219901354,3.9740785056,4.1861782011,4.0578020696
2007-04-12,16674094.0,4.1917597721,3.9601245783,3.9489614364,4.2001321285,4.0745467824
2007-04-13,13362177.0,4.2978096198,4.2419939105,4.1861782011,4.3145543326,4.2503662669
2007-04-16,8493714.0,4.1861782011,4.2280399831,4.1861782011,4.3257174745,4.2140860558
2007-04-17,4410780.0,4.1861782011,4.1861782011,4.1191993499,4.2085044849,4.1861782011
2007-04-18,6336536.0,4.1861782011,4.1582703465,4.1443164191,4.2838556925,4.1805966302
2007-04-19,7367418.0,4.2140860558,4.1443164191,4.1164085644,4.2140860558,4.1917597721
2007-04-20,10479667.0,4.1861782011,4.1861782011,4.1722242738,4.2587386233,4.1917597721
2007-04-23,5927182.0,4.2001321285,4.1861782011,4.1833874157,4.2085044849,4.1917597721
2007-04-24,8682878.0,4.2280399831,4.1861782011,4.1722242738,4.239203125,4.2057136994
2007-04-25,7518226.0,4.3257174745,4.2001321285,4.2001321285,4.3257174745,4.2475754814
2007-04-26,10201099.0,4.2001321285,4.3201359036,4.1164085644,4.3982778967,4.2224584122
2007-04-27,9646853.0,4.1833874157,4.1861782011,4.1191993499,4.2001321285,4.1387348482
2007-04-30,2687388.0,4.1582703465,4.1861782011,4.1164085644,4.1945505575,4.1666427029
2007-05-02,2092147.0,4.1833874157,4.1861782011,4.1359440627,4.1861782011,4.1805966302
2007-05-03,11197801.0,4.2112952703,4.1722242738,4.1498979901,4.244784696,4.1833874157
2007-05-04,10041068.0,4.2978096198,4.2112952703,4.1638519174,4.3536253292,4.2782741216
2007-05-07,7920967.0,4.4624659624,4.3396714018,4.3396714018,4.5489803119,4.4233949659
2007-05-08,4621869.0,4.5210724572,4.4094410385,4.2699017652,4.5489803119,4.5043277444
2007-05-09,4478363.0,4.4513028205,4.5210724572,4.4094410385,4.5489803119,4.4373488932
2007-05-10,3257187.0,4.3536253292,4.4373488932,4.3145543326,4.4373488932,4.3368806164
2007-05-11,12605298.0,4.4345581077,4.3536253292,4.3536253292,4.4624659624,4.4345581077
2007-05-14,2153552.0,4.3619976856,4.4345581077,4.2978096198,4.4345581077,4.3452529728
2007-05-15,4752939.0,4.4513028205,4.4373488932,4.3396714018,4.4652567479,4.4178133949
2007-05-16,10201844.0,4.6047960212,4.4652567479,4.4345581077,4.6466578033,4.5489803119
2007-05-17,8696239.0,4.7303813673,4.5489803119,4.4987461735,4.8280588586,4.6885195853
2007-05-18,7765401.0,4.883874568,4.7303813673,4.7303813673,4.8978284953,4.8085233604
2007-05-21,9888060.0,5.2327227514,4.883874568,4.883874568,5.3024923881,5.1741162566
2007-05-22,22406368.0,5.2522582497,5.2745845334,5.2355135369,5.4978473708,5.4085422359
2007-05-23,8398801.0,5.4280777341,5.2466766788,5.2466766788,5.4699395162,5.3834251667
2007-05-24,15103881.0,5.4420316615,5.4950565854,5.4141238068,5.5536630802,5.4587763743
2007-05-25,8999859.0,5.6094787895,5.4420316615,5.4420316615,5.7211102082,5.5759893639
2007-05-28,3473057.0,5.9192559764,5.6513405715,5.6513405715,6.0280966096,5.9360006892
2007-05-29,24434213.0,5.8606494816,6.0029795404,5.8606494816,6.1955437377,6.0643768207
2007-05-30,19020239.0,5.4838934435,5.6094787895,5.4838934435,6.000188755,5.8327416269
2007-05-31,6833044.0,5.8606494816,5.7183194227,5.6234327169,5.994607184,5.7462272774
2007-06-01,5781339.0,6.2792673017,5.9722809003,5.9722809003,6.2792673017,6.1201925301
2007-06-04,10540819.0,6.6420694125,6.3295014401,6.3295014401,6.9741728831,6.6281154851
2007-06-05,10137843.0,6.5025301391,6.7257929765,6.4606683571,6.9211479592,6.5695089903
2007-06-06,5013059.0,6.3908987204,6.6141615578,6.3629908657,6.639278627,6.4215973605
2007-06-08,7654443.0,6.4215973605,6.3490369384,6.1369372429,6.5443919211,6.3099659418
2007-06-11,11555453.0,6.2234515923,6.4802038554,6.167635883,6.5862537031,6.3378737965
2007-06-12,5500713.0,6.000188755,6.2792673017,6.000188755,6.4188065751,6.0922846754
2007-06-13,6298331.0,6.167635883,6.1397280283,6.0978662463,6.167635883,6.125774101
2007-06-14,28947139.0,6.4746222844,6.1397280283,6.0699583916,6.4746222844,6.1732174539
2007-06-15,10062107.0,6.8095165405,6.5360195647,6.5360195647,7.0606872326,6.8681230353
2007-06-18,4522835.0,6.6978851218,6.9295203156,6.5025301391,7.1165029419,6.7676547585
2007-06-19,5471581.0,6.6141615578,6.6839311945,6.5750905613,6.6839311945,6.6281154851
2007-06-20,7489370.0,6.3378737965,6.8820769627,6.3378737965,6.8820769627,6.471831499
2007-06-21,5505155.0,6.8095165405,6.4885762118,6.4188065751,6.8346336097,6.6225339142
2007-06-22,11353555.0,6.9351018865,6.7202114056,6.7202114056,6.943474243,6.8737046063
2007-06-25,5802717.0,6.7118390492,6.7425376893,6.6699772671,6.8653322499,6.7620731876
2007-06-26,1803688.0,6.8625414644,6.8374243952,6.7118390492,6.8625414644,6.8206796824
2007-06-27,8630068.0,6.6281154851,6.7397469038,6.6281154851,6.7676547585,6.6867219799
2007-06-28,7892141.0,6.9769636686,6.8374243952,6.6950943363,7.0885950873,6.9490558139
2007-06-29,15773263.0,7.2002265059,7.0048715232,6.9211479592,7.3118579247,7.0355701634
2007-07-02,4761372.0,7.2588330008,7.2560422153,7.2197620042,7.3397657793,7.2532514298
2007-07-03,5782321.0,7.2811592845,7.3146487101,7.2811592845,7.4234893433,7.3509289212
2007-07-04,6323864.0,7.1053398001,7.3118579247,7.0383609488,7.3955814887,7.2085988624
2007-07-05,1769561.0,6.9016124609,7.2532514298,6.8457967516,7.2532514298,7.0048715232
2007-07-06,5870628.0,6.7816086858,6.9909175959,6.6950943363,7.1444107966,6.8848677481
2007-07-10,11859192.0,6.4467144298,6.8513783225,6.4188065751,6.8513783225,6.5109024955
2007-07-11,13518569.0,6.2234515923,6.6364878415,6.1536819557,6.6364878415,6.2625225889
2007-07-12,18109798.0,6.5025301391,6.3350830111,6.3322922256,6.5025301391,6.4160157896
2007-07-13,12723814.0,6.6420694125,6.6839311945,6.5304379938,6.6978851218,6.6476509834
2007-07-16,7571525.0,6.6699772671,6.6281154851,6.5583458484,6.6950943363,6.6141615578
2007-07-17,33475208.0,6.6839311945,6.9211479592,6.5890444886,6.9462650284,6.6867219799
2007-07-18,21072944.0,6.6281154851,6.6699772671,6.4913669972,6.6755588381,6.6281154851
2007-07-19,11917099.0,6.7537008312,6.5443919211,6.5443919211,6.8625414644,6.7481192602
2007-07-20,4344854.0,6.7816086858,6.7537008312,6.7006759073,6.8597506789,6.7843994713
2007-07-23,8184830.0,6.7676547585,6.7955626132,6.6978851218,6.7955626132,6.7509100457
