Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2010-03-08,45561052.0,6.4914831295,6.6397138466,6.4148120689,6.6397138466,6.5068173416
2010-03-09,9907149.0,6.5681541901,6.4914831295,6.4199234729,6.6243796345,6.5272629577
2010-03-10,35906135.0,6.6397138466,6.5783769981,6.5221515537,6.6703822708,6.6346024426
2010-03-11,6444018.0,6.6294910385,6.6346024426,6.5425971699,6.6448252506,6.6294910385
2010-03-12,6084684.0,6.6397138466,6.6448252506,6.6090454224,6.6703822708,6.6346024426
2010-03-15,2044012.0,6.6243796345,6.6754936749,6.5937112102,6.7112735031,6.6346024426
2010-03-16,1330675.0,6.6294910385,6.6039340183,6.5732655941,6.6448252506,6.6243796345
2010-03-17,2067903.0,6.6243796345,6.6346024426,6.5170401497,6.6448252506,6.6039340183
2010-03-18,7244633.0,6.6397138466,6.6397138466,6.5681541901,6.6652708668,6.6192682304
2010-03-19,2326779.0,6.6192682304,6.6448252506,6.5681541901,6.6448252506,6.6039340183
2010-03-22,11120554.0,6.6141568264,6.6346024426,6.5272629577,6.6346024426,6.563042786
2010-03-23,14928065.0,6.6192682304,6.6346024426,6.5425971699,6.6806050789,6.563042786
2010-03-24,8444120.0,6.6141568264,6.557931382,6.5221515537,6.6346024426,6.6243796345
2010-03-25,5977883.0,6.690827887,6.5937112102,6.5937112102,6.7981673718,6.6652708668
2010-03-26,7946569.0,6.6448252506,6.7521647355,6.6448252506,6.823724392,6.6652708668
2010-03-29,5413420.0,6.6192682304,6.695939291,6.6090454224,6.7010506951,6.6346024426
2010-03-30,5814994.0,6.6397138466,6.6448252506,6.6192682304,6.6703822708,6.6294910385
2010-03-31,1907740.0,6.6039340183,6.6448252506,6.5732655941,6.6703822708,6.6090454224
2010-04-01,25224172.0,6.6192682304,6.6448252506,6.4659261093,6.6550480587,6.6346024426
2010-04-05,5246754.0,6.5425971699,6.4454804931,6.3892550487,6.6192682304,6.5272629577
2010-04-06,14932917.0,6.6192682304,6.6192682304,6.5425971699,6.6397138466,6.6141568264
2010-04-07,622603.0,6.6192682304,6.6346024426,6.5425971699,6.6448252506,6.6141568264
2010-04-08,1190723.0,6.5425971699,6.5425971699,6.5425971699,6.6294910385,6.563042786
2010-04-09,1606798.0,6.6346024426,6.4454804931,6.4454804931,6.6346024426,6.5221515537
2010-04-12,1405241.0,6.6448252506,6.5681541901,6.5425971699,6.6448252506,6.6397138466
2010-04-13,3059795.0,6.5323743618,6.6448252506,6.4965945335,6.6448252506,6.5323743618
2010-04-14,8773078.0,6.6448252506,6.6039340183,6.5119287456,6.6448252506,6.5988226143
2010-04-15,2605995.0,6.5374857658,6.5528199779,6.425034877,6.5885998062,6.5221515537
2010-04-16,1874317.0,6.435257685,6.5885998062,6.425034877,6.5885998062,6.4454804931
2010-04-19,1093462.0,6.5272629577,6.2870269679,6.2870269679,6.5323743618,6.4710375133
2010-04-20,1138448.0,6.5374857658,6.4454804931,6.4403690891,6.5374857658,6.5068173416
2010-04-22,4609038.0,6.4965945335,6.5681541901,6.4965945335,6.5681541901,6.5528199779
2010-04-23,9726828.0,6.425034877,6.563042786,6.425034877,6.563042786,6.4403690891
2010-04-26,820566.0,6.4996379598,6.4176882298,6.4125663717,6.5559783992,6.4945161017
2010-04-27,318863.0,6.4996379598,6.6020751223,6.3664696486,6.6020751223,6.4791505273
2010-04-28,655708.0,6.4996379598,6.6071969804,6.2589106279,6.6071969804,6.4330538042
2010-04-29,962426.0,6.4432975204,6.4074445135,6.2589106279,6.4945161017,6.3664696486
