Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2013-04-18,0.0,15.0,15.0,15.0,15.0,15.0
2013-04-19,14865492.0,12.85,14.17,12.65,14.17,13.1
2013-04-22,4509590.0,13.02,12.84,12.65,13.04,12.88
2013-04-23,1283308.0,13.02,13.1,12.85,13.2,12.99
2013-04-24,1135134.0,13.0,13.05,12.95,13.1,13.0
2013-04-25,1381175.0,13.1,13.0,12.96,13.3,13.12
2013-04-26,795541.0,13.0,12.96,12.95,13.07,13.0
2013-04-29,894120.0,13.0,13.0,12.95,13.02,13.0
2013-04-30,884996.0,13.13,12.96,12.95,13.13,13.07
2013-05-02,993992.0,13.15,12.99,12.99,13.7,13.22
2013-05-03,259916.0,13.2,13.11,13.11,13.35,13.19
2013-05-06,27844.0,13.38,13.1,13.01,13.38,13.26
2013-05-07,1794331.0,13.23,13.23,13.18,13.4,13.37
2013-05-08,201705.0,13.31,13.24,13.24,13.48,13.36
2013-05-09,368342.0,13.75,13.24,13.24,13.75,13.54
2013-05-10,283695.0,13.5,13.6,13.5,13.9,13.57
2013-05-13,2186896.0,13.7,13.37,13.37,13.7,13.54
2013-05-14,386774.0,13.8,13.68,13.68,14.35,14.01
2013-05-15,664727.0,13.96,13.73,13.73,14.2,13.99
2013-05-16,521255.0,14.0,13.88,13.88,14.3,14.09
2013-05-17,1394124.0,14.0,14.09,14.0,14.2,14.14
2013-05-20,228202.0,14.0,13.93,13.93,14.03,14.0
2013-05-21,58797.0,14.0,13.97,13.97,14.0,14.0
2013-05-22,7000000.0,14.0,14.0,14.0,14.0,14.0
2013-05-23,275317.0,13.72,13.8,13.72,13.94,13.77
2013-05-24,214036.0,13.85,13.69,12.9,13.85,13.55
2013-05-27,41514.0,13.85,13.9,13.55,13.9,13.84
2013-05-28,44200.0,13.85,13.7,13.65,13.85,13.81
2013-05-29,68253.0,13.85,13.98,13.85,14.0,13.93
2013-05-31,211964.0,13.9,13.83,13.8,13.9,13.85
2013-06-03,333607.0,13.73,13.9,13.58,13.9,13.84
2013-06-04,1375.0,13.75,13.75,13.75,13.75,13.75
2013-06-05,4047.0,13.47,13.5,13.47,13.5,13.49
2013-06-06,16261.0,13.55,13.79,13.5,13.79,13.55
2013-06-07,177491.0,13.56,13.39,13.11,13.56,13.25
2013-06-10,167579.0,13.4,13.29,13.29,13.6,13.41
2013-06-11,7839495.0,13.25,13.4,13.25,13.47,13.45
2013-06-12,79763.0,13.32,13.3,13.2,13.32,13.29
2013-06-13,13400.0,13.4,13.4,13.4,13.4,13.4
2013-06-14,4021328.0,13.4,13.28,13.28,13.4,13.4
2013-06-18,97033.0,13.37,13.34,13.15,13.37,13.29
2013-06-19,56805.0,13.29,13.69,13.0,13.69,13.21
2013-06-20,77187.0,13.31,13.2,13.2,13.31,13.31
2013-06-21,519486.0,13.15,13.32,13.0,13.32,13.15
2013-06-24,552726.0,12.9,12.8,12.5,12.93,12.71
2013-06-25,28339.0,12.99,13.0,12.87,13.0,12.88
2013-06-26,9052.0,13.0,13.0,12.88,13.0,12.93
2013-06-27,1388063.0,13.0,12.9,12.85,13.0,13.0
2013-06-28,25406.0,12.69,12.81,12.65,12.81,12.7
2013-07-01,36217.0,12.97,13.1,12.72,13.1,12.93
2013-07-02,12731.0,12.73,12.74,12.73,12.74,12.73
2013-07-03,7584.0,12.7,12.6,12.54,12.7,12.64
2013-07-04,2543.0,12.68,12.75,12.68,12.75,12.72
2013-07-05,32580.0,12.72,12.62,12.5,12.72,12.53
2013-07-08,61311.0,12.73,12.52,12.41,12.73,12.51
2013-07-10,161011.0,12.6,12.73,12.47,12.73,12.58
2013-07-11,6280.0,12.5,12.6,12.5,12.6,12.56
2013-07-12,76119.0,12.49,12.4,12.4,12.49,12.48
2013-07-15,6228.0,12.49,12.49,12.4,12.49,12.46
2013-07-16,1249.0,12.49,12.49,12.49,12.49,12.49
2013-07-17,23568.0,12.39,12.49,12.39,12.5,12.4
2013-07-18,8659.0,12.3,12.4,12.3,12.4,12.37
2013-07-19,81180.0,12.3,12.3,12.3,12.3,12.3
2013-07-22,12376.0,12.3,12.3,12.3,12.45,12.38
2013-07-23,46651.0,12.28,12.3,12.18,12.3,12.28
