Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2017-09-27,0.0,8.3560863614,8.3560863614,8.3560863614,8.3560863614,8.3560863614
2017-09-28,179141094.0,8.346801821,8.3560863614,8.0404119878,8.3560863614,8.2725254978
2017-09-29,40931634.0,8.3560863614,8.3096636594,8.253956417,8.439647225,8.3282327402
2017-10-02,16507262.0,8.3560863614,8.4303626846,8.3096636594,8.4303626846,8.3375172806
2017-10-03,48688194.0,8.3189481998,8.4025090634,8.2910945786,8.4025090634,8.3189481998
2017-10-04,52868205.0,8.0404119878,8.1239728514,7.9011438817,8.1518264726,8.0589810685
2017-10-05,9979134.0,8.0775501494,8.068265609,7.9475665837,8.1703955534,8.0496965282
2017-10-06,13683655.0,8.114688311,8.021842907,7.9847047454,8.114688311,8.068265609
2017-10-09,10390601.0,7.9382820433,8.114688311,7.9382820433,8.114688311,7.9568511242
2017-10-10,19236919.0,7.9847047454,8.0589810685,7.8454366393,8.1054037706,7.9104284221
2017-10-11,9584824.0,7.9382820433,8.0589810685,7.8640057201,8.0589810685,7.9382820433
2017-10-13,6204376.0,7.9847047454,7.9847047454,7.8918593413,8.0125583666,7.9475665837
2017-10-16,16882614.0,7.8454366393,7.9289975029,7.7618757757,8.114688311,7.8175830181
2017-10-17,59584256.0,7.7525912353,7.8640057201,7.4276323213,7.8732902605,7.5111931849
2017-10-18,14562422.0,7.6597458313,7.7711603161,7.5483313465,7.8361520989,7.6411767505
2017-10-19,7906477.0,7.7433066949,7.5669004273,7.5204777253,7.7433066949,7.6504612909
2017-10-20,31609085.0,8.0311274473,7.7433066949,7.6690303717,8.0404119878,7.8640057201
2017-10-23,9137063.0,7.9847047454,8.0775501494,7.8918593413,8.0775501494,7.9754202049
2017-10-24,16240086.0,8.0032738262,7.9382820433,7.9197129625,8.068265609,7.9754202049
2017-10-25,10526647.0,7.9847047454,8.0032738262,7.9104284221,8.021842907,7.9661356645
2017-10-26,13042426.0,7.8918593413,7.9661356645,7.8547211797,7.9847047454,7.9011438817
2017-10-27,17522709.0,7.7990139373,7.8547211797,7.6597458313,7.8825748009,7.7618757757
2017-10-30,25742706.0,7.5761849677,7.7990139373,7.5761849677,7.7990139373,7.5947540485
2017-10-31,15349282.0,7.4833395637,7.6133231293,7.353355998,7.6133231293,7.4647704829
2017-11-01,6370491.0,7.6504612909,7.4833395637,7.3440714576,7.6504612909,7.4833395637
2017-11-03,10504386.0,7.4276323213,7.5390468061,7.3812096192,7.6504612909,7.4276323213
2017-11-06,14988689.0,7.4833395637,7.5483313465,7.4369168617,7.6597458313,7.5390468061
2017-11-07,62248563.0,7.4276323213,7.5761849677,7.3904941596,7.6783149121,7.4462014021
2017-11-08,37079390.0,7.4647704829,7.4740550233,7.4090632405,7.5669004273,7.4833395637
2017-11-09,6023570.0,7.4740550233,7.4926241041,7.4554859425,7.5576158869,7.5019086445
2017-11-10,30437207.0,7.4369168617,7.4833395637,7.4090632405,7.5297622657,7.4369168617
2017-11-13,19068380.0,7.4276323213,7.4276323213,7.3812096192,7.5204777253,7.4183477808
2017-11-14,14697512.0,7.4276323213,7.3812096192,7.3719250788,7.5111931849,7.4183477808
2017-11-16,5458725.0,7.4276323213,7.5019086445,7.4090632405,7.5483313465,7.4462014021
2017-11-17,74503670.0,7.7990139373,7.4554859425,7.4090632405,7.8454366393,7.6226076697
2017-11-21,42956712.0,8.2168182554,7.8454366393,7.8175830181,8.253956417,8.0961192302
2017-11-22,50509456.0,8.068265609,8.2353873362,8.068265609,8.2818100382,8.2168182554
2017-11-23,11677826.0,8.0496965282,8.068265609,7.8918593413,8.114688311,8.0404119878
2017-11-24,6359752.0,7.9104284221,8.1332573918,7.9011438817,8.1332573918,8.0032738262
2017-11-27,17565115.0,7.7525912353,7.8732902605,7.7061685333,7.9104284221,7.7618757757
2017-11-28,3130348.0,7.8175830181,7.7804448565,7.7061685333,7.8918593413,7.8082984777
2017-11-29,6685388.0,7.5297622657,7.8175830181,7.5297622657,7.8640057201,7.6133231293
2017-11-30,13913230.0,7.3997787,7.5669004273,7.3812096192,7.5669004273,7.4276323213
2017-12-01,13082160.0,7.6968839929,7.4276323213,7.4276323213,7.6968839929,7.4647704829
2017-12-04,7007935.0,7.6133231293,7.6783149121,7.5483313465,7.7525912353,7.6411767505
2017-12-05,11405036.0,7.4369168617,7.6875994525,7.4369168617,7.6875994525,7.5111931849
2017-12-06,24582066.0,7.3812096192,7.4647704829,7.3812096192,7.5204777253,7.4183477808
2017-12-07,43822758.0,6.9634053012,7.3812096192,6.8334217356,7.4554859425,7.0191125436
2017-12-08,16903477.0,6.9634053012,6.981974382,6.7684299527,7.1026734072,6.93555168
2017-12-11,7323251.0,6.8612753568,7.0562507052,6.8519908164,7.0841043264,6.889128978
2017-12-12,6827875.0,6.7869990335,6.8705598972,6.7869990335,6.9169825992,6.8519908164
2017-12-13,20111820.0,7.0933888668,6.9448362204,6.9169825992,7.1305270284,7.028397084
2017-12-14,8109206.0,7.1490961092,7.0933888668,7.0005434628,7.2419415132,7.121242488
