Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2006-04-28,0.0,11.920872152,11.920872152,11.920872152,11.920872152,11.920872152
2006-05-02,74750229.0,11.589736814,12.252007489,11.424169145,12.444065985,11.80166343
2006-05-03,43915240.0,11.258601476,11.596359521,10.728784936,11.689077415,11.232110649
2006-05-04,9269162.0,11.589736814,11.391055612,11.265224183,11.689077415,11.463905386
2006-05-05,12049575.0,11.920872152,11.854645084,11.179128995,12.159289595,11.901004031
2006-05-08,6003756.0,12.020212753,11.920872152,11.795040723,12.020212753,11.934117565
2006-05-09,7416712.0,12.08643982,11.920872152,11.920872152,12.08643982,11.947362979
2006-05-10,9050979.0,12.185780422,11.927494858,11.920872152,12.318234557,12.053326287
2006-05-11,11985115.0,11.920872152,12.0665717,11.854645084,12.457311398,12.040080873
2006-05-12,10688873.0,11.887758618,11.920872152,11.788418017,12.119553354,11.894381325
2006-05-15,1259968.0,11.788418017,11.788418017,11.530132453,11.920872152,11.768549896
2006-05-16,13187042.0,11.920872152,11.920872152,11.457282679,11.987099219,11.675832002
2006-05-17,4114911.0,11.920872152,11.953985685,11.589736814,12.053326287,11.861267791
2006-05-18,1472040.0,11.854645084,11.589736814,11.589736814,11.920872152,11.874513204
2006-05-19,4492457.0,11.854645084,11.722190949,11.722190949,11.920872152,11.775172603
2006-05-22,19605583.0,11.159260875,11.589736814,10.728784936,11.589736814,11.179128995
2006-05-23,2193865.0,11.490396213,11.583114107,11.258601476,11.914249445,11.583114107
2006-05-24,5882130.0,11.225487943,11.490396213,10.304931704,11.490396213,10.887729898
2006-05-25,5426409.0,11.258601476,10.993693206,10.927466139,11.258601476,11.245356063
2006-05-26,10776028.0,11.258601476,11.457282679,10.927466139,11.920872152,11.278469597
2006-05-29,136658.0,11.258601476,11.576491401,10.735407643,11.589736814,11.172506289
2006-05-30,1515898.0,9.9340601267,11.391055612,9.9340601267,11.391055612,10.437385839
2006-05-31,2635300.0,9.8678330592,10.000287194,9.2717894516,10.391026892,9.8877011795
2006-06-01,1617564.0,9.9340601267,10.126118622,9.7420016309,10.132741329,9.8545876457
2006-06-02,271749.0,9.3380165191,10.000287194,9.2717894516,10.397649599,9.6757745634
2006-06-05,347886.0,9.2055623841,9.3380165191,8.9472768208,9.4373571204,9.2188077976
2006-06-06,733500.0,8.6558777238,9.2055623841,8.6161414832,9.2055623841,8.8015772723
2006-06-07,876681.0,8.6095187765,8.940654114,8.4174602807,9.2717894516,8.9075405803
2006-06-08,337291.0,8.0465887026,8.6095187765,7.9803616351,8.6095187765,8.1260611836
2006-06-09,2149953.0,8.4770646415,8.437328401,8.2783834389,8.808199979,8.675745844
