Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2019-10-25,0.0,16.266868631,16.266868631,16.266868631,16.266868631,16.266868631
2019-10-28,361035972.0,16.769662753,17.085141417,16.759804044,17.104858834,16.887967252
2019-10-29,57444550.0,16.759804044,16.858391127,16.611923421,17.025989167,16.769662753
2019-10-30,38059473.0,16.789380169,16.769662753,16.611923421,16.809097586,16.73022792
2019-10-31,25254215.0,16.740086628,16.73022792,16.464042797,16.740086628,16.621782129
2019-11-01,35193390.0,17.095000125,16.848532419,16.592206004,17.164011083,16.917543377
2019-11-04,46124321.0,17.647087788,17.095000125,17.085141417,17.686522621,17.41047879
2019-11-05,15457337.0,17.745674871,17.745674871,17.509065872,17.745674871,17.666805204
2019-11-06,24152871.0,17.597794247,17.745674871,17.390761373,17.80482712,17.597794247
2019-11-07,42956225.0,17.449913623,17.597794247,16.887967252,17.597794247,17.262598166
2019-11-08,8157307.0,17.252739458,17.400620081,16.996413043,17.587935538,17.341467832
2019-11-11,43431012.0,17.242880749,17.075282709,16.937260793,17.302032999,17.065424001
2019-11-12,48141307.0,16.562629879,17.233022041,16.395031839,17.311891707,16.611923421
2019-11-13,138436636.0,14.788062392,16.069694466,14.610605643,16.266868631,15.152834597
2019-11-14,100651658.0,14.788062392,14.847214641,13.969789606,15.202128139,14.393714061
2019-11-18,64377004.0,15.399302304,14.886649474,14.807779808,15.655628719,15.369726179
2019-11-19,22935571.0,15.182410722,15.576759053,15.044388806,15.714780968,15.320432638
2019-11-21,14523364.0,15.241562972,15.19226943,14.906366891,15.379584887,15.113399764
2019-11-22,15739180.0,15.616193886,15.054247515,15.02467139,15.675346135,15.428878429
2019-11-25,5007047.0,15.685204843,15.626052594,15.389443596,15.813368051,15.616193886
2019-11-26,58778124.0,16.128846716,15.468313262,15.458454553,16.128846716,15.951389967
2019-11-27,9360947.0,16.040118341,16.266868631,15.823226759,16.296444756,16.040118341
2019-11-28,3918757.0,16.434466672,16.040118341,15.980966091,16.434466672,16.21757509
2019-11-29,6305344.0,16.523195046,16.365455714,16.04997705,16.562629879,16.473901505
2019-12-02,14926124.0,16.907684668,16.533053754,16.355597006,16.937260793,16.680934378
2019-12-03,16971378.0,17.252739458,16.89782596,16.690793087,17.371043957,17.134434958
