Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2006-07-31,184350493.0,9.378866821,9.1929301027,8.9687122953,9.6741780795,9.3023046429
2006-08-01,77723243.0,9.7343340766,9.2858984619,9.1382428326,9.7890213467,9.5538660853
2006-08-02,62870723.0,9.6249595364,9.8108962548,9.6249595364,10.171832237,10.0023017
2006-08-03,48331850.0,9.7616777117,9.4171479101,9.4171479101,9.8108962548,9.6632406255
2006-08-04,37447964.0,9.953083157,9.8273024358,9.7890213467,10.089801332,9.9038646139
2006-08-07,5569696.0,9.8983958869,9.8929271599,9.8437086168,10.007770427,9.8819897059
2006-08-08,18767091.0,10.117144967,10.0023017,9.953083157,10.171832237,10.078863878
2006-08-09,33198125.0,10.390581317,10.253863142,10.226519507,10.592924217,10.368706409
2006-08-10,29252381.0,10.603861671,10.38511259,10.335894047,10.773392208,10.664017668
2006-08-11,10117485.0,10.445268587,10.664017668,10.237456961,10.767923481,10.461674768
2006-08-14,7783622.0,10.478080949,10.417924952,10.226519507,10.636674033,10.423393679
2006-08-15,15874074.0,10.718704938,10.581986763,10.527299493,10.746048573,10.620267852
2006-08-16,14768218.0,10.773392208,10.718704938,10.478080949,10.773392208,10.609330398
2006-08-17,42829282.0,10.718704938,10.767923481,10.664017668,10.855423113,10.756986027
2006-08-18,56795514.0,10.664017668,10.718704938,10.445268587,10.718704938,10.560111855
2006-08-21,26727479.0,10.297612958,10.609330398,9.964020611,10.609330398,10.341362774
2006-08-22,9506845.0,10.335894047,10.472612222,10.007770427,10.472612222,10.22105078
2006-08-23,12589465.0,10.27573805,10.089801332,9.8983958869,10.357768955,10.11167624
2006-08-24,12442069.0,10.390581317,10.281206777,9.8983958869,10.390581317,10.253863142
2006-08-25,16892439.0,10.499955857,10.406987498,10.199175872,10.636674033,10.434331133
2006-08-28,8285087.0,10.576518036,10.417924952,10.390581317,10.576518036,10.499955857
2006-08-29,11158457.0,10.527299493,10.581986763,10.390581317,10.592924217,10.527299493
2006-08-30,12446639.0,10.499955857,10.576518036,10.401518771,10.576518036,10.499955857
2006-08-31,24218900.0,10.472612222,10.445268587,10.445268587,10.664017668,10.521830766
2006-09-01,14332640.0,10.653080214,10.603861671,10.478080949,10.658548941,10.598392944
2006-09-04,18246624.0,10.527299493,10.653080214,10.472612222,10.718704938,10.609330398
2006-09-05,22673534.0,10.390581317,10.554643128,10.335894047,10.576518036,10.489018403
2006-09-06,13024329.0,10.38511259,10.335894047,10.16636351,10.49448713,10.396050044
2006-09-08,14050074.0,10.499955857,10.499955857,10.281206777,10.554643128,10.445268587
2006-09-11,14320907.0,10.226519507,10.445268587,9.953083157,10.445268587,10.171832237
2006-09-12,13144237.0,10.308550412,10.390581317,10.078863878,10.390581317,10.314019139
2006-09-13,30017643.0,10.171832237,10.308550412,10.013239154,10.324956593,10.117144967
2006-09-14,8133810.0,10.193707145,10.308550412,10.013239154,10.308550412,10.171832237
2006-09-15,7429210.0,10.05698897,10.292144231,9.980426792,10.292144231,10.073395151
2006-09-18,4741645.0,10.117144967,10.11167624,10.035114062,10.22105078,10.089801332
2006-09-19,12228891.0,10.062457697,10.117144967,9.8983958869,10.144488602,9.974958065
2006-09-20,13511729.0,9.8437086168,9.958551884,9.6304282635,10.062457697,9.8218337088
2006-09-21,16757618.0,9.6796468065,10.0023017,9.4444915451,10.11167624,9.6741780795
2006-09-22,14457400.0,9.7616777117,9.5265224503,9.4116791831,9.7780838927,9.5921471744
2006-09-25,14637592.0,9.936676976,9.953083157,9.4608977262,10.0023017,9.7398028036
2006-09-26,14372736.0,10.007770427,9.8437086168,9.7343340766,10.062457697,9.936676976
2006-09-27,8544260.0,10.089801332,9.7233966226,9.7179278956,10.226519507,10.067926424
2006-09-28,10677665.0,10.204644599,10.117144967,9.931208249,10.242925688,10.046051516
2006-09-29,40852476.0,10.718704938,10.303081685,10.073395151,10.718704938,10.505424584
2006-10-02,25586398.0,11.183546734,11.041359831,10.789798389,11.260108912,11.030422377
2006-10-03,28261203.0,10.855423113,11.046828558,10.778860935,11.320264909,10.97026638
2006-10-04,25603825.0,11.019484923,10.959328926,10.882766748,11.178078007,11.035891104
2006-10-05,18356059.0,11.424170722,11.090578375,10.937454018,11.424170722,11.145265645
2006-10-06,15978110.0,11.648388529,11.210890369,11.17260928,11.648388529,11.369483452
2006-10-09,32069675.0,12.03119942,11.741356889,11.528076535,12.03119942,11.763231797
2006-10-10,26299974.0,11.621044894,11.960105969,11.484326719,12.003855785,11.845262702
2006-10-11,29780993.0,11.265577639,11.670263437,11.128859464,11.670263437,11.243702731
2006-10-13,14167026.0,11.374952179,11.413233268,11.101515829,11.429639449,11.28198382
2006-10-16,10642332.0,11.347608544,11.451514357,11.134328191,11.451514357,11.265577639
2006-10-17,12636226.0,11.106984556,11.11792201,11.090578375,11.265577639,11.145265645
2006-10-18,18721998.0,11.128859464,11.22729655,10.773392208,11.320264909,11.128859464
2006-10-19,14228906.0,11.374952179,11.128859464,11.046828558,11.402295814,11.221827823
2006-10-20,8054174.0,11.265577639,11.369483452,11.156203099,11.413233268,11.243702731
