Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
1986-01-03,2.001054572e-06,1.711646241e-10,1.711646241e-10,1.711646241e-10,1.711646241e-10,1.711646241e-10
1986-01-06,2.6112725874e-06,1.711646241e-10,1.711646241e-10,1.6613036734e-10,1.711646241e-10,1.6814406067e-10
1986-01-07,6.1818182638e-09,1.711646241e-10,1.711646241e-10,1.711646241e-10,1.711646241e-10,1.711646241e-10
1986-01-09,6.8450906399e-06,1.711646241e-10,1.8223997254e-10,1.711646241e-10,1.8223997254e-10,1.8223997254e-10
1986-01-10,2.2722763875e-06,1.7619888085e-10,1.711646241e-10,1.711646241e-10,1.7619888085e-10,1.741851758e-10
1986-01-13,6.545454433e-08,1.8123312588e-10,1.8123312588e-10,1.8123312588e-10,1.8123312588e-10,1.8123312588e-10
1986-01-14,6.545454433e-08,1.8123312588e-10,1.8123312588e-10,1.8123312588e-10,1.8123312588e-10,1.8123312588e-10
1986-01-16,4.089090952e-06,1.8626738263e-10,1.6613036734e-10,1.6613036734e-10,1.8626738263e-10,1.741851758e-10
1986-01-17,6.2374546281e-07,1.711646241e-10,1.711646241e-10,1.711646241e-10,1.711646241e-10,1.711646241e-10
1986-01-20,4.1754545817e-06,1.5102760881e-10,1.5102760881e-10,1.5102760881e-10,1.5102760881e-10,1.5102760881e-10
1986-01-21,6.2922179343e-07,1.8223997254e-10,1.8223997254e-10,1.8223997254e-10,1.8223997254e-10,1.8223997254e-10
1986-01-22,1.3163635845e-06,1.8223997254e-10,1.8223997254e-10,1.8223997254e-10,1.8223997254e-10,1.8223997254e-10
1986-01-27,6.0545454564e-07,1.8626738263e-10,1.8626738263e-10,1.8626738263e-10,1.8626738263e-10,1.8626738263e-10
1986-01-28,6.9090910256e-07,1.9130163939e-10,1.9130163939e-10,1.9130163939e-10,1.9130163939e-10,1.9130163939e-10
1986-01-30,2.1237327279e-05,1.963057449e-10,1.963057449e-10,1.963057449e-10,1.963057449e-10,1.963057449e-10
1986-01-31,6.8712363657e-06,1.9100018089e-10,2.1222243694e-10,1.9100018089e-10,2.1222243694e-10,1.963057449e-10
1986-02-03,2.0467636012e-06,1.9100018089e-10,1.9100018089e-10,1.9100018089e-10,1.9100018089e-10,1.9100018089e-10
1986-02-04,7.3461818382e-06,1.9206128875e-10,1.9418352918e-10,1.9100018089e-10,1.9418352918e-10,1.9312240897e-10
1986-02-05,1.7018181526e-06,1.9100018089e-10,1.9100018089e-10,1.9100018089e-10,1.9100018089e-10,1.9100018089e-10
1986-02-06,7.8545453196e-06,1.9100018089e-10,1.9100018089e-10,1.9100018089e-10,1.9100018089e-10,1.9100018089e-10
1986-02-07,9.4909089279e-06,1.9100018089e-10,1.9100018089e-10,1.9100018089e-10,1.9100018089e-10,1.9100018089e-10
1986-02-13,4.0094835508e-06,2.0161130892e-10,2.0161130892e-10,1.8038906522e-10,2.0161130892e-10,1.9736685276e-10
1986-02-14,1.3893491143e-05,2.0161130892e-10,2.0161130892e-10,2.0161130892e-10,2.0161130892e-10,2.0161130892e-10
1986-02-17,3.9469089698e-06,2.1222243694e-10,2.1222243694e-10,2.1222243694e-10,2.1328353245e-10,2.1328353245e-10
1986-02-18,3.6363638091e-06,2.1222243694e-10,2.1222243694e-10,2.1222243694e-10,2.1222243694e-10,2.1222243694e-10
1986-02-19,1.8096062731e-05,2.1222243694e-10,2.0161130892e-10,2.0161130892e-10,2.1222243694e-10,2.09039101e-10
1986-02-20,1.0905599724e-05,1.963057449e-10,2.1222243694e-10,1.963057449e-10,2.1222243694e-10,2.0373352464e-10
1986-02-21,6.980548899e-06,1.7190016527e-10,1.8038906522e-10,1.7190016527e-10,1.8038906522e-10,1.7296127313e-10
1986-02-24,5.7403902362e-05,2.1222243694e-10,1.963057449e-10,1.8038906522e-10,2.3344466828e-10,2.1116131672e-10
1986-02-25,2.4386049826e-05,2.4299467609e-10,2.4511689181e-10,2.3875021994e-10,2.4511689181e-10,2.4193355587e-10
1986-02-26,3.619532324e-05,2.440557963e-10,2.3344466828e-10,2.2813911662e-10,2.440557963e-10,2.4299467609e-10
1986-02-27,6.5494176585e-06,2.4936134796e-10,2.440557963e-10,2.440557963e-10,2.5042244347e-10,2.4723910753e-10
1986-03-04,2.858181738e-05,2.7588915567e-10,2.7801137139e-10,2.7588915567e-10,2.7801137139e-10,2.7801137139e-10
1986-03-05,1.8136480018e-05,2.8650028369e-10,2.7588915567e-10,2.7588915567e-10,2.8650028369e-10,2.790724916e-10
