Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2012-03-14,1950.0,2.7423314212,2.7423314212,2.7423314212,2.7423314212,2.7423314212
2012-03-16,15275.0,2.7423314212,2.7423314212,2.7423314212,2.7423314212,2.7423314212
2012-03-29,42900.0,2.7423314212,2.7423314212,2.7423314212,2.7423314212,2.7423314212
2012-06-01,461.0,1.9491647948,1.9407268519,1.9407268519,1.9491647948,1.9491647948
2012-06-08,8800.0,1.8563474236,1.8563474236,1.8563474236,1.8563474236,1.8563474236
2012-06-21,4840.0,1.8563474236,1.8563474236,1.8563474236,1.8563474236,1.8563474236
2012-06-22,440.0,1.8563474236,1.8563474236,1.8563474236,1.8563474236,1.8563474236
2012-06-25,7700.0,1.8563474236,1.8563474236,1.8563474236,1.8563474236,1.8563474236
2012-06-26,220.0,1.8563474236,1.8563474236,1.8563474236,1.8563474236,1.8563474236
2012-07-04,8140.0,1.8563474236,1.8563474236,1.8563474236,1.8563474236,1.8563474236
2012-07-12,5760.0,1.8563474236,1.6875885669,1.6875885669,1.8563474236,1.7382162239
2012-07-31,4400.0,1.6875885669,1.6875885669,1.6875885669,1.6875885669,1.6875885669
2012-08-14,421.0,1.8563474236,1.6960265097,1.6960265097,1.8563474236,1.7804059381
2012-10-15,4970.0,2.1094857086,1.991354509,1.991354509,2.1094857086,1.9997924518
2012-10-17,328.0,2.7676452497,2.7676452497,2.7676452497,2.7676452497,2.7676452497
2012-10-23,1171.0,3.3751771338,3.1304767916,3.1304767916,3.3751771338,3.2907977055
2012-10-24,400.0,3.3751771338,3.3751771338,3.3751771338,3.3751771338,3.3751771338
2012-10-25,450.0,3.7970742756,3.7970742756,3.7970742756,3.7970742756,3.7970742756
2012-10-26,940.0,3.9658331322,3.9658331322,3.9658331322,3.9658331322,3.9658331322
2012-10-30,998.0,4.2105334744,4.2105334744,4.2105334744,4.2105334744,4.2105334744
2012-11-30,9980.0,4.2105334744,4.2105334744,4.2105334744,4.2105334744,4.2105334744
2012-12-04,2495.0,4.2105334744,4.2105334744,4.2105334744,4.2105334744,4.2105334744
2012-12-05,21734357.0,4.3052704776,4.2421124755,4.2147440079,4.346323179,4.2894809771
2012-12-06,59884558.0,4.5452708857,4.394744314,4.3157968113,4.5452708857,4.4210601482
2012-12-07,44832415.0,4.6052709877,4.5452708857,4.4936918506,4.6579026561,4.6084288878
2012-12-10,30291645.0,4.526323485,4.6294815552,4.5115866179,4.6315868219,4.5800077868
2012-12-11,30489630.0,4.5052708177,4.5389550855,4.4315864819,4.554744586,4.4842181503
2012-12-12,20651425.0,4.526323485,4.5052708177,4.4442180823,4.526323485,4.4968497507
2012-12-13,34715712.0,4.5579024861,4.4305338485,4.4242180483,4.5852709537,4.5568498527
2012-12-14,9169835.0,4.5789551535,4.5389550855,4.4936918506,4.6315868219,4.5726393533
2012-12-17,24454286.0,4.7368501588,4.6242183883,4.5273761184,4.7452712257,4.6652710897
2012-12-18,71263532.0,4.8842188304,4.7368501588,4.7168501248,4.8968504308,4.8621135296
2012-12-19,57282579.0,4.8947451641,4.8610608963,4.7421133256,4.9063241311,4.8705345966
2012-12-20,42829762.0,4.8926398973,4.8947451641,4.8094818612,5.0000085009,4.9042188644
2012-12-21,31981557.0,4.8684293298,4.8452713957,4.7757975934,4.9189557315,4.8494819292
2012-12-26,9320321.0,4.7894818272,4.8747451301,4.7894818272,4.8842188304,4.8452713957
2012-12-27,13036555.0,4.7473764925,4.7368501588,4.7210606582,4.8705345966,4.7715870599
2012-12-28,24576931.0,4.8684293298,4.7379027921,4.7368501588,4.8684293298,4.8484292958
2013-01-02,13690290.0,4.7894818272,4.9989558675,4.7389554255,4.9989558675,4.8200081949
2013-01-03,23241968.0,4.6736921566,4.7842186604,4.623165755,4.8105344946,4.6757974234
2013-01-04,27531907.0,4.8315871619,4.6621131896,4.5810604202,4.8315871619,4.7221132916
2013-01-07,13570144.0,4.8315871619,4.7884291938,4.7442185923,4.8421134956,4.8210608283
2013-01-08,46799535.0,4.6315868219,4.8326397953,4.6210604882,4.8379029622,4.6905342905
2013-01-09,77138782.0,4.6652710897,4.6821132236,4.6273762884,4.7463238591,4.6684289898
2013-01-10,32952290.0,4.7368501588,4.6642184563,4.6210604882,4.7957976274,4.6968500908
2013-01-11,29946252.0,4.7989555275,4.714744858,4.7084290578,4.8315871619,4.7989555275
2013-01-14,505586253.0,4.534744552,4.7779028601,4.4873760504,4.7842186604,4.5515866859
2013-01-15,32343749.0,4.5000076508,4.5779025201,4.4736918166,4.5789551535,4.5010602842
2013-01-16,52023003.0,4.5494814191,4.5136918846,4.334744212,4.5936920206,4.4642181163
2013-01-17,46416321.0,4.6105341545,4.5052708177,4.5052708177,4.6515868559,4.6115867879
2013-01-18,28913147.0,4.6000078208,4.5852709537,4.5421129856,4.6389552555,4.5789551535
2013-01-21,16455688.0,4.6315868219,4.6210604882,4.5421129856,4.6315868219,4.5779025201
2013-01-22,26591752.0,4.6200078548,4.6526394893,4.5789551535,4.6589552895,4.6179025881
2013-01-23,56983497.0,4.6779026901,4.6200078548,4.5894814872,4.6779026901,4.6210604882
2013-01-24,85313408.0,4.794744994,4.6884290238,4.6484289558,4.8305345286,4.7663238931
2013-01-28,53864302.0,4.8421134956,4.7379027921,4.7379027921,4.863166163,4.8273766285
2013-01-29,78015852.0,4.9947453341,4.8252713617,4.8094818612,4.9947453341,4.9494820992
2013-01-30,72467556.0,5.0852718038,4.9873769005,4.9863242671,5.1463245392,5.0757981035
2013-01-31,45751865.0,5.1473771725,5.0968507708,5.0347454021,5.1473771725,5.0968507708
2013-02-01,33229555.0,5.1631666731,5.103166571,5.0989560376,5.2252720418,5.1663245732
2013-02-04,34614878.0,5.1473771725,5.1568508728,5.0989560376,5.1726403734,5.1463245392
2013-02-05,36060167.0,5.1884298739,5.1473771725,5.1157981715,5.220008875,5.1757982735
2013-02-06,35062466.0,5.2052720078,5.2410615423,5.1631666731,5.2547457761,5.2147457081
2013-02-07,38579955.0,5.2063246412,5.1789561736,5.1273771385,5.2842195104,5.2179036082
2013-02-08,57096070.0,5.3157985115,5.240008909,5.1821140737,5.3526406794,5.2989563776
2013-02-13,16450954.0,5.3063248112,5.3021142777,5.2884300439,5.4410618824,5.3494827793
2013-02-14,51098820.0,5.3357985455,5.4063249812,5.3073774446,5.4063249812,5.3326406454
2013-02-15,40680564.0,5.3894828473,5.3368511789,5.2810616103,5.4210618484,5.3905354807
2013-02-18,44226071.0,5.3894828473,5.3852723138,5.3189564116,5.4494829493,5.3768512469
2013-02-19,44825380.0,5.3284301119,5.3684301799,5.231587842,5.4231671151,5.3073774446
2013-02-20,38429280.0,5.2631668431,5.3157985115,5.2368510089,5.3852723138,5.2694826433
2013-02-21,27033568.0,5.2894826773,5.2379036422,5.1600087729,5.311587978,5.2368510089
2013-02-22,34600850.0,5.3894828473,5.2894826773,5.2631668431,5.4336934488,5.3536933128
2013-02-25,31992727.0,5.3736933468,5.4210618484,5.3052721778,5.4210618484,5.3568512129
2013-02-26,26652395.0,5.3684301799,5.3210616783,5.3210616783,5.4042197145,5.3652722798
2013-02-27,21768928.0,5.3663249132,5.3884302139,5.331588012,5.4210618484,5.3579038462
2013-02-28,112849363.0,5.4526408494,5.3684301799,5.3210616783,5.4526408494,5.4136934148
2013-03-01,43410956.0,5.3905354807,5.3736933468,5.3547459461,5.4579040163,5.4021144477
2013-03-04,51534828.0,5.5642199865,5.3484301459,5.3484301459,5.6105358547,5.5252725519
2013-03-05,51305292.0,5.5894831873,5.5989568877,5.5757989535,5.7179044583,5.6557990896
2013-03-06,28133273.0,5.56843052,5.6294832553,5.4484303159,5.7347465922,5.5431673191
2013-03-07,62318313.0,5.3810617804,5.5894831873,5.2884300439,5.680009657,5.3810617804
2013-03-08,26564159.0,5.4126407814,5.3894828473,5.2147457081,5.4905356507,5.391588114
2013-03-11,60005341.0,5.2421141757,5.4168513149,5.1957983075,5.4168513149,5.240008909
2013-03-12,44467729.0,5.1157981715,5.2357983755,5.0652717698,5.2505352426,5.1221139717
2013-03-13,30524675.0,5.2421141757,5.1200087049,5.1157981715,5.2905353107,5.2231667751
