Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2004-09-28,0.0,3.9758519302,3.9758519302,3.9758519302,3.9758519302,3.9758519302
2004-09-29,90522711.0,3.9781607873,4.0404999291,3.971234216,4.0751327856,4.0035582154
2004-09-30,36614917.0,3.8673356464,3.9827785015,3.7865256478,4.0012493583,3.9227482169
2004-10-01,6625152.0,3.9596899305,3.9227482169,3.8557913609,3.9758519302,3.8950419316
2004-10-04,4300672.0,3.9596899305,3.971234216,3.8788799319,3.9735430731,3.9227482169
2004-10-05,7216829.0,3.8834976461,3.925057074,3.8673356464,3.9573810734,3.8973507887
2004-10-06,4526144.0,3.8788799319,3.8834976461,3.8673356464,3.90427736,3.8881153603
2004-10-07,3700045.0,3.8858065032,3.8788799319,3.858100218,3.9019685029,3.8858065032
2004-10-08,5700545.0,3.8557913609,3.8904242174,3.8557913609,3.9458367879,3.8973507887
2004-10-11,856603.0,3.8788799319,3.8973507887,3.8327027899,3.8973507887,3.8557913609
2004-10-13,4263989.0,3.8557913609,3.925057074,3.8327027899,3.925057074,3.8604090751
2004-10-14,4231809.0,3.8327027899,3.9019685029,3.8096142188,3.9019685029,3.8442470754
2004-10-15,4253263.0,3.8650267893,3.8557913609,3.8327027899,3.8650267893,3.8557913609
2004-10-18,3690527.0,3.8557913609,3.8557913609,3.8096142188,3.8557913609,3.8419382183
2004-10-19,3982260.0,3.8096142188,3.8442470754,3.8096142188,3.8788799319,3.8511736467
2004-10-20,1246996.0,3.7380396487,3.8096142188,3.6987890779,3.8096142188,3.7634370768
2004-10-21,1970358.0,3.7172599348,3.7403485058,3.6941713637,3.7403485058,3.7080245063
2004-10-22,5129468.0,3.8096142188,3.6964802208,3.6941713637,3.8096142188,3.7334219345
2004-10-25,4089211.0,3.8673356464,3.7518927913,3.7518927913,3.8742622177,3.8396293612
2004-10-26,9039510.0,3.8788799319,3.8442470754,3.8442470754,3.881188789,3.8604090751
2004-10-27,10641968.0,3.8327027899,3.8327027899,3.8303939328,3.8742622177,3.8419382183
2004-10-28,4715014.0,3.8557913609,3.8096142188,3.6941713637,3.8557913609,3.8003787904
2004-10-29,878656.0,3.8188496473,3.7888345049,3.7865256478,3.8557913609,3.814231933
2004-11-01,141784.0,3.7865256478,3.8188496473,3.7865256478,3.8188496473,3.8073053617
2004-11-03,2650048.0,3.8211585044,3.7865256478,3.7865256478,3.8303939328,3.8119230759
2004-11-04,1383945.0,3.7888345049,3.8211585044,3.7542016484,3.8211585044,3.7865256478
2004-11-05,6213981.0,3.8096142188,3.7865256478,3.7518927913,3.8327027899,3.7842167907
