Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2013-07-18,0.0,12.503994619,12.503994619,12.503994619,12.503994619,12.503994619
2013-07-19,10776435.0,12.014229841,12.054210639,11.814325851,12.194143433,12.04421544
2013-07-22,4735953.0,12.014229841,12.094191438,11.994239442,12.094191438,12.03422024
2013-07-23,920889.0,11.844311449,11.994239442,11.844311449,12.094191438,11.874297048
2013-07-24,1204320.0,11.694383456,11.744359454,11.624417059,11.794335452,11.724369055
2013-07-25,2244971.0,11.504474665,11.594431461,11.39452747,11.704378656,11.564445862
2013-07-26,425854.0,11.544455463,11.504474665,11.494479466,11.594431461,11.534460264
2013-07-29,277409.0,11.744359454,11.494479466,11.494479466,11.844311449,11.744359454
2013-07-30,374160.0,11.714373855,11.774345052,11.674393057,11.894287447,11.83431625
2013-07-31,370244.0,11.83431625,11.744359454,11.744359454,11.864301848,11.784340252
2013-08-01,188403.0,11.794335452,11.83431625,11.594431461,11.83431625,11.694383456
2013-08-02,334593.0,11.694383456,11.794335452,11.694383456,11.794335452,11.774345052
2013-08-05,45410.0,11.944263445,11.944263445,11.944263445,11.944263445,11.944263445
2013-08-06,93602.0,11.734364254,11.694383456,11.674393057,11.734364254,11.694383456
2013-08-07,30080295.0,11.884292247,11.944263445,11.884292247,11.944263445,11.944263445
2013-08-08,32854.0,11.864301848,11.884292247,11.694383456,11.884292247,11.724369055
2013-08-09,3598094.0,12.144167435,11.874297048,11.864301848,12.144167435,11.894287447
2013-08-12,380734.0,12.144167435,11.944263445,11.794335452,12.144167435,12.004234642
2013-08-13,291445.0,12.134172236,11.884292247,11.794335452,12.144167435,11.934268245
2013-08-14,335131.0,12.094191438,11.994239442,11.694383456,12.094191438,12.054210639
2013-08-15,156908.0,12.084196238,11.994239442,11.914277846,12.094191438,12.064205839
2013-08-16,353478.0,12.493999419,11.994239442,11.994239442,12.8938074,12.354066626
2013-08-19,7436.0,12.194143433,12.48400422,12.194143433,12.48400422,12.384052224
2013-08-20,1186.0,11.854306649,11.854306649,11.854306649,11.854306649,11.854306649
2013-08-22,39436.0,11.914277846,11.914277846,11.914277846,11.994239442,11.944263445
2013-08-26,279052.0,11.674393057,11.974249043,11.674393057,11.974249043,11.764349853
2013-08-27,21328.0,11.83431625,11.994239442,11.694383456,11.994239442,11.844311449
2013-08-28,100187.0,11.884292247,11.984244243,11.704378656,11.984244243,11.784340252
2013-08-29,136150.0,11.844311449,11.884292247,11.61442186,11.884292247,11.734364254
2013-08-30,49733344.0,11.974249043,11.894287447,11.644407459,11.974249043,11.804330651
2013-09-02,62290.0,11.974249043,11.984244243,11.904282646,11.984244243,11.974249043
2013-09-03,142823.0,11.924273046,11.624417059,11.624417059,11.974249043,11.894287447
2013-09-04,14160.0,11.694383456,11.984244243,11.694383456,11.984244243,11.794335452
2013-09-05,38952.0,11.924273046,12.04421544,11.744359454,12.04421544,11.794335452
2013-09-06,138277.0,11.794335452,11.984244243,11.794335452,11.984244243,11.814325851
2013-09-09,68107.0,11.964253844,11.894287447,11.884292247,11.974249043,11.944263445
2013-09-10,93300.0,11.964253844,11.974249043,11.894287447,11.974249043,11.954258644
2013-09-11,29789.0,11.984244243,11.984244243,11.814325851,11.984244243,11.914277846
2013-09-12,57770.0,12.04421544,11.984244243,11.984244243,12.074201039,12.03422024
2013-09-13,138381.0,11.984244243,12.074201039,11.984244243,12.184148233,12.024225041
2013-09-16,98590.0,11.994239442,12.164157834,11.994239442,12.164157834,12.014229841
2013-09-17,14469.0,12.124177036,12.174153034,11.944263445,12.174153034,12.054210639
2013-09-18,146476.0,12.354066626,12.174153034,12.164157834,12.354066626,12.204138633
2013-09-19,67778.0,12.344071426,12.354066626,12.194143433,12.404042623,12.314085827
2013-09-20,788212.0,12.793855405,12.384052224,12.204138633,12.793855405,12.68390821
2013-09-23,160380.0,12.773865006,12.69390341,12.414037823,12.793855405,12.723889008
2013-09-24,56784.0,12.623937013,12.733884208,12.424033022,12.733884208,12.613941813
2013-09-25,16423.0,12.663917811,12.713893809,12.533980217,12.713893809,12.623937013
2013-09-26,1034386.0,12.983764196,12.643927412,12.563965816,12.983764196,12.823841004
2013-09-27,1146748.0,13.143687389,12.993759396,12.823841004,13.143687389,13.013749795
2013-09-30,378122.0,13.993279349,13.143687389,12.943783398,13.993279349,13.453538574
2013-10-01,443886.0,13.683428164,13.76338976,13.503514572,13.76338976,13.613461767
2013-10-02,101468.0,13.583476168,13.693423363,13.493519373,13.693423363,13.523504971
2013-10-03,107941.0,13.683428164,13.76338976,13.583476168,13.793375359,13.653442565
2013-10-04,46287.0,13.593471368,13.77338496,13.593471368,13.77338496,13.603466568
2013-10-07,82731.0,13.673432964,13.683428164,13.493519373,13.743399361,13.55349057
2013-10-08,37881.0,13.393567377,13.683428164,13.393567377,13.713413762,13.523504971
2013-10-09,9505.0,13.663437765,13.643447366,13.493519373,13.663437765,13.573480969
2013-10-10,32864.0,13.743399361,13.683428164,13.603466568,13.743399361,13.683428164
2013-10-11,5498.0,13.733404161,13.793375359,13.693423363,13.793375359,13.743399361
2013-10-14,20408.0,13.613461767,13.743399361,13.55349057,13.743399361,13.603466568
2013-10-15,41847.0,13.693423363,13.613461767,13.193663387,13.693423363,13.493519373
2013-10-16,64871.0,13.493519373,13.703418563,13.433548175,13.703418563,13.503514572
2013-10-17,45639.0,13.493519373,13.533500171,13.34359138,13.533500171,13.413557776
2013-10-18,109187.0,13.573480969,13.483524173,13.463533774,13.573480969,13.473528974
2013-10-21,6827.0,13.643447366,13.663437765,13.643447366,13.663437765,13.643447366
2013-10-22,65010.0,13.593471368,13.643447366,13.393567377,13.643447366,13.533500171
2013-10-23,4080.0,13.583476168,13.643447366,13.55349057,13.643447366,13.593471368
2013-10-24,499503.0,13.493519373,13.583476168,13.34359138,13.583476168,13.353586579
2013-10-25,56602.0,13.493519373,13.483524173,13.373576978,13.643447366,13.473528974
2013-10-28,95622.0,13.433548175,13.743399361,13.433548175,13.743399361,13.463533774
2013-10-29,95488.0,13.423552976,13.743399361,13.403562577,13.743399361,13.443543375
2013-10-30,173923769.0,13.253634584,13.393567377,13.243639384,13.483524173,13.253634584
2013-10-31,101192.0,13.243639384,13.34359138,12.993759396,13.523504971,13.303610581
2013-11-01,160047.0,13.133692189,13.33359618,12.404042623,13.34359138,12.9038026
2013-11-04,203988.0,12.793855405,13.143687389,12.793855405,13.143687389,13.073720992
2013-11-05,11672.0,12.963773797,12.883812201,12.883812201,12.993759396,12.963773797
2013-11-06,105823.0,13.143687389,13.053730593,12.803850605,13.143687389,12.9038026
2013-11-07,173895.0,12.993759396,13.053730593,12.493999419,13.053730593,12.783860206
2013-11-08,259763.0,12.993759396,12.9038026,12.643927412,12.993759396,12.9137978
2013-11-11,49353.0,12.993759396,12.983764196,12.643927412,12.993759396,12.983764196
2013-11-12,67423.0,12.993759396,12.983764196,12.703898609,12.993759396,12.963773797
2013-11-13,196501.0,12.963773797,12.963773797,12.853826602,13.353586579,13.003754595
2013-11-14,655704.0,13.093711391,12.993759396,12.943783398,13.093711391,13.033740194
2013-11-18,95998.0,12.993759396,13.093711391,12.943783398,13.093711391,12.963773797
2013-11-19,679150.0,12.993759396,12.933788199,12.883812201,12.993759396,12.9038026
2013-11-21,42600.0,12.993759396,12.993759396,12.8938074,12.993759396,12.9038026
2013-11-22,58349.0,12.993759396,12.843831403,12.843831403,12.993759396,12.963773797
2013-11-25,6491.0,12.993759396,12.9038026,12.9038026,12.993759396,12.973768997
2013-11-26,60912.0,12.993759396,12.823841004,12.823841004,12.993759396,12.953778598
2013-11-27,71982.0,12.843831403,12.993759396,12.793855405,12.993759396,12.843831403
2013-11-28,56962.0,13.143687389,12.953778598,12.763869807,13.193663387,12.943783398
2013-11-29,1319.0,13.183668187,13.183668187,13.183668187,13.183668187,13.183668187
2013-12-02,67029.0,13.143687389,13.083716192,13.083716192,13.143687389,13.133692189
2013-12-03,24524.0,12.993759396,13.193663387,12.843831403,13.193663387,12.9038026
2013-12-04,157170.0,12.993759396,13.013749795,12.843831403,13.013749795,12.983764196
2013-12-05,1300.0,12.993759396,12.993759396,12.993759396,12.993759396,12.993759396
2013-12-06,46608.0,12.993759396,13.133692189,12.843831403,13.133692189,12.943783398
2013-12-09,275257.0,12.943783398,13.11370179,12.843831403,13.11370179,12.853826602
2013-12-10,72080.0,12.843831403,12.973768997,12.843831403,12.973768997,12.863821802
2013-12-11,1294.0,12.933788199,12.933788199,12.933788199,12.933788199,12.933788199
2013-12-12,742528.0,13.243639384,12.933788199,12.793855405,13.243639384,12.933788199
2013-12-13,571189.0,12.983764196,13.193663387,12.983764196,13.363581779,13.033740194
2013-12-16,841760.0,12.993759396,12.8938074,12.843831403,12.993759396,12.923792999
2013-12-17,18217.0,13.043735394,12.943783398,12.8938074,13.043735394,13.003754595
2013-12-18,127687.0,13.093711391,13.12369699,13.053730593,13.323600981,13.153682588
2013-12-19,338502.0,13.143687389,13.093711391,12.843831403,13.143687389,13.063725793
2013-12-20,1025101.0,13.043735394,13.143687389,12.803850605,13.143687389,13.023744994
2013-12-23,107196.0,13.163677788,12.953778598,12.803850605,13.163677788,13.063725793
2013-12-26,97993.0,13.303610581,13.163677788,13.163677788,13.503514572,13.413557776
2013-12-27,239510.0,13.293615382,13.213653786,12.843831403,13.683428164,13.303610581
2013-12-30,423652.0,13.393567377,13.243639384,12.843831403,13.493519373,13.273624983
2014-01-02,14664.0,13.393567377,13.303610581,13.243639384,13.393567377,13.323600981
2014-01-03,148385.0,13.103706591,13.303610581,12.8938074,13.393567377,13.12369699
2014-01-06,29074.0,13.103706591,13.193663387,13.053730593,13.283620182,13.213653786
2014-01-07,197026.0,12.993759396,13.233644185,12.843831403,13.493519373,13.133692189
2014-01-08,142846.0,13.243639384,13.083716192,13.003754595,13.473528974,13.223648985
2014-01-09,6521.0,13.023744994,13.073720992,13.023744994,13.073720992,13.033740194
2014-01-10,52961.0,13.243639384,13.003754595,13.003754595,13.243639384,13.233644185
2014-01-13,9229.0,13.163677788,13.083716192,13.083716192,13.263629783,13.173672987
2014-01-14,16944.0,12.943783398,13.12369699,12.943783398,13.133692189,13.023744994
2014-01-15,27244.0,12.993759396,13.093711391,12.9137978,13.093711391,12.963773797
2014-01-16,19530.0,12.993759396,12.943783398,12.943783398,13.083716192,13.013749795
2014-01-17,47755.0,12.8938074,13.053730593,12.8938074,13.053730593,12.9038026
2014-01-20,259074.0,12.783860206,12.8938074,12.673913011,12.8938074,12.823841004
2014-01-21,17920.0,12.823841004,12.753874607,12.753874607,12.823841004,12.793855405
2014-01-22,2581.0,12.993759396,12.803850605,12.803850605,12.993759396,12.9038026
2014-01-23,3881.0,12.993759396,12.873817001,12.873817001,12.993759396,12.933788199
2014-01-24,7744.0,12.943783398,12.983764196,12.843831403,12.983764196,12.9038026
2014-01-27,1290.0,12.8938074,12.8938074,12.8938074,12.8938074,12.8938074
2014-01-28,982811.0,12.973768997,12.983764196,12.743879407,12.983764196,12.793855405
2014-01-29,16663.0,12.783860206,12.883812201,12.783860206,12.883812201,12.813845804
2014-01-30,604177.0,12.783860206,12.843831403,11.994239442,13.193663387,12.663917811
2014-01-31,567456.0,12.983764196,12.743879407,12.643927412,13.083716192,12.833836203
2014-02-03,182554.0,12.983764196,12.993759396,12.9038026,13.383572178,13.033740194
2014-02-04,66278.0,12.993759396,12.993759396,12.963773797,12.993759396,12.993759396
2014-02-05,37566.0,12.993759396,13.083716192,12.823841004,13.083716192,12.943783398
2014-02-06,48550.0,12.69390341,12.993759396,12.69390341,12.993759396,12.773865006
2014-02-07,15267.0,12.68390821,12.673913011,12.673913011,12.773865006,12.713893809
2014-02-10,41296878.0,12.873817001,12.68390821,12.68390821,12.883812201,12.883812201
2014-02-11,47214.0,12.69390341,12.923792999,12.69390341,12.923792999,12.753874607
2014-02-12,13983.0,12.69390341,12.733884208,12.69390341,12.733884208,12.703898609
