Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2017-07-19,0.0,14.475442671,14.475442671,14.475442671,14.475442671,14.475442671
2017-07-20,509619074.0,14.37893972,14.427191196,13.857823784,14.514043852,14.330688244
2017-07-21,67691545.0,14.475442671,14.523694147,14.349988835,14.552645032,14.465792376
2017-07-24,72964819.0,14.620197098,14.523694147,14.475442671,14.668448573,14.571945622
2017-07-25,89930797.0,14.861454476,14.581595917,14.485092966,14.861454476,14.639497688
2017-07-26,139737789.0,14.571945622,14.909705951,14.571945622,14.919356246,14.629847393
2017-07-27,36944420.0,14.610546803,14.649147983,14.523694147,14.707049754,14.610546803
2017-07-28,41555576.0,14.475442671,14.610546803,14.427191196,14.649147983,14.485092966
2017-07-31,77458472.0,14.610546803,14.475442671,14.4175409,14.755301229,14.600896508
2017-08-01,35452217.0,14.716700049,14.678098868,14.581595917,14.851804181,14.687749164
2017-08-02,22706128.0,14.726350344,14.716700049,14.620197098,14.79390241,14.716700049
2017-08-03,40460046.0,14.716700049,14.697399459,14.571945622,14.784252115,14.716700049
2017-08-04,118631724.0,14.224534998,14.716700049,14.224534998,14.764951525,14.456142081
2017-08-07,50253800.0,14.185933818,14.37893972,13.92537585,14.407890605,14.099081162
2017-08-08,38790345.0,14.108731457,14.185933818,13.992927915,14.272786474,14.156982932
2017-08-09,51824843.0,13.935026145,14.137682342,13.761320833,14.147332637,13.94467644
2017-08-10,44927153.0,13.98327762,13.94467644,13.606916111,14.012228506,13.809572308
2017-08-11,91862006.0,14.658798278,14.118381752,14.118381752,14.697399459,14.504393556
2017-08-14,32751252.0,14.571945622,14.707049754,14.514043852,14.707049754,14.581595917
2017-08-15,21689101.0,14.629847393,14.552645032,14.407890605,14.649147983,14.523694147
2017-08-16,26227845.0,14.552645032,14.629847393,14.388590015,14.639497688,14.485092966
2017-08-17,89199058.0,14.369289425,14.552645032,14.330688244,14.552645032,14.388590015
2017-08-18,20292306.0,14.282436769,14.456142081,14.214884703,14.475442671,14.388590015
2017-08-21,21490704.0,14.041179391,14.282436769,13.819222603,14.321037949,14.070130276
2017-08-22,39316285.0,13.94467644,14.137682342,13.94467644,14.292087064,14.099081162
2017-08-23,15606856.0,14.37893972,14.060479981,13.935026145,14.427191196,14.253485883
2017-08-24,33203814.0,14.851804181,14.37893972,14.37893972,14.851804181,14.668448573
2017-08-25,28238116.0,14.880755066,14.813203,14.571945622,14.929006541,14.851804181
2017-08-28,128597239.0,15.517674543,15.315018346,15.24746628,15.768582216,15.430821887
2017-08-29,112398818.0,15.855434872,15.517674543,15.440472183,16.144943726,15.826483987
2017-08-30,90638312.0,15.440472183,15.922986938,15.440472183,16.164244317,15.62382779
2017-08-31,143091975.0,15.24746628,15.054460378,14.822853295,15.295717756,15.131662739
2017-09-01,52009190.0,15.276417166,15.392220707,15.24746628,15.62382779,15.440472183
2017-09-04,29760769.0,15.536975134,15.315018346,15.315018346,15.720330741,15.575576314
2017-09-05,60323850.0,15.517674543,15.652778675,15.411521297,15.768582216,15.536975134
2017-09-06,31936872.0,15.585226609,15.701030151,15.24746628,15.701030151,15.488723658
2017-09-08,41732413.0,15.66242897,15.488723658,15.401871002,15.768582216,15.546625429
2017-09-11,94092420.0,16.115992841,15.768582216,15.672079265,16.280047858,15.951937824
2017-09-12,22042231.0,16.01948989,15.942287528,15.826483987,16.241446677,16.029140185
2017-09-13,19472235.0,15.903686348,16.029140185,15.845784577,16.106342546,15.913336643
2017-09-14,13208891.0,15.874735463,15.903686348,15.66242897,16.05809107,15.836134282
2017-09-15,51156379.0,16.067741365,15.826483987,15.729981036,16.067741365,15.971238414
2017-09-18,58189764.0,16.212495792,16.106342546,15.691379856,16.212495792,16.115992841
2017-09-19,78991104.0,16.328299334,16.260747268,15.836134282,16.482704055,16.193195202
2017-09-20,40429037.0,16.357250219,16.347599924,16.048440775,16.444102875,16.328299334
2017-09-21,23618895.0,16.376550809,16.405501694,15.932637233,16.405501694,16.183544907
2017-09-22,144517564.0,15.816833692,16.337949629,15.64312838,16.376550809,15.778232512
2017-09-25,47108674.0,15.479073363,15.990539004,15.150963329,15.990539004,15.430821887
2017-09-26,82836045.0,15.536975134,15.498373953,15.343969231,15.758931921,15.536975134
2017-09-27,11996173.0,15.343969231,15.729981036,15.24746628,15.729981036,15.353619527
2017-09-28,33560848.0,15.199214805,15.353619527,14.822853295,15.440472183,15.102711854
2017-09-29,29930215.0,14.967607722,15.199214805,14.83250359,15.343969231,14.967607722
2017-10-02,31526166.0,14.668448573,14.967607722,14.668448573,14.967607722,14.764951525
2017-10-03,56364644.0,14.83250359,14.687749164,14.523694147,14.938656837,14.726350344
2017-10-04,24806220.0,15.150963329,14.909705951,14.842153885,15.18956451,15.064110673
2017-10-05,45793831.0,15.459772773,15.2088651,15.2088651,15.729981036,15.517674543
2017-10-06,48201794.0,15.536975134,15.459772773,15.305368051,15.594876904,15.440472183
2017-10-09,79107729.0,15.488723658,15.430821887,15.343969231,15.556275724,15.430821887
2017-10-10,58942489.0,15.614177495,15.488723658,15.450122478,15.710680446,15.508024248
2017-10-11,14078140.0,15.440472183,15.604527199,15.343969231,15.720330741,15.469423068
2017-10-13,50764896.0,15.546625429,15.527324839,15.450122478,15.855434872,15.652778675
2017-10-16,29151137.0,15.22816569,15.62382779,15.170263919,15.797533102,15.421171592
2017-10-17,21148212.0,15.025509493,15.295717756,14.977258017,15.430821887,15.073760968
2017-10-18,85942765.0,15.729981036,15.179914214,15.054460378,15.826483987,15.421171592
2017-10-19,44800571.0,15.672079265,15.672079265,15.315018346,15.826483987,15.488723658
2017-10-20,23312220.0,15.787882807,15.672079265,15.633478085,16.01948989,15.816833692
2017-10-23,40902408.0,15.594876904,15.787882807,15.363269822,15.922986938,15.652778675
2017-10-24,14303732.0,15.575576314,15.594876904,15.421171592,15.749281626,15.556275724
2017-10-25,18213664.0,15.66242897,15.575576314,15.459772773,15.874735463,15.652778675
2017-10-26,17528573.0,15.469423068,15.768582216,15.459772773,15.826483987,15.575576314
2017-10-27,21576670.0,15.64312838,15.488723658,15.26676687,15.826483987,15.585226609
2017-10-30,27089236.0,15.324668641,15.64312838,15.276417166,15.64312838,15.392220707
2017-10-31,29590458.0,15.517674543,15.421171592,15.199214805,15.894036053,15.392220707
2017-11-01,24619187.0,15.575576314,15.527324839,15.392220707,15.710680446,15.498373953
2017-11-03,44878341.0,15.768582216,15.488723658,15.488723658,16.164244317,15.720330741
2017-11-06,28105737.0,15.546625429,15.68172956,15.546625429,15.826483987,15.710680446
2017-11-07,59163659.0,15.24746628,15.508024248,15.218515395,15.691379856,15.450122478
2017-11-08,18913673.0,15.459772773,15.315018346,15.199214805,15.565926019,15.343969231
2017-11-09,68850705.0,14.716700049,15.440472183,14.591246212,15.440472183,14.83250359
2017-11-10,37517569.0,14.282436769,14.726350344,14.243835588,14.909705951,14.436841491
2017-11-13,125323149.0,13.992927915,14.340338539,13.809572308,14.436841491,13.915725554
2017-11-14,152812552.0,13.992927915,14.253485883,13.94467644,14.35963913,14.156982932
2017-11-16,75492100.0,14.234185293,14.089430867,14.012228506,14.340338539,14.234185293
2017-11-17,71708431.0,14.185933818,14.301737359,14.108731457,14.427191196,14.224534998
2017-11-21,118098658.0,14.301737359,14.243835588,14.089430867,14.427191196,14.263136179
2017-11-22,88022343.0,14.427191196,14.37893972,14.234185293,14.475442671,14.35963913
2017-11-23,74248509.0,14.591246212,14.494743261,14.301737359,14.755301229,14.465792376
2017-11-24,29159922.0,14.581595917,14.591246212,14.205234408,14.83250359,14.639497688
2017-11-27,124137142.0,15.24746628,14.629847393,14.388590015,15.24746628,14.957957427
2017-11-28,184162139.0,15.652778675,15.160613624,15.160613624,15.797533102,15.556275724
2017-11-29,188122011.0,15.150963329,15.62382779,15.064110673,15.797533102,15.517674543
2017-11-30,718879758.0,14.658798278,15.22816569,14.494743261,15.334318936,14.678098868
2017-12-01,47919204.0,14.542994737,14.658798278,14.282436769,15.025509493,14.697399459
2017-12-04,38753720.0,14.929006541,14.610546803,14.533344442,15.006208902,14.813203
2017-12-05,22355613.0,14.909705951,14.822853295,14.620197098,15.160613624,14.967607722
2017-12-06,71090957.0,15.112362149,14.764951525,14.736000639,15.112362149,14.929006541
2017-12-07,29129882.0,15.150963329,15.015859197,14.687749164,15.24746628,15.083411263
2017-12-08,20362177.0,14.967607722,15.257116575,14.919356246,15.315018346,15.006208902
2017-12-11,19842949.0,15.237815985,15.122012444,14.79390241,15.498373953,15.276417166
2017-12-12,7441435.0,15.112362149,15.044810083,14.900055656,15.334318936,15.083411263
2017-12-13,31394031.0,14.764951525,15.112362149,14.764951525,15.305368051,14.957957427
2017-12-14,40467618.0,14.629847393,14.736000639,14.523694147,14.948307132,14.668448573
2017-12-15,36066750.0,14.813203,14.552645032,14.552645032,14.900055656,14.813203
2017-12-18,31894055.0,14.639497688,14.861454476,14.581595917,15.044810083,14.707049754
2017-12-19,36975983.0,14.185933818,14.687749164,14.166633227,14.813203,14.301737359
2017-12-20,30336876.0,14.185933818,14.330688244,14.050829686,14.37893972,14.195584113
2017-12-21,45284156.0,14.089430867,14.234185293,13.973627325,14.272786474,14.079780571
2017-12-22,18099648.0,14.224534998,14.137682342,14.00257821,14.263136179,14.128032047
2017-12-26,9195762.0,14.282436769,14.166633227,14.166633227,14.475442671,14.349988835
2017-12-27,23410055.0,14.523694147,14.301737359,14.301737359,14.581595917,14.465792376
2017-12-28,31047455.0,14.716700049,14.475442671,14.465792376,14.716700049,14.658798278
2018-01-02,30078381.0,14.948307132,14.668448573,14.600896508,15.025509493,14.83250359
2018-01-03,21929667.0,14.851804181,14.948307132,14.736000639,15.054460378,14.871104771
2018-01-04,18655083.0,14.581595917,14.871104771,14.581595917,14.957957427,14.707049754
2018-01-05,26193724.0,14.475442671,14.591246212,14.37893972,14.610546803,14.465792376
2018-01-08,28996312.0,14.099081162,14.514043852,14.099081162,14.571945622,14.272786474
2018-01-09,79018985.0,13.96397703,14.166633227,13.96397703,14.301737359,14.147332637
2018-01-10,81666135.0,13.703419062,14.070130276,13.52971375,14.147332637,13.828872898
