Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
1986-01-07,5.8219506646e-05,2.0732388999e-08,2.0732388999e-08,2.0732388999e-08,2.0732388999e-08,2.0732388999e-08
1986-01-08,5.8399538108e-05,2.3499842079e-08,2.0735155381e-08,2.0735155381e-08,2.3499842079e-08,2.2233613647e-08
1986-01-09,0.00034975999218,2.21174977e-08,2.3499842079e-08,2.21174977e-08,2.3499842079e-08,2.21174977e-08
1986-01-13,7.9709089127e-06,2.21174977e-08,2.21174977e-08,2.21174977e-08,2.21174977e-08,2.21174977e-08
1986-01-14,1.0192073106e-05,2.1951617775e-08,2.1951617775e-08,2.1951617775e-08,2.1951617775e-08,2.1951617775e-08
1986-01-16,3.4036364339e-06,2.1564561184e-08,2.1564561184e-08,2.1564561184e-08,2.1564561184e-08,2.1564561184e-08
1986-01-20,5.6727273898e-06,2.1564561184e-08,2.1564561184e-08,2.1564561184e-08,2.1564561184e-08,2.1564561184e-08
1986-01-22,2.7272728356e-06,2.0735155381e-08,2.0735155381e-08,2.0735155381e-08,2.0735155381e-08,2.0735155381e-08
1986-01-23,1.7727273432e-05,2.0735155381e-08,2.0735155381e-08,2.0735155381e-08,2.0735155381e-08,2.0735155381e-08
1986-01-24,4.2354547138e-05,2.0735155381e-08,2.0735155381e-08,2.0735155381e-08,2.0735155381e-08,2.0735155381e-08
1986-01-27,5.7272729549e-06,2.0735155381e-08,2.0735155381e-08,2.0735155381e-08,2.0735155381e-08,2.0735155381e-08
1986-01-28,1.7181818865e-05,2.0735155381e-08,2.0735155381e-08,2.0735155381e-08,2.0735155381e-08,2.0735155381e-08
1986-01-29,5.6363636797e-06,2.21174977e-08,2.0735155381e-08,2.0735155381e-08,2.21174977e-08,2.1426326541e-08
1986-01-31,1.0818181932e-05,2.3499842079e-08,2.3499842079e-08,2.3499842079e-08,2.3499842079e-08,2.3499842079e-08
1986-02-05,8.6174181917e-06,2.4882186457e-08,2.3499842079e-08,2.3499842079e-08,2.4882186457e-08,2.4265660234e-08
1986-02-14,3.3458181403e-06,2.5437887295e-08,2.5437887295e-08,2.5437887295e-08,2.5437887295e-08,2.5437887295e-08
1986-02-17,8.329549188e-06,2.5435122973e-08,2.5158653685e-08,2.4882186457e-08,2.5435122973e-08,2.5230536359e-08
1986-02-19,2.642909096e-06,2.5435122973e-08,2.5435122973e-08,2.5435122973e-08,2.5435122973e-08,2.5435122973e-08
1986-02-20,3.345454552e-06,2.5435122973e-08,2.5435122973e-08,2.5435122973e-08,2.5435122973e-08,2.5435122973e-08
1986-02-24,0.00012585628571,2.5711592261e-08,2.5435122973e-08,2.5435122973e-08,2.6264528776e-08,2.6151175091e-08
1986-02-27,6.9090908224e-06,2.6264528776e-08,2.6264528776e-08,2.6264528776e-08,2.6264528776e-08,2.6264528776e-08
1986-03-07,2.3275054585e-06,2.7649637477e-08,2.7649637477e-08,2.7649637477e-08,2.7649637477e-08,2.7649637477e-08
1986-03-10,9.7008823062e-05,3.0414326234e-08,3.0414326234e-08,3.0414326234e-08,3.0414326234e-08,3.0414326234e-08
