Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2013-12-06,0.0,13.92649289,13.92649289,13.92649289,13.92649289,13.92649289
2013-12-09,55323167.0,13.491289987,13.508698103,13.064791142,13.578330568,13.352025058
2013-12-10,12054638.0,13.839452309,13.343321,13.343321,13.92649289,13.804636077
2013-12-11,12271975.0,13.708891438,13.874268542,13.499994045,13.917788832,13.752411729
2013-12-12,8288591.0,13.491289987,13.839452309,13.412953465,13.839452309,13.621850858
2013-12-13,4758338.0,13.491289987,13.230168245,13.230168245,13.647963032,13.395545348
2013-12-16,4982905.0,13.273688536,13.439065639,13.273688536,13.595738684,13.369433174
2013-12-17,20042864.0,13.186647955,13.282392594,12.916822155,13.282392594,13.108311433
2013-12-18,7572839.0,12.969046504,13.177943897,12.803669401,13.177943897,12.98645462
2013-12-19,1216227.0,13.090903316,13.038678968,12.794965343,13.125719549,12.960342446
2013-12-20,5306056.0,12.882005923,13.082199258,12.768853168,13.177943897,13.003862736
2013-12-23,10059551.0,12.794965343,12.882005923,12.35976244,12.916822155,12.71662882
2013-12-26,11052836.0,12.969046504,12.794965343,12.620884181,12.969046504,12.812373459
2013-12-27,9005595.0,13.056087084,12.951638388,12.803669401,13.186647955,13.082199258
2013-12-30,9230894.0,13.317208826,13.212760129,12.977750562,13.317208826,13.29980071
2014-01-02,3873686.0,13.621850858,13.360729116,13.099607375,13.621850858,13.430361581
2014-01-03,4402507.0,13.839452309,13.604442742,13.604442742,13.839452309,13.787227961
2014-01-06,15705213.0,13.92649289,13.8829726,13.665371148,14.004829412,13.92649289
2014-01-07,13218678.0,13.92649289,13.943901006,13.804636077,14.004829412,13.92649289
2014-01-08,1710443.0,13.752411729,13.813340135,13.639258974,13.900380716,13.769819845
2014-01-09,1377675.0,13.795932019,13.665371148,13.630554916,13.97001318,13.795932019
2014-01-10,951767.0,13.865564483,13.795932019,13.639258974,13.917788832,13.804636077
2014-01-13,1010857.0,13.752411729,13.917788832,13.639258974,13.917788832,13.743707671
2014-01-14,2394355.0,13.578330568,13.874268542,13.491289987,13.874268542,13.621850858
2014-01-15,6457827.0,13.665371148,13.795932019,13.587034626,13.92649289,13.804636077
2014-01-16,1382629.0,13.360729116,13.665371148,13.212760129,13.787227961,13.412953465
2014-01-17,1977369.0,12.969046504,13.499994045,12.908118097,13.499994045,13.012566794
2014-01-20,390963.0,13.056087084,12.934230271,12.646996356,13.056087084,12.94293433
2014-01-21,4124752.0,12.864597807,13.439065639,12.812373459,13.439065639,12.995158678
2014-01-22,686105.0,12.969046504,12.855893749,12.855893749,13.038678968,12.98645462
2014-01-23,362753.0,12.94293433,12.882005923,12.794965343,13.021270852,12.890709981
2014-01-24,3527266.0,12.838485633,12.94293433,12.751445052,12.94293433,12.864597807
2014-01-27,686744.0,12.707924762,12.464211136,12.464211136,12.707924762,12.664404472
2014-01-28,18453808.0,12.44680302,12.855893749,12.420690846,12.864597807,12.516435485
2014-01-29,1138002.0,12.098640698,12.44680302,11.950671711,12.44680302,12.107344756
2014-01-30,245810.0,12.142160988,12.351058382,11.837518956,12.44680302,12.08993664
2014-01-31,1986626.0,12.40328273,12.229201569,11.889743305,12.40328273,12.298834033
2014-02-03,66292.0,11.915855479,12.394578672,11.846223014,12.394578672,12.020304176
2014-02-04,430715.0,12.098640698,11.915855479,11.846223014,12.194385337,12.08993664
2014-02-05,3158034.0,12.185681279,12.351058382,11.959375769,12.742740994,12.351058382
2014-02-06,3424965.0,12.185681279,12.264017801,12.020304176,12.40328273,12.194385337
2014-02-07,6857987.0,12.055120408,12.168273162,11.750478376,12.168273162,11.994192001
2014-02-10,6609302.0,11.489356634,12.011600117,11.402316054,12.011600117,11.515468808
2014-02-11,2218760.0,11.532876924,11.611213447,11.445836344,11.611213447,11.532876924
2014-02-12,20260960.0,11.489356634,11.50676475,11.393611995,11.654733737,11.489356634
2014-02-13,6493031.0,11.924559537,11.402316054,11.297867357,11.924559537,11.428428228
2014-02-14,5797430.0,11.846223014,11.837518956,11.663437795,11.898447363,11.759182434
2014-02-17,1283342.0,11.82011084,11.846223014,11.672141853,11.985487943,11.872335189
2014-02-18,2486854.0,11.210826776,11.837518956,11.210826776,11.854927072,11.402316054
2014-02-19,3761152.0,10.801736048,11.254347067,10.714695467,11.254347067,10.897480686
2014-02-20,3458632.0,10.558022422,10.801736048,10.427461551,10.888776628,10.558022422
2014-02-21,2117708.0,10.705991409,10.592838654,10.444869667,10.871368512,10.505798074
2014-02-24,1662611.0,10.705991409,10.618950828,10.540614306,10.827848222,10.688583293
2014-02-25,1223483.0,10.862664454,10.801736048,10.575430538,10.88007257,10.83655228
2014-02-26,2033270.0,11.358795763,10.810440106,10.714695467,11.402316054,10.975817209
2014-02-27,41737207.0,12.40328273,11.454540402,11.289163299,12.40328273,11.393611995
2014-02-28,2247388.0,12.455507078,12.594772007,12.08993664,13.056087084,12.594772007
2014-03-05,556668.0,12.533843601,12.35976244,12.124752872,12.533843601,12.516435485
2014-03-06,1105955.0,13.038678968,12.681812588,12.507731427,13.038678968,12.734036936
2014-03-07,933223.0,13.021270852,13.02997491,12.94293433,13.317208826,13.056087084
2014-03-10,1499076.0,12.742740994,13.125719549,12.377170556,13.125719549,12.664404472
2014-03-11,1298091.0,12.44680302,12.742740994,12.394578672,12.742740994,12.525139543
2014-03-12,7612256.0,12.142160988,12.35976244,12.055120408,12.35976244,12.142160988
2014-03-13,528923.0,12.229201569,12.203089395,12.002896059,12.594772007,12.211793453
2014-03-14,1428060.0,12.35976244,12.08993664,11.907151421,12.35976244,12.08993664
2014-03-17,2833887.0,12.307538091,12.438098962,12.081232582,12.438098962,12.159569104
2014-03-18,6721575.0,12.316242149,12.229201569,12.098640698,12.351058382,12.194385337
2014-03-19,3842406.0,12.429394904,12.264017801,12.211793453,12.429394904,12.290129975
2014-03-20,10523767.0,12.185681279,12.385874614,12.168273162,12.385874614,12.211793453
2014-03-21,14144421.0,12.35976244,12.159569104,12.116048814,12.35976244,12.194385337
2014-03-24,2197458.0,12.185681279,12.351058382,12.168273162,12.351058382,12.211793453
2014-03-25,3436696.0,12.333650266,12.13345693,12.098640698,12.333650266,12.176977221
2014-03-26,4090546.0,12.316242149,12.368466498,12.142160988,12.394578672,12.255313743
2014-03-27,14842703.0,12.838485633,12.264017801,12.04641635,12.838485633,12.298834033
2014-03-28,11180671.0,13.230168245,12.916822155,12.620884181,13.308504768,12.98645462
2014-03-31,2989093.0,13.195352013,13.221464187,13.082199258,13.282392594,13.177943897
2014-04-01,4312950.0,13.143127665,13.186647955,12.925526213,13.186647955,13.064791142
2014-04-02,4248919.0,13.360729116,13.056087084,13.012566794,13.404249406,13.186647955
2014-04-03,4915220.0,13.813340135,13.360729116,13.29980071,13.839452309,13.56962651
2014-04-04,7327574.0,13.665371148,13.92649289,13.491289987,14.091869993,13.735003613
2014-04-07,3343734.0,13.909084774,13.769819845,13.735003613,13.909084774,13.813340135
2014-04-08,3523527.0,13.92649289,13.909084774,13.491289987,13.92649289,13.726299555
2014-04-09,5446331.0,13.92649289,13.839452309,13.691483322,13.97001318,13.856860425
2014-04-10,7410644.0,14.187614632,13.865564483,13.735003613,14.187614632,13.900380716
2014-04-11,4640920.0,14.457440431,14.117982167,13.92649289,14.466144489,14.187614632
2014-04-14,15155305.0,15.014500147,14.405216083,14.318175502,15.058020437,14.814306812
2014-04-15,16564171.0,15.014500147,14.970979857,14.701154057,15.232101598,14.875235218
2014-04-16,30673247.0,15.44970305,14.970979857,14.86653116,15.571559863,15.258213773
2014-04-17,8857598.0,15.22339754,15.44970305,14.735970289,15.44970305,15.171173192
2014-04-22,5140144.0,15.058020437,15.319142179,14.918755508,15.571559863,15.014500147
2014-04-23,11680101.0,14.82301087,15.188581308,14.735970289,15.232101598,14.831714928
2014-04-24,12011197.0,14.622817534,14.883939276,14.544481012,14.970979857,14.709858115
2014-04-25,7577153.0,14.352991735,14.683745941,14.23983898,14.709858115,14.387807967
2014-04-28,5784556.0,14.213726806,14.352991735,14.065757819,14.518368838,14.28335927
2014-04-29,5927543.0,14.330910774,14.225729777,13.980307452,14.663983929,14.243259943
2014-04-30,5659425.0,14.260790109,14.287085358,14.085488448,14.786695092,14.199434528
2014-05-02,4953505.0,14.287085358,14.260790109,14.164374196,14.418561604,14.278320275
2014-05-05,4741809.0,14.243259943,14.287085358,14.155609113,14.409796521,14.23449486
2014-05-06,6247042.0,13.769945459,14.173139279,13.769945459,14.173139279,13.918951871
2014-05-07,11457063.0,13.752415293,13.892656621,13.410577054,13.971542369,13.620939047
2014-05-08,2687606.0,13.454402469,13.752415293,13.349221473,13.796240708,13.489462802
2014-05-09,7719579.0,13.287865892,13.471932635,13.059973732,13.471932635,13.191449978
2014-05-12,3502737.0,13.103799148,13.296630975,12.919732404,13.585878715,13.077503899
2014-05-13,3189922.0,13.445637386,13.112564231,12.946027653,13.489462802,13.366751639
2014-05-14,2523842.0,13.436872303,13.506992968,13.419342137,13.638469213,13.498227885
2014-05-15,678455.0,13.401811971,13.270335725,13.270335725,13.524523134,13.393046888
2014-05-16,1996732.0,13.279100809,13.357986556,13.051208649,13.357986556,13.252805559
2014-05-19,1285579.0,13.252805559,13.322926224,13.0249134,13.331691307,13.165154729
2014-05-20,489300.0,13.235275393,13.375516722,13.147624563,13.375516722,13.279100809
2014-05-21,131910.0,13.305396058,13.42810722,13.261570642,13.42810722,13.287865892
2014-05-22,2455392.0,13.366751639,13.322926224,13.22651031,13.620939047,13.436872303
2014-05-23,1783616.0,13.147624563,13.42810722,13.121329314,13.524523134,13.217745227
2014-05-26,2314054.0,12.989853068,13.235275393,12.761960909,13.305396058,12.981087985
2014-05-27,7704840.0,12.753195826,13.007383234,12.53406875,13.007383234,12.639249746
2014-05-28,4110185.0,12.44641792,12.744430743,12.33247184,12.744430743,12.44641792
2014-05-29,2553240.0,12.674310079,12.490243335,12.227290843,12.674310079,12.490243335
2014-05-30,6445505.0,12.53406875,12.630484663,12.481478252,12.805786324,12.551598916
2014-06-02,3373593.0,12.411357587,12.525303667,12.271116259,12.525303667,12.385062338
2014-06-03,3334993.0,12.499008418,12.463948086,12.271116259,12.542833833,12.358767089
2014-06-04,1637504.0,12.358767089,12.490243335,12.306176591,12.490243335,12.385062338
2014-06-05,4351386.0,12.376297255,12.411357587,12.314941674,12.656779913,12.463948086
2014-06-06,3714798.0,12.586659248,12.656779913,12.455183003,12.849611739,12.577894165
2014-06-09,1922587.0,12.639249746,12.674310079,12.569129082,12.744430743,12.630484663
2014-06-10,8331047.0,12.472713169,12.62171958,12.358767089,12.62171958,12.402592504
2014-06-11,9412544.0,12.674310079,12.516538584,12.507773501,12.700605328,12.639249746
2014-06-13,1612775.0,12.542833833,12.709370411,12.490243335,12.867141906,12.586659248
2014-06-16,9009648.0,12.490243335,12.595424331,12.402592504,12.595424331,12.455183003
2014-06-17,458946.0,12.595424331,12.569129082,12.44641792,12.779491075,12.612954497
2014-06-18,751472.0,12.595424331,12.674310079,12.44641792,12.683075162,12.542833833
2014-06-20,32037356.0,12.271116259,12.726900577,12.24482101,12.726900577,12.306176591
2014-06-23,628501.0,12.279881342,12.271116259,12.271116259,12.42012267,12.323706757
2014-06-24,1369002.0,12.271116259,12.306176591,12.21852576,12.358767089,12.297411508
2014-06-25,1602898.0,12.025693933,12.314941674,11.955573269,12.44641792,12.139640013
2014-06-26,5449260.0,11.964338352,12.069519349,11.771506525,12.069519349,11.824097024
2014-06-27,6022758.0,11.569909615,11.981868518,11.569909615,11.981868518,11.72768111
2014-06-30,2712734.0,11.771506525,11.604969947,11.342017456,11.771506525,11.64003028
2014-07-01,3134523.0,11.482258785,11.762741442,11.377077788,11.762741442,11.473493702
2014-07-02,1641400.0,11.61373503,11.543614366,11.403373037,11.675090612,11.491023868
2014-07-03,1497772.0,11.5260842,11.64003028,11.394607954,11.64003028,11.517319117
2014-07-04,213060.0,11.789036691,11.569909615,11.482258785,11.789036691,11.596204864
2014-07-07,932008.0,11.657560446,11.72768111,11.455963536,11.72768111,11.604969947
2014-07-08,1993189.0,11.350782539,11.683855695,11.219306294,11.683855695,11.342017456
2014-07-10,669001.0,11.32448729,11.394607954,11.245601543,11.403373037,11.342017456
2014-07-11,3808543.0,11.306957124,11.298192041,11.079064965,11.578674698,11.193011044
2014-07-14,3212141.0,11.745211276,11.342017456,11.157950712,11.999398684,11.789036691
2014-07-15,1184645.0,11.911747854,11.745211276,11.648795363,11.981868518,11.824097024
2014-07-16,2672747.0,12.008163767,11.876687522,11.657560446,12.271116259,11.973103435
2014-07-17,6249035.0,12.44641792,11.955573269,11.955573269,12.44641792,12.279881342
2014-07-18,2661398.0,12.884672072,12.586659248,12.551598916,12.884672072,12.718135494
2014-07-21,4737537.0,12.709370411,12.875906989,12.507773501,12.875906989,12.691840245
2014-07-22,1119009.0,12.577894165,12.709370411,12.53406875,12.709370411,12.604189414
2014-07-23,931853.0,12.376297255,12.577894165,12.306176591,12.577894165,12.393827421
2014-07-24,1582787.0,12.437652836,12.411357587,12.367532172,12.604189414,12.499008418
