Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2005-07-01,85000.0,2.5896838291,2.5896838291,2.5896838291,2.5896838291,2.5896838291
2005-07-04,4000.0,2.4373494862,2.4373494862,2.4373494862,2.4373494862,2.4373494862
2005-07-05,4000.0,2.4373494862,2.4373494862,2.4373494862,2.4373494862,2.4373494862
2005-07-06,12000.0,2.4373494862,2.4373494862,2.4373494862,2.4373494862,2.4373494862
2005-07-07,24040.0,2.5592169606,2.4373494862,2.4373494862,2.5592169606,2.4403961731
2005-07-11,16000.0,2.4373494862,2.4373494862,2.4373494862,2.4373494862,2.4373494862
2005-07-12,8800.0,2.4373494862,2.4373494862,2.4373494862,2.4373494862,2.4373494862
2005-07-13,89050.0,2.5592169606,2.5592169606,2.5592169606,2.5896838291,2.5592169606
2005-07-14,880.0,2.6810844349,2.6810844349,2.6810844349,2.6810844349,2.6810844349
2005-07-25,3320.0,2.528750092,2.528750092,2.528750092,2.528750092,2.528750092
2005-07-26,4000.0,2.4373494862,2.4373494862,2.4373494862,2.4373494862,2.4373494862
2005-07-28,1776.0,2.7054579297,2.7054579297,2.7054579297,2.7054579297,2.7054579297
2005-07-29,18955.0,2.6810844349,2.5896838291,2.5896838291,2.742018172,2.6262440714
2005-08-01,18400.0,2.742018172,2.5896838291,2.5896838291,2.742018172,2.6688976874
2005-08-03,7528.0,2.8212320303,2.8943525149,2.8212320303,2.8943525149,2.8669323332
2005-08-04,8910.0,2.7145979903,2.7145979903,2.7145979903,2.7145979903,2.7145979903
2005-08-09,28800.0,2.742018172,2.742018172,2.742018172,2.742018172,2.742018172
2005-08-10,820520.0,3.3513555436,2.742018172,2.742018172,3.3513555436,3.2812817459
2005-08-11,142440.0,3.4427561493,3.1990212007,3.1990212007,3.4427561493,3.3391687962
2005-08-12,21350.0,3.6255573608,3.4122892807,3.4122892807,3.6255573608,3.4244760282
2005-08-16,323900.0,3.6560242294,3.6255573608,3.6255573608,3.686491098,3.6560242294
2005-08-17,102618.0,3.793125138,3.7626582694,3.6560242294,3.8083585723,3.7657049563
2005-08-18,27666.0,3.6743043505,3.686491098,3.6560242294,3.6925844717,3.6651642899
2005-08-19,80463.0,3.7900784511,3.6560242294,3.6560242294,3.7900784511,3.6590709162
2005-08-22,6200.0,3.7778917037,3.7778917037,3.7778917037,3.7778917037,3.7778917037
2005-08-23,210850.0,3.7778917037,3.7778917037,3.7626582694,3.793125138,3.7778917037
2005-08-24,240560.0,3.7778917037,3.7778917037,3.7778917037,3.7778917037,3.7778917037
2005-08-25,37320.0,3.8083585723,3.7778917037,3.7778917037,3.8083585723,3.7900784511
2005-08-30,1250.0,3.8083585723,3.8083585723,3.8083585723,3.8083585723,3.8083585723
2005-08-31,100000.0,3.8083585723,3.8083585723,3.8083585723,3.8083585723,3.8083585723
2005-09-01,318250.0,3.9606929152,3.7626582694,3.7626582694,3.9606929152,3.87843237
2005-09-02,295110.0,4.2653616009,3.9911597837,3.9606929152,4.2653616009,4.1434941266
2005-09-05,14000.0,4.2653616009,4.2653616009,4.2653616009,4.2653616009,4.2653616009
2005-09-06,86855.0,4.3262953381,4.2958284695,4.2653616009,4.3262953381,4.2684082878
2005-09-08,71300.0,4.3567622067,4.3567622067,4.3262953381,4.3567622067,4.3445754592
2005-09-09,1109355.0,4.2805950352,4.3567622067,4.2653616009,4.3567622067,4.3445754592
2005-09-12,367550.0,4.2653616009,4.3262953381,4.2653616009,4.3262953381,4.3080152169
2005-09-13,429420.0,4.4176959438,4.3567622067,4.3567622067,4.4176959438,4.3750423278
2005-09-14,161420.0,4.5700302867,4.4481628124,4.4176959438,4.5700302867,4.5121432364
2005-09-15,197560.0,4.5700302867,4.5700302867,4.4481628124,4.5700302867,4.5243299838
2005-09-16,1282579.0,4.7223646296,4.5090965496,4.5090965496,4.7528314982,4.713224569
2005-09-19,788410.0,5.1489007897,4.7832983668,4.7832983668,5.1793676583,5.0057065074
2005-09-20,1024670.0,5.1793676583,5.2403013954,5.1184339211,5.2403013954,5.1763209714
2005-09-21,125914963.0,5.6516041212,5.2098345269,5.2098345269,5.7734715956,5.4718495966
2005-09-22,76508294.0,5.3926357383,5.4840363441,5.2981884457,5.5723902629,5.4627095361
2005-09-23,50259679.0,5.4840363441,5.4017757989,5.3652155566,5.6059038184,5.4627095361
2005-09-26,17369867.0,5.5145032126,5.636370687,5.4840363441,5.636370687,5.4962230915
2005-09-27,17096983.0,5.5145032126,5.5145032126,5.4383360412,5.5480167681,5.4901297178
2005-09-28,21679965.0,5.6973044241,5.5145032126,5.5145032126,5.7277712927,5.6485574344
