Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2009-11-18,0.0,6.6191525034,6.6191525034,6.6191525034,6.6191525034,6.6191525034
2009-11-19,29792721.0,6.7452315987,6.6947999606,6.682192051,6.7767513725,6.6884960058
2009-11-23,2900996.0,6.9091344226,6.7578395082,6.7263197344,6.9280462869,6.7956632368
2009-11-24,847846.0,6.8587027845,6.9343502416,6.7956632368,7.0099976988,6.8271830106
2009-11-25,2042904.0,6.9028304678,6.8082711463,6.8082711463,6.9658700155,6.9154383773
2009-11-26,1253140.0,6.9847818798,6.9154383773,6.9028304678,7.0289095631,6.9973897893
2009-11-27,2065898.0,7.1108609751,6.9973897893,6.9343502416,7.1549886584,7.0541253822
2009-11-30,576773.0,7.1108609751,7.2180282061,6.9532621059,7.2180282061,7.085645156
2009-12-01,280796.0,7.2369400704,7.2117242513,6.7578395082,7.2495479799,7.192812387
2009-12-02,157418.0,7.1865084322,7.2495479799,7.1612926132,7.2495479799,7.2432440251
2009-12-03,62191.0,7.1297728394,7.1234688846,7.1234688846,7.1549886584,7.1297728394
2009-12-04,89226.0,7.1802044775,7.0982530655,7.0982530655,7.1802044775,7.1171649298
2009-12-07,46949.0,6.8523988297,6.9973897893,6.8523988297,7.1234688846,7.0478214274
2009-12-08,198989.0,6.9343502416,7.0289095631,6.7767513725,7.0919491108,6.8145751011
2009-12-09,88129.0,6.9910858345,6.9343502416,6.9343502416,7.0289095631,6.9469581512
2009-12-10,343526.0,7.1171649298,7.0604293369,6.9343502416,7.1297728394,6.9658700155
2009-12-11,93722.0,6.9343502416,7.1171649298,6.9343502416,7.1171649298,6.9532621059
2009-12-14,36429.0,7.0919491108,6.9343502416,6.9343502416,7.0919491108,6.9595660607
2009-12-15,40577.0,6.9343502416,6.8460948749,6.8460948749,7.0604293369,6.9154383773
2009-12-16,84963.0,6.9217423321,7.0541253822,6.871310694,7.0541253822,6.9532621059
2009-12-17,218146.0,6.8145751011,6.9217423321,6.7389276439,6.9217423321,6.8776146488
2009-12-18,156670.0,6.9910858345,6.7452315987,6.7326236892,6.9910858345,6.8082711463
2009-12-21,119857.0,7.1171649298,6.9343502416,6.871310694,7.1171649298,6.9973897893
2009-12-22,159790.0,7.1234688846,7.1108609751,6.8776146488,7.1234688846,7.0919491108
2009-12-23,50841.0,7.1234688846,7.1108609751,7.1108609751,7.1234688846,7.1234688846
2009-12-28,2248.0,7.0793412012,7.0919491108,7.0793412012,7.0919491108,7.085645156
2009-12-29,160619.0,7.0604293369,6.9658700155,6.9343502416,7.0604293369,6.9847818798
2009-12-30,170605.0,7.2243321608,7.0730372465,6.9343502416,7.2243321608,7.1234688846
2010-01-04,87012.0,7.2180282061,7.2369400704,7.1234688846,7.2810677537,7.2180282061
2010-01-05,198866.0,7.1865084322,7.3062835728,7.0919491108,7.3125875276,7.2054202965
2010-01-06,120812.0,7.1234688846,6.9973897893,6.9973897893,7.2432440251,7.1865084322
2010-01-07,109569.0,7.1865084322,7.2810677537,7.1549886584,7.2810677537,7.192812387
2010-01-08,10270.0,7.1991163418,7.1865084322,7.1865084322,7.1991163418,7.192812387
2010-01-11,61314.0,7.1865084322,7.2117242513,7.1234688846,7.3125875276,7.1549886584
2010-01-12,26105.0,7.1549886584,7.1549886584,7.1549886584,7.1549886584,7.1549886584
2010-01-13,57753.0,7.1297728394,7.1549886584,7.1297728394,7.1865084322,7.1360767941
2010-01-14,274618.0,7.3441073014,7.2495479799,7.2495479799,7.3441073014,7.274763799
2010-01-15,67347.0,7.3125875276,7.3125875276,7.2810677537,7.3693231204,7.3188914823
