Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2015-03-31,8100.0,13.37954388,13.37954388,13.37954388,13.37954388,13.37954388
2015-04-07,22423.0,99.35550178,33.944398364,33.944398364,107.36671015,92.583140062
2015-04-08,419898.0,317.06215406,99.35550178,99.35550178,495.53866224,343.32570316
2015-04-09,1071324.0,313.84115275,330.35910816,151.96518975,442.92897427,303.02189196
2015-04-10,710821.0,309.7116639,313.84115275,256.02830883,412.9488852,326.14702953
2015-04-13,194997.0,247.76933112,305.7473546,247.76933112,305.7473546,282.53962726
2015-04-14,233325.0,173.52112156,206.14408349,173.52112156,206.14408349,181.78009927
2015-04-15,79090.0,159.39826969,169.39163271,159.39826969,177.48543086,167.49206784
2015-04-16,90080.0,155.10360128,159.81121857,148.66159867,181.69750949,158.32460259
2015-04-17,113927.0,138.8334152,156.8379866,133.21731037,156.8379866,142.54995517
2015-04-20,12603.0,148.74418845,144.6146996,144.6146996,152.79108752,148.66159867
2015-04-22,223993.0,193.92079649,165.26214386,165.26214386,198.71100356,188.80023031
2015-04-23,41853.0,144.6146996,215.88967718,144.6146996,215.88967718,192.02123162
2015-04-24,69909.0,165.17955408,157.33352526,157.33352526,174.01666022,164.93178475
2015-04-27,17638.0,151.55224087,169.39163271,151.55224087,169.39163271,161.875963
2015-04-28,46418.0,149.07454756,156.92057638,148.66159867,158.57237192,153.36921596
2015-04-29,20041.0,184.83592102,152.79108752,152.79108752,184.83592102,165.50991319
2015-04-30,6450.0,173.43853178,181.69750949,173.43853178,181.69750949,177.56802064
2015-05-04,19589.0,158.65496169,165.17955408,158.65496169,165.17955408,161.79337322
2015-05-05,11916.0,158.73755147,158.73755147,158.73755147,169.30904293,164.0232972
2015-05-06,3900.0,161.05006523,161.05006523,161.05006523,161.05006523,161.05006523
2015-05-07,1950.0,161.05006523,161.05006523,161.05006523,161.05006523,161.05006523
2015-05-08,28352.0,148.5790089,145.85354625,143.70621205,148.5790089,146.34908492
2015-05-11,93400.0,135.44723435,142.46736539,132.14364326,147.67052135,137.7597481
2015-05-12,69052.0,136.43831167,138.00751743,132.22623304,140.40262097,135.77759345
2015-05-13,22567.0,147.8357009,138.00751743,137.92492766,147.8357009,143.37585294
2015-05-14,15914.0,144.6146996,145.02764848,144.6146996,147.00980313,146.01872581
2015-05-15,26358.0,148.66159867,144.69728937,142.88031428,148.66159867,145.11023826
2015-05-19,20800.0,148.66159867,156.92057638,148.66159867,156.92057638,156.17726838
2015-05-20,7200.0,148.66159867,148.66159867,148.66159867,148.66159867,148.66159867
2015-05-25,10170.0,139.5767232,140.40262097,139.5767232,140.40262097,139.98967208
2015-05-26,6683.0,133.63025925,139.32895387,133.63025925,139.49413342,138.00751743
2015-06-01,7614.0,125.61905087,125.86682021,125.61905087,125.86682021,125.78423043
2015-06-02,1500.0,123.88466556,123.88466556,123.88466556,123.88466556,123.88466556
2015-06-05,4300.0,115.62568785,119.7551767,115.62568785,119.7551767,118.35115049
2015-06-08,4200.0,115.62568785,111.496199,111.496199,119.7551767,115.62568785
2015-06-09,7838.0,118.76409938,132.14364326,118.76409938,132.14364326,129.5007704
2015-06-10,4300.0,118.18597094,118.76409938,118.18597094,118.76409938,118.35115049
2015-06-11,2710.0,111.496199,112.32209677,111.496199,112.32209677,111.90914789
2015-06-12,15700.0,107.69706926,112.32209677,107.36671015,112.32209677,108.02742836
2015-06-18,20621.0,104.14570884,123.88466556,104.14570884,123.88466556,121.65474158
2015-06-19,50301.0,104.14570884,104.14570884,82.58977704,111.496199,103.89793951
2015-06-26,11484.0,103.5675804,94.730474265,94.730474265,111.496199,105.3845555
2015-06-29,10987.0,90.848754745,90.848754745,89.775087643,90.848754745,90.766164967
2015-06-30,7462.0,88.040702325,88.040702325,88.040702325,88.040702325,88.040702325
2015-07-03,999.0,82.507187263,82.507187263,82.507187263,82.507187263,82.507187263
2015-07-08,3099.0,82.672366817,82.58977704,82.58977704,90.68357519,85.315239683
2015-07-13,2008.0,82.920136149,82.920136149,82.920136149,82.920136149,82.920136149
2015-07-16,1006.0,83.085315703,83.085315703,83.085315703,83.085315703,83.085315703
2015-07-17,5882.0,79.286185959,83.085315703,79.286185959,83.085315703,80.9379815
2015-07-20,9279.0,73.587491343,79.286185959,73.587491343,80.9379815,76.643313093
2015-07-21,5400.0,75.982594877,74.000440228,74.000440228,75.982594877,74.330799336
2015-07-22,11692.0,71.935695802,75.982594877,71.935695802,81.76387927,74.248209559
2015-07-23,17511.0,60.455716794,75.982594877,60.455716794,75.982594877,68.879874052
2015-07-24,3522.0,60.951255456,57.812843928,51.866379981,60.951255456,58.143203036
2015-07-27,2920.0,60.29053724,60.29053724,60.29053724,60.29053724,60.29053724
2015-08-03,710.0,58.638741699,58.638741699,58.638741699,58.638741699,58.638741699
2015-08-04,1419.0,58.638741699,58.556151922,58.556151922,58.638741699,58.638741699
2015-08-07,710.0,58.638741699,58.638741699,58.638741699,58.638741699,58.638741699
2015-08-10,1399.0,57.812843928,57.730254151,57.730254151,57.812843928,57.812843928
2015-08-11,1501.0,57.895433705,66.071821632,57.895433705,66.071821632,62.024922557
