Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2007-12-13,0.0,665.09845108,665.09845108,665.09845108,665.09845108,665.09845108
2007-12-14,190996520.0,665.3429167,665.0918439,660.71789146,673.93224929,664.88041417
2007-12-17,95904501.0,640.89635472,665.3429167,640.89635472,666.00363459,643.96208573
2007-12-18,4270225.0,647.29871108,664.01487374,634.2891758,664.01487374,641.23332084
2007-12-19,4030199.0,647.50353363,647.50353363,646.18209785,660.71789146,649.47247295
2007-12-20,17009946.0,640.88974754,660.7046771,640.88974754,660.7046771,642.2177905
2007-12-21,12501400.0,640.23563682,640.89635472,634.2891758,640.89635472,640.30170861
2007-12-26,26312189.0,663.36076303,640.89635472,640.89635472,663.36076303,646.28120553
2007-12-27,5231600.0,665.3429167,660.71789146,660.71789146,665.3429167,664.73505624
2007-12-28,5295899.0,679.87871031,667.32507037,667.32507037,683.84301766,672.90152938
2008-01-02,8928417.0,665.09845108,683.84301766,664.68219881,683.84301766,670.3577655
2008-01-03,2209601.0,660.71789146,665.09845108,660.71789146,665.40898849,663.59862147
2008-01-04,887000.0,647.50353363,657.414302,647.50353363,660.71789146,651.17712511
2008-01-07,990000.0,654.11071254,654.11071254,654.11071254,654.11071254,654.11071254
2008-01-08,1187998.0,654.09749819,654.11071254,654.09749819,654.11071254,654.11071254
2008-01-09,27316880.0,654.10410537,654.09089101,634.94989369,654.11071254,653.93892589
2008-01-10,1808500.0,664.68219881,660.71789146,660.71789146,665.3429167,663.83647991
2008-01-11,2410188.0,664.67559163,665.3429167,647.50353363,665.3429167,663.5259425
2008-01-15,1804000.0,621.07481797,660.71789146,621.07481797,660.71789146,627.3318164
2008-01-16,4051961.0,621.07481797,627.68199689,621.07481797,642.74636481,622.60768348
2008-01-17,4283406.0,624.37840743,624.37840743,594.64610231,634.29578298,628.91753934
2008-01-18,94500.0,624.37840743,624.37840743,624.37840743,624.37840743,624.37840743
2008-01-21,9286500.0,594.64610231,614.46763906,594.64610231,617.77122851,601.5439971
2008-01-22,2734990.0,561.61020774,581.43174448,561.60360056,588.01910186,564.70236747
2008-01-23,5879502.0,544.43154256,561.61681492,528.57431317,588.67981975,547.14048592
2008-01-24,4913500.0,541.788671,561.61020774,541.788671,571.52097611,550.24586001
2008-01-28,5475102.0,528.57431317,541.788671,528.57431317,541.788671,531.98361749
2008-01-29,11473300.0,518.6635448,521.96713425,515.35995534,528.57431317,519.21854782
2008-01-30,5338300.0,528.57431317,516.68139112,508.75277642,528.57431317,518.68997351
