Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
1986-01-02,0.00029552727399,3.152367209e-06,2.88216443e-06,2.88216443e-06,3.152367209e-06,3.152367209e-06
1986-01-03,0.00046006252992,3.422569988e-06,3.152367209e-06,3.152367209e-06,3.422569988e-06,3.3162901254e-06
1986-01-06,0.0010265193513,3.6027052859e-06,3.422569988e-06,3.422569988e-06,3.9629758816e-06,3.6081096367e-06
1986-01-07,0.0010051631423,3.6045067362e-06,3.6027052859e-06,3.6027052859e-06,3.9629758816e-06,3.7612241869e-06
1986-01-08,0.00029207638624,3.6729581561e-06,3.6927731026e-06,3.5126378047e-06,3.6945745529e-06,3.6567457746e-06
1986-01-09,0.00030934353965,3.7828405837e-06,3.6027052859e-06,3.6027052859e-06,3.9269485536e-06,3.8080595456e-06
1986-01-10,0.00049809649679,3.7810391335e-06,3.7828405837e-06,3.6027052859e-06,3.7828405837e-06,3.7810391335e-06
1986-01-13,0.00069830165411,3.6927731026e-06,3.6927731026e-06,3.6027052859e-06,3.8729084004e-06,3.7324026601e-06
1986-01-14,0.00022696137112,3.6027052859e-06,3.6927731026e-06,3.6027052859e-06,3.7828405837e-06,3.6567457746e-06
1986-01-15,0.00023545490544,3.7828405837e-06,3.6027052859e-06,3.6027052859e-06,3.7828405837e-06,3.6279242477e-06
1986-01-16,0.00036478453436,3.6927731026e-06,3.6027052859e-06,3.6027052859e-06,3.7828405837e-06,3.7576219574e-06
1986-01-17,0.00047982933515,3.7828405837e-06,3.7828405837e-06,3.6027052859e-06,3.9629758816e-06,3.80085408e-06
1986-01-20,0.0001277800299,3.7828405837e-06,3.7828405837e-06,3.6027052859e-06,3.7828405837e-06,3.6441362937e-06
1986-01-21,0.00020915259611,3.7810391335e-06,3.7828405837e-06,3.7810391335e-06,3.9629758816e-06,3.7936486144e-06
1986-01-22,0.00045441951017,3.7810391335e-06,3.6927731026e-06,3.5126378047e-06,3.7828405837e-06,3.6999785682e-06
1986-01-23,0.00025179380632,3.6027052859e-06,3.7828405837e-06,3.6027052859e-06,3.9629758816e-06,3.6567457746e-06
1986-01-24,0.00030210333358,3.7828405837e-06,3.6027052859e-06,3.6027052859e-06,3.8729084004e-06,3.7810391335e-06
1986-01-27,0.00041725687115,3.7828405837e-06,3.7828405837e-06,3.422569988e-06,3.7828405837e-06,3.7215946294e-06
1986-01-28,0.00027145829504,3.7828405837e-06,3.7828405837e-06,3.5126378047e-06,3.7828405837e-06,3.7792376832e-06
1986-01-29,0.00042573381154,3.6927731026e-06,3.7828405837e-06,3.6027052859e-06,3.7828405837e-06,3.7089851485e-06
1986-01-30,0.00020328055007,3.3865429956e-06,3.6927731026e-06,3.3865429956e-06,3.6927731026e-06,3.4694053467e-06
1986-01-31,4.381554865e-05,3.6027052859e-06,3.422569988e-06,3.3505160031e-06,3.6027052859e-06,3.5036312244e-06
1986-02-03,0.00024887000687,3.6045067362e-06,3.6027052859e-06,3.6027052859e-06,3.7828405837e-06,3.6927731026e-06
1986-02-04,0.0001770775753,3.8693054999e-06,3.6027052859e-06,3.6027052859e-06,3.8729084004e-06,3.7612241869e-06
1986-02-05,0.00027585258059,3.9629758816e-06,3.8729084004e-06,3.6927731026e-06,3.9629758816e-06,3.8314773926e-06
1986-02-06,0.00036287999803,3.9629758816e-06,3.9629758816e-06,3.8729084004e-06,4.0530436983e-06,3.9629758816e-06
1986-02-07,0.00046315909905,4.3412599735e-06,4.1431111794e-06,4.1431111794e-06,4.4133139584e-06,4.3016300805e-06
1986-02-13,0.000737381662,4.321445027e-06,4.4133139584e-06,3.9629758816e-06,4.5033817751e-06,4.3880953321e-06
1986-02-14,0.00039488767391,4.1431111794e-06,4.3250479276e-06,4.1250976832e-06,4.4133139584e-06,4.265603088e-06
1986-02-17,0.00061223170254,4.4133139584e-06,4.1611246757e-06,4.1431111794e-06,4.4673544471e-06,4.2926235001e-06
1986-02-18,0.00052218318038,4.3232464773e-06,4.4133139584e-06,4.2331786606e-06,4.5033817751e-06,4.3628760348e-06
1986-02-19,0.00095785634408,4.5033817751e-06,4.5033817751e-06,4.4133139584e-06,4.5934492563e-06,4.515991256e-06
1986-02-20,0.0015698073579,5.0437876687e-06,4.5033817751e-06,4.5033817751e-06,5.2257240813e-06,5.0672048447e-06
1986-02-21,0.0011119816498,5.5841932267e-06,5.1338551498e-06,5.0437876687e-06,5.5841932267e-06,5.2545459437e-06
1986-02-24,0.0015695820292,5.4941257455e-06,5.5841932267e-06,5.4040579288e-06,5.5841932267e-06,5.4653042187e-06
1986-02-25,0.001321789318,5.6382340509e-06,5.5841932267e-06,5.4040579288e-06,5.76432886e-06,5.5769877611e-06
1986-02-26,0.00084182745632,6.1245994557e-06,5.5841932267e-06,5.5841932267e-06,6.1245994557e-06,5.8958270135e-06
1986-02-27,0.00054733309678,5.9444638224e-06,6.1245994557e-06,5.9444638224e-06,6.1245994557e-06,6.0453396697e-06
1986-03-04,0.0073770311877,8.1060873965e-06,6.3047344181e-06,6.3047344181e-06,9.0067635502e-06,8.2592016112e-06
1986-03-05,0.0097163550572,8.6464929545e-06,8.4663573212e-06,8.2862223588e-06,8.8266279169e-06,8.570836069e-06
1986-03-06,0.004207203529,9.0067635502e-06,8.6464929545e-06,8.4663573212e-06,9.0067635502e-06,8.8860734275e-06
1986-03-07,0.0028988990365,9.1868985126e-06,9.008564665e-06,8.6464929545e-06,9.3670341459e-06,9.0139686803e-06
1986-03-10,0.0019036488766,9.9074397039e-06,9.1868985126e-06,9.1868985126e-06,1.0087575337e-05,9.7237018411e-06
1986-03-11,0.0017510117081,1.0808115857e-05,9.9074397039e-06,9.9074397039e-06,1.0808115857e-05,1.056313204e-05
1986-03-12,0.0050619808963,1.1168386453e-05,1.0808115857e-05,1.0808115857e-05,1.1348522086e-05,1.1182798055e-05
1986-03-13,0.0014892843753,1.1168386453e-05,1.1168386453e-05,1.0627980895e-05,1.1708792011e-05,1.1036888299e-05
1986-03-14,0.0041153052474,1.0537913078e-05,1.0808115857e-05,1.0267710299e-05,1.0808115857e-05,1.0528906833e-05
1986-03-17,0.0034240659642,1.1168386453e-05,1.0627980895e-05,1.0447845262e-05,1.1168386453e-05,1.0936011781e-05
1986-03-18,0.0035995205448,1.1708792011e-05,1.1348522086e-05,1.1168386453e-05,1.1888927644e-05,1.1609717278e-05
1986-03-19,0.0038995312832,1.1708792011e-05,1.1438589903e-05,1.1168386453e-05,1.1888927644e-05,1.1564684041e-05
1986-03-20,0.0017055531139,1.1168386453e-05,1.1706990896e-05,1.0808115857e-05,1.1708792011e-05,1.1141366376e-05
1986-03-21,0.0034609933089,1.1168386453e-05,1.1438589903e-05,1.0808115857e-05,1.1438589903e-05,1.1067510606e-05
1986-03-24,0.0075787511121,1.1348522086e-05,1.1168386453e-05,1.1168386453e-05,1.1708792011e-05,1.1350323201e-05
1986-03-25,0.0036073895671,1.1708792011e-05,1.1348522086e-05,1.1348522086e-05,1.2609468836e-05,1.1670964575e-05
1986-03-26,0.0066342744428,1.351014566e-05,1.1708792011e-05,1.1708792011e-05,1.351014566e-05,1.2362682562e-05
1986-03-31,0.0051314791314,1.4410821143e-05,1.351014566e-05,1.351014566e-05,1.5311497968e-05,1.435317876e-05
1986-04-01,0.0027584842356,1.3690279952e-05,1.4410821143e-05,1.3690279952e-05,1.5131362334e-05,1.4151425724e-05
1986-04-02,0.0025173648286,1.4050551218e-05,1.351014566e-05,1.3330010027e-05,1.4050551218e-05,1.3484926028e-05
1986-04-03,0.0032151497198,1.351014566e-05,1.3960483402e-05,1.2609468836e-05,1.4048748762e-05,1.3342619172e-05
1986-04-04,0.0028040627105,1.5491633602e-05,1.3418275387e-05,1.3418275387e-05,1.5491633602e-05,1.4578347631e-05
1986-04-07,0.0062442148679,1.6572444718e-05,1.5311497968e-05,1.4951226701e-05,1.6752580351e-05,1.6428335406e-05
1986-04-08,0.0086449961365,1.6212174793e-05,1.6212174793e-05,1.5311497968e-05,1.6752580351e-05,1.6017627557e-05
1986-04-09,0.0018163105247,1.6212174793e-05,1.6212174793e-05,1.5851903526e-05,1.6212174793e-05,1.5887929848e-05
1986-04-10,0.002674931497,1.5851903526e-05,1.6212174793e-05,1.5491633602e-05,1.6212174793e-05,1.5736617419e-05
1986-04-11,0.0020738858641,1.603203916e-05,1.5851903526e-05,1.5671767893e-05,1.6212174793e-05,1.5783453113e-05
1986-04-14,0.0047214209302,1.7112850276e-05,1.7653255834e-05,1.5311497968e-05,1.7653255834e-05,1.6008621984e-05
1986-04-15,0.0032045382953,1.603203916e-05,1.6212174793e-05,1.603203916e-05,1.6212174793e-05,1.618695516e-05
1986-04-16,0.0018626777377,1.4410821143e-05,1.6212174793e-05,1.4410821143e-05,1.6212174793e-05,1.4632387784e-05
1986-04-17,0.0040426462793,1.6392309084e-05,1.5311497968e-05,1.4410821143e-05,1.7112850276e-05,1.6172543558e-05
1986-04-18,0.0025590441786,1.7112850276e-05,1.6574245832e-05,1.6574245832e-05,1.9814879408e-05,1.7348827177e-05
1986-04-22,0.0024852479935,1.7473121542e-05,1.7112850276e-05,1.7112850276e-05,1.9814879408e-05,1.7487531803e-05
1986-04-23,0.0008151555543,1.7653255834e-05,1.7653255834e-05,1.7112850276e-05,1.7653255834e-05,1.7464113284e-05
1986-04-24,0.0020691085356,1.7473121542e-05,1.80135271e-05,1.7112850276e-05,1.80135271e-05,1.7404669787e-05
1986-04-25,0.00091282508014,1.7112850276e-05,1.7292985909e-05,1.6932714642e-05,1.7292985909e-05,1.7138069909e-05
1986-04-29,0.0016634714521,1.5311497968e-05,1.7292985909e-05,1.5311497968e-05,1.7292985909e-05,1.6426535633e-05
1986-04-30,0.0015543577603,1.5311497968e-05,1.5671767893e-05,1.5309695511e-05,1.5671767893e-05,1.534752429e-05
1986-05-02,0.00080805394694,1.5311497968e-05,1.5311497968e-05,1.5311497968e-05,1.5493434716e-05,1.5334915144e-05
1986-05-05,0.0006380976069,1.4410821143e-05,1.5311497968e-05,1.4050551218e-05,1.5311497968e-05,1.4661209647e-05
1986-05-06,0.00067148434188,1.351014566e-05,1.4410821143e-05,1.2609468836e-05,1.4590956776e-05,1.3623629311e-05
1986-05-07,0.0013296387348,1.351014566e-05,1.351014566e-05,1.3330010027e-05,1.3690279952e-05,1.3447098591e-05
1986-05-08,0.0011547971603,1.4410821143e-05,1.4050551218e-05,1.351014566e-05,1.4590956776e-05,1.4205467219e-05
1986-05-09,0.0011377018219,1.5311497968e-05,1.4410821143e-05,1.4410821143e-05,1.5509646091e-05,1.5300689938e-05
1986-05-12,0.00037041595303,1.5313299083e-05,1.5311497968e-05,1.5311497968e-05,1.5493434716e-05,1.5320504884e-05
1986-05-13,0.00058670363754,1.4050551218e-05,1.5311497968e-05,1.351014566e-05,1.5311497968e-05,1.4536915281e-05
1986-05-14,0.0026258098166,1.4410821143e-05,1.4410821143e-05,1.4050551218e-05,1.4410821143e-05,1.434237073e-05
1986-05-15,0.0017028247336,1.5311497968e-05,1.4410821143e-05,1.4410821143e-05,1.5311497968e-05,1.4969240533e-05
1986-05-16,0.00085543768945,1.4410821143e-05,1.512956122e-05,1.4410821143e-05,1.5851903526e-05,1.4832337022e-05
1986-05-19,0.00079256799571,1.3690279952e-05,1.4592757891e-05,1.351014566e-05,1.477109241e-05,1.3870415585e-05
1986-05-20,0.001253565015,1.3511946775e-05,1.3511946775e-05,1.351014566e-05,1.3690279952e-05,1.3542569752e-05
1986-05-21,0.00080166211161,1.351014566e-05,1.3511946775e-05,1.3149874394e-05,1.4410821143e-05,1.3544370867e-05
1986-05-22,0.0010909454641,1.3511946775e-05,1.351014566e-05,1.351014566e-05,1.3690279952e-05,1.3511946775e-05
1986-05-23,0.0035598780947,1.4050551218e-05,1.3690279952e-05,1.3690279952e-05,1.4050551218e-05,1.401632467e-05
1986-05-27,0.0034922851338,1.4320753326e-05,1.4050551218e-05,1.4050551218e-05,1.4590956776e-05,1.4306343066e-05
1986-05-28,0.0034848126393,1.5669966778e-05,1.477109241e-05,1.477109241e-05,1.6212174793e-05,1.5551078441e-05
1986-05-29,0.0036207222549,1.5671767893e-05,1.5671767893e-05,1.5131362334e-05,1.6212174793e-05,1.5444797908e-05
1986-05-30,0.0028799480926,1.5671767893e-05,1.5311497968e-05,1.5309695511e-05,1.6212174793e-05,1.5760034595e-05
1986-06-02,0.0019345643176,1.603203916e-05,1.5851903526e-05,1.5851903526e-05,1.6212174793e-05,1.5945573573e-05
1986-06-03,0.003060133635,1.6296403393e-05,1.5934260376e-05,1.5934260376e-05,1.6296403393e-05,1.6075496099e-05
1986-06-04,0.0030289672777,1.6477473553e-05,1.6298213866e-05,1.6115331885e-05,1.6658545061e-05,1.6415910751e-05
1986-06-05,0.0019972517398,1.6298213866e-05,1.6477473553e-05,1.6296403393e-05,1.6658545061e-05,1.6361588489e-05
1986-06-06,0.00067055532705,1.6296403393e-05,1.6477473553e-05,1.6296403393e-05,1.6477473553e-05,1.637969591e-05
1986-06-09,0.0021746787806,1.6298213866e-05,1.6386937799e-05,1.6115331885e-05,1.6386937799e-05,1.6303645282e-05
1986-06-10,0.0033632563124,1.6296403393e-05,1.6477473553e-05,1.6115331885e-05,1.7201758238e-05,1.6292782449e-05
1986-06-11,0.0030749794028,1.6296403393e-05,1.6296403393e-05,1.6115331885e-05,1.6477473553e-05,1.6395992858e-05
1986-06-12,0.00065606703108,1.6296403393e-05,1.6296403393e-05,1.6296403393e-05,1.6658545061e-05,1.6367019906e-05
1986-06-13,0.0017022754771,1.6296403393e-05,1.6294591572e-05,1.6115331885e-05,1.6658545061e-05,1.644850195e-05
1986-06-16,0.00038744954789,1.6115331885e-05,1.6296403393e-05,1.5753188868e-05,1.683961657e-05,1.6289160155e-05
1986-06-17,0.00098870679034,1.4666762514e-05,1.6024796131e-05,1.4485691005e-05,1.6024796131e-05,1.5515985974e-05
1986-06-18,0.0015432726927,1.4485691005e-05,1.4485691005e-05,1.4485691005e-05,1.4485691005e-05,1.4485691005e-05
1986-06-19,0.0014675622206,1.5209975691e-05,1.4485691005e-05,1.376140632e-05,1.5209975691e-05,1.408190173e-05
1986-06-20,0.0019414009196,1.4847834023e-05,1.4485691005e-05,1.3942477829e-05,1.5208165218e-05,1.4483880533e-05
1986-06-23,0.00051992728088,1.3942477829e-05,1.4847834023e-05,1.3942477829e-05,1.4847834023e-05,1.4315483679e-05
1986-06-24,0.0021276161782,1.4123549337e-05,1.4487502827e-05,1.3580336161e-05,1.4487502827e-05,1.3922559936e-05
1986-06-25,0.0030131550701,1.3942477829e-05,1.4485691005e-05,1.3942477829e-05,1.4487502827e-05,1.4328158334e-05
1986-06-26,0.0041990145613,1.4485691005e-05,1.3942477829e-05,1.3942477829e-05,1.4666762514e-05,1.4355319465e-05
1986-06-27,0.0013426952739,1.4485691005e-05,1.4485691005e-05,1.4485691005e-05,1.4847834023e-05,1.458528047e-05
1986-06-30,0.0031573243951,1.4849644495e-05,1.4485691005e-05,1.4485691005e-05,1.4849644495e-05,1.4505608898e-05
1986-07-01,0.0020782843303,1.5572118708e-05,1.5217218929e-05,1.5209975691e-05,1.5934260376e-05,1.5702490248e-05
1986-07-02,0.0018263217893,1.5209975691e-05,1.5572118708e-05,1.5209975691e-05,1.5934260376e-05,1.5231705405e-05
1986-07-03,0.0021438807384,1.6296403393e-05,1.5209975691e-05,1.4847834023e-05,1.6296403393e-05,1.5774918582e-05
1986-07-04,0.0037442610182,1.7382829747e-05,1.6658545061e-05,1.5934260376e-05,1.7390072985e-05,1.670924503e-05
1986-07-07,0.0012421915494,1.8107114432e-05,1.7382829747e-05,1.6658545061e-05,1.8831399117e-05,1.7578386382e-05
1986-07-08,0.0010653356576,1.702068673e-05,1.8107114432e-05,1.6658545061e-05,1.8251971099e-05,1.7513201287e-05
1986-07-09,0.0015806465065,1.6658545061e-05,1.702068673e-05,1.5934260376e-05,1.7382829747e-05,1.6600601855e-05
1986-07-10,0.0012383987809,1.66657883e-05,1.702068673e-05,1.6658545061e-05,1.702068673e-05,1.6897558427e-05
1986-07-11,0.0031789000627,1.6658545061e-05,1.6658545061e-05,1.6658545061e-05,1.7527686414e-05,1.6687516665e-05
1986-07-14,0.0024053906853,1.7382829747e-05,1.6658545061e-05,1.6658545061e-05,1.7527686414e-05,1.7440772953e-05
1986-07-15,0.0027903737801,1.7382829747e-05,1.7382829747e-05,1.6658545061e-05,1.8107114432e-05,1.7426286477e-05
1986-07-16,0.0024852712163,1.84692561e-05,1.7744971415e-05,1.7744971415e-05,1.9555683802e-05,1.8433042608e-05
1986-07-17,0.0016459681315,1.7744971415e-05,1.84692561e-05,1.7744971415e-05,1.8831399117e-05,1.8150571162e-05
1986-07-18,0.00082992865713,1.7165544746e-05,1.7744971415e-05,1.702068673e-05,1.7744971415e-05,1.7187271762e-05
1986-07-21,0.00047149119238,1.702068673e-05,1.7382829747e-05,1.6658545061e-05,1.7382829747e-05,1.7085873174e-05
