Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
1987-01-09,0.00049454546842,3.5771527477e-10,3.5771527477e-10,3.5771527477e-10,3.5771527477e-10,3.5771527477e-10
1987-02-02,0.00049454546842,3.5771527477e-10,3.5771527477e-10,3.5771527477e-10,3.5771527477e-10,3.5771527477e-10
1987-02-23,0.00049454546842,3.5771527477e-10,3.5771527477e-10,3.5771527477e-10,3.5771527477e-10,3.5771527477e-10
1987-03-06,3.4545454112e-05,3.9979940851e-10,3.9979940851e-10,3.9979940851e-10,3.9979940851e-10,3.9979940851e-10
1987-04-07,0.00012709090909,3.2416168675e-10,3.2416168675e-10,3.2416168675e-10,3.2416168675e-10,3.2416168675e-10
1987-04-08,0.00052634606708,3.2416168675e-10,3.2416168675e-10,3.2409467964e-10,3.2416168675e-10,3.2415086669e-10
1987-04-09,0.00096363487244,3.2416168675e-10,3.133563075e-10,3.133563075e-10,3.2416168675e-10,3.1815820021e-10
1987-04-10,0.00052727274461,3.133563075e-10,3.133563075e-10,3.133563075e-10,3.133563075e-10,3.133563075e-10
1987-04-13,6.9763092344e-05,3.1119306763e-10,3.133563075e-10,3.1119306763e-10,3.133563075e-10,3.1172899569e-10
1987-04-14,0.00079858039544,3.2416168675e-10,3.1011466796e-10,3.1011466796e-10,3.2416168675e-10,3.2154029448e-10
1987-04-15,0.00012818181818,3.2416168675e-10,3.2416168675e-10,3.2416168675e-10,3.2416168675e-10,3.2416168675e-10
1987-04-21,8.1454546668e-06,3.4577247102e-10,3.4577247102e-10,3.4577247102e-10,3.4577247102e-10,3.4577247102e-10
1987-04-22,0.0009664000144,3.4577247102e-10,3.4577247102e-10,3.4577247102e-10,3.4577247102e-10,3.4577247102e-10
1987-04-23,0.00055272728096,3.4577247102e-10,3.4577247102e-10,3.4577247102e-10,3.4577247102e-10,3.4577247102e-10
1987-04-24,0.00016037499905,3.4577247102e-10,3.4577247102e-10,3.4577247102e-10,3.5657785027e-10,3.4658286802e-10
