Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
1986-01-06,9.8181820729e-07,3.5197260274e-10,3.5197260274e-10,3.5197260274e-10,3.5197260274e-10,3.5197260274e-10
1986-01-08,6.872727451e-06,3.5197260274e-09,3.5197260274e-09,3.5197260274e-09,3.5197260274e-09,3.5197260274e-09
1986-01-13,1.8129110126e-05,4.0411667494e-09,3.9108065082e-09,3.9108065082e-09,4.0411667494e-09,4.0242202167e-09
1986-01-14,7.6753458652e-05,4.0542029921e-09,4.0411667494e-09,4.0411667494e-09,4.0542029921e-09,4.0463814407e-09
1986-01-15,2.0577053279e-05,4.1715272335e-09,4.1702233178e-09,3.9108065082e-09,4.1715272335e-09,4.1676159722e-09
1986-01-16,5.8181820945e-06,4.1715272335e-09,4.1715272335e-09,4.1715272335e-09,4.1715272335e-09,4.1715272335e-09
1986-01-20,2.1239999885e-05,4.3018872319e-09,4.3018872319e-09,4.3018872319e-09,4.3018872319e-09,4.3018872319e-09
1986-01-22,1.2723636898e-06,4.5613042843e-09,4.5613042843e-09,4.5613042843e-09,4.5613042843e-09,4.5613042843e-09
1986-01-23,6.1004179039e-06,4.4322477159e-09,4.5626077143e-09,4.4322477159e-09,4.5626077143e-09,4.5091597993e-09
1986-01-24,1.8305454742e-05,4.3018872319e-09,4.4322477159e-09,4.3018872319e-09,4.5626077143e-09,4.3748890252e-09
1986-01-27,4.1096729311e-06,4.4192114733e-09,4.3031906619e-09,4.3018872319e-09,4.4192114733e-09,4.3331739229e-09
1986-01-30,6.9331311665e-05,4.4974274723e-09,4.3670674739e-09,4.3670674739e-09,4.4974274723e-09,4.4622304913e-09
1986-02-06,0.00010472726821,4.6929677127e-09,4.6929677127e-09,4.6929677127e-09,4.6929677127e-09,4.6929677127e-09
1986-02-07,2.4872726202e-05,4.6929677127e-09,4.6929677127e-09,4.6929677127e-09,4.6929677127e-09,4.6929677127e-09
1986-02-13,0.00029016000032,5.0840486792e-09,4.6929677127e-09,4.6929677127e-09,5.0840486792e-09,4.7281651794e-09
1986-02-14,0.00020784401596,5.2157121076e-09,5.0840486792e-09,5.0840486792e-09,5.2157121076e-09,5.2104983876e-09
1986-02-17,0.00015111653424,5.2144086776e-09,5.4751291601e-09,5.2144086776e-09,5.4751291601e-09,5.4555747961e-09
1986-02-18,5.9636365284e-05,5.3447691616e-09,5.3447691616e-09,5.3447691616e-09,5.3447691616e-09,5.3447691616e-09
1986-02-21,0.00020307273534,5.8662101265e-09,5.8662101265e-09,5.8662101265e-09,5.8662101265e-09,5.8662101265e-09
1986-02-24,2.7600000054e-05,5.9965701249e-09,5.9965701249e-09,5.9965701249e-09,5.9965701249e-09,5.9965701249e-09
1986-02-25,6.5117198944e-05,6.2572906074e-09,6.2572906074e-09,5.9965701249e-09,6.2572906074e-09,6.1334482447e-09
1986-02-26,0.00073469510564,6.5180110898e-09,6.5180110898e-09,6.5180110898e-09,6.6483710882e-09,6.5219218655e-09
1986-02-27,9.7090910538e-05,6.5180110898e-09,6.5180110898e-09,6.5180110898e-09,6.5180110898e-09,6.5180110898e-09
1986-03-04,0.00049035908112,7.8216130164e-09,7.1698120531e-09,7.1698120531e-09,7.9519735005e-09,7.593482655e-09
1986-03-05,0.00015326401429,9.1252154286e-09,8.4734139797e-09,8.4734139797e-09,9.1252154286e-09,8.8618885718e-09
1986-03-06,0.00024632222349,1.0428817355e-08,9.4146147708e-09,9.4146147708e-09,1.0428817355e-08,1.0393620859e-08
1986-03-07,0.0015039979638,1.3687822657e-08,1.1732420253e-08,1.1732420253e-08,1.4339624106e-08,1.3591357181e-08
1986-03-10,0.00013272139244,1.3036022179e-08,1.3687822657e-08,1.3036022179e-08,1.3687822657e-08,1.3150738589e-08
1986-03-11,0.0003355787067,1.1732420253e-08,1.238422073e-08,1.1732420253e-08,1.238422073e-08,1.1864084167e-08
1986-03-12,0.00058507202999,1.3036022179e-08,1.3687822657e-08,1.3036022179e-08,1.4339624106e-08,1.3708681422e-08
1986-03-13,0.0017135018835,1.4339624106e-08,1.3687822657e-08,1.3036022179e-08,1.4339624106e-08,1.4181888678e-08
1986-03-14,0.0010507020826,1.5643226033e-08,1.4078904109e-08,1.4078904109e-08,1.5643226033e-08,1.5240413711e-08
1986-03-17,0.00035849701925,1.6946827959e-08,1.6164666998e-08,1.6164666998e-08,1.6946827959e-08,1.6309367154e-08
1986-03-18,0.0010559903604,1.8902231335e-08,1.8250430857e-08,1.6946827959e-08,1.9554033755e-08,1.8182642784e-08
