Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2007-03-30,0.0,8.6322468551,8.6322468551,8.6322468551,8.6322468551,8.6322468551
2007-04-02,45180584.0,8.3319947906,7.8741103922,7.6188961373,8.4821208229,7.9867049164
2007-04-03,11532520.0,8.7823728874,8.4445893148,8.2569317744,8.9174863164,8.594715347
2007-04-04,3081937.0,8.8574359035,8.6322468551,8.4971334261,8.8574359035,8.7748665858
2007-04-05,2685202.0,8.6322468551,8.6547657599,8.5046397277,8.7373350777,8.6397531567
2007-04-09,7348259.0,8.6547657599,8.7748665858,8.4896271245,8.7748665858,8.6247405535
2007-04-10,3282637.0,8.6322468551,8.594715347,8.5271586325,8.7073098712,8.6322468551
2007-04-11,5449909.0,8.3845389019,8.6322468551,8.1143120438,8.6547657599,8.4746145212
2007-04-12,2278015.0,8.594715347,8.2569317744,8.2569317744,8.594715347,8.4971334261
2007-04-13,2532373.0,8.557183839,8.557183839,8.3319947906,8.594715347,8.5271586325
2007-04-16,6497161.0,8.3695262986,8.3770326003,8.1818687583,8.5196523309,8.324488489
2007-04-17,601204.0,8.2944632825,8.2569317744,8.226906568,8.3319947906,8.2944632825
2007-04-18,1684751.0,8.3319947906,8.1068057422,8.1068057422,8.3695262986,8.3019695841
2007-04-19,7917980.0,8.2569317744,8.1443372503,8.1443372503,8.3319947906,8.2569317744
2007-04-20,4325673.0,8.4220704099,8.1593498535,8.1593498535,8.4220704099,8.3920452035
2007-04-23,13902787.0,8.594715347,8.4370830132,8.2569317744,8.594715347,8.5196523309
2007-04-24,15770892.0,8.6322468551,8.5121460293,8.4070578067,8.6322468551,8.557183839
2007-04-25,21165815.0,8.8123980938,8.557183839,8.557183839,8.8199043954,8.692297268
2007-04-26,23619548.0,9.0826249519,8.8574359035,8.7298287761,9.0826249519,8.8199043954
2007-04-27,1120017.0,9.6080660648,9.0000556342,8.8949674116,9.6831290809,9.2102320793
2007-04-30,3959338.0,10.020912653,9.3978896196,9.3978896196,10.358696226,9.9383433358
2007-05-02,6494146.0,10.508822258,9.9983937487,9.7581920971,10.636429385,10.42625294
2007-05-03,11440496.0,10.996731863,10.358696226,10.28363321,10.996731863,10.508822258
2007-05-04,9462604.0,11.026757069,10.734011306,10.734011306,11.6347675,10.914162545
2007-05-07,6381093.0,11.221920911,10.996731863,10.741517608,11.244439816,11.101820085
2007-05-08,11621853.0,11.44710996,10.89164364,10.89164364,11.559704484,11.056782276
2007-05-09,4630580.0,11.409578452,11.552198182,11.334515435,11.6347675,11.424591055
2007-05-10,688199.0,11.244439816,11.394565848,11.034263371,11.6347675,11.327009134
2007-05-11,2011469.0,11.597235992,11.334515435,11.334515435,12.115170803,11.619754897
2007-05-14,3947475.0,11.627261198,11.604742293,11.334515435,12.235271629,11.6347675
2007-05-15,6072663.0,11.409578452,11.935019564,11.259452419,12.010082581,11.567210785
2007-05-16,13307022.0,11.44710996,11.91250066,11.184389403,11.927513263,11.342021737
2007-05-17,6624108.0,11.40207215,11.627261198,11.109326387,11.709830516,11.44710996
2007-05-18,8867942.0,11.717336818,11.484641468,11.372046943,12.077639295,11.694817913
2007-05-21,4201987.0,12.085145597,11.995069977,11.935019564,12.760712742,12.077639295
2007-05-22,594702.0,12.385397661,12.167714914,12.160208613,12.573055202,12.33285355
2007-05-23,3528253.0,12.385397661,12.272803137,12.235271629,12.98590179,12.543029995
2007-05-24,3756603.0,11.552198182,12.385397661,11.552198182,12.385397661,11.762374627
2007-05-25,9851275.0,12.160208613,11.935019564,11.784893532,12.160208613,11.987563676
2007-05-28,426613.0,12.235271629,12.347866153,12.010082581,12.347866153,12.175221216
2007-05-29,4034192.0,11.859956548,12.385397661,11.859956548,12.385397661,11.874969152
2007-05-30,3873033.0,11.597235992,11.814918739,11.484641468,11.814918739,11.612248595
2007-05-31,2792383.0,11.747362024,11.769880929,11.221920911,11.769880929,11.657286405
2007-06-01,3586343.0,11.6347675,11.709830516,11.6347675,11.784893532,11.717336818
2007-06-04,724304.0,11.702324214,11.559704484,11.559704484,11.784893532,11.694817913
2007-06-05,1486736.0,11.852450247,11.709830516,11.709830516,12.085145597,11.82242504
2007-06-06,6448385.0,11.6347675,11.559704484,11.492147769,11.784893532,11.642273802
2007-06-08,1922353.0,11.552198182,11.6347675,11.334515435,11.6347675,11.582223389
2007-06-11,12781354.0,12.160208613,11.6347675,11.6347675,12.160208613,11.995069977
2007-06-12,3186436.0,12.242777931,12.235271629,11.86746285,12.75320644,12.28781574
2007-06-13,8008283.0,12.160208613,12.227765327,12.160208613,12.385397661,12.250284232
2007-06-14,8309244.0,12.385397661,12.385397661,12.302828343,12.535523694,12.385397661
2007-06-15,9604916.0,12.678143424,12.535523694,12.310334645,12.730687535,12.61058671
2007-06-18,7830987.0,12.910838774,12.723181234,12.61058671,13.278647553,12.910838774
2007-06-19,14721158.0,12.760712742,12.948370282,12.385397661,13.023433298,12.84328206
2007-06-20,10575927.0,12.948370282,12.760712742,12.760712742,13.023433298,12.858294663
2007-06-21,4444098.0,12.873307266,13.015926997,12.760712742,13.015926997,12.835775758
2007-06-22,2306986.0,12.790737948,12.873307266,12.685649726,12.873307266,12.760712742
2007-06-25,4581749.0,12.61058671,12.760712742,12.505498487,12.760712742,12.670637123
2007-06-26,1249519.0,12.910838774,12.760712742,12.648118218,12.910838774,12.745700139
2007-06-27,2788928.0,12.903332473,12.760712742,12.685649726,12.910838774,12.723181234
2007-06-28,2343080.0,12.685649726,12.910838774,12.550536297,12.910838774,12.693156027
2007-06-29,3506170.0,12.910838774,12.685649726,12.370385058,12.910838774,12.625599313
2007-07-02,11242221.0,13.060964806,12.910838774,12.903332473,13.361216871,12.963382885
2007-07-03,4127147.0,13.361216871,13.060964806,13.060964806,13.511342903,13.286153855
2007-07-04,2771957.0,13.481317697,13.511342903,13.136027823,13.736531952,13.481317697
2007-07-05,12622475.0,14.14937854,13.481317697,13.436279887,14.261973065,13.991746206
2007-07-06,6491613.0,14.629781844,14.337036081,13.954214698,14.749882669,14.269479366
2007-07-10,1282568.0,14.622275542,14.412099097,14.412099097,14.637288145,14.562225129
2007-07-11,5662215.0,14.674819653,14.637288145,14.412099097,14.712351161,14.584744034
2007-07-12,10936412.0,14.862477194,14.637288145,14.637288145,15.31285529,15.005096924
2007-07-13,1474467.0,14.629781844,14.712351161,14.412099097,15.012603226,14.65980705
2007-07-16,5684292.0,14.216935255,14.562225129,13.886657984,14.562225129,14.23945416
2007-07-17,4857163.0,14.111847032,14.216935255,14.104340731,14.224441556,14.141872239
2007-07-18,3292112.0,14.261973065,14.216935255,14.111847032,14.261973065,14.201922652
2007-07-19,7615598.0,14.261973065,14.224441556,14.186910048,14.449630605,14.307010874
2007-07-20,5531182.0,13.811594968,14.261973065,13.77406346,14.449630605,13.991746206
2007-07-23,2383302.0,13.811594968,14.074315524,13.668975237,14.074315524,13.826607571
2007-07-24,3328825.0,13.128521521,13.811594968,12.835775758,13.811594968,13.436279887
2007-07-25,4543904.0,13.060964806,13.128521521,13.060964806,13.398748379,13.106002616
2007-07-26,9179685.0,12.400410264,13.068471108,12.002576279,13.068471108,12.28781574
2007-07-27,5238669.0,12.745700139,12.385397661,12.047614089,12.745700139,12.295322042
2007-07-30,662311.0,12.723181234,12.745700139,12.648118218,12.745700139,12.715674932
2007-07-31,2415520.0,12.460460677,12.760712742,12.422929169,12.98590179,12.738193837
2007-08-01,1853336.0,12.152702311,12.460460677,12.010082581,12.460460677,12.1001582
2007-08-02,5245329.0,11.859956548,12.385397661,11.784893532,12.385397661,11.972551072
2007-08-03,3828385.0,11.709830516,12.010082581,11.6347675,12.28781574,11.965044771
2007-08-06,10256046.0,11.484641468,11.709830516,11.109326387,11.724843119,11.35703434
2007-08-07,7637400.0,12.347866153,11.484641468,11.484641468,12.648118218,12.002576279
2007-08-08,12325137.0,12.828269456,12.550536297,12.430435471,13.023433298,12.828269456
2007-08-09,8084247.0,12.648118218,12.385397661,12.310334645,12.648118218,12.482979582
2007-08-10,2451721.0,12.640611916,12.302828343,11.859956548,12.640611916,12.482979582
2007-08-13,3540044.0,12.573055202,12.61058671,12.535523694,12.79824425,12.618093011
2007-08-14,924689.0,12.61058671,12.79824425,12.445448074,12.910838774,12.528017392
2007-08-15,8687546.0,11.612248595,12.648118218,11.612248595,12.648118218,11.897488056
2007-08-16,7084047.0,10.959200355,11.559704484,10.058444161,11.559704484,10.486303353
2007-08-17,7177079.0,11.049275974,11.784893532,10.321164718,11.784893532,10.801568021
2007-08-20,9199217.0,11.1693768,11.417084753,10.734011306,11.417084753,11.094313784
