Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2007-06-21,0.0,4.7936868165,4.7936868165,4.7936868165,4.7936868165,4.7936868165
2007-06-22,120273747.0,4.5757919612,4.8808447586,4.3796865914,4.8895605528,4.7457499483
2007-06-25,10339506.0,4.6193709322,4.5757919612,4.488634019,4.6629499033,4.5757919612
2007-06-26,9938524.0,4.7283183599,4.6585920062,4.5845077554,4.7283183599,4.693455183
2007-06-27,5886122.0,4.7501078454,4.7675394338,4.5757919612,4.7675394338,4.6890972859
2007-06-28,9725214.0,4.8808447586,4.7457499483,4.7065288743,4.8808447586,4.8285499933
2007-06-29,3332828.0,4.9026342441,4.859055273,4.859055273,4.9897921862,4.9287816267
2007-07-02,15538542.0,5.0551606428,4.9026342441,4.8808447586,5.0813080254,4.9636448036
2007-07-03,5204010.0,4.9897921862,5.0900238197,4.9157079354,5.0987396139,4.9680027007
2007-07-04,2338433.0,4.9897921862,4.9636448036,4.9026342441,4.9897921862,4.9549290094
2007-07-05,6795565.0,5.0769501283,4.9897921862,4.9244237296,5.0769501283,4.9767184949
2007-07-06,26384333.0,5.2120449386,5.020297466,5.0115816718,5.229476527,5.1336027907
2007-07-10,11787593.0,5.4037924113,5.2120449386,5.2120449386,5.4473713823,5.2992028807
2007-07-11,6832646.0,5.4473713823,5.3602134402,5.1553922762,5.4473713823,5.3253502634
2007-07-12,4326445.0,5.5127398389,5.4037924113,5.4037924113,5.5301714274,5.4648029708
2007-07-13,6654564.0,5.6609083405,5.5301714274,5.5301714274,5.7524241797,5.639118855
2007-07-16,3758489.0,5.6216872666,5.6870557232,5.5127398389,5.6870557232,5.5824661926
2007-07-17,4477424.0,5.7480662826,5.5781082955,5.4953082505,5.7480662826,5.5955398839
2007-07-18,4395633.0,5.6652662376,5.6434767521,5.5345293245,5.7524241797,5.6870557232
2007-07-19,6053217.0,5.8831610929,5.7524241797,5.6478346492,5.8831610929,5.7872873566
2007-07-20,14773609.0,5.9921085206,5.8788031958,5.5606767071,5.9921085206,5.7654978711
2007-07-23,4443438.0,5.9659611379,5.9049505785,5.8526558132,6.0138980061,5.9572453437
2007-07-24,7368496.0,5.7872873566,5.7742136653,5.55631881,5.926740064,5.8003610479
2007-07-25,8897670.0,5.6609083405,5.6652662376,5.4517292794,5.8134347392,5.6696241347
2007-07-26,2871501.0,5.4255818968,5.5781082955,5.3820029258,5.7349925913,5.4517292794
2007-07-27,2840820.0,5.3166344692,5.5693925013,5.1423185849,5.5693925013,5.2774133952
2007-07-30,6578374.0,5.5781082955,5.5737503984,5.229476527,5.5781082955,5.4473713823
2007-07-31,5834477.0,5.4255818968,5.6609083405,5.3209923663,5.6609083405,5.4430134852
2007-08-01,5627449.0,5.229476527,5.2948449836,5.0115816718,5.3820029258,5.2033291444
2007-08-02,4401097.0,5.3602134402,5.3602134402,5.2730554981,5.5345293245,5.4299397939
