Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2009-12-16,0.0,5.6722394315,5.6722394315,5.6722394315,5.6722394315,5.6722394315
2009-12-17,163257664.0,6.4698981015,6.0267543959,5.9593965527,6.4698981015,6.1437443342
2009-12-18,22820466.0,6.2571891228,6.5372559448,6.2571891228,6.5408010944,6.38481451
2009-12-21,19478805.0,6.0976573888,6.2713697214,6.0019383484,6.2713697214,6.076386491
2009-12-22,9798615.0,6.1331088853,6.1650152321,6.0480252938,6.175650681,6.115383137
2009-12-23,1796829.0,6.1331088853,6.0976573888,6.0622058924,6.2040118782,6.1295637356
2009-12-28,4966995.0,6.2749148711,6.115383137,6.0976573888,6.2997309186,6.2181924767
2009-12-29,14791063.0,6.3812693604,6.2075570278,6.2075570278,6.4344466051,6.3599984625
2009-12-30,5391264.0,6.5195301965,6.3812693604,6.3635436122,6.5195301965,6.4698981015
2010-01-04,4225293.0,6.4167208568,6.38481451,6.38481451,6.5585268426,6.4557175029
2010-01-05,2483635.0,6.3812693604,6.4521723533,6.3280921157,6.554981693,6.4309014554
2010-01-06,7031466.0,6.6117040873,6.3812693604,6.3812693604,6.7180585766,6.5195301965
2010-01-07,7016923.0,6.6329749852,6.5620719923,6.4202660065,6.6436104341,6.6081589377
2010-01-08,20280173.0,6.7676906717,6.494714149,6.494714149,7.0513026432,6.7818712702
2010-01-11,2764946.0,6.824413066,6.813777617,6.7322391752,6.9059515078,6.8102324674
2010-01-12,7023678.0,6.9484933035,6.824413066,6.8173227667,7.2640116219,6.934312705
2010-01-13,3047519.0,6.9662190518,6.9484933035,6.8066873178,6.9662190518,6.8669548617
2010-01-14,765763.0,7.0902992893,6.9733093511,6.9733093511,7.2498310233,7.1257507858
2010-01-15,2666764.0,6.9874899496,7.1080250376,6.9874899496,7.1505668333,7.0973895886
2010-01-18,1031922.0,7.0371220447,7.1505668333,7.033576895,7.1505668333,7.0761186907
2010-01-19,1452295.0,7.093844439,7.0725735411,7.033576895,7.143476534,7.0902992893
2010-01-20,21386520.0,7.0016705482,7.0902992893,6.9874899496,7.1222056361,7.0761186907
2010-01-21,1772358.0,6.9555836028,6.923677256,6.8775903107,7.0867541397,6.9520384532
2010-01-22,6906072.0,6.9130418071,6.9449481539,6.8775903107,6.9555836028,6.8953160589
2010-01-26,8378655.0,6.874045161,6.9130418071,6.874045161,6.9839448,6.9094966574
2010-01-27,572835.0,6.8705000114,6.9130418071,6.7357843249,6.9130418071,6.8846806099
2010-01-28,340731.0,6.9130418071,6.7854164199,6.7854164199,6.9378578546,6.8634097121
2010-01-29,3166110.0,6.9094966574,6.934312705,6.9094966574,7.143476534,6.9945802489
2010-02-01,1340410.0,6.8031421681,6.9059515078,6.7889615695,6.9059515078,6.8066873178
2010-02-02,2897977.0,6.7003328284,6.7889615695,6.7003328284,6.7889615695,6.7464197738
2010-02-03,591324.0,6.6967876788,6.7783261206,6.6826070802,6.8031421681,6.7393294745
2010-02-04,3913039.0,6.3564533129,6.7038779781,6.2997309186,6.7676906717,6.4238111561
2010-02-05,3511858.0,6.2713697214,6.3564533129,6.1012025385,6.4805335504,6.3174566668
2010-02-08,3900806.0,6.3387275647,6.2890954696,6.1685603817,6.7393294745,6.3174566668
2010-02-09,2974180.0,6.5585268426,6.4096305576,6.3812693604,6.6117040873,6.5514365433
2010-02-10,4518693.0,6.714513427,6.554981693,6.554981693,6.8066873178,6.6117040873
2010-02-11,2985509.0,6.654245883,6.7180585766,6.654245883,6.8634097121,6.7286940256
2010-02-12,316585.0,6.5585268426,6.7570552227,6.554981693,6.7960518688,6.6790619305
2010-02-17,2343470.0,6.7357843249,6.7889615695,6.7038779781,6.7960518688,6.7393294745
2010-02-18,2071136.0,7.0548477929,6.6471555837,6.544346244,7.0902992893,6.9449481539
2010-02-19,3796229.0,7.0619380922,6.9449481539,6.9449481539,7.0725735411,7.0193962964
2010-02-22,9915150.0,6.9981253986,6.9130418071,6.9059515078,7.143476534,6.9768545007
2010-02-23,10177088.0,6.8421388142,6.9484933035,6.7606003724,7.0300317454,6.9520384532
