Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2006-02-16,0.0,58.293020806,58.293020806,58.293020806,58.293020806,58.293020806
2006-02-17,262058202.0,75.465829638,69.006332738,64.594969002,75.938475753,69.541998335
2006-02-20,50096576.0,72.472404246,75.465829638,70.896917197,75.938475753,73.795813367
2006-02-21,64575923.0,77.545472543,72.566933469,72.566933469,78.459255031,76.442631609
2006-02-22,52678586.0,80.980034309,78.553784254,74.86714456,81.64173887,78.711332959
2006-02-23,43528751.0,79.40454726,80.980034309,77.198865392,81.295131719,79.436057001
2006-02-24,7215879.0,77.513962802,78.931901146,77.198865392,78.963410887,77.608492025
2006-03-01,35689458.0,80.69644664,77.230375133,76.883767982,81.862307057,78.963410887
2006-03-02,14841880.0,81.610229129,80.6649369,78.774352441,83.185716178,80.69644664
2006-03-03,28145448.0,84.603654522,80.412858972,80.066251821,87.817648101,84.54063504
2006-03-06,9491621.0,80.286820008,84.761203226,79.40454726,86.651787685,83.437794105
2006-03-07,18636977.0,78.11264788,80.34983949,76.47414135,80.34983949,77.76604073
2006-03-08,8061607.0,76.726219277,77.797550471,74.394498445,78.774352441,76.47414135
2006-03-09,10707517.0,75.591868602,78.994920628,74.993183524,80.318329749,76.883767982
2006-03-10,6342035.0,74.457517927,76.568670572,74.362988704,77.167355651,76.222063422
2006-03-13,7964083.0,74.299969222,75.623378343,73.701284144,78.711332959,75.18224197
2006-03-14,30874536.0,72.472404246,74.23694974,70.739368492,74.23694974,72.188816577
2006-03-15,12355975.0,75.623378343,72.472404246,72.472404246,75.906966012,75.087712747
2006-03-16,11573987.0,74.047891294,75.623378343,73.732793885,75.938475753,74.835634819
2006-03-17,20499394.0,76.411121868,73.89034259,73.89034259,76.726219277,75.84394653
2006-03-20,7210991.0,76.222063422,76.411121868,76.222063422,78.711332959,77.13584591
2006-03-21,17902402.0,76.096024458,76.096024458,75.591868602,77.198865392,76.064514717
2006-03-22,24096983.0,76.883767982,75.623378343,74.678086114,77.513962802,76.096024458
2006-03-23,5324062.0,76.411121868,76.883767982,75.938475753,78.459255031,77.167355651
2006-03-24,13018728.0,73.669774403,76.883767982,73.512225698,76.883767982,74.898654301
2006-03-27,13694836.0,74.362988704,73.386186734,69.951624968,75.623378343,72.913540619
2006-03-28,22784482.0,71.684660721,73.102599065,71.684660721,74.079401035,73.134108806
2006-03-29,8470357.0,70.487290564,71.212014607,69.951624968,72.629952951,72.157306836
2006-03-30,11395584.0,72.472404246,72.440894505,70.581819787,72.787501655,71.999758131
2006-03-31,4623340.0,73.039579583,72.787501655,72.031267872,73.732793885,72.882030878
2006-04-03,5934018.0,75.276771193,72.787501655,72.472404246,75.560358861,74.142420517
2006-04-04,5327229.0,77.829060212,75.560358861,74.993183524,78.175667362,77.072826428
2006-04-05,5074234.0,78.018118658,77.640001766,77.640001766,78.7428427,77.986608917
2006-04-06,16956724.0,77.198865392,78.207177103,77.198865392,78.301706326,78.144157621
2006-04-07,5649205.0,77.198865392,77.198865392,75.938475753,78.144157621,77.513962802
2006-04-10,3460570.0,74.047891294,77.829060212,74.047891294,77.829060212,74.741105596
2006-04-11,17740812.0,74.993183524,74.362988704,73.102599065,75.780927048,74.583556891
2006-04-12,18522288.0,71.054465902,74.016381553,70.266722377,75.371300415,71.117485384
2006-04-13,8814351.0,68.061040509,70.896917197,68.061040509,72.787501655,71.495602275
2006-04-17,1804314.0,66.17045605,68.40764766,64.752517706,70.424271082,66.48555346
2006-04-18,23345086.0,68.848784033,66.48555346,65.666300195,70.739368492,68.187079473
2006-04-19,20111955.0,71.684660721,69.920115227,68.061040509,71.716170462,70.172193154
2006-04-20,9446365.0,71.243524348,71.432582793,69.321430148,71.558621757,70.833897715
2006-04-24,3130736.0,71.212014607,71.243524348,70.014644449,72.440894505,71.022956161
2006-04-25,2515812.0,70.298232118,70.613329528,69.951624968,70.613329528,70.329741859
2006-04-26,15925386.0,70.581819787,70.266722377,70.109173672,71.527112016,70.644839269
2006-04-27,13603291.0,68.848784033,69.321430148,68.09255025,70.550310046,69.289920407
2006-04-28,2938147.0,67.11574828,69.321430148,66.48555346,69.321430148,67.178767762
2006-05-02,12470369.0,69.951624968,67.273296984,67.273296984,70.833897715,69.983134708
2006-05-03,9346559.0,72.787501655,69.636527558,69.636527558,72.787501655,71.117485384
2006-05-04,14420491.0,75.654888084,72.755991914,72.755991914,76.316592645,74.615066632
2006-05-05,9564349.0,77.576982284,75.84394653,74.709595855,78.144157621,76.47414135
2006-05-08,20859952.0,82.397972653,77.513962802,75.623378343,84.603654522,81.515699906
2006-05-09,27488863.0,80.633427158,81.925326539,77.198865392,89.834271524,83.2802454
2006-05-10,9188889.0,84.131008407,78.868881664,78.774352441,84.131008407,82.240423948
2006-05-11,15302764.0,84.446105817,83.847420738,81.295131719,85.706495456,83.815910997
2006-05-12,4560681.0,82.555521358,84.099498666,80.34983949,84.162518148,82.650050581
2006-05-15,4767225.0,77.986608917,79.814173893,77.198865392,80.03474208,78.963410887
2006-05-16,2570389.0,75.308280934,77.356414097,74.047891294,79.71964467,75.560358861
2006-05-17,13158737.0,69.636527558,76.568670572,69.321430148,76.568670572,71.212014607
2006-05-18,1192594.0,71.842209426,71.810699685,70.109173672,74.047891294,71.716170462
2006-05-19,3634361.0,68.659725587,73.102599065,67.745943099,73.102599065,69.321430148
2006-05-22,22793397.0,63.807225477,69.006332738,60.813800084,69.006332738,63.019481953
2006-05-23,17756149.0,61.790602055,65.540261231,61.790602055,66.517063201,64.185342369
2006-05-24,25817521.0,57.599806505,62.704384543,56.749043498,62.704384543,59.143783813
2006-05-25,12045704.0,59.868507855,58.954725367,57.599806505,60.876819566,59.04925459
2006-05-26,9242249.0,66.17045605,61.63305335,61.63305335,67.745943099,65.666300195
2006-05-29,1364329.0,65.855358641,67.77745284,63.964774182,67.77745284,65.729319677
2006-05-30,18462074.0,64.53194952,63.366089103,62.231738428,64.626478743,63.114011176
2006-05-31,24877872.0,74.362988704,64.594969002,64.594969002,74.362988704,71.054465902
2006-06-01,15766685.0,74.047891294,74.331478963,69.951624968,75.213751711,72.976560101
2006-06-02,8291848.0,76.537160832,73.26014777,73.26014777,79.183979074,77.198865392
2006-06-05,11144883.0,73.732793885,75.654888084,72.94505036,77.513962802,76.15904394
2006-06-06,7784653.0,70.928426938,72.472404246,69.510488594,74.047891294,70.865407456
2006-06-07,5953777.0,69.352939889,72.472404246,67.11574828,74.047891294,69.69954704
2006-06-08,8432683.0,67.745943099,67.619904135,63.964774182,68.281608696,65.50875149
2006-06-09,4067464.0,68.061040509,69.321430148,65.540261231,71.842209426,68.250098955
2006-06-12,2679069.0,62.074189723,67.745943099,62.074189723,68.533686624,64.342891074
2006-06-13,5628029.0,59.868507855,63.019481953,59.238313036,63.523637808,61.412485163
2006-06-14,11378698.0,55.772241528,63.019481953,54.480342148,63.964774182,58.293020806
2006-06-16,6832610.0,57.505277282,59.868507855,56.402436348,60.65625138,58.135472101
2006-06-19,6089952.0,60.813800084,59.553410445,58.639627957,61.286446199,59.994546819
2006-06-20,9918261.0,61.412485163,60.183605265,59.553410445,64.626478743,61.601543609
2006-06-21,3705194.0,64.594969002,60.719270861,60.719270861,65.855358641,63.649676772
2006-06-22,3672923.0,64.594969002,64.910066411,60.215115006,64.941576152,64.153832628
2006-06-23,5237172.0,67.430845689,63.114011176,63.019481953,69.321430148,65.351202785
2006-06-26,2366315.0,67.430845689,67.11574828,66.80065087,68.691235328,67.525374912
2006-06-27,5245904.0,67.745943099,66.80065087,66.48555346,69.006332738,67.619904135
2006-06-28,2344417.0,69.321430148,67.430845689,67.430845689,69.321430148,68.659725587
2006-06-29,14308448.0,71.684660721,70.266722377,70.235212636,72.787501655,71.747680203
2006-06-30,6608822.0,74.362988704,73.732793885,71.180504866,74.993183524,73.071089324
2006-07-03,4758686.0,75.623378343,75.308280934,73.417696475,77.513962802,75.276771193
