Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
1986-07-14,5.4545453326e-06,6.6945446273e-10,6.6945446273e-10,6.6945446273e-10,6.6945446273e-10,6.6945446273e-10
1986-07-15,8.8363638656e-06,7.2301085466e-10,7.2301085466e-10,7.2301085466e-10,7.2301085466e-10,7.2301085466e-10
1986-07-16,6.1818185178e-06,7.5871511595e-10,7.5871511595e-10,7.5871511595e-10,7.5871511595e-10,7.5871511595e-10
1986-07-17,6.9163638082e-06,8.4886829881e-10,8.4886829881e-10,8.4886829881e-10,8.4886829881e-10,8.4886829881e-10
1986-07-18,2.4457818652e-06,9.1938416706e-10,9.1938416706e-10,9.1938416706e-10,9.1938416706e-10,9.1938416706e-10
1986-07-21,3.6363635551e-06,8.9260595031e-10,8.9260595031e-10,8.9260595031e-10,8.9260595031e-10,8.9260595031e-10
1986-07-22,7.2727271102e-06,8.9260595031e-10,8.9260595031e-10,8.9260595031e-10,8.9260595031e-10,8.9260595031e-10
1986-07-23,0.00074545456605,9.3723625614e-10,8.9260595031e-10,8.9260595031e-10,9.3723625614e-10,9.1492114479e-10
1986-07-24,0.00019109091637,9.3812891047e-10,9.3812891047e-10,9.3812891047e-10,9.3812891047e-10,9.3812891047e-10
1986-07-25,0.0013363636183,9.3723625614e-10,9.3812891047e-10,9.3723625614e-10,9.3812891047e-10,9.3723625614e-10
1986-07-28,3.8218183274e-06,9.3812891047e-10,9.3812891047e-10,9.3812891047e-10,9.3812891047e-10,9.3812891047e-10
1986-07-29,0.0016072727062,9.9971865104e-10,9.8186656196e-10,9.8186656196e-10,9.9971865104e-10,9.8632958424e-10
1986-07-30,0.0013269380969,1.0086447787e-09,9.9971865104e-10,9.9971865104e-10,1.0086447787e-09,1.00685947e-09
1986-07-31,0.00041707274064,1.0086447787e-09,1.0086447787e-09,1.0086447787e-09,1.0086447787e-09,1.0086447787e-09
1986-08-01,1.0957091132e-05,1.0086447787e-09,9.8186656196e-10,9.8186656196e-10,1.0086447787e-09,9.9614828311e-10
1986-08-04,2.8560001742e-05,9.9971865104e-10,1.0086447787e-09,9.9971865104e-10,1.0086447787e-09,1.0015039597e-09
1986-08-05,0.00064873978513,9.8186656196e-10,1.0086447787e-09,9.8186656196e-10,1.0095373499e-09,1.0050743276e-09
1986-08-06,5.195272443e-05,9.8186656196e-10,9.8097390763e-10,9.8097390763e-10,9.8186656196e-10,9.8097390763e-10
1986-08-08,0.00031781453775,9.283102116e-10,9.6401447289e-10,9.283102116e-10,9.6401447289e-10,9.6312181855e-10
1986-08-11,7.5636363842e-06,9.283102116e-10,9.283102116e-10,9.283102116e-10,9.283102116e-10,9.283102116e-10
1986-08-12,9.2736368576e-05,8.9260595031e-10,9.1045803939e-10,8.9260595031e-10,9.1045803939e-10,9.0153207798e-10
1986-08-13,0.00013241455628,8.4797564448e-10,8.9260595031e-10,8.4797564448e-10,8.9260595031e-10,8.4976095314e-10
1986-08-14,0.00018397526681,8.4797564448e-10,8.4797564448e-10,8.4797564448e-10,8.4797564448e-10,8.4797564448e-10
