Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2004-06-23,0.0,23.878051557,23.878051557,23.878051557,23.878051557,23.878051557
2004-06-24,64969733.0,25.163170628,25.612512961,25.163170628,26.061855294,25.648460348
2004-06-25,25536723.0,25.163170628,25.693394581,24.264485963,25.693394581,25.064315315
2004-06-28,16229021.0,23.967920024,25.163170628,23.365801298,25.163170628,24.156643803
2004-06-29,14452617.0,23.815143631,24.08474903,23.725275164,24.174617497,23.824130477
2004-06-30,16081498.0,23.815143631,23.815143631,23.123156438,23.905012097,23.617433004
2004-07-01,20794750.0,23.410735531,23.806156784,23.365801298,23.806156784,23.446682918
2004-07-02,31878240.0,22.467116633,23.374788145,22.467116633,23.374788145,23.060248512
2004-07-05,21094894.0,23.275932831,22.242445466,22.152577,23.338840758,22.952406352
2004-07-06,30376675.0,23.186064365,22.916458965,22.907472119,23.554525078,23.230998598
2004-07-07,4593468.0,24.174617497,23.356814451,23.186064365,24.264485963,23.878051557
2004-07-08,3335060.0,23.770209397,24.08474903,23.761222551,24.16563065,23.940959484
2004-07-12,3494572.0,23.455669764,23.761222551,23.329853911,24.713828296,23.509590844
2004-07-13,6790055.0,23.320867065,23.428709224,23.222011751,23.545538231,23.338840758
2004-07-14,2252771.0,22.988353738,23.186064365,22.934432659,23.365801298,23.087209052
2004-07-15,3274643.0,22.916458965,22.934432659,22.916458965,23.060248512,22.952406352
2004-07-16,3241002.0,22.961393198,22.916458965,22.736722032,23.051261665,22.934432659
2004-07-19,7140778.0,22.736722032,23.338840758,22.556985099,23.338840758,22.727735186
2004-07-20,2266202.0,23.006327432,22.871524732,22.574958792,23.051261665,22.853551039
2004-07-21,2814496.0,22.709761492,23.177077518,22.700774646,23.365801298,22.889498425
2004-07-22,1926909.0,22.736722032,22.485090326,22.2873797,23.230998598,22.997340585
2004-07-23,17652307.0,22.925445812,22.736722032,22.736722032,23.275932831,23.186064365
2004-07-26,2681827.0,22.736722032,23.006327432,22.736722032,23.230998598,23.105182745
2004-07-27,4037017.0,23.186064365,22.485090326,22.485090326,23.320867065,23.123156438
2004-07-28,7441503.0,23.141130132,23.186064365,22.808616805,23.239985445,23.204038058
2004-07-29,391522.0,23.024301125,23.132143285,22.889498425,23.186064365,22.997340585
2004-07-30,2317508.0,23.132143285,22.916458965,22.790643112,23.177077518,23.015314278
2004-08-02,2233593.0,23.096195898,22.826590499,22.826590499,23.365801298,23.150116978
2004-08-03,2871217.0,23.006327432,23.096195898,23.006327432,23.365801298,23.284919678
2004-08-04,6977680.0,23.464656611,22.916458965,22.916458965,24.264485963,23.752235704
2004-08-05,4439870.0,23.815143631,23.725275164,23.590472464,24.264485963,24.075762183
2004-08-06,1142153.0,23.815143631,23.905012097,23.635406697,24.039814797,23.761222551
2004-08-09,1321708.0,23.905012097,23.635406697,23.635406697,23.994880564,23.806156784
2004-08-10,6695460.0,24.129683263,23.994880564,23.725275164,24.255499117,23.931972637
2004-08-11,3963725.0,24.309420196,24.147656957,24.039814797,24.444222896,24.21955173
2004-08-12,1890507.0,24.174617497,24.35435443,24.08474903,24.444222896,24.16563065
2004-08-13,1018607.0,24.309420196,24.264485963,24.08474903,24.444222896,24.282459656
2004-08-16,1556998.0,24.174617497,24.390301816,24.174617497,24.534091363,24.291446503
2004-08-17,1589608.0,24.039814797,24.08474903,24.039814797,24.210564883,24.129683263
2004-08-18,2569765.0,23.464656611,23.994880564,23.365801298,24.075762183,23.617433004
2004-08-19,2275925.0,23.320867065,23.545538231,23.275932831,23.590472464,23.455669764
2004-08-20,926780.0,23.365801298,23.365801298,23.248972291,23.500603998,23.329853911
2004-08-23,1585435.0,23.275932831,23.455669764,23.186064365,23.455669764,23.284919678
2004-08-24,1877688.0,23.177077518,23.186064365,23.096195898,23.356814451,23.177077518
2004-08-25,2034757.0,23.096195898,23.123156438,22.925445812,23.716288317,23.087209052
2004-08-26,963232.0,23.311880218,23.536551384,22.916458965,23.536551384,23.266945985
2004-08-27,726986.0,23.365801298,23.024301125,23.024301125,23.455669764,23.329853911
2004-08-30,870770.0,23.069235358,23.365801298,23.006327432,23.815143631,23.150116978
2004-08-31,4454532.0,23.365801298,23.356814451,23.006327432,23.455669764,23.195051211
2004-09-01,2428121.0,23.635406697,23.356814451,23.033287972,23.815143631,23.617433004
2004-09-02,2596855.0,23.374788145,23.383774991,23.365801298,23.815143631,23.500603998
2004-09-03,939302.0,23.365801298,23.320867065,23.320867065,23.752235704,23.644393544
2004-09-06,170970.0,23.275932831,23.275932831,23.275932831,23.365801298,23.275932831
2004-09-08,10566916.0,24.08474903,23.716288317,23.716288317,24.35435443,24.183604343
2004-09-09,5482413.0,24.444222896,24.08474903,24.08474903,24.668894063,24.417262356
2004-09-10,5567184.0,24.803696762,24.336380736,24.32739389,25.163170628,24.821670456
2004-09-13,14868667.0,26.061855294,24.893565229,24.713828296,26.511197626,26.025907907
2004-09-14,11111771.0,27.185211125,25.882118361,25.729341968,27.320013825,26.628026633
2004-09-15,4042304.0,27.050408426,27.185211125,26.960539959,27.841250931,27.454816525
2004-09-16,3734365.0,27.275079592,26.951553112,26.915605726,27.400895445,27.104329506
2004-09-17,2450002.0,26.915605726,26.430316007,26.430316007,27.140276892,27.014461039
