Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2004-10-28,0.0,1.5079562272,1.5079562272,1.5079562272,1.5079562272,1.5079562272
2004-10-29,84866530.0,1.6903702869,1.6738314122,1.653887475,1.6928024744,1.6709127872
2004-11-01,11030877.0,1.7025312242,1.7064227242,1.683560162,1.7268530989,1.7069091617
2004-11-03,21963127.0,1.6903702869,1.7224751614,1.6757771621,1.748742786,1.6991261618
2004-11-04,17626236.0,1.7244209114,1.7000990368,1.6879380994,1.7268530989,1.7049634117
2004-11-05,19182019.0,1.7025312242,1.7244209114,1.6932889119,1.7268530989,1.7078820366
2004-11-08,6005962.0,1.7064227242,1.6996125993,1.6830737245,1.7064227242,1.6976668493
2004-11-09,9098922.0,1.7073955991,1.7025312242,1.7000990368,1.7098277866,1.7030176617
2004-11-10,23617565.0,1.7025312242,1.7025312242,1.6840465995,1.7025312242,1.6947482243
2004-11-11,12174218.0,1.7025312242,1.7025312242,1.6879380994,1.7049634117,1.7005854743
2004-11-12,8017816.0,1.6976668493,1.7025312242,1.6976668493,1.7146921615,1.7093413491
2004-11-16,44530901.0,1.5906506009,1.7025312242,1.5663287263,1.7025312242,1.5960014133
2004-11-17,31219767.0,1.6052437257,1.6003793508,1.5994064758,1.6120538506,1.6052437257
2004-11-18,8603601.0,1.6052437257,1.6149724755,1.5906506009,1.6149724755,1.5998929133
2004-11-19,6438367.0,1.682587287,1.6149724755,1.6052437257,1.7025312242,1.6422129751
2004-11-22,4666136.0,1.6684805997,1.6811279745,1.6392943502,1.6830737245,1.6665348498
2004-11-23,10954741.0,1.653887475,1.6616704748,1.6495095375,1.6782093496,1.6568060999
2004-11-24,5038571.0,1.6461044751,1.653887475,1.6047572882,1.653887475,1.6144860381
2004-11-25,2913919.0,1.615458913,1.6368621627,1.6003793508,1.6441587251,1.6144860381
2004-11-26,7088475.0,1.6101081006,1.6295656003,1.6052437257,1.6295656003,1.6081623506
2004-11-29,8399215.0,1.6076759132,1.6149724755,1.6052437257,1.6198368505,1.6096216631
2004-11-30,11009584.0,1.6052437257,1.6101081006,1.5906506009,1.6149724755,1.6042708507
2004-12-01,9248030.0,1.5906506009,1.6052437257,1.585786226,1.6052437257,1.5964878508
2004-12-02,7052559.0,1.5809218511,1.586759101,1.5614643514,1.5955149758,1.5760574761
2004-12-03,5525061.0,1.6052437257,1.585786226,1.585786226,1.6086487881,1.5989200383
2004-12-06,3232136.0,1.6101081006,1.5989200383,1.5955149758,1.6101081006,1.6028115382
2004-12-07,9693841.0,1.6052437257,1.6076759132,1.585786226,1.6076759132,1.6047572882
2004-12-08,4652148.0,1.6529146,1.5814082886,1.5809218511,1.6529146,1.6013522258
2004-12-09,6698638.0,1.5809218511,1.6417265376,1.5809218511,1.6490231,1.6261605379
2004-12-10,8817356.0,1.5804354136,1.6052437257,1.5322781018,1.6101081006,1.5677880388
2004-12-13,2747476.0,1.5565999764,1.5663287263,1.5468712266,1.5760574761,1.5614643514
2004-12-14,3116880.0,1.5565999764,1.5760574761,1.5517356015,1.5809218511,1.5565999764
2004-12-15,7045449.0,1.5565999764,1.5565999764,1.5395746642,1.5565999764,1.5478441016
2004-12-16,4672580.0,1.5347102893,1.5570864139,1.5254679769,1.5590321639,1.549303414
2004-12-17,4754581.0,1.4836343525,1.5347102893,1.4680683528,1.5468712266,1.4977410398
2004-12-20,9159199.0,1.4787699776,1.4865529775,1.4666090403,1.4914173524,1.4821750401
2004-12-21,9051371.0,1.4836343525,1.483147915,1.4690412278,1.4919037899,1.4836343525
2004-12-22,5078899.0,1.4836343525,1.4928766649,1.4714734152,1.4928766649,1.4792564151
2004-12-23,1710149.0,1.4855801025,1.4836343525,1.4763377901,1.4855801025,1.4826614776
2004-12-27,16391428.0,1.4836343525,1.4884987275,1.4690412278,1.4884987275,1.4836343525
2004-12-28,6490028.0,1.5322781018,1.4884987275,1.4884987275,1.5415204142,1.5220629145
2004-12-29,4576786.0,1.520603602,1.5327645393,1.5079562272,1.5517356015,1.518657852
2004-12-30,1619548.0,1.5322781018,1.5225493519,1.520603602,1.5371424767,1.5327645393
2005-01-03,4873740.0,1.5711931012,1.5371424767,1.5322781018,1.5760574761,1.5702202262
2005-01-04,3578781.0,1.5809218511,1.5565999764,1.5565999764,1.5979471633,1.5755710386
2005-01-05,2360507.0,1.6052437257,1.5711931012,1.5580592889,1.6101081006,1.5925963509
2005-01-06,5748526.0,1.6125402881,1.6242147879,1.6052437257,1.6247012254,1.615458913
2005-01-07,5976947.0,1.6222690379,1.6115674131,1.585786226,1.6222690379,1.6144860381
2005-01-10,8816204.0,1.6101081006,1.6222690379,1.6101081006,1.6782093496,1.6543739124
2005-01-11,685521.0,1.6052437257,1.6130267256,1.6047572882,1.6417265376,1.6110809756
2005-01-12,1439587.0,1.653887475,1.6052437257,1.6052437257,1.653887475,1.6324842253
2005-01-13,4360139.0,1.683560162,1.653887475,1.6490231,1.7015583492,1.6675077248
2005-01-14,3246850.0,1.6733449747,1.6636162248,1.6631297873,1.6733449747,1.6641026623
2005-01-17,2099810.0,1.653887475,1.6728585372,1.6451316001,1.6728585372,1.6553467874
2005-01-18,755649.0,1.6490231,1.6295656003,1.6052437257,1.653887475,1.6266469754
2005-01-19,1987444.0,1.6490231,1.6392943502,1.6319977878,1.653887475,1.6412401001
2005-01-20,11367274.0,1.6003793508,1.6149724755,1.5809218511,1.6149724755,1.6081623506
2005-01-21,1380747.0,1.6052437257,1.5755710386,1.5279001644,1.6052437257,1.583840476
2005-01-24,7122457.0,1.5249815394,1.5804354136,1.5123341646,1.5804354136,1.5264408519
2005-01-26,9807979.0,1.5079562272,1.517684977,1.4773106651,1.5225493519,1.4855801025
2005-01-27,3740111.0,1.4836343525,1.517684977,1.4641768528,1.517684977,1.48412079
2005-01-28,5470741.0,1.4593124779,1.4739056027,1.4349906033,1.4739056027,1.4583396029
2005-01-31,3185683.0,1.4345041658,1.4597989154,1.4106687286,1.4617446654,1.4349906033
2005-02-01,2685196.0,1.3912112289,1.4588260404,1.3912112289,1.4588260404,1.4028857288
2005-02-02,12258960.0,1.4203974785,1.4053179162,1.4053179162,1.4349906033,1.422829666
2005-02-03,8727416.0,1.4053179162,1.4349906033,1.3814824791,1.4349906033,1.3980213538
2005-02-04,4636417.0,1.4106687286,1.4101822911,1.4058043537,1.4276940409,1.4087229787
2005-02-09,1153980.0,1.4101822911,1.4495837281,1.4033721662,1.4568802904,1.420883916
2005-02-10,4029144.0,1.4155331036,1.4106687286,1.4048314787,1.4301262283,1.4092094162
2005-02-11,5549726.0,1.4155331036,1.4252618534,1.4155331036,1.4739056027,1.4539616655
2005-02-14,4211435.0,1.4447193531,1.4252618534,1.4252618534,1.454448103,1.4447193531
2005-02-15,1731129.0,1.4320719783,1.4442329156,1.4203974785,1.4442329156,1.4320719783
2005-02-16,2600072.0,1.4495837281,1.4593124779,1.4349906033,1.4641768528,1.450556603
2005-02-17,6720591.0,1.454448103,1.4588260404,1.4398549782,1.4836343525,1.4602853529
2005-02-18,5242185.0,1.4398549782,1.454448103,1.4354770408,1.454448103,1.4461786656
2005-02-21,872108.0,1.4296397909,1.4398549782,1.4116416036,1.4495837281,1.4330448533
2005-02-22,2418042.0,1.4301262283,1.4111551661,1.4106687286,1.4374227907,1.4291533534
2005-02-23,1718931.0,1.4296397909,1.4349906033,1.4106687286,1.4349906033,1.4194246035
2005-02-24,4732384.0,1.4559074155,1.4325584158,1.3916976664,1.4559074155,1.4116416036
2005-02-25,2909203.0,1.4252618534,1.4447193531,1.4058043537,1.4447193531,1.417965291
2005-02-28,1260007.0,1.3994806663,1.4058043537,1.3868332915,1.4106687286,1.3994806663
2005-03-01,2336718.0,1.3790502916,1.4092094162,1.3600792294,1.4092094162,1.3746723542
2005-03-02,10066018.0,1.3668893543,1.3785638541,1.3522962295,1.3790502916,1.3634842919
2005-03-03,6221418.0,1.3693215418,1.3668893543,1.3328387298,1.3800231666,1.3474318546
2005-03-04,6147828.0,1.3377031047,1.3571606044,1.3377031047,1.3571606044,1.3420810422
2005-03-07,2677685.0,1.3425674797,1.3625114169,1.3425674797,1.3625114169,1.3454861046
2005-03-08,8731014.0,1.3279743549,1.3449996671,1.32310998,1.3449996671,1.3323522923
2005-03-09,2616398.0,1.3347844798,1.31921848,1.3051117927,1.3372166673,1.3133812301
2005-03-10,2644673.0,1.3114354801,1.318245605,1.2987881053,1.318245605,1.3114354801
2005-03-11,1341530.0,1.3104626052,1.318245605,1.3060846677,1.318245605,1.3128947926
2005-03-14,6255426.0,1.2793306056,1.3036524803,1.2170666066,1.3036524803,1.2525765435
2005-03-15,8816479.0,1.3304065424,1.2793306056,1.2652239183,1.3304065424,1.3148405426
2005-03-16,3323866.0,1.3377031047,1.3041389178,1.3031660428,1.386346854,1.3396488547
2005-03-17,18776898.0,1.1922582944,1.2987881053,1.1484789201,1.3012202928,1.2097700442
2005-03-18,10444903.0,1.1669635448,1.1966362319,1.0701624838,1.2039327943,1.1630720449
2005-03-21,3220622.0,1.1479924826,1.1820431071,1.1431281077,1.1820431071,1.1611262949
2005-03-22,9365791.0,1.0458406092,1.1650177949,1.0200594221,1.1650177949,1.088160671
2005-03-23,4056301.0,1.0098442347,1.0507049841,0.97579361022,1.0507049841,1.0098442347
2005-03-24,2400885.0,1.0502185466,1.0458406092,1.0069256098,1.0696760463,1.0336796718
2005-03-28,1096573.0,1.0759997337,1.0798912336,1.0215187345,1.0798912336,1.0336796718
2005-03-29,2364479.0,1.0604337339,1.0750268587,1.0336796718,1.090106421,1.0609201714
2005-03-30,5824186.0,1.0385440468,1.0604337339,1.0190865471,1.0701624838,1.024923797
2005-03-31,5646963.0,1.0361118593,1.0652981089,1.0166543596,1.0652981089,1.0302746094
2005-04-01,1538741.0,1.0263831095,1.0648116714,1.0195729846,1.0706489213,1.0254102345
2005-04-04,2358352.0,1.0215187345,1.0020612348,1.0006019223,1.0215187345,1.0108171097
2005-04-05,2589870.0,1.025896672,1.0215187345,1.0215187345,1.0312474844,1.0215187345
2005-04-06,509005.0,1.0069256098,1.0215187345,0.9971968599,1.0215187345,1.0064391723
2005-04-07,894645.0,1.021032297,1.0166543596,1.0069256098,1.0361118593,1.0215187345
2005-04-08,1974528.0,1.0215187345,0.9971968599,0.97287498527,1.0215187345,1.0006019223
2005-04-11,1653571.0,1.0166543596,1.0020612348,1.0020612348,1.0215187345,1.0166543596
2005-04-12,574737.0,0.9971968599,1.0161679221,0.95828186049,1.0166543596,0.98454948509
2005-04-13,8194829.0,1.0215187345,0.98260373512,0.98260373512,1.0215187345,1.0093577972
2005-04-14,3877505.0,0.99962904736,1.0215187345,0.99962904736,1.0507049841,1.0200594221
2005-04-15,392187.0,1.0361118593,1.0117899847,0.98260373512,1.0361118593,0.99379179745
2005-04-18,1279190.0,1.0137357347,1.0215187345,0.99525110993,1.0215187345,1.0035205473
2005-04-19,2999124.0,0.99022308572,1.0479400927,0.95458910747,1.0479400927,0.99022308572
2005-04-20,2024059.0,0.9836985545,0.99022308572,0.96412496081,0.99022308572,0.98620798958
2005-04-22,1235037.0,0.96864194397,0.9836985545,0.95860420362,0.9836985545,0.96864194397
2005-04-25,1508311.0,0.92297022537,0.99624572994,0.90339663168,0.99624572994,0.92899286958
2005-04-26,4697191.0,0.88332115098,0.91845324221,0.87127586255,0.92748720852,0.88382303799
