Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2007-10-26,0.0,1.687896037,1.687896037,1.687896037,1.687896037,1.687896037
2007-10-29,17385010.0,1.687896037,1.687896037,1.6572070181,1.7262573105,1.6894304879
2007-10-30,2656886.0,1.686361586,1.6648792728,1.6648792728,1.687896037,1.6756204294
2007-10-31,2719968.0,1.6725515275,1.687896037,1.6572070181,1.687896037,1.6679481747
2007-11-01,1675583.0,1.6802237822,1.6725515275,1.6725515275,1.687896037,1.6817582332
2007-11-05,548546.0,1.687896037,1.6802237822,1.6495347634,1.6955682917,1.66027592
2007-11-06,370627.0,1.6817582332,1.686361586,1.6725515275,1.687896037,1.687896037
2007-11-07,1902326.0,1.687896037,1.6802237822,1.6572070181,1.687896037,1.6725515275
2007-11-08,601818.0,1.6802237822,1.687896037,1.6648792728,1.687896037,1.6725515275
2007-11-09,3997470.0,1.6648792728,1.6725515275,1.6265179992,1.6725515275,1.6311213521
2007-11-12,84631.0,1.6418625087,1.6648792728,1.634190254,1.6648792728,1.6433969596
2007-11-13,521938.0,1.6725515275,1.6265179992,1.6265179992,1.687896037,1.6618103709
2007-11-14,446118.0,1.6572070181,1.6802237822,1.6265179992,1.6802237822,1.6572070181
2007-11-16,13580451.0,1.6541381162,1.6572070181,1.5988978823,1.6802237822,1.6572070181
2007-11-19,705179.0,1.6495347634,1.6556725672,1.6265179992,1.6572070181,1.634190254
2007-11-21,2809199.0,1.6019667842,1.6265179992,1.5497954521,1.6265179992,1.5666744125
2007-11-22,83825.0,1.6111734898,1.5651399615,1.5651399615,1.6265179992,1.6081045879
2007-11-23,194258.0,1.6265179992,1.6111734898,1.6081045879,1.6265179992,1.6111734898
2007-11-26,9378757.0,1.6111734898,1.6710170766,1.6111734898,1.686361586,1.6433969596
2007-11-27,4443641.0,1.686361586,1.6188457445,1.6188457445,1.686361586,1.6710170766
2007-11-28,531720.0,1.6265179992,1.686361586,1.6265179992,1.687896037,1.686361586
2007-11-29,3691384.0,1.6710170766,1.687896037,1.6572070181,1.687896037,1.6725515275
2007-11-30,5388927.0,1.6572070181,1.6848271351,1.6418625087,1.6848271351,1.6510692143
2007-12-03,333737.0,1.7354640162,1.658741469,1.658741469,1.7630841331,1.7017060954
2007-12-04,96876.0,1.7109128011,1.7799630935,1.6955682917,1.7799630935,1.7492740747
2007-12-05,187435.0,1.7492740747,1.7492740747,1.6955682917,1.7492740747,1.7216539577
2007-12-06,826130.0,1.7339295652,1.7492740747,1.7339295652,1.7492740747,1.7339295652
2007-12-07,1142999.0,1.7646185841,1.7492740747,1.7185850558,1.7876353482,1.7554118784
2007-12-10,552254.0,1.8106521124,1.7262573105,1.7262573105,1.8106521124,1.740067369
2007-12-11,546336.0,1.7799630935,1.8106521124,1.7799630935,1.8536167388,1.8060487595
2007-12-12,27094.0,1.7953076029,1.8106521124,1.7830319954,1.8106521124,1.8075832105
2007-12-13,379250.0,1.7492740747,1.7646185841,1.7339295652,1.7646185841,1.7523429765
2007-12-14,162625.0,1.7262573105,1.7492740747,1.7185850558,1.7492740747,1.7323951143
