Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
1993-07-02,0.36363636364,0.0036363636364,0.0036363636364,0.0036363636364,0.0036363636364,0.0036363636364
1993-07-08,0.72727272727,0.0072727272727,0.0072727272727,0.0072727272727,0.0072727272727,0.0072727272727
1993-07-14,3.6363636364,0.0036363636364,0.0036363636364,0.0036363636364,0.0036363636364,0.0036363636364
1993-11-16,5.4545454545,0.010909090909,0.010909090909,0.010909090909,0.010909090909,0.010909090909
1993-12-10,6.1818181818,0.012363636363,0.012363636363,0.012363636363,0.012363636363,0.012363636363
1994-01-27,1.4581818182,0.014581818181,0.014581818181,0.014581818181,0.014581818181,0.014581818181
1994-05-25,367.61090909,0.085490909091,0.085490909091,0.085490909091,0.085490909091,0.085490909091
1994-09-06,100.0,1.0,1.0,1.0,1.0,1.0
1995-02-03,99.99,0.9999,0.9999,0.9999,0.9999,0.9999
1995-05-19,40.0,0.4,0.4,0.4,0.4,0.4
1995-05-22,40.0,0.4,0.4,0.4,0.4,0.4
1995-05-23,40.0,0.4,0.4,0.4,0.4,0.4
1995-05-24,40.0,0.4,0.4,0.4,0.4,0.4
1995-05-26,6700.0,0.2,0.2,0.2,0.2,0.2
1995-08-23,440.0,0.2,0.2,0.2,0.2,0.2
1995-09-13,1800.0,0.18,0.18,0.18,0.18,0.18
1995-09-18,8700.0,0.14,0.17,0.14,0.17,0.145
1995-09-19,4200.0,0.14,0.14,0.14,0.14,0.14
1995-09-21,2800.0,0.14,0.14,0.14,0.14,0.14
1995-10-06,1100.0,0.11,0.11,0.11,0.11,0.11
1995-10-27,4590.0,0.085,0.085,0.085,0.085,0.085
1995-11-01,1600.0,0.08,0.08,0.08,0.08,0.08
1996-01-09,368.0,0.092,0.092,0.092,0.092,0.092
1996-01-11,420.0,0.084,0.084,0.084,0.084,0.084
1996-01-12,240.0,0.08,0.08,0.08,0.08,0.08
1996-01-15,287.0,0.07,0.07,0.07,0.07,0.07
1996-02-07,2274.0,0.06,0.06,0.06,0.06,0.06
1996-04-08,105.0,0.07,0.07,0.07,0.07,0.07
1996-05-09,14.2,0.071,0.071,0.071,0.071,0.071
1996-06-11,612.0,0.072,0.072,0.072,0.072,0.072
1996-09-12,30.0,0.06,0.06,0.06,0.06,0.06
1996-09-18,48.0,0.06,0.06,0.06,0.06,0.06
1996-09-19,60.0,0.06,0.06,0.06,0.06,0.06
1996-09-23,168.0,0.06,0.06,0.06,0.06,0.06
1996-10-10,320.0,0.08,0.08,0.08,0.08,0.08
1996-10-17,320.0,0.08,0.08,0.08,0.08,0.08
1996-10-22,16.0,0.08,0.08,0.08,0.08,0.08
1996-10-28,735.0,0.07,0.07,0.07,0.07,0.07
1996-10-29,160.0,0.08,0.08,0.08,0.08,0.08
1996-10-30,700.0,0.07,0.07,0.07,0.07,0.07
1996-10-31,511.0,0.07,0.07,0.07,0.07,0.07
1998-08-18,20.0,0.01,0.01,0.01,0.01,0.01
1998-10-27,20.0,0.02,0.02,0.02,0.02,0.02
1999-04-08,7760.0,0.04,0.04,0.04,0.04,0.04
1999-04-12,3440.0,0.04,0.04,0.04,0.04,0.04
1999-04-13,17960.0,0.04,0.04,0.04,0.04,0.04
1999-04-14,2542.0,0.042,0.045,0.0401,0.045,0.0424
1999-04-15,655.0,0.045,0.043,0.043,0.045,0.0437
1999-04-16,1175.0,0.047,0.047,0.047,0.047,0.047
1999-04-19,315.0,0.055,0.05,0.05,0.055,0.0525
1999-04-20,825.0,0.055,0.055,0.055,0.055,0.055
1999-04-23,540.0,0.06,0.06,0.06,0.06,0.06
1999-04-27,300.0,0.06,0.06,0.06,0.06,0.06
1999-04-28,1760.0,0.07,0.06,0.06,0.07,0.0677
1999-05-04,300.0,0.06,0.06,0.06,0.06,0.06
1999-05-06,60.0,0.06,0.06,0.06,0.06,0.06
1999-05-10,70.0,0.07,0.07,0.07,0.07,0.07
1999-05-13,800.0,0.08,0.08,0.08,0.08,0.08
1999-05-21,8932.0,0.1,0.0851,0.0851,0.1001,0.0992
1999-05-24,1000.0,0.1,0.1,0.1,0.1,0.1
1999-05-26,550.0,0.11,0.11,0.11,0.11,0.11
1999-05-27,440.0,0.11,0.11,0.11,0.11,0.11
1999-06-04,660.0,0.11,0.11,0.11,0.11,0.11
1999-06-07,1650.0,0.11,0.11,0.11,0.11,0.11
1999-06-08,440.0,0.11,0.11,0.11,0.11,0.11
1999-06-09,3410.0,0.11,0.11,0.11,0.11,0.11
1999-06-23,1540.0,0.11,0.11,0.11,0.11,0.11
1999-07-02,550.0,0.11,0.11,0.11,0.11,0.11
1999-07-06,600.0,0.1,0.1,0.1,0.1,0.1
1999-07-13,500.0,0.1,0.1,0.1,0.1,0.1
1999-07-15,600.0,0.1,0.1,0.1,0.1,0.1
1999-07-19,1430.0,0.11,0.11,0.11,0.11,0.11
1999-07-21,600.0,0.1,0.1,0.1,0.1,0.1
1999-07-27,600.0,0.1,0.1,0.1,0.1,0.1
1999-08-09,660.0,0.11,0.11,0.11,0.11,0.11
1999-08-18,220.0,0.11,0.11,0.11,0.11,0.11
1999-12-07,4510.0,0.11,0.11,0.11,0.11,0.11
