Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2008-04-17,0.0,6.9947555494,6.9947555494,6.9947555494,6.9947555494,6.9947555494
2008-04-18,81819298.0,6.8713186867,6.9330371181,6.5215809093,6.9741827389,6.7725691966
2008-04-22,53325559.0,6.7067362032,6.789027445,6.6285595236,7.0153283598,6.7643400725
2008-04-23,20900024.0,6.3775712362,6.6655905824,6.3775712362,6.7067362032,6.4763207263
2008-04-24,14946721.0,6.3775712362,6.2870508703,6.1718431318,6.5627265302,6.369342112
2008-04-25,2204479.0,6.3775712362,6.2788217461,6.225332439,6.4475187917,6.3775712362
2008-04-28,1770978.0,6.3775712362,6.3981440466,6.3775712362,6.4722061642,6.3899149225
2008-04-29,6486411.0,6.3775712362,6.3775712362,6.3734566741,6.4187168571,6.3775712362
2008-04-30,1920191.0,6.3775712362,6.3364256153,6.2582489357,6.4104877329,6.3734566741
2008-05-02,6569916.0,6.9536099285,6.4022586087,6.3981440466,6.9536099285,6.6532468961
2008-05-05,1417982.0,6.8260585038,6.9536099285,6.6861633928,6.9536099285,6.8178293796
2008-05-06,427390.0,6.7067362032,6.8260585038,6.7067362032,6.8260585038,6.7108507653
2008-05-07,681297.0,6.7067362032,6.6614760203,6.6285595236,6.7231944516,6.6738197065
2008-05-08,715576.0,6.7478818241,6.6655905824,6.6450177719,6.7684546346,6.7067362032
2008-05-09,812432.0,6.7273090137,6.7067362032,6.7067362032,6.9536099285,6.8219439417
2008-05-12,628836.0,6.9494953664,6.8096002554,6.7149653274,6.9494953664,6.8795478109
2008-05-13,2163376.0,7.0112137977,6.9124643076,6.9124643076,7.0317866082,6.9906409873
2008-05-14,4149054.0,7.1387652225,6.9906409873,6.9906409873,7.2622020851,7.1552234708
2008-05-15,3611541.0,7.2827748955,7.1346506604,7.0852759153,7.4267845686,7.3074622681
2008-05-16,2876416.0,7.2416292747,7.2416292747,7.2004836538,7.4062117582,7.3198059543
2008-05-19,1035100.0,7.2827748955,7.3650661373,7.2827748955,7.6119398626,7.3691806994
2008-05-20,1799035.0,7.118192412,7.1799108433,7.0852759153,7.1799108433,7.1593380329
2008-05-21,1324426.0,7.1140778499,7.1552234708,6.9947555494,7.1593380329,7.0029846735
2008-05-23,495971.0,7.118192412,7.0029846735,6.9947555494,7.3815243856,7.1593380329
2008-05-26,1131379.0,7.2416292747,7.258087523,7.2375147126,7.6119398626,7.4350136928
2008-05-27,1941184.0,7.3444933269,7.2251710263,7.1223069741,7.397982634,7.2416292747
2008-05-28,5612079.0,8.0028232609,7.4062117582,7.4062117582,8.0233960714,7.817667967
2008-05-29,4423893.0,8.6405803845,7.8752718362,7.7765223461,9.0520365933,8.4636542147
